address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
3833 KIRKWOOD RD,0.03,0.04,0.07,0.1,0.15,0.11,0.16,0.22,0.31,0.4,0.23,0.25,0.28,0.31,0.35,Academy Gardens,-75.001225545087,40.0587861080521,"c(-75.001225545087, 40.0587861080521)"
3459 AUBREY AVE,0.02,0.03,0.05,0.07,0.11,0.18,0.25,0.34,0.44,0.54,0.2,0.22,0.25,0.28,0.31,Academy Gardens,-75.0047375493866,40.0630944503081,"c(-75.0047375493866, 40.0630944503081)"
3450 EDEN ST,0.02,0.03,0.05,0.07,0.11,0.17,0.24,0.32,0.42,0.52,0.2,0.22,0.25,0.28,0.31,Academy Gardens,-75.0051868212911,40.0637532154065,"c(-75.0051868212911, 40.0637532154065)"
9315 CRISPIN ST,0.02,0.03,0.04,0.06,0.1,0.14,0.2,0.27,0.36,0.46,0.3,0.33,0.37,0.4,0.44,Academy Gardens,-75.002580843651,40.0598283047442,"c(-75.002580843651, 40.0598283047442)"
3429 FITLER ST,0.03,0.05,0.08,0.12,0.18,0.11,0.16,0.22,0.3,0.4,0.34,0.37,0.41,0.44,0.48,Academy Gardens,-75.0042850950525,40.0658675431107,"c(-75.0042850950525, 40.0658675431107)"
3305 FITLER ST,0.03,0.05,0.08,0.12,0.17,0.14,0.19,0.27,0.36,0.46,0.34,0.37,0.41,0.44,0.48,Academy Gardens,-75.0064872468981,40.0669818480706,"c(-75.0064872468981, 40.0669818480706)"
9151 ELLIE DR,0.03,0.05,0.08,0.12,0.18,0.12,0.18,0.24,0.33,0.43,0.34,0.37,0.41,0.44,0.48,Academy Gardens,-75.0063687461029,40.054206887175,"c(-75.0063687461029, 40.054206887175)"
3438 GRANT AVE,0.03,0.05,0.08,0.12,0.18,0.1,0.15,0.21,0.29,0.38,0.23,0.25,0.28,0.31,0.35,Academy Gardens,-75.0032148490688,40.066575356617,"c(-75.0032148490688, 40.066575356617)"
3540 FITLER ST,0.02,0.04,0.06,0.09,0.13,0.18,0.25,0.34,0.43,0.54,0.3,0.33,0.37,0.4,0.44,Academy Gardens,-75.0010824434397,40.0635031243953,"c(-75.0010824434397, 40.0635031243953)"
9232 LANSFORD ST,0.02,0.03,0.04,0.07,0.1,0.23,0.31,0.41,0.51,0.62,0.33,0.36,0.4,0.43,0.47,Academy Gardens,-75.008623495988,40.0614828634316,"c(-75.008623495988, 40.0614828634316)"
