address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
2601 W STERNER ST,0.05,0.08,0.12,0.18,0.26,0.07,0.1,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Allegheny West,-75.173939066673,39.9970324780762,"c(-75.173939066673, 39.9970324780762)"
2935 N RINGGOLD ST,0.05,0.08,0.12,0.18,0.25,0.07,0.1,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Allegheny West,-75.1703155189614,39.9999206623517,"c(-75.1703155189614, 39.9999206623517)"
2557 W STERNER ST,0.05,0.08,0.12,0.18,0.26,0.13,0.19,0.26,0.35,0.45,0.22,0.25,0.28,0.31,0.35,Allegheny West,-75.1737067389071,39.9970007049424,"c(-75.1737067389071, 39.9970007049424)"
3030 N TANEY ST,0.05,0.08,0.12,0.18,0.25,0.08,0.12,0.18,0.25,0.33,0.22,0.25,0.28,0.31,0.35,Allegheny West,-75.1739443902549,40.0018534208829,"c(-75.1739443902549, 40.0018534208829)"
3010 N HEMBERGER ST,0.09,0.14,0.2,0.28,0.38,0.17,0.24,0.33,0.43,0.53,0.22,0.25,0.28,0.31,0.35,Allegheny West,-75.1676962273706,40.0006629233907,"c(-75.1676962273706, 40.0006629233907)"
2315 W CLEARFIELD ST,0.06,0.09,0.14,0.21,0.29,0.12,0.17,0.24,0.32,0.42,0.22,0.25,0.28,0.31,0.35,Allegheny West,-75.1683077208336,40.0021203144484,"c(-75.1683077208336, 40.0021203144484)"
2958 N BAMBREY ST,0.06,0.09,0.13,0.19,0.27,0.07,0.1,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Allegheny West,-75.1725926764609,40.0006894927965,"c(-75.1725926764609, 40.0006894927965)"
2725 N CROSKEY ST,0.04,0.06,0.09,0.13,0.2,0.12,0.17,0.23,0.32,0.42,0.34,0.37,0.41,0.44,0.48,Allegheny West,-75.1678512047988,39.9962903968524,"c(-75.1678512047988, 39.9962903968524)"
3051 N STILLMAN ST,0.05,0.08,0.13,0.19,0.26,0.08,0.12,0.18,0.24,0.33,0.34,0.37,0.41,0.44,0.48,Allegheny West,-75.1715208531892,40.0019395516105,"c(-75.1715208531892, 40.0019395516105)"
2717 W SELTZER ST,0.04,0.06,0.09,0.13,0.2,0.09,0.13,0.18,0.25,0.34,0.2,0.22,0.25,0.28,0.31,Allegheny West,-75.1757756465295,39.9979940395611,"c(-75.1757756465295, 39.9979940395611)"
2730 N 29TH ST,0.06,0.09,0.13,0.19,0.27,0.07,0.1,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Allegheny West,-75.1786618074181,39.9978355542967,"c(-75.1786618074181, 39.9978355542967)"
2915 N TANEY ST,0.04,0.06,0.09,0.14,0.2,0.09,0.13,0.19,0.26,0.35,0.3,0.33,0.37,0.4,0.44,Allegheny West,-75.174079884641,40.0000229380386,"c(-75.174079884641, 40.0000229380386)"
2748 N 24TH ST,0.03,0.05,0.07,0.11,0.16,0.14,0.2,0.27,0.36,0.46,0.2,0.22,0.25,0.28,0.31,Allegheny West,-75.1707303959843,39.9971457103945,"c(-75.1707303959843, 39.9971457103945)"
3039 N 24TH ST,0.04,0.06,0.1,0.15,0.21,0.14,0.2,0.28,0.37,0.47,0.2,0.22,0.25,0.28,0.31,Allegheny West,-75.1693583300205,40.0014789247924,"c(-75.1693583300205, 40.0014789247924)"
2902 N TANEY ST,0.04,0.06,0.09,0.14,0.2,0.09,0.13,0.19,0.26,0.35,0.2,0.22,0.25,0.28,0.31,Allegheny West,-75.1744518103609,39.9998169495487,"c(-75.1744518103609, 39.9998169495487)"
2521 W SELTZER ST,0.05,0.08,0.12,0.18,0.25,0.07,0.1,0.15,0.21,0.29,0.34,0.37,0.41,0.44,0.48,Allegheny West,-75.1727229041145,39.9976035785299,"c(-75.1727229041145, 39.9976035785299)"
3218 N 27TH ST,0.04,0.06,0.09,0.13,0.19,0.1,0.15,0.21,0.29,0.39,0.2,0.22,0.25,0.28,0.31,Allegheny West,-75.1736855236285,40.0048718529234,"c(-75.1736855236285, 40.0048718529234)"
