address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
8730 WISSAHICKON AVE,0.02,0.04,0.06,0.09,0.13,0.15,0.22,0.3,0.39,0.49,0.23,0.25,0.28,0.32,0.35,Andorra,-75.2347060844186,40.0698239497448,"c(-75.2347060844186, 40.0698239497448)"
8615 TIONA ST,0.01,0.02,0.03,0.05,0.08,0.19,0.27,0.36,0.46,0.56,0.33,0.36,0.4,0.43,0.47,Andorra,-75.235052551114,40.0660228467843,"c(-75.235052551114, 40.0660228467843)"
9001 RIDGE AVE,0.03,0.05,0.07,0.11,0.16,0.19,0.26,0.35,0.45,0.55,0.5,0.53,0.57,0.61,0.64,Andorra,-75.2416135646979,40.0717731992916,"c(-75.2416135646979, 40.0717731992916)"
832 MANATAWNA AVE,0.02,0.03,0.05,0.07,0.11,0.2,0.28,0.37,0.48,0.58,0.46,0.49,0.53,0.57,0.61,Andorra,-75.2390406395329,40.0694594989924,"c(-75.2390406395329, 40.0694594989924)"
816 CATHEDRAL RD,0.01,0.02,0.03,0.05,0.08,0.23,0.31,0.41,0.51,0.62,0.33,0.36,0.4,0.43,0.47,Andorra,-75.2356296730892,40.0653079459755,"c(-75.2356296730892, 40.0653079459755)"
905 SEQUOIA RD,0.02,0.02,0.04,0.06,0.09,0.25,0.34,0.44,0.55,0.65,0.33,0.36,0.4,0.43,0.47,Andorra,-75.235117151315,40.0713136242901,"c(-75.235117151315, 40.0713136242901)"
826 SCOTIA RD,0.02,0.03,0.04,0.07,0.1,0.19,0.27,0.36,0.46,0.56,0.46,0.49,0.53,0.57,0.61,Andorra,-75.2308802025789,40.0660990558424,"c(-75.2308802025789, 40.0660990558424)"
850 GREEN VALLEY DR,0.03,0.04,0.06,0.1,0.14,0.19,0.26,0.35,0.45,0.55,0.36,0.4,0.43,0.47,0.51,Andorra,-75.2395568416367,40.0730753952973,"c(-75.2395568416367, 40.0730753952973)"
8584 WISSAHICKON AVE,0.02,0.04,0.06,0.09,0.14,0.26,0.35,0.45,0.56,0.66,0.46,0.49,0.53,0.57,0.61,Andorra,-75.2299273672102,40.0658698698523,"c(-75.2299273672102, 40.0658698698523)"
700-06 CALEDONIA ST,0.01,0.02,0.04,0.06,0.09,0.22,0.3,0.39,0.49,0.6,0.46,0.49,0.53,0.57,0.61,Andorra,-75.2398534893822,40.0676497546806,"c(-75.2398534893822, 40.0676497546806)"
8736 OLD LINE RD,0.03,0.04,0.06,0.09,0.14,0.21,0.29,0.38,0.48,0.59,0.5,0.54,0.57,0.61,0.65,Andorra,-75.23771307494,40.0689127823542,"c(-75.23771307494, 40.0689127823542)"
8712 LYKENS LN,0.02,0.03,0.04,0.06,0.1,0.2,0.27,0.36,0.46,0.57,0.46,0.49,0.53,0.57,0.61,Andorra,-75.2349520961703,40.0676998759436,"c(-75.2349520961703, 40.0676998759436)"
8563 OLD LINE RD,0.02,0.03,0.05,0.07,0.11,0.27,0.36,0.46,0.56,0.66,0.46,0.5,0.53,0.57,0.61,Andorra,-75.2309959905243,40.0640951371076,"c(-75.2309959905243, 40.0640951371076)"
903 INVERNESS LN,0.02,0.03,0.04,0.06,0.1,0.2,0.27,0.36,0.46,0.57,0.46,0.49,0.53,0.57,0.61,Andorra,-75.2291137653136,40.0661547718527,"c(-75.2291137653136, 40.0661547718527)"
8733 WISSAHICKON AVE,0.02,0.02,0.04,0.06,0.09,0.25,0.34,0.44,0.55,0.65,0.46,0.49,0.53,0.57,0.61,Andorra,-75.234774469199,40.0706133587574,"c(-75.234774469199, 40.0706133587574)"
838 GRAKYN LN,0.02,0.03,0.04,0.07,0.1,0.19,0.26,0.35,0.45,0.56,0.46,0.49,0.53,0.57,0.61,Andorra,-75.2336613909866,40.0678321346112,"c(-75.2336613909866, 40.0678321346112)"
8444 CHIPPEWA RD,0.02,0.03,0.05,0.08,0.12,0.19,0.27,0.35,0.46,0.56,0.46,0.49,0.53,0.57,0.61,Andorra,-75.2263402669075,40.0650774513925,"c(-75.2263402669075, 40.0650774513925)"
919 RONNIE CIR,0.02,0.03,0.04,0.07,0.1,0.23,0.31,0.4,0.51,0.61,0.46,0.5,0.53,0.57,0.61,Andorra,-75.2380498908078,40.0736867812638,"c(-75.2380498908078, 40.0736867812638)"
