"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","9308 CLOVERLY RD",0.02,0.04,0.06,0.09,0.14,0.12,0.17,0.24,0.33,0.43,0.12,0.17,0.24,0.33,0.43,"Aston-Woodbridge","-75.0155845243304","40.063452279193",c(-75.0155845243304, 40.063452279193)
"2","9331 ANDOVER RD",0.03,0.04,0.07,0.1,0.16,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Aston-Woodbridge","-75.0112483639601","40.0651019476602",c(-75.0112483639601, 40.0651019476602)
"3","9320 ANDOVER RD",0.03,0.05,0.07,0.11,0.16,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Aston-Woodbridge","-75.0117141791423","40.0642636023576",c(-75.0117141791423, 40.0642636023576)
"4","9429 WOODBRIDGE RD",0.02,0.03,0.05,0.08,0.12,0.14,0.19,0.27,0.36,0.46,0.14,0.19,0.27,0.36,0.46,"Aston-Woodbridge","-75.0161221849286","40.0662978717492",c(-75.0161221849286, 40.0662978717492)
"5","9230 WOODEN BRIDGE RD",0.03,0.04,0.06,0.09,0.14,0.11,0.15,0.22,0.3,0.39,0.11,0.15,0.22,0.3,0.39,"Aston-Woodbridge","-75.0160363438351","40.0625883479338",c(-75.0160363438351, 40.0625883479338)
"6","9262 ANGUS PL",0.02,0.03,0.05,0.08,0.12,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Aston-Woodbridge","-75.0182204491199","40.0642276708251",c(-75.0182204491199, 40.0642276708251)
"7","3372 FORDHAM RD",0.03,0.04,0.07,0.1,0.15,0.11,0.16,0.23,0.31,0.4,0.11,0.16,0.23,0.31,0.4,"Aston-Woodbridge","-75.0094111003178","40.0582906251745",c(-75.0094111003178, 40.0582906251745)
"8","3327 HOLME AVE",0.04,0.07,0.1,0.15,0.22,0.09,0.13,0.18,0.26,0.34,0.09,0.13,0.18,0.26,0.34,"Aston-Woodbridge","-75.0105538916346","40.0573276860705",c(-75.0105538916346, 40.0573276860705)
"9","9211 TREATY RD",0.03,0.04,0.06,0.1,0.15,0.12,0.17,0.24,0.33,0.42,0.12,0.17,0.24,0.33,0.42,"Aston-Woodbridge","-75.0109148448184","40.0590942317034",c(-75.0109148448184, 40.0590942317034)
"10","9220 PURITAN RD",0.03,0.05,0.07,0.11,0.17,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Aston-Woodbridge","-75.0139535272686","40.0601241959348",c(-75.0139535272686, 40.0601241959348)
"11","9132 RYERSON RD",0.02,0.04,0.06,0.09,0.13,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Aston-Woodbridge","-75.0204216764847","40.0627682945611",c(-75.0204216764847, 40.0627682945611)
"12","9335 ANNAPOLIS RD",0.03,0.05,0.07,0.11,0.16,0.09,0.13,0.18,0.25,0.34,0.09,0.13,0.18,0.25,0.34,"Aston-Woodbridge","-75.0130345339202","40.0651595162019",c(-75.0130345339202, 40.0651595162019)
"13","9233 WOODEN BRIDGE RD",0.04,0.06,0.09,0.14,0.2,0.11,0.15,0.21,0.29,0.39,0.11,0.15,0.21,0.29,0.39,"Aston-Woodbridge","-75.0150521667318","40.0623299682146",c(-75.0150521667318, 40.0623299682146)
"14","3320 FORDHAM RD",0.03,0.04,0.07,0.1,0.15,0.11,0.16,0.23,0.31,0.4,0.11,0.16,0.23,0.31,0.4,"Aston-Woodbridge","-75.0108610782631","40.0577008829329",c(-75.0108610782631, 40.0577008829329)
"15","2835 SAXTON RD",0.04,0.06,0.09,0.14,0.21,0.11,0.16,0.22,0.3,0.39,0.11,0.16,0.22,0.3,0.39,"Aston-Woodbridge","-75.0147795692428","40.0685000854934",c(-75.0147795692428, 40.0685000854934)
"16","9300 ANDOVER RD",0.03,0.05,0.07,0.11,0.16,0.18,0.25,0.34,0.44,0.54,0.18,0.25,0.34,0.44,0.54,"Aston-Woodbridge","-75.011308983704","40.0625978116297",c(-75.011308983704, 40.0625978116297)
