"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","5822 ELMWOOD AVE",0.05,0.07,0.11,0.16,0.23,0.12,0.17,0.23,0.32,0.41,0.12,0.17,0.23,0.32,0.41,"Bartram Village","-75.2211047318861","39.9283911388426",c(-75.2211047318861, 39.9283911388426)
"2","2239 S 56TH ST",0.04,0.06,0.08,0.13,0.19,0.1,0.14,0.2,0.28,0.37,0.1,0.14,0.2,0.28,0.37,"Bartram Village","-75.2179262735287","39.9314612032275",c(-75.2179262735287, 39.9314612032275)
"3","2346 S ITHAN ST",0.05,0.08,0.12,0.17,0.25,0.08,0.12,0.17,0.23,0.32,0.08,0.12,0.17,0.23,0.32,"Bartram Village","-75.2187144617024","39.9307387295716",c(-75.2187144617024, 39.9307387295716)
"4","5718 GRAYS AVE",0.03,0.05,0.08,0.12,0.18,0.12,0.17,0.23,0.32,0.41,0.12,0.17,0.23,0.32,0.41,"Bartram Village","-75.2210183176528","39.9306249190205",c(-75.2210183176528, 39.9306249190205)
"5","5710 WHEELER ST",0.03,0.05,0.08,0.12,0.18,0.1,0.14,0.2,0.28,0.37,0.1,0.14,0.2,0.28,0.37,"Bartram Village","-75.2203758595961","39.9304250955869",c(-75.2203758595961, 39.9304250955869)
"6","2553 S WANAMAKER ST",0.03,0.05,0.07,0.11,0.16,0.12,0.18,0.25,0.33,0.43,0.12,0.18,0.25,0.33,0.43,"Bartram Village","-75.2198350121816","39.92783950414",c(-75.2198350121816, 39.92783950414)
"7","5829 DICKENS AVE",0.04,0.07,0.1,0.16,0.23,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Bartram Village","-75.2210806364768","39.9281335567444",c(-75.2210806364768, 39.9281335567444)
"8","2320 S ITHAN ST",0.05,0.08,0.12,0.18,0.26,0.08,0.12,0.17,0.23,0.32,0.08,0.12,0.17,0.23,0.32,"Bartram Village","-75.2192885993963","39.9312235151207",c(-75.2192885993963, 39.9312235151207)
"9","5507 WHEELER ST",0.05,0.08,0.12,0.18,0.25,0.11,0.16,0.23,0.31,0.41,0.11,0.16,0.23,0.31,0.41,"Bartram Village","-75.2167423962179","39.9325696794147",c(-75.2167423962179, 39.9325696794147)
"10","5747 REEDLAND ST",0.03,0.05,0.08,0.12,0.18,0.08,0.12,0.18,0.25,0.33,0.08,0.12,0.18,0.25,0.33,"Bartram Village","-75.2209345673886","39.9297746050835",c(-75.2209345673886, 39.9297746050835)
"11","5543 ELMWOOD AVE",0.05,0.08,0.12,0.18,0.26,0.09,0.14,0.2,0.27,0.36,0.09,0.14,0.2,0.27,0.36,"Bartram Village","-75.2176866710146","39.9315079175729",c(-75.2176866710146, 39.9315079175729)
"12","5503 WHEELER ST",0.05,0.08,0.12,0.18,0.25,0.08,0.12,0.17,0.24,0.32,0.08,0.12,0.17,0.24,0.32,"Bartram Village","-75.2166096135836","39.9326002932326",c(-75.2166096135836, 39.9326002932326)
"13","5648 ELMWOOD AVE",0.05,0.08,0.12,0.17,0.25,0.08,0.12,0.17,0.23,0.32,0.08,0.12,0.17,0.23,0.32,"Bartram Village","-75.2186850556395","39.9301090028908",c(-75.2186850556395, 39.9301090028908)
"14","5733 WHEELER ST",0.05,0.07,0.11,0.17,0.24,0.08,0.11,0.16,0.23,0.31,0.08,0.11,0.16,0.23,0.31,"Bartram Village","-75.22113361696","39.9302903985199",c(-75.22113361696, 39.9302903985199)
"15","2447 S FRAZIER ST",0.05,0.08,0.12,0.17,0.25,0.09,0.14,0.19,0.27,0.36,0.09,0.14,0.19,0.27,0.36,"Bartram Village","-75.2188736643044","39.9306255702489",c(-75.2188736643044, 39.9306255702489)
"16","2304 S ITHAN ST",0.04,0.06,0.08,0.13,0.19,0.1,0.15,0.21,0.28,0.37,0.1,0.15,0.21,0.28,0.37,"Bartram Village","-75.2196409165697","39.9315203013625",c(-75.2196409165697, 39.9315203013625)
"17","5718 REEDLAND ST",0.05,0.08,0.12,0.17,0.25,0.07,0.1,0.14,0.2,0.28,0.07,0.1,0.14,0.2,0.28,"Bartram Village","-75.2200806414018","39.9299615860661",c(-75.2200806414018, 39.9299615860661)
"18","5532 WHEELER ST",0.04,0.06,0.09,0.13,0.19,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Bartram Village","-75.2174268263895","39.9320142263993",c(-75.2174268263895, 39.9320142263993)
