address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
934-36 S 9TH ST,0.02,0.04,0.06,0.09,0.13,0.29,0.39,0.49,0.59,0.69,0.2,0.22,0.25,0.28,0.31,Bella Vista,-75.1582537736209,39.9379167978664,"c(-75.1582537736209, 39.9379167978664)"
618 CATHARINE ST,0.03,0.05,0.08,0.12,0.18,0.22,0.3,0.39,0.5,0.6,0.36,0.4,0.43,0.47,0.51,Bella Vista,-75.1537755071635,39.938700701696,"c(-75.1537755071635, 39.938700701696)"
821 S DARIEN ST,0.03,0.04,0.06,0.1,0.14,0.27,0.36,0.46,0.57,0.67,0.33,0.36,0.4,0.43,0.47,Bella Vista,-75.1569896133168,39.9390340129169,"c(-75.1569896133168, 39.9390340129169)"
705-11 PEMBERTON ST,0.04,0.07,0.1,0.15,0.22,0.21,0.29,0.38,0.49,0.59,0.5,0.54,0.57,0.61,0.65,Bella Vista,-75.1545911762468,39.9408940836741,"c(-75.1545911762468, 39.9408940836741)"
836 LEAGUE ST,0.02,0.03,0.05,0.08,0.12,0.31,0.4,0.51,0.61,0.7,0.33,0.36,0.4,0.43,0.47,Bella Vista,-75.1579356326308,39.9365679170681,"c(-75.1579356326308, 39.9365679170681)"
828 BAINBRIDGE ST,0.03,0.05,0.07,0.11,0.16,0.34,0.44,0.55,0.65,0.74,0.46,0.5,0.53,0.57,0.61,Bella Vista,-75.1566463472436,39.9414968484419,"c(-75.1566463472436, 39.9414968484419)"
761 S 8TH ST,0.04,0.06,0.09,0.14,0.2,0.14,0.2,0.27,0.37,0.47,0.23,0.25,0.28,0.32,0.35,Bella Vista,-75.1558483738693,39.9396687605313,"c(-75.1558483738693, 39.9396687605313)"
727-29 S 7TH ST,0.04,0.06,0.09,0.14,0.2,0.25,0.34,0.44,0.54,0.64,0.36,0.4,0.44,0.47,0.51,Bella Vista,-75.1540617554982,39.9405606690316,"c(-75.1540617554982, 39.9405606690316)"
605 LEAGUE ST,0.02,0.04,0.06,0.09,0.13,0.21,0.29,0.38,0.48,0.59,0.3,0.33,0.37,0.41,0.44,Bella Vista,-75.1540199280247,39.9356778663287,"c(-75.1540199280247, 39.9356778663287)"
819 KATER ST,0.04,0.06,0.09,0.13,0.2,0.26,0.35,0.45,0.55,0.65,0.36,0.4,0.44,0.47,0.51,Bella Vista,-75.1563299444932,39.9421161326082,"c(-75.1563299444932, 39.9421161326082)"
1001 S 8TH ST,0.02,0.03,0.05,0.07,0.11,0.31,0.41,0.51,0.61,0.71,0.2,0.22,0.25,0.28,0.31,Bella Vista,-75.1565005829865,39.9370413721629,"c(-75.1565005829865, 39.9370413721629)"
938 S 8TH ST,0.03,0.05,0.08,0.12,0.18,0.23,0.31,0.4,0.51,0.61,0.36,0.4,0.43,0.47,0.51,Bella Vista,-75.156740334626,39.937483252367,"c(-75.156740334626, 39.937483252367)"
634 CATHARINE ST,0.04,0.06,0.09,0.13,0.19,0.2,0.28,0.37,0.48,0.58,0.5,0.54,0.57,0.61,0.65,Bella Vista,-75.1543243339987,39.9387408735639,"c(-75.1543243339987, 39.9387408735639)"
932 S 8TH ST,0.02,0.04,0.05,0.08,0.13,0.27,0.36,0.46,0.57,0.67,0.32,0.36,0.4,0.43,0.47,Bella Vista,-75.1567115025582,39.9376182073525,"c(-75.1567115025582, 39.9376182073525)"
717 LEAGUE ST,0.03,0.05,0.08,0.12,0.18,0.12,0.17,0.23,0.32,0.41,0.34,0.37,0.41,0.44,0.48,Bella Vista,-75.156203915281,39.9364234677885,"c(-75.156203915281, 39.9364234677885)"
832 KATER ST,0.04,0.06,0.09,0.14,0.2,0.26,0.35,0.45,0.55,0.65,0.5,0.53,0.57,0.61,0.65,Bella Vista,-75.1566061021736,39.9419821650697,"c(-75.1566061021736, 39.9419821650697)"
