address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
4235 OTTER ST,0.05,0.07,0.11,0.17,0.24,0.14,0.19,0.27,0.36,0.46,0.36,0.4,0.44,0.47,0.51,Belmont,-75.2098668666175,39.9710833166523,"c(-75.2098668666175, 39.9710833166523)"
4126 PARRISH ST,0.04,0.06,0.09,0.13,0.19,0.1,0.14,0.2,0.28,0.37,0.2,0.22,0.25,0.28,0.31,Belmont,-75.2069722844446,39.9678520136035,"c(-75.2069722844446, 39.9678520136035)"
4216 WESTMINSTER AVE,0.06,0.09,0.13,0.19,0.28,0.17,0.23,0.31,0.41,0.52,0.36,0.4,0.44,0.47,0.51,Belmont,-75.2087465593852,39.9696992119179,"c(-75.2087465593852, 39.9696992119179)"
4329 WESTMINSTER AVE,0.04,0.07,0.1,0.16,0.23,0.08,0.12,0.17,0.23,0.32,0.34,0.37,0.41,0.44,0.48,Belmont,-75.2110737413814,39.9698934217283,"c(-75.2110737413814, 39.9698934217283)"
828 BROOKLYN ST,0.05,0.08,0.12,0.17,0.25,0.08,0.12,0.17,0.23,0.31,0.22,0.25,0.28,0.31,0.35,Belmont,-75.2091015454752,39.9683811417321,"c(-75.2091015454752, 39.9683811417321)"
832 HUTTON ST,0.05,0.08,0.12,0.17,0.25,0.08,0.12,0.17,0.23,0.31,0.34,0.37,0.41,0.44,0.48,Belmont,-75.2095672757253,39.9684291546886,"c(-75.2095672757253, 39.9684291546886)"
833 HUTTON ST,0.03,0.05,0.08,0.12,0.18,0.14,0.2,0.28,0.37,0.47,0.46,0.49,0.53,0.57,0.61,Belmont,-75.2092936873171,39.968446822256,"c(-75.2092936873171, 39.968446822256)"
937 N 43RD ST,0.05,0.07,0.11,0.16,0.23,0.08,0.11,0.16,0.23,0.31,0.34,0.37,0.41,0.44,0.48,Belmont,-75.210096443641,39.9708189511072,"c(-75.210096443641, 39.9708189511072)"
4155 LANCASTER AVE,0.05,0.08,0.12,0.17,0.25,0.14,0.2,0.27,0.36,0.47,0.22,0.25,0.28,0.31,0.35,Belmont,-75.2070107050011,39.9663203046899,"c(-75.2070107050011, 39.9663203046899)"
4153 LANCASTER AVE,0.03,0.05,0.08,0.12,0.18,0.18,0.24,0.33,0.43,0.53,0.2,0.22,0.25,0.28,0.31,Belmont,-75.2069674303341,39.9662930452941,"c(-75.2069674303341, 39.9662930452941)"
837 HUTTON ST,0.03,0.05,0.08,0.12,0.18,0.14,0.2,0.28,0.37,0.47,0.46,0.49,0.53,0.57,0.61,Belmont,-75.2093092470918,39.9685276425254,"c(-75.2093092470918, 39.9685276425254)"
835 N 42ND ST,0.04,0.06,0.09,0.13,0.19,0.1,0.15,0.21,0.28,0.38,0.3,0.33,0.37,0.4,0.44,Belmont,-75.2076076945013,39.9682743821361,"c(-75.2076076945013, 39.9682743821361)"
808 N 40TH ST,0.05,0.08,0.12,0.18,0.26,0.14,0.2,0.27,0.36,0.46,0.34,0.37,0.41,0.44,0.48,Belmont,-75.2033417248441,39.9676710128355,"c(-75.2033417248441, 39.9676710128355)"
4237 OGDEN ST,0.03,0.05,0.07,0.11,0.17,0.1,0.15,0.21,0.29,0.38,0.2,0.22,0.25,0.28,0.31,Belmont,-75.2093755891234,39.9690109342383,"c(-75.2093755891234, 39.9690109342383)"
805 N 42ND ST,0.04,0.06,0.09,0.13,0.19,0.08,0.12,0.17,0.23,0.32,0.3,0.33,0.37,0.4,0.44,Belmont,-75.2074296852786,39.9672001921612,"c(-75.2074296852786, 39.9672001921612)"
4231 OGDEN ST,0.09,0.13,0.19,0.27,0.37,0.14,0.2,0.27,0.36,0.46,0.25,0.28,0.32,0.35,0.39,Belmont,-75.2092128359365,39.9690286464094,"c(-75.2092128359365, 39.9690286464094)"
4213 MANTUA AVE,0.05,0.08,0.13,0.19,0.27,0.08,0.11,0.16,0.23,0.31,0.34,0.37,0.41,0.44,0.48,Belmont,-75.2090177925287,39.9719270816818,"c(-75.2090177925287, 39.9719270816818)"
808 BROOKLYN ST,0.06,0.08,0.13,0.19,0.27,0.08,0.12,0.17,0.23,0.32,0.34,0.37,0.41,0.44,0.48,Belmont,-75.2084660999596,39.9675269059846,"c(-75.2084660999596, 39.9675269059846)"
4210 OTTER ST,0.05,0.08,0.12,0.18,0.26,0.08,0.11,0.16,0.23,0.31,0.22,0.25,0.28,0.31,0.35,Belmont,-75.2088822078299,39.9708778639602,"c(-75.2088822078299, 39.9708778639602)"
868 BROOKLYN ST,0.05,0.07,0.11,0.16,0.23,0.09,0.14,0.2,0.27,0.36,0.23,0.25,0.28,0.32,0.35,Belmont,-75.2093648293941,39.9693095810261,"c(-75.2093648293941, 39.9693095810261)"
904 N 42ND ST,0.04,0.06,0.09,0.13,0.19,0.14,0.2,0.27,0.36,0.46,0.46,0.49,0.53,0.57,0.61,Belmont,-75.20851003707,39.9701815023565,"c(-75.20851003707, 39.9701815023565)"
915 N 43RD ST,0.03,0.05,0.07,0.11,0.16,0.1,0.14,0.2,0.28,0.37,0.2,0.22,0.25,0.28,0.31,Belmont,-75.2099865218117,39.9702314377609,"c(-75.2099865218117, 39.9702314377609)"
