address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
1424 N DOVER ST,0.04,0.06,0.09,0.13,0.19,0.13,0.18,0.25,0.34,0.44,0.3,0.33,0.37,0.4,0.44,Brewerytown,-75.1822430289383,39.9780760760312,"c(-75.1822430289383, 39.9780760760312)"
1428 N NEWKIRK ST,0.05,0.08,0.13,0.19,0.27,0.08,0.11,0.16,0.23,0.31,0.34,0.37,0.41,0.44,0.48,Brewerytown,-75.1817579970172,39.9780888359552,"c(-75.1817579970172, 39.9780888359552)"
1647 N DOVER ST,0.06,0.1,0.15,0.21,0.3,0.05,0.07,0.11,0.16,0.22,0.34,0.37,0.41,0.44,0.48,Brewerytown,-75.1812248367014,39.9813717593008,"c(-75.1812248367014, 39.9813717593008)"
1313 N 29TH ST,0.04,0.06,0.09,0.14,0.2,0.16,0.22,0.3,0.39,0.5,0.46,0.49,0.53,0.57,0.61,Brewerytown,-75.1827819963304,39.9766283151265,"c(-75.1827819963304, 39.9766283151265)"
1501 N MYRTLEWOOD ST,0.05,0.07,0.11,0.17,0.24,0.16,0.22,0.3,0.4,0.5,0.34,0.37,0.41,0.44,0.48,Brewerytown,-75.1834299835286,39.9791620185652,"c(-75.1834299835286, 39.9791620185652)"
1609 N DOVER ST,0.04,0.06,0.1,0.15,0.21,0.07,0.11,0.15,0.21,0.29,0.2,0.22,0.25,0.28,0.31,Brewerytown,-75.1813957073458,39.9805831073276,"c(-75.1813957073458, 39.9805831073276)"
2505 W THOMPSON ST,0.03,0.05,0.08,0.12,0.18,0.13,0.19,0.26,0.35,0.45,0.2,0.22,0.25,0.28,0.31,Brewerytown,-75.1772687387521,39.9757457039384,"c(-75.1772687387521, 39.9757457039384)"
2808 MASTER ST,0.06,0.09,0.13,0.19,0.28,0.14,0.2,0.27,0.36,0.46,0.5,0.53,0.57,0.61,0.65,Brewerytown,-75.1816020159861,39.9772612341125,"c(-75.1816020159861, 39.9772612341125)"
1502 N 26TH ST,0.05,0.08,0.11,0.17,0.24,0.09,0.13,0.19,0.26,0.35,0.34,0.37,0.41,0.44,0.48,Brewerytown,-75.1780681395862,39.9785191397431,"c(-75.1780681395862, 39.9785191397431)"
1714 N BAMBREY ST,0.07,0.1,0.15,0.22,0.3,0.08,0.11,0.16,0.23,0.31,0.34,0.37,0.41,0.44,0.48,Brewerytown,-75.176734995448,39.9816644007392,"c(-75.176734995448, 39.9816644007392)"
1325 N 28TH ST,0.06,0.09,0.13,0.2,0.28,0.08,0.12,0.17,0.24,0.32,0.34,0.37,0.41,0.44,0.48,Brewerytown,-75.1811807819409,39.9767233088983,"c(-75.1811807819409, 39.9767233088983)"
1536 N 27TH ST,0.05,0.07,0.11,0.17,0.24,0.09,0.13,0.19,0.26,0.35,0.34,0.37,0.41,0.44,0.48,Brewerytown,-75.17956693603,39.97941047911,"c(-75.17956693603, 39.97941047911)"
1445 N NEWKIRK ST,0.05,0.08,0.12,0.18,0.26,0.07,0.1,0.14,0.2,0.27,0.34,0.37,0.41,0.44,0.48,Brewerytown,-75.1814106400259,39.9783582008455,"c(-75.1814106400259, 39.9783582008455)"
3042 BALTZ ST,0.04,0.05,0.08,0.13,0.19,0.12,0.17,0.23,0.31,0.41,0.34,0.37,0.41,0.44,0.48,Brewerytown,-75.1861111865412,39.9758588889156,"c(-75.1861111865412, 39.9758588889156)"
