address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
2734 KIRKBRIDE ST,0.04,0.06,0.09,0.13,0.19,0.11,0.16,0.23,0.31,0.41,0.23,0.25,0.28,0.32,0.35,Bridesburg,-75.0679498914744,40.0018667182263,"c(-75.0679498914744, 40.0018667182263)"
4264 SALMON ST,0.03,0.05,0.07,0.11,0.16,0.12,0.17,0.24,0.32,0.42,0.23,0.25,0.28,0.31,0.35,Bridesburg,-75.077194684324,39.996634024013,"c(-75.077194684324, 39.996634024013)"
4480 ALMOND ST,0.03,0.04,0.06,0.1,0.15,0.15,0.21,0.28,0.37,0.48,0.3,0.33,0.37,0.4,0.44,Bridesburg,-75.0737244166147,40.0014332289403,"c(-75.0737244166147, 40.0014332289403)"
4526 ALMOND ST,0.03,0.05,0.07,0.11,0.16,0.16,0.23,0.31,0.41,0.51,0.2,0.22,0.25,0.28,0.31,Bridesburg,-75.0724400055451,40.0021460829268,"c(-75.0724400055451, 40.0021460829268)"
4732-34 RICHMOND ST,0.04,0.06,0.09,0.13,0.2,0.11,0.16,0.22,0.3,0.4,0.23,0.25,0.28,0.32,0.35,Bridesburg,-75.0665415574172,40.0011337193664,"c(-75.0665415574172, 40.0011337193664)"
2622 ASH ST,0.02,0.04,0.06,0.08,0.13,0.15,0.21,0.29,0.38,0.49,0.2,0.22,0.25,0.28,0.31,Bridesburg,-75.0694925598477,40.0026323747723,"c(-75.0694925598477, 40.0026323747723)"
4754 MERCER ST,0.02,0.03,0.04,0.07,0.1,0.16,0.23,0.31,0.4,0.51,0.3,0.33,0.37,0.4,0.44,Bridesburg,-75.0683686695742,40.0037778936462,"c(-75.0683686695742, 40.0037778936462)"
2642 ALRESFORD ST,0.03,0.04,0.06,0.1,0.15,0.15,0.21,0.29,0.38,0.48,0.5,0.53,0.57,0.61,0.64,Bridesburg,-75.0792910546852,39.9969041609715,"c(-75.0792910546852, 39.9969041609715)"
2756 CROYDON ST,0.03,0.05,0.07,0.11,0.17,0.13,0.18,0.25,0.33,0.43,0.22,0.25,0.28,0.31,0.35,Bridesburg,-75.0769898577303,39.9959105720405,"c(-75.0769898577303, 39.9959105720405)"
4558 E THOMPSON ST,0.04,0.06,0.09,0.14,0.2,0.12,0.17,0.24,0.33,0.42,0.23,0.25,0.28,0.31,0.35,Bridesburg,-75.0708942036299,40.0017009196591,"c(-75.0708942036299, 40.0017009196591)"
2755 PRATT ST,0.02,0.03,0.05,0.07,0.11,0.14,0.2,0.28,0.37,0.47,0.3,0.33,0.37,0.41,0.44,Bridesburg,-75.0663362361447,40.0030141842546,"c(-75.0663362361447, 40.0030141842546)"
2686 BRIDGE ST,0.03,0.04,0.06,0.1,0.15,0.12,0.17,0.24,0.32,0.42,0.23,0.25,0.28,0.31,0.35,Bridesburg,-75.0663039287172,40.0033729412816,"c(-75.0663039287172, 40.0033729412816)"
4346 E THOMPSON ST,0.03,0.05,0.08,0.12,0.18,0.12,0.18,0.25,0.33,0.43,0.22,0.25,0.28,0.31,0.35,Bridesburg,-75.0763421956322,39.9989700208276,"c(-75.0763421956322, 39.9989700208276)"
2822 KIRKBRIDE ST,0.03,0.04,0.06,0.1,0.15,0.11,0.16,0.23,0.31,0.4,0.2,0.22,0.25,0.28,0.31,Bridesburg,-75.0656937359466,40.0003765588862,"c(-75.0656937359466, 40.0003765588862)"
4424 RICHMOND ST,0.04,0.06,0.1,0.14,0.21,0.19,0.26,0.35,0.45,0.56,0.34,0.37,0.41,0.44,0.48,Bridesburg,-75.072995791232,39.9978044410261,"c(-75.072995791232, 39.9978044410261)"
4490 RICHMOND ST,0.03,0.04,0.07,0.1,0.15,0.14,0.2,0.27,0.36,0.46,0.3,0.33,0.37,0.41,0.44,Bridesburg,-75.0714441891248,39.998731041714,"c(-75.0714441891248, 39.998731041714)"
2838 PRATT ST,0.02,0.04,0.05,0.08,0.13,0.14,0.2,0.28,0.37,0.47,0.2,0.22,0.25,0.28,0.31,Bridesburg,-75.0640071229891,40.0012610696304,"c(-75.0640071229891, 40.0012610696304)"
4231 E THOMPSON ST,0.03,0.04,0.06,0.1,0.15,0.11,0.16,0.23,0.31,0.41,0.23,0.25,0.28,0.32,0.35,Bridesburg,-75.0788073387227,39.9971502203508,"c(-75.0788073387227, 39.9971502203508)"
2874 GILLINGHAM ST,0.04,0.06,0.09,0.14,0.2,0.12,0.17,0.23,0.32,0.42,0.22,0.25,0.28,0.31,0.35,Bridesburg,-75.0731685917551,39.995503006181,"c(-75.0731685917551, 39.995503006181)"
4626 RICHMOND ST,0.03,0.04,0.07,0.1,0.15,0.14,0.2,0.27,0.36,0.46,0.2,0.22,0.25,0.28,0.31,Bridesburg,-75.0683285929315,40.0001806817605,"c(-75.0683285929315, 40.0001806817605)"
4358 RICHMOND ST,0.02,0.04,0.06,0.09,0.14,0.14,0.19,0.27,0.35,0.46,0.2,0.22,0.25,0.28,0.31,Bridesburg,-75.0749396611219,39.996896519023,"c(-75.0749396611219, 39.996896519023)"
2733 ORTHODOX ST,0.04,0.06,0.09,0.14,0.2,0.19,0.26,0.35,0.45,0.56,0.23,0.25,0.28,0.31,0.35,Bridesburg,-75.0738982512651,39.9980976544599,"c(-75.0738982512651, 39.9980976544599)"
4266 EDGEMONT ST,0.02,0.03,0.05,0.07,0.11,0.15,0.21,0.29,0.39,0.49,0.3,0.33,0.37,0.41,0.44,Bridesburg,-75.0776931418953,39.9973627564807,"c(-75.0776931418953, 39.9973627564807)"
2821 SELLERS ST,0.03,0.04,0.06,0.09,0.14,0.15,0.21,0.29,0.38,0.48,0.3,0.33,0.37,0.4,0.44,Bridesburg,-75.0741880301006,39.9962693738868,"c(-75.0741880301006, 39.9962693738868)"
4731 SALMON ST,0.03,0.04,0.06,0.09,0.14,0.15,0.21,0.29,0.38,0.49,0.2,0.22,0.25,0.28,0.31,Bridesburg,-75.0668706804351,40.0012873321756,"c(-75.0668706804351, 40.0012873321756)"
2712 EDDINGTON ST,0.02,0.03,0.05,0.07,0.11,0.15,0.21,0.28,0.38,0.48,0.3,0.33,0.37,0.41,0.44,Bridesburg,-75.0781957553134,39.9964580416479,"c(-75.0781957553134, 39.9964580416479)"
