address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
7309 SHELBOURNE ST,0.03,0.05,0.08,0.12,0.18,0.17,0.23,0.32,0.41,0.52,0.5,0.53,0.57,0.61,0.65,Burholme,-75.0872783787188,40.0640466577983,"c(-75.0872783787188, 40.0640466577983)"
7359 SHELBOURNE ST,0.02,0.03,0.05,0.08,0.11,0.2,0.28,0.37,0.47,0.58,0.46,0.49,0.53,0.57,0.61,Burholme,-75.0857943621837,40.0655839447763,"c(-75.0857943621837, 40.0655839447763)"
426 TYSON AVE,0.04,0.07,0.1,0.15,0.22,0.12,0.18,0.25,0.33,0.43,0.34,0.37,0.41,0.44,0.48,Burholme,-75.0891966031466,40.057114214492,"c(-75.0891966031466, 40.057114214492)"
7340 RYERS AVE,0.02,0.03,0.04,0.06,0.09,0.17,0.24,0.32,0.42,0.52,0.3,0.33,0.37,0.41,0.44,Burholme,-75.088091762389,40.0665948172702,"c(-75.088091762389, 40.0665948172702)"
7018 OAKLEY ST,0.03,0.05,0.07,0.11,0.16,0.16,0.22,0.3,0.39,0.5,0.2,0.22,0.25,0.28,0.31,Burholme,-75.0894690857016,40.0585735331702,"c(-75.0894690857016, 40.0585735331702)"
7484 OXFORD AVE,0.03,0.05,0.07,0.11,0.17,0.13,0.19,0.26,0.35,0.45,0.34,0.37,0.41,0.44,0.48,Burholme,-75.0841839985062,40.0662181565455,"c(-75.0841839985062, 40.0662181565455)"
7345 HASBROOK AVE,0.03,0.04,0.07,0.1,0.15,0.19,0.26,0.35,0.44,0.55,0.5,0.53,0.57,0.61,0.65,Burholme,-75.0857083699934,40.0669830410381,"c(-75.0857083699934, 40.0669830410381)"
539 DISSTON ST,0.03,0.04,0.07,0.1,0.15,0.16,0.22,0.3,0.39,0.5,0.3,0.33,0.37,0.4,0.44,Burholme,-75.0878277085931,40.0558097155921,"c(-75.0878277085931, 40.0558097155921)"
316 PRINCETON AVE,0.03,0.05,0.07,0.11,0.16,0.15,0.21,0.29,0.39,0.49,0.3,0.33,0.37,0.41,0.44,Burholme,-75.0889097566453,40.0589690000064,"c(-75.0889097566453, 40.0589690000064)"
7431 ROCKWELL AVE,0.03,0.05,0.08,0.12,0.17,0.11,0.16,0.23,0.31,0.4,0.23,0.25,0.28,0.32,0.35,Burholme,-75.0844186843488,40.0655598093621,"c(-75.0844186843488, 40.0655598093621)"
