"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","9209 RISING SUN AVE",0.02,0.02,0.04,0.06,0.09,0.22,0.31,0.4,0.5,0.61,0.22,0.31,0.4,0.5,0.61,"Bustleton","-75.0494718463243","40.0866066626287",c(-75.0494718463243, 40.0866066626287)
"2","8902 ALTON ST",0.01,0.02,0.03,0.05,0.07,0.27,0.36,0.46,0.57,0.67,0.27,0.36,0.46,0.57,0.67,"Bustleton","-75.0508812217202","40.0834585509444",c(-75.0508812217202, 40.0834585509444)
"3","701 PECAN DR",0.02,0.03,0.05,0.08,0.11,0.18,0.25,0.33,0.43,0.54,0.18,0.25,0.33,0.43,0.54,"Bustleton","-75.0521936374902","40.0999739691835",c(-75.0521936374902, 40.0999739691835)
"4","9744 GLENHOPE RD",0.02,0.03,0.05,0.08,0.12,0.21,0.29,0.39,0.49,0.59,0.21,0.29,0.39,0.49,0.59,"Bustleton","-75.041497878691","40.0968198299566",c(-75.041497878691, 40.0968198299566)
"5","9641 BIRWOOD ST",0.02,0.02,0.04,0.06,0.09,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Bustleton","-75.0316058447464","40.0868631174942",c(-75.0316058447464, 40.0868631174942)
"6","9500 ALTON ST",0.02,0.04,0.06,0.09,0.14,0.27,0.37,0.47,0.57,0.67,0.27,0.37,0.47,0.57,0.67,"Bustleton","-75.0445502504328","40.0899441298997",c(-75.0445502504328, 40.0899441298997)
"7","9230 VERREE RD",0.02,0.03,0.04,0.06,0.09,0.17,0.24,0.32,0.42,0.53,0.17,0.24,0.32,0.42,0.53,"Bustleton","-75.048085461059","40.098006862629",c(-75.048085461059, 40.098006862629)
"8","1832-34 GRANT AVE",0.01,0.02,0.03,0.05,0.08,0.3,0.39,0.49,0.6,0.69,0.3,0.39,0.49,0.6,0.69,"Bustleton","-75.0364628639513","40.0845658527253",c(-75.0364628639513, 40.0845658527253)
"9","9544 RISING SUN AVE",0.02,0.04,0.06,0.09,0.13,0.28,0.37,0.47,0.58,0.68,0.28,0.37,0.47,0.58,0.68,"Bustleton","-75.0423420549658","40.091747530309",c(-75.0423420549658, 40.091747530309)
"10","436 MARK PL",0.02,0.03,0.04,0.07,0.1,0.15,0.22,0.3,0.39,0.5,0.15,0.22,0.3,0.39,0.5,"Bustleton","-75.0529124842647","40.107294694892",c(-75.0529124842647, 40.107294694892)
"11","722 DUNMORE RD",0.01,0.02,0.03,0.04,0.07,0.23,0.31,0.41,0.51,0.61,0.23,0.31,0.41,0.51,0.61,"Bustleton","-75.0550210461863","40.0926962862819",c(-75.0550210461863, 40.0926962862819)
"12","1051 BLOOMFIELD AVE",0.02,0.03,0.04,0.06,0.1,0.29,0.38,0.49,0.59,0.69,0.29,0.38,0.49,0.59,0.69,"Bustleton","-75.0529941959422","40.0848222918434",c(-75.0529941959422, 40.0848222918434)
"13","9746 CLARK ST",0.02,0.04,0.05,0.08,0.13,0.2,0.27,0.36,0.46,0.57,0.2,0.27,0.36,0.46,0.57,"Bustleton","-75.0267004386785","40.0887911859242",c(-75.0267004386785, 40.0887911859242)
"14","1855 BEYER AVE",0.01,0.02,0.04,0.06,0.09,0.15,0.21,0.29,0.39,0.49,0.15,0.21,0.29,0.39,0.49,"Bustleton","-75.0328720636272","40.080328304064",c(-75.0328720636272, 40.080328304064)
"15","1102 HEDGEROW LN",0.02,0.03,0.04,0.06,0.1,0.3,0.4,0.5,0.6,0.7,0.3,0.4,0.5,0.6,0.7,"Bustleton","-75.053518511496","40.0841483435902",c(-75.053518511496, 40.0841483435902)
"16","9725 BIRWOOD ST",0.02,0.03,0.05,0.08,0.12,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Bustleton","-75.0296794874943","40.0887370125849",c(-75.0296794874943, 40.0887370125849)
"17","9947 MEDWAY RD",0.01,0.02,0.03,0.04,0.06,0.15,0.21,0.29,0.38,0.49,0.15,0.21,0.29,0.38,0.49,"Bustleton","-75.039935100753","40.1061975209736",c(-75.039935100753, 40.1061975209736)
"18","105 BETH DR",0.02,0.04,0.06,0.09,0.14,0.23,0.31,0.41,0.51,0.61,0.23,0.31,0.41,0.51,0.61,"Bustleton","-75.059535896159","40.1036467313154",c(-75.059535896159, 40.1036467313154)
"19","8923 TURTON DR",0.02,0.03,0.05,0.08,0.12,0.23,0.31,0.41,0.51,0.61,0.23,0.31,0.41,0.51,0.61,"Bustleton","-75.0513942325852","40.0845572052117",c(-75.0513942325852, 40.0845572052117)
"20","9847 CLARK ST",0.02,0.03,0.04,0.07,0.1,0.2,0.27,0.36,0.46,0.57,0.2,0.27,0.36,0.46,0.57,"Bustleton","-75.0263808725104","40.0928096750092",c(-75.0263808725104, 40.0928096750092)
"21","9358 NEIL RD",0.03,0.05,0.08,0.12,0.18,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Bustleton","-75.0427336481367","40.0859653640083",c(-75.0427336481367, 40.0859653640083)
"22","1518 STONEY LN",0.03,0.05,0.07,0.11,0.16,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Bustleton","-75.044578239931","40.0838806439535",c(-75.044578239931, 40.0838806439535)
"23","1024 NORVELT DR",0.02,0.03,0.04,0.06,0.1,0.29,0.39,0.49,0.59,0.69,0.29,0.39,0.49,0.59,0.69,"Bustleton","-75.0566984827917","40.086616923906",c(-75.0566984827917, 40.086616923906)
"24","826 MEDWAY RD",0.01,0.02,0.03,0.05,0.08,0.16,0.22,0.3,0.4,0.5,0.16,0.22,0.3,0.4,0.5,"Bustleton","-75.041523385849","40.1041747337977",c(-75.041523385849, 40.1041747337977)
"25","166 LAURIE LN",0.02,0.03,0.04,0.06,0.1,0.27,0.36,0.46,0.57,0.67,0.27,0.36,0.46,0.57,0.67,"Bustleton","-75.0563288856289","40.1017557731669",c(-75.0563288856289, 40.1017557731669)
"26","1158 MEDWAY RD",0.03,0.04,0.06,0.09,0.14,0.17,0.23,0.32,0.41,0.52,0.17,0.23,0.32,0.41,0.52,"Bustleton","-75.035899136703","40.10045497199",c(-75.035899136703, 40.10045497199)
"27","1126 MEDWAY RD",0.02,0.03,0.05,0.08,0.12,0.17,0.23,0.32,0.41,0.52,0.17,0.23,0.32,0.41,0.52,"Bustleton","-75.0378038896981","40.1012550847007",c(-75.0378038896981, 40.1012550847007)
"28","123 GREYCOURT RD",0.02,0.03,0.04,0.06,0.09,0.28,0.37,0.48,0.58,0.68,0.28,0.37,0.48,0.58,0.68,"Bustleton","-75.0619844382784","40.0961831093335",c(-75.0619844382784, 40.0961831093335)
"29","2122 FULMER ST",0.02,0.03,0.04,0.07,0.1,0.15,0.21,0.29,0.39,0.49,0.15,0.21,0.29,0.39,0.49,"Bustleton","-75.0285887852851","40.0845435094418",c(-75.0285887852851, 40.0845435094418)
"30","8 W KINGS OAK LN",0.01,0.02,0.03,0.05,0.08,0.21,0.29,0.38,0.48,0.59,0.21,0.29,0.38,0.48,0.59,"Bustleton","-75.0630491527399","40.0937072027033",c(-75.0630491527399, 40.0937072027033)
"31","1150 BLOOMDALE RD",0.02,0.04,0.06,0.09,0.13,0.21,0.29,0.39,0.49,0.59,0.21,0.29,0.39,0.49,0.59,"Bustleton","-75.0380535416294","40.0971648878889",c(-75.0380535416294, 40.0971648878889)
"32","2411 TREMONT ST",0.03,0.05,0.08,0.12,0.18,0.21,0.29,0.38,0.48,0.58,0.21,0.29,0.38,0.48,0.58,"Bustleton","-75.0369066980224","40.073666615809",c(-75.0369066980224, 40.073666615809)
"33","9735 CLARK ST",0.02,0.04,0.05,0.08,0.13,0.2,0.27,0.36,0.46,0.57,0.2,0.27,0.36,0.46,0.57,"Bustleton","-75.0264208893146","40.0882268518354",c(-75.0264208893146, 40.0882268518354)
"34","9958 HALDEMAN AVE",0.03,0.04,0.06,0.09,0.14,0.21,0.29,0.38,0.48,0.59,0.21,0.29,0.38,0.48,0.59,"Bustleton","-75.0229951496355","40.0974693522704",c(-75.0229951496355, 40.0974693522704)
"35","2106 BOWLER ST",0.02,0.04,0.06,0.08,0.13,0.19,0.27,0.36,0.46,0.56,0.19,0.27,0.36,0.46,0.56,"Bustleton","-75.0267953352704","40.0873870156348",c(-75.0267953352704, 40.0873870156348)
