"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","15136 WILDFLOWER WAY",0.03,0.04,0.06,0.09,0.14,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Byberry","-74.9852550871904","40.1207445440882",c(-74.9852550871904, 40.1207445440882)
"2","13082 TOWNSEND RD",0.03,0.04,0.06,0.09,0.14,0.12,0.17,0.23,0.32,0.41,0.12,0.17,0.23,0.32,0.41,"Byberry","-74.9775305511484","40.1085863794751",c(-74.9775305511484, 40.1085863794751)
"3","15125 WILDFLOWER WAY",0.03,0.04,0.06,0.09,0.14,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Byberry","-74.9854252977397","40.1201249384675",c(-74.9854252977397, 40.1201249384675)
"4","15095 WILDFLOWER WAY",0.02,0.03,0.04,0.06,0.09,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Byberry","-74.9868619252809","40.1191195603509",c(-74.9868619252809, 40.1191195603509)
"5","15155 WILDFLOWER WAY",0.03,0.04,0.06,0.09,0.14,0.18,0.25,0.33,0.43,0.53,0.18,0.25,0.33,0.43,0.53,"Byberry","-74.9841140478613","40.1210370364852",c(-74.9841140478613, 40.1210370364852)
"6","15133 SUNFLOWER DR",0.02,0.03,0.04,0.06,0.1,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Byberry","-74.9855377044828","40.1208715187961",c(-74.9855377044828, 40.1208715187961)
"7","15063 SUNFLOWER DR",0.02,0.03,0.05,0.07,0.11,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Byberry","-74.9882147023038","40.1187942852696",c(-74.9882147023038, 40.1187942852696)
"8","2671 MARIGOLD LN",0.02,0.03,0.05,0.07,0.11,0.2,0.28,0.37,0.48,0.58,0.2,0.28,0.37,0.48,0.58,"Byberry","-74.9909367004945","40.1178978386573",c(-74.9909367004945, 40.1178978386573)
"9","15098 WILDFLOWER WAY",0.02,0.03,0.04,0.06,0.1,0.2,0.28,0.37,0.48,0.58,0.2,0.28,0.37,0.48,0.58,"Byberry","-74.9870629137302","40.1195089249386",c(-74.9870629137302, 40.1195089249386)
"10","15039 DAHLIA DR",0.03,0.04,0.07,0.1,0.16,0.17,0.23,0.32,0.41,0.52,0.17,0.23,0.32,0.41,0.52,"Byberry","-74.9899230183754","40.1188925476505",c(-74.9899230183754, 40.1188925476505)
