"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","1222 CARLTON ST",0.03,0.05,0.08,0.11,0.17,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Callowhill","-75.1592176546792","39.9586828293293",c(-75.1592176546792, 39.9586828293293)
"2","430 N 9TH ST",0.04,0.06,0.09,0.14,0.2,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"Callowhill","-75.1535294009995","39.9596659232597",c(-75.1535294009995, 39.9596659232597)
"3","1238 CALLOWHILL ST",0.05,0.08,0.13,0.19,0.26,0.26,0.35,0.45,0.55,0.65,0.26,0.35,0.45,0.55,0.65,"Callowhill","-75.1597122078183","39.9590274855648",c(-75.1597122078183, 39.9590274855648)
"4","1210-26 BUTTONWOOD ST",0.03,0.05,0.08,0.12,0.17,0.23,0.31,0.41,0.51,0.61,0.23,0.31,0.41,0.51,0.61,"Callowhill","-75.1586143932477","39.960822662992",c(-75.1586143932477, 39.960822662992)
"5","316 N 9TH ST",0.02,0.03,0.05,0.08,0.12,0.22,0.3,0.4,0.5,0.6,0.22,0.3,0.4,0.5,0.6,"Callowhill","-75.1539427038283","39.9578657992617",c(-75.1539427038283, 39.9578657992617)
"6","511-19 N BROAD ST",0.03,0.05,0.08,0.12,0.18,0.21,0.29,0.39,0.49,0.59,0.21,0.29,0.39,0.49,0.59,"Callowhill","-75.161190438503","39.9619295768063",c(-75.161190438503, 39.9619295768063)
"7","428-40 N 13TH ST",0.03,0.05,0.08,0.12,0.18,0.23,0.31,0.41,0.51,0.61,0.23,0.31,0.41,0.51,0.61,"Callowhill","-75.1598707069043","39.9605085080949",c(-75.1598707069043, 39.9605085080949)
"8","1001-03 BUTTONWOOD ST",0,0.01,0.01,0.01,0.02,0.2,0.27,0.36,0.46,0.57,0.2,0.27,0.36,0.46,0.57,"Callowhill","-75.1548525662956","39.9609064376325",c(-75.1548525662956, 39.9609064376325)
"9","314-22 N 12TH ST",0.03,0.05,0.08,0.12,0.17,0.17,0.24,0.33,0.42,0.53,0.17,0.24,0.33,0.42,0.53,"Callowhill","-75.1588069837466","39.9582535227105",c(-75.1588069837466, 39.9582535227105)
"10","1211 NOBLE ST",0.03,0.05,0.08,0.12,0.18,0.22,0.3,0.39,0.49,0.6,0.22,0.3,0.39,0.49,0.6,"Callowhill","-75.1585978294192","39.9602085291378",c(-75.1585978294192, 39.9602085291378)
"11","1240 SPRING GARDEN ST",0.02,0.04,0.06,0.09,0.13,0.34,0.44,0.55,0.65,0.74,0.34,0.44,0.55,0.65,0.74,"Callowhill","-75.1592307474374","39.9617293110634",c(-75.1592307474374, 39.9617293110634)
"12","1224 CARLTON ST",0.03,0.05,0.08,0.11,0.17,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Callowhill","-75.1592681351093","39.9586890798638",c(-75.1592681351093, 39.9586890798638)
"13","442 N 9TH ST",0.04,0.06,0.09,0.14,0.2,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"Callowhill","-75.1534637502306","39.9599347909701",c(-75.1534637502306, 39.9599347909701)
"14","1321 BUTTONWOOD ST",0.02,0.04,0.05,0.08,0.13,0.28,0.37,0.47,0.58,0.68,0.28,0.37,0.47,0.58,0.68,"Callowhill","-75.1602835604416","39.9614301457308",c(-75.1602835604416, 39.9614301457308)
"15","440 N 9TH ST",0.04,0.06,0.09,0.14,0.2,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"Callowhill","-75.153498855492","39.9598914049",c(-75.153498855492, 39.9598914049)
"16","1241 BUTTONWOOD ST",0.03,0.05,0.07,0.11,0.17,0.23,0.32,0.41,0.52,0.62,0.23,0.32,0.41,0.52,0.62,"Callowhill","-75.1591122905054","39.9613435441655",c(-75.1591122905054, 39.9613435441655)
"17","1234 HAMILTON ST",0.03,0.05,0.08,0.12,0.18,0.23,0.31,0.41,0.51,0.62,0.23,0.31,0.41,0.51,0.62,"Callowhill","-75.1591173515409","39.9603670933291",c(-75.1591173515409, 39.9603670933291)
"18","1301-03 VINE ST",0,0,0.01,0.01,0.02,0.29,0.38,0.48,0.59,0.68,0.29,0.38,0.48,0.59,0.68,"Callowhill","-75.1603171464024","39.9579662233827",c(-75.1603171464024, 39.9579662233827)
"19","429 N 13TH ST",0.03,0.05,0.08,0.12,0.18,0.23,0.31,0.41,0.51,0.61,0.23,0.31,0.41,0.51,0.61,"Callowhill","-75.159416438745","39.9603976250194",c(-75.159416438745, 39.9603976250194)
"20","1018 1/2 HAMILTON ST",0.04,0.06,0.09,0.13,0.2,0.2,0.27,0.36,0.46,0.57,0.2,0.27,0.36,0.46,0.57,"Callowhill","-75.1556562090491","39.960091616013",c(-75.1556562090491, 39.960091616013)
"21","504R-06 S 11TH ST",0.03,0.05,0.08,0.11,0.17,0.28,0.37,0.47,0.58,0.68,0.28,0.37,0.47,0.58,0.68,"Callowhill","-75.1565056380597","39.9610014569465",c(-75.1565056380597, 39.9610014569465)
"22","1001 VINE ST",0.01,0.02,0.03,0.04,0.06,0.3,0.39,0.49,0.6,0.69,0.3,0.39,0.49,0.6,0.69,"Callowhill","-75.1556674415826","39.9575039545061",c(-75.1556674415826, 39.9575039545061)
"23","302-12 N 13TH ST",0.01,0.02,0.03,0.04,0.06,0.26,0.35,0.45,0.56,0.66,0.26,0.35,0.45,0.56,0.66,"Callowhill","-75.1603671722021","39.9581823028787",c(-75.1603671722021, 39.9581823028787)
"24","1016-18 HAMILTON ST",0.03,0.05,0.08,0.12,0.18,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Callowhill","-75.1554930753208","39.9600473594769",c(-75.1554930753208, 39.9600473594769)
"25","1328 NECTARINE ST",0.04,0.06,0.09,0.14,0.2,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"Callowhill","-75.1604293773875","39.9615670065389",c(-75.1604293773875, 39.9615670065389)
