address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
1231 N 60TH ST,0.05,0.08,0.11,0.17,0.24,0.1,0.15,0.21,0.29,0.38,0.23,0.25,0.28,0.32,0.35,Carroll Park,-75.2390089949521,39.9707668226836,"c(-75.2390089949521, 39.9707668226836)"
6034 LANSDOWNE AVE,0.05,0.07,0.11,0.16,0.24,0.15,0.22,0.29,0.39,0.49,0.22,0.25,0.28,0.31,0.35,Carroll Park,-75.2415597016967,39.9756296827373,"c(-75.2415597016967, 39.9756296827373)"
1238 N ALDEN ST,0.04,0.06,0.09,0.14,0.2,0.11,0.15,0.22,0.3,0.39,0.3,0.33,0.37,0.4,0.44,Carroll Park,-75.2353198513051,39.9712981436322,"c(-75.2353198513051, 39.9712981436322)"
1541 N ALLISON ST,0.04,0.06,0.09,0.14,0.21,0.1,0.15,0.21,0.29,0.38,0.3,0.33,0.37,0.4,0.44,Carroll Park,-75.2323908682344,39.9761303085284,"c(-75.2323908682344, 39.9761303085284)"
5418 SHARSWOOD ST,0.04,0.06,0.09,0.13,0.19,0.1,0.15,0.21,0.28,0.37,0.2,0.22,0.25,0.28,0.31,Carroll Park,-75.2300356303918,39.9746501966165,"c(-75.2300356303918, 39.9746501966165)"
5417 W GIRARD AVE,0.04,0.06,0.09,0.14,0.21,0.1,0.14,0.2,0.28,0.37,0.2,0.22,0.25,0.28,0.31,Carroll Park,-75.2293818287202,39.9712637311391,"c(-75.2293818287202, 39.9712637311391)"
5530 MEDIA ST,0.06,0.09,0.14,0.21,0.29,0.08,0.12,0.17,0.23,0.32,0.22,0.25,0.28,0.31,0.35,Carroll Park,-75.232762571093,39.9750052320129,"c(-75.232762571093, 39.9750052320129)"
1553 N ALDEN ST,0.06,0.09,0.14,0.2,0.29,0.08,0.12,0.17,0.24,0.32,0.22,0.25,0.28,0.31,0.35,Carroll Park,-75.2358073623082,39.9760113881712,"c(-75.2358073623082, 39.9760113881712)"
4994 W THOMPSON ST,0.05,0.08,0.12,0.18,0.25,0.1,0.15,0.21,0.29,0.38,0.34,0.37,0.41,0.44,0.48,Carroll Park,-75.2225721843236,39.9731757599062,"c(-75.2225721843236, 39.9731757599062)"
5236 MASTER ST,0.03,0.05,0.08,0.12,0.17,0.13,0.19,0.26,0.35,0.45,0.3,0.33,0.37,0.4,0.44,Carroll Park,-75.2275928918551,39.9738944539148,"c(-75.2275928918551, 39.9738944539148)"
6205 HAVERFORD AVE,0.05,0.07,0.11,0.16,0.23,0.09,0.13,0.19,0.26,0.35,0.34,0.37,0.41,0.44,0.48,Carroll Park,-75.2431166676444,39.9719018613171,"c(-75.2431166676444, 39.9719018613171)"
1529 N 55TH ST,0.04,0.06,0.09,0.14,0.21,0.1,0.14,0.2,0.28,0.37,0.2,0.22,0.25,0.28,0.31,Carroll Park,-75.2313479054367,39.9760276420669,"c(-75.2313479054367, 39.9760276420669)"
5529 W GIRARD AVE,0.06,0.09,0.13,0.19,0.28,0.08,0.11,0.16,0.22,0.3,0.34,0.37,0.41,0.44,0.48,Carroll Park,-75.2320954590754,39.9709591732605,"c(-75.2320954590754, 39.9709591732605)"
4905 W GIRARD AVE,0.05,0.07,0.11,0.16,0.23,0.1,0.14,0.2,0.28,0.37,0.22,0.25,0.28,0.31,0.35,Carroll Park,-75.2195406144164,39.9730005008099,"c(-75.2195406144164, 39.9730005008099)"
1437 N 54TH ST,0.03,0.05,0.08,0.12,0.17,0.13,0.18,0.25,0.34,0.44,0.2,0.22,0.25,0.28,0.31,Carroll Park,-75.2291991007109,39.9748555194182,"c(-75.2291991007109, 39.9748555194182)"
5409 W THOMPSON ST,0.03,0.05,0.08,0.12,0.18,0.1,0.15,0.21,0.28,0.38,0.2,0.22,0.25,0.28,0.31,Carroll Park,-75.2295193043088,39.9728594594587,"c(-75.2295193043088, 39.9728594594587)"
1517 N 61ST ST,0.03,0.05,0.07,0.11,0.17,0.11,0.16,0.23,0.31,0.4,0.2,0.22,0.25,0.28,0.31,Carroll Park,-75.2413264268963,39.9746358247046,"c(-75.2413264268963, 39.9746358247046)"
4958 W THOMPSON ST,0.05,0.08,0.12,0.17,0.25,0.1,0.15,0.21,0.29,0.38,0.22,0.25,0.28,0.31,0.35,Carroll Park,-75.2214157828554,39.9732832696482,"c(-75.2214157828554, 39.9732832696482)"
1537 N 56TH ST,0.06,0.1,0.14,0.21,0.3,0.08,0.12,0.17,0.24,0.32,0.22,0.25,0.28,0.31,0.35,Carroll Park,-75.2332572678442,39.9759834874531,"c(-75.2332572678442, 39.9759834874531)"
5416 W THOMPSON ST,0.05,0.08,0.13,0.19,0.27,0.07,0.11,0.16,0.22,0.3,0.34,0.37,0.41,0.44,0.48,Carroll Park,-75.2300733336699,39.9722912604168,"c(-75.2300733336699, 39.9722912604168)"
5440 MEDIA ST,0.06,0.09,0.13,0.19,0.27,0.08,0.11,0.16,0.23,0.31,0.34,0.37,0.41,0.44,0.48,Carroll Park,-75.2309547965551,39.9751603968149,"c(-75.2309547965551, 39.9751603968149)"
