"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","4723 CEDAR AVE",0.1,0.15,0.22,0.3,0.41,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Cedar Park","-75.218064749457","39.9496401563895",c(-75.218064749457, 39.9496401563895)
"2","4921 CATHARINE ST",0.03,0.05,0.08,0.12,0.17,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Cedar Park","-75.2219706412766","39.9485610464781",c(-75.2219706412766, 39.9485610464781)
"3","5032 HAZEL AVE",0.05,0.07,0.11,0.16,0.23,0.12,0.17,0.24,0.33,0.43,0.12,0.17,0.24,0.33,0.43,"Cedar Park","-75.2240864778405","39.9506810085065",c(-75.2240864778405, 39.9506810085065)
"4","4633 KINGSESSING AVE",0.03,0.04,0.07,0.1,0.16,0.16,0.23,0.31,0.4,0.51,0.16,0.23,0.31,0.4,0.51,"Cedar Park","-75.2126372094539","39.945279216589",c(-75.2126372094539, 39.945279216589)
"5","4832 CEDAR AVE",0.04,0.06,0.09,0.14,0.2,0.11,0.16,0.22,0.3,0.4,0.11,0.16,0.22,0.3,0.4,"Cedar Park","-75.2203489141692","39.9494120142679",c(-75.2203489141692, 39.9494120142679)
"6","622 S 51ST ST",0.04,0.06,0.09,0.14,0.2,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Cedar Park","-75.2252540556498","39.9496625171375",c(-75.2252540556498, 39.9496625171375)
"7","532 S 51ST ST",0.03,0.04,0.06,0.1,0.15,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Cedar Park","-75.2250903174483","39.9504991084961",c(-75.2250903174483, 39.9504991084961)
"8","5105 BALTIMORE AVE",0.04,0.07,0.1,0.16,0.23,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Cedar Park","-75.2256573118444","39.9480076079118",c(-75.2256573118444, 39.9480076079118)
"9","5127 MALCOLM ST",0.03,0.05,0.08,0.12,0.18,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Cedar Park","-75.2261138747841","39.9472729344795",c(-75.2261138747841, 39.9472729344795)
"10","4731 HAZEL AVE",0.05,0.07,0.11,0.17,0.24,0.13,0.18,0.26,0.34,0.44,0.13,0.18,0.26,0.34,0.44,"Cedar Park","-75.2180367453625","39.9504033522671",c(-75.2180367453625, 39.9504033522671)
"11","538 S 51ST ST",0.04,0.06,0.09,0.14,0.2,0.08,0.11,0.16,0.23,0.31,0.08,0.11,0.16,0.23,0.31,"Cedar Park","-75.2251155847785","39.9503768865171",c(-75.2251155847785, 39.9503768865171)
"12","704 S 51ST ST",0.03,0.05,0.07,0.11,0.16,0.17,0.24,0.33,0.42,0.53,0.17,0.24,0.33,0.42,0.53,"Cedar Park","-75.2254619265914","39.9485536620004",c(-75.2254619265914, 39.9485536620004)
"13","4702 SPRINGFIELD AVE",0.03,0.04,0.06,0.1,0.15,0.19,0.26,0.35,0.45,0.55,0.19,0.26,0.35,0.45,0.55,"Cedar Park","-75.2151712479464","39.9466553404937",c(-75.2151712479464, 39.9466553404937)
"14","4735 CEDAR AVE",0.03,0.05,0.08,0.11,0.17,0.16,0.23,0.31,0.4,0.51,0.16,0.23,0.31,0.4,0.51,"Cedar Park","-75.2185939656924","39.9497068376961",c(-75.2185939656924, 39.9497068376961)
"15","919 S SAINT BERNARD ST",0.04,0.07,0.1,0.15,0.22,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Cedar Park","-75.2189854742204","39.9454797564219",c(-75.2189854742204, 39.9454797564219)
"16","1124 S 48TH ST",0.03,0.05,0.07,0.11,0.16,0.21,0.29,0.38,0.48,0.59,0.21,0.29,0.38,0.48,0.59,"Cedar Park","-75.2145374203544","39.9441005036627",c(-75.2145374203544, 39.9441005036627)
"17","5109 CATHARINE ST",0.03,0.04,0.07,0.1,0.16,0.25,0.34,0.44,0.54,0.64,0.25,0.34,0.44,0.54,0.64,"Cedar Park","-75.2256456781243","39.9490110637827",c(-75.2256456781243, 39.9490110637827)
"18","4631 CEDAR AVE",0.03,0.05,0.08,0.12,0.17,0.27,0.36,0.46,0.56,0.66,0.27,0.36,0.46,0.56,0.66,"Cedar Park","-75.2164276066715","39.9494367970911",c(-75.2164276066715, 39.9494367970911)
"19","4833 WALTON AVE",0.04,0.06,0.09,0.14,0.2,0.08,0.12,0.17,0.24,0.33,0.08,0.12,0.17,0.24,0.33,"Cedar Park","-75.2204862822598","39.9491756244583",c(-75.2204862822598, 39.9491756244583)
