address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
7921 GERMANTOWN AVE,0.04,0.07,0.1,0.15,0.22,0.25,0.33,0.43,0.54,0.64,0.23,0.25,0.28,0.32,0.35,Chestnut Hill,-75.1999816790381,40.0701205637207,"c(-75.1999816790381, 40.0701205637207)"
140 W CHESTNUT HILL AVE,0.02,0.03,0.05,0.08,0.12,0.27,0.36,0.46,0.56,0.66,0.33,0.36,0.4,0.44,0.47,Chestnut Hill,-75.2126924239718,40.0753850414458,"c(-75.2126924239718, 40.0753850414458)"
120 E CHESTNUT HILL AVE,0.02,0.03,0.05,0.07,0.11,0.22,0.3,0.4,0.5,0.6,0.46,0.5,0.53,0.57,0.61,Chestnut Hill,-75.2070656185442,40.080584997265,"c(-75.2070656185442, 40.080584997265)"
7726 ARDLEIGH ST,0.04,0.05,0.08,0.13,0.19,0.12,0.17,0.24,0.32,0.42,0.23,0.25,0.28,0.32,0.35,Chestnut Hill,-75.1955563695818,40.0706726747861,"c(-75.1955563695818, 40.0706726747861)"
9190 GERMANTOWN AVE,0.01,0.02,0.03,0.05,0.08,0.19,0.26,0.35,0.45,0.56,0.3,0.33,0.37,0.41,0.44,Chestnut Hill,-75.2196994127503,40.0816247432822,"c(-75.2196994127503, 40.0816247432822)"
8130 ARDLEIGH ST,0.03,0.04,0.06,0.1,0.15,0.31,0.41,0.51,0.61,0.71,0.46,0.5,0.53,0.57,0.61,Chestnut Hill,-75.2009413210002,40.0739341782062,"c(-75.2009413210002, 40.0739341782062)"
3 TOHOPEKA LN,0.02,0.03,0.05,0.08,0.12,0.2,0.28,0.37,0.48,0.58,0.2,0.22,0.25,0.28,0.31,Chestnut Hill,-75.2100323716621,40.0726586147191,"c(-75.2100323716621, 40.0726586147191)"
410 E GRAVERS LN,0.02,0.03,0.05,0.07,0.11,0.26,0.35,0.45,0.56,0.65,0.33,0.36,0.4,0.43,0.47,Chestnut Hill,-75.2005487567073,40.0791166411054,"c(-75.2005487567073, 40.0791166411054)"
8241 CRITTENDEN ST,0,0,0,0.01,0.01,0.22,0.3,0.4,0.5,0.6,0.52,0.56,0.6,0.63,0.67,Chestnut Hill,-75.1996856735663,40.0779128744803,"c(-75.1996856735663, 40.0779128744803)"
7719 GERMANTOWN AVE,0.04,0.06,0.09,0.14,0.2,0.17,0.23,0.32,0.41,0.52,0.23,0.25,0.28,0.32,0.35,Chestnut Hill,-75.1976685832081,40.068319059536,"c(-75.1976685832081, 40.068319059536)"
8224 GERMANTOWN AVE,0.03,0.04,0.06,0.09,0.14,0.11,0.16,0.23,0.31,0.41,0.23,0.25,0.28,0.32,0.35,Chestnut Hill,-75.2034399073806,40.0736521120469,"c(-75.2034399073806, 40.0736521120469)"
8 N STATION LN,0.02,0.04,0.06,0.08,0.13,0.22,0.3,0.39,0.5,0.6,0.5,0.54,0.57,0.61,0.65,Chestnut Hill,-75.2020243222056,40.0764028235355,"c(-75.2020243222056, 40.0764028235355)"
