"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","1027-31 ARCH ST",0.02,0.03,0.05,0.07,0.11,0.26,0.34,0.44,0.55,0.65,0.26,0.34,0.44,0.55,0.65,"Chinatown","-75.1575647973557","39.9540571419043",c(-75.1575647973557, 39.9540571419043)
"2","1010 RACE ST",0.02,0.03,0.04,0.07,0.1,0.19,0.26,0.35,0.45,0.55,0.19,0.26,0.35,0.45,0.55,"Chinatown","-75.1564855816553","39.9551493524287",c(-75.1564855816553, 39.9551493524287)
"3","926-28 RACE ST",0.02,0.03,0.05,0.07,0.11,0.28,0.38,0.48,0.58,0.68,0.28,0.38,0.48,0.58,0.68,"Chinatown","-75.1553141723354","39.9550889134106",c(-75.1553141723354, 39.9550889134106)
"4","1100 VINE ST",0.02,0.03,0.05,0.07,0.11,0.22,0.3,0.39,0.5,0.6,0.22,0.3,0.39,0.5,0.6,"Chinatown","-75.1575848617445","39.9565132669758",c(-75.1575848617445, 39.9565132669758)
"5","912 SPRING ST",0.02,0.03,0.05,0.07,0.11,0.31,0.4,0.51,0.61,0.7,0.31,0.4,0.51,0.61,0.7,"Chinatown","-75.1547569621604","39.9557717516757",c(-75.1547569621604, 39.9557717516757)
"6","1009 ARCH ST",0.02,0.03,0.05,0.07,0.11,0.19,0.27,0.36,0.46,0.56,0.19,0.27,0.36,0.46,0.56,"Chinatown","-75.1566866679203","39.9539391119981",c(-75.1566866679203, 39.9539391119981)
"7","153 N 10TH ST",0,0,0,0.01,0.01,0.25,0.34,0.44,0.54,0.64,0.25,0.34,0.44,0.54,0.64,"Chinatown","-75.1556535086183","39.9550109713317",c(-75.1556535086183, 39.9550109713317)
"8","916 CHERRY ST",0,0,0,0.01,0.01,0.33,0.42,0.53,0.63,0.72,0.33,0.42,0.53,0.63,0.72,"Chinatown","-75.1552691913665","39.9541188088674",c(-75.1552691913665, 39.9541188088674)
"9","1025 ARCH ST",0.01,0.01,0.02,0.02,0.04,0.29,0.38,0.48,0.59,0.68,0.29,0.38,0.48,0.59,0.68,"Chinatown","-75.1573593250424","39.9540229026188",c(-75.1573593250424, 39.9540229026188)
"10","929-33 SPRING ST",0,0,0,0.01,0.01,0.3,0.39,0.49,0.6,0.69,0.3,0.39,0.49,0.6,0.69,"Chinatown","-75.1551980641857","39.9560913160547",c(-75.1551980641857, 39.9560913160547)
"11","1008 WINTER ST",0.02,0.03,0.05,0.08,0.12,0.31,0.4,0.51,0.61,0.7,0.31,0.4,0.51,0.61,0.7,"Chinatown","-75.1560567915665","39.9565366329347",c(-75.1560567915665, 39.9565366329347)
"12","1008 RACE ST",0.02,0.03,0.05,0.08,0.12,0.33,0.43,0.53,0.64,0.73,0.33,0.43,0.53,0.64,0.73,"Chinatown","-75.1563147435498","39.9552578371706",c(-75.1563147435498, 39.9552578371706)
"13","1004 RACE ST",0.02,0.03,0.05,0.08,0.12,0.33,0.42,0.53,0.63,0.72,0.33,0.42,0.53,0.63,0.72,"Chinatown","-75.1561842778184","39.9552396800116",c(-75.1561842778184, 39.9552396800116)
"14","1033-35 RACE ST",0.01,0.01,0.02,0.03,0.04,0.26,0.35,0.45,0.55,0.65,0.26,0.35,0.45,0.55,0.65,"Chinatown","-75.1570564555976","39.9557093814505",c(-75.1570564555976, 39.9557093814505)
"15","104-18 N 10TH ST",0,0,0,0.01,0.01,0.28,0.38,0.48,0.58,0.68,0.28,0.38,0.48,0.58,0.68,"Chinatown","-75.1563250203739","39.9539715286526",c(-75.1563250203739, 39.9539715286526)
