"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","2536 S 74TH ST",0.03,0.05,0.07,0.11,0.17,0.15,0.22,0.29,0.39,0.49,0.15,0.22,0.29,0.39,0.49,"Clearview","-75.2437730867022","39.9116009679605",c(-75.2437730867022, 39.9116009679605)
"2","7835 BUIST AVE",0.03,0.04,0.06,0.1,0.14,0.18,0.24,0.33,0.43,0.53,0.18,0.24,0.33,0.43,0.53,"Clearview","-75.2485452527116","39.9053000676142",c(-75.2485452527116, 39.9053000676142)
"3","7375 WHEELER ST",0.03,0.05,0.07,0.11,0.16,0.15,0.22,0.3,0.39,0.49,0.15,0.22,0.3,0.39,0.49,"Clearview","-75.2450521746162","39.9134944909911",c(-75.2450521746162, 39.9134944909911)
"4","7619 WHEELER ST",0.03,0.04,0.06,0.1,0.14,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Clearview","-75.249120705278","39.9106444078823",c(-75.249120705278, 39.9106444078823)
"5","7909 CAESAR PL",0.04,0.06,0.09,0.14,0.2,0.14,0.2,0.27,0.37,0.47,0.14,0.2,0.27,0.37,0.47,"Clearview","-75.24862948161","39.9037947909484",c(-75.24862948161, 39.9037947909484)
"6","2538 CLAYMONT ST",0.04,0.07,0.1,0.15,0.22,0.12,0.18,0.25,0.33,0.43,0.12,0.18,0.25,0.33,0.43,"Clearview","-75.2453835069722","39.9099421977281",c(-75.2453835069722, 39.9099421977281)
"7","7546 ELMWOOD AVE",0.03,0.04,0.07,0.1,0.15,0.16,0.22,0.3,0.4,0.5,0.16,0.22,0.3,0.4,0.5,"Clearview","-75.2471525108065","39.9100548655062",c(-75.2471525108065, 39.9100548655062)
"8","7907 MARS PL",0.03,0.04,0.06,0.09,0.14,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Clearview","-75.2501116651628","39.904668597894",c(-75.2501116651628, 39.904668597894)
"9","7369 ELMWOOD AVE",0.03,0.05,0.07,0.11,0.16,0.15,0.22,0.29,0.39,0.49,0.15,0.22,0.29,0.39,0.49,"Clearview","-75.2440199987309","39.9129690121636",c(-75.2440199987309, 39.9129690121636)
"10","7605 ELMWOOD AVE",0.03,0.04,0.06,0.1,0.15,0.16,0.22,0.3,0.39,0.5,0.16,0.22,0.3,0.39,0.5,"Clearview","-75.2477743130123","39.9102031855121",c(-75.2477743130123, 39.9102031855121)
"11","2537 S 75TH ST",0.03,0.05,0.07,0.11,0.16,0.16,0.23,0.31,0.4,0.51,0.16,0.23,0.31,0.4,0.51,"Clearview","-75.244724750537","39.9106838635207",c(-75.244724750537, 39.9106838635207)
"12","2504 ASHFORD ST",0.04,0.07,0.1,0.15,0.22,0.12,0.18,0.25,0.33,0.43,0.12,0.18,0.25,0.33,0.43,"Clearview","-75.2448261461791","39.9115736501569",c(-75.2448261461791, 39.9115736501569)
"13","7904 BUIST AVE",0.03,0.04,0.06,0.1,0.15,0.18,0.25,0.34,0.44,0.54,0.18,0.25,0.34,0.44,0.54,"Clearview","-75.2484567177753","39.9045289966186",c(-75.2484567177753, 39.9045289966186)
"14","2523 S 75TH ST",0.04,0.07,0.1,0.15,0.22,0.12,0.18,0.25,0.33,0.43,0.12,0.18,0.25,0.33,0.43,"Clearview","-75.2450566708213","39.9108611777585",c(-75.2450566708213, 39.9108611777585)
"15","2505 S 77TH ST",0.03,0.04,0.06,0.1,0.14,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Clearview","-75.2484881642999","39.9089343517662",c(-75.2484881642999, 39.9089343517662)
"16","7900 BUIST AVE",0.04,0.06,0.09,0.14,0.2,0.15,0.21,0.28,0.38,0.48,0.15,0.21,0.28,0.38,0.48,"Clearview","-75.2483790434202","39.9046143446549",c(-75.2483790434202, 39.9046143446549)
"17","7929 MARS PL",0.03,0.04,0.06,0.09,0.14,0.17,0.23,0.32,0.41,0.52,0.17,0.23,0.32,0.41,0.52,"Clearview","-75.2505534455767","39.9041790925514",c(-75.2505534455767, 39.9041790925514)
"18","2555 BELLFORD ST",0.03,0.05,0.07,0.11,0.17,0.16,0.22,0.3,0.39,0.5,0.16,0.22,0.3,0.39,0.5,"Clearview","-75.2438175278562","39.9107996967712",c(-75.2438175278562, 39.9107996967712)
"19","7533 BUIST AVE",0.04,0.07,0.1,0.15,0.22,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Clearview","-75.2450737520378","39.9092141051025",c(-75.2450737520378, 39.9092141051025)
"20","2528 S 78TH ST",0.03,0.04,0.06,0.1,0.14,0.18,0.25,0.34,0.44,0.54,0.18,0.25,0.34,0.44,0.54,"Clearview","-75.2486138345373","39.9065335246932",c(-75.2486138345373, 39.9065335246932)
"21","7944 MARS PL",0.03,0.04,0.06,0.09,0.14,0.17,0.23,0.32,0.41,0.52,0.17,0.23,0.32,0.41,0.52,"Clearview","-75.2501146255341","39.9039900833452",c(-75.2501146255341, 39.9039900833452)
"22","7541 DICKENS PL",0.03,0.04,0.07,0.1,0.15,0.16,0.22,0.3,0.4,0.5,0.16,0.22,0.3,0.4,0.5,"Clearview","-75.2469595144544","39.9098934360219",c(-75.2469595144544, 39.9098934360219)
"23","7634 WHEELER ST",0.1,0.15,0.22,0.31,0.41,0.26,0.34,0.44,0.55,0.65,0.26,0.34,0.44,0.55,0.65,"Clearview","-75.2493100296307","39.9100527901527",c(-75.2493100296307, 39.9100527901527)
"24","7900 CAESAR PL",0.03,0.04,0.06,0.1,0.15,0.24,0.32,0.42,0.52,0.62,0.24,0.32,0.42,0.52,0.62,"Clearview","-75.2481455256718","39.9040636166935",c(-75.2481455256718, 39.9040636166935)
"25","7369 WHEELER ST",0.03,0.05,0.07,0.11,0.16,0.15,0.22,0.3,0.39,0.49,0.15,0.22,0.3,0.39,0.49,"Clearview","-75.2449273822338","39.9135814591573",c(-75.2449273822338, 39.9135814591573)
"26","7524 WHEELER ST",0.04,0.06,0.09,0.14,0.21,0.15,0.21,0.28,0.38,0.48,0.15,0.21,0.28,0.38,0.48,"Clearview","-75.2476597879727","39.9112306452271",c(-75.2476597879727, 39.9112306452271)
"27","7525 ESTE AVE",0.04,0.07,0.1,0.15,0.22,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Clearview","-75.2458022611529","39.9096425228752",c(-75.2458022611529, 39.9096425228752)
