address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
5302 CHESTNUT ST,0.03,0.05,0.08,0.11,0.17,0.23,0.31,0.41,0.51,0.61,0.2,0.22,0.25,0.28,0.31,Cobbs Creek,-75.2273932543934,39.9585285729616,"c(-75.2273932543934, 39.9585285729616)"
6220 HAZEL AVE,0.03,0.05,0.08,0.12,0.18,0.08,0.12,0.17,0.24,0.32,0.3,0.33,0.37,0.4,0.44,Cobbs Creek,-75.2472376212586,39.9539240002807,"c(-75.2472376212586, 39.9539240002807)"
6247 HAZEL AVE,0.05,0.08,0.12,0.17,0.24,0.07,0.1,0.14,0.2,0.27,0.34,0.37,0.41,0.44,0.48,Cobbs Creek,-75.2478335685804,39.9542776362214,"c(-75.2478335685804, 39.9542776362214)"
17 S 54TH ST,0.05,0.08,0.12,0.17,0.25,0.12,0.17,0.23,0.32,0.41,0.23,0.25,0.28,0.31,0.35,Cobbs Creek,-75.2285437968395,39.9599129562423,"c(-75.2285437968395, 39.9599129562423)"
6101 CHANCELLOR ST,0.06,0.09,0.14,0.2,0.29,0.06,0.09,0.14,0.19,0.27,0.33,0.37,0.41,0.44,0.48,Cobbs Creek,-75.2436002333389,39.9587229985915,"c(-75.2436002333389, 39.9587229985915)"
544 S SALFORD ST,0.05,0.08,0.12,0.18,0.26,0.07,0.11,0.16,0.22,0.3,0.34,0.37,0.41,0.44,0.48,Cobbs Creek,-75.2421639517841,39.9527780350868,"c(-75.2421639517841, 39.9527780350868)"
5338 WALNUT ST,0.05,0.07,0.11,0.17,0.24,0.11,0.16,0.22,0.3,0.39,0.23,0.25,0.28,0.31,0.35,Cobbs Creek,-75.2290661534844,39.9571632238132,"c(-75.2290661534844, 39.9571632238132)"
5760 OSAGE AVE,0.04,0.06,0.1,0.15,0.21,0.11,0.16,0.23,0.31,0.4,0.2,0.22,0.25,0.28,0.31,Cobbs Creek,-75.2380698949221,39.9543108318729,"c(-75.2380698949221, 39.9543108318729)"
234 S 56TH ST,0.04,0.06,0.09,0.13,0.19,0.14,0.19,0.27,0.36,0.46,0.2,0.22,0.25,0.28,0.31,Cobbs Creek,-75.2338958493688,39.957218376888,"c(-75.2338958493688, 39.957218376888)"
5819 ELLSWORTH ST,0.06,0.09,0.13,0.2,0.28,0.09,0.13,0.19,0.26,0.35,0.22,0.25,0.28,0.31,0.35,Cobbs Creek,-75.2405697850208,39.9466344156157,"c(-75.2405697850208, 39.9466344156157)"
1127 S 61ST ST,0.03,0.04,0.06,0.1,0.14,0.11,0.16,0.23,0.31,0.41,0.2,0.22,0.25,0.28,0.31,Cobbs Creek,-75.2459221715077,39.9456760030379,"c(-75.2459221715077, 39.9456760030379)"
6133 LARCHWOOD AVE,0.06,0.09,0.14,0.2,0.28,0.11,0.15,0.22,0.3,0.39,0.5,0.53,0.57,0.61,0.64,Cobbs Creek,-75.2455557293824,39.9546050174133,"c(-75.2455557293824, 39.9546050174133)"
5916 SANSOM ST,0.05,0.07,0.11,0.17,0.24,0.08,0.11,0.16,0.22,0.3,0.22,0.25,0.28,0.31,0.35,Cobbs Creek,-75.2398852971068,39.9593044255291,"c(-75.2398852971068, 39.9593044255291)"
5309 PINE ST,0.03,0.05,0.08,0.12,0.17,0.14,0.19,0.27,0.36,0.46,0.2,0.22,0.25,0.28,0.31,Cobbs Creek,-75.2285232761353,39.9540038464891,"c(-75.2285232761353, 39.9540038464891)"
5635 WALTON AVE,0.06,0.09,0.14,0.2,0.28,0.09,0.13,0.18,0.25,0.34,0.22,0.25,0.28,0.31,0.35,Cobbs Creek,-75.2361791542848,39.9507366681184,"c(-75.2361791542848, 39.9507366681184)"
5427 CEDAR AVE,0.04,0.06,0.1,0.14,0.21,0.11,0.16,0.22,0.3,0.39,0.2,0.22,0.25,0.28,0.31,Cobbs Creek,-75.2316258930758,39.9512819934363,"c(-75.2316258930758, 39.9512819934363)"
39 S REDFIELD ST,0.04,0.06,0.09,0.13,0.19,0.07,0.11,0.16,0.22,0.3,0.3,0.33,0.37,0.4,0.44,Cobbs Creek,-75.239509765056,39.9606205110949,"c(-75.239509765056, 39.9606205110949)"
5517 CHANCELLOR ST,0.06,0.09,0.14,0.2,0.28,0.11,0.16,0.22,0.3,0.39,0.23,0.25,0.28,0.31,0.35,Cobbs Creek,-75.2321238394668,39.9572830803297,"c(-75.2321238394668, 39.9572830803297)"
538 S CONESTOGA ST,0.06,0.09,0.14,0.2,0.28,0.09,0.13,0.18,0.25,0.34,0.23,0.25,0.28,0.31,0.35,Cobbs Creek,-75.2320236605745,39.951794686501,"c(-75.2320236605745, 39.951794686501)"
5413 ADDISON ST,0.04,0.06,0.09,0.13,0.19,0.11,0.16,0.23,0.31,0.4,0.3,0.33,0.37,0.4,0.44,Cobbs Creek,-75.23078868139,39.9532241134161,"c(-75.23078868139, 39.9532241134161)"
5842 NORFOLK ST,0.06,0.09,0.13,0.19,0.27,0.09,0.13,0.19,0.26,0.35,0.22,0.25,0.28,0.31,0.35,Cobbs Creek,-75.2405856561716,39.9494704190679,"c(-75.2405856561716, 39.9494704190679)"
731 S 60TH ST,0.1,0.15,0.22,0.31,0.41,0.12,0.18,0.24,0.33,0.43,0.51,0.55,0.58,0.62,0.66,Cobbs Creek,-75.242927025036,39.9499908931779,"c(-75.242927025036, 39.9499908931779)"
6142 LARCHWOOD AVE,0.06,0.09,0.13,0.19,0.27,0.06,0.09,0.14,0.2,0.27,0.33,0.37,0.41,0.44,0.48,Cobbs Creek,-75.2457413446407,39.9542061619282,"c(-75.2457413446407, 39.9542061619282)"
6206 CEDAR AVE,0.03,0.05,0.08,0.12,0.18,0.11,0.16,0.23,0.31,0.41,0.2,0.22,0.25,0.28,0.31,Cobbs Creek,-75.2470391373299,39.9527177639698,"c(-75.2470391373299, 39.9527177639698)"
6023 CATHARINE ST,0.05,0.08,0.13,0.18,0.26,0.1,0.15,0.21,0.28,0.37,0.23,0.25,0.28,0.32,0.35,Cobbs Creek,-75.2438330131044,39.9512753786131,"c(-75.2438330131044, 39.9512753786131)"
5917 ADDISON ST,0.05,0.08,0.12,0.17,0.25,0.12,0.17,0.24,0.33,0.42,0.36,0.4,0.43,0.47,0.51,Cobbs Creek,-75.2408547344544,39.9544702036251,"c(-75.2408547344544, 39.9544702036251)"
5638 WALNUT ST,0.06,0.09,0.13,0.19,0.28,0.11,0.16,0.22,0.3,0.39,0.34,0.37,0.41,0.44,0.48,Cobbs Creek,-75.2351126824574,39.9579256828869,"c(-75.2351126824574, 39.9579256828869)"
5606 PINE ST,0.06,0.09,0.13,0.19,0.27,0.09,0.13,0.19,0.26,0.35,0.34,0.37,0.41,0.44,0.48,Cobbs Creek,-75.2345932967617,39.9543703816111,"c(-75.2345932967617, 39.9543703816111)"
6110 MARKET ST,0.04,0.06,0.1,0.14,0.21,0.18,0.25,0.33,0.43,0.54,0.2,0.22,0.25,0.28,0.31,Cobbs Creek,-75.2432073183911,39.9620145865534,"c(-75.2432073183911, 39.9620145865534)"
5827 OSAGE AVE,0.06,0.08,0.13,0.19,0.27,0.12,0.17,0.23,0.32,0.41,0.36,0.4,0.43,0.47,0.51,Cobbs Creek,-75.2390675174303,39.9547238634986,"c(-75.2390675174303, 39.9547238634986)"
5754 PINE ST,0.06,0.09,0.14,0.21,0.29,0.09,0.13,0.18,0.25,0.34,0.22,0.25,0.28,0.31,0.35,Cobbs Creek,-75.2379532893776,39.9547951219087,"c(-75.2379532893776, 39.9547951219087)"
