address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
10945 ELLICOTT RD,0.02,0.04,0.06,0.09,0.13,0.24,0.33,0.42,0.53,0.63,0.46,0.49,0.53,0.57,0.61,Crestmont Farms,-74.9783540871535,40.0734618744623,"c(-74.9783540871535, 40.0734618744623)"
10845 ELLICOTT RD,0.02,0.03,0.05,0.07,0.11,0.18,0.25,0.34,0.44,0.54,0.3,0.33,0.37,0.41,0.44,Crestmont Farms,-74.9783241008241,40.0707642263296,"c(-74.9783241008241, 40.0707642263296)"
10919 KNIGHTS RD,0.03,0.04,0.06,0.09,0.14,0.24,0.33,0.43,0.53,0.63,0.46,0.49,0.53,0.57,0.61,Crestmont Farms,-74.9797931504855,40.0736370311152,"c(-74.9797931504855, 40.0736370311152)"
10865 CRESTMONT AVE,0.02,0.03,0.05,0.08,0.12,0.17,0.24,0.32,0.42,0.53,0.2,0.22,0.25,0.28,0.31,Crestmont Farms,-74.9765924702888,40.069777060291,"c(-74.9765924702888, 40.069777060291)"
10870 MEADOW LN,0.02,0.03,0.05,0.08,0.12,0.18,0.25,0.33,0.43,0.53,0.3,0.33,0.37,0.41,0.44,Crestmont Farms,-74.9804584674271,40.0714409531329,"c(-74.9804584674271, 40.0714409531329)"
10825 ELLICOTT RD,0.03,0.04,0.06,0.09,0.14,0.17,0.24,0.32,0.42,0.52,0.3,0.33,0.37,0.41,0.44,Crestmont Farms,-74.9786919055525,40.0701840592774,"c(-74.9786919055525, 40.0701840592774)"
10915 KNIGHTS RD,0.02,0.04,0.06,0.09,0.14,0.25,0.33,0.43,0.53,0.64,0.33,0.36,0.4,0.43,0.47,Crestmont Farms,-74.9799264862599,40.0732477406415,"c(-74.9799264862599, 40.0732477406415)"
4161 ORCHARD LN,0.02,0.04,0.06,0.09,0.13,0.17,0.24,0.33,0.43,0.53,0.2,0.22,0.25,0.28,0.31,Crestmont Farms,-74.9763042654884,40.0715751202527,"c(-74.9763042654884, 40.0715751202527)"
10829 KNIGHTS RD,0.02,0.04,0.05,0.08,0.13,0.25,0.34,0.44,0.54,0.64,0.33,0.36,0.4,0.43,0.47,Crestmont Farms,-74.9808656928375,40.0714924740013,"c(-74.9808656928375, 40.0714924740013)"
10710 CRESTMONT AVE,0.02,0.04,0.06,0.09,0.13,0.26,0.35,0.45,0.56,0.66,0.33,0.36,0.4,0.43,0.47,Crestmont Farms,-74.9800031928744,40.0681428394312,"c(-74.9800031928744, 40.0681428394312)"
10985 ELLICOTT RD,0.03,0.04,0.06,0.1,0.14,0.18,0.25,0.34,0.44,0.54,0.2,0.22,0.25,0.28,0.31,Crestmont Farms,-74.9793448624355,40.0747406998615,"c(-74.9793448624355, 40.0747406998615)"
4001 ORCHARD LN,0.02,0.03,0.05,0.08,0.12,0.18,0.25,0.34,0.44,0.54,0.3,0.33,0.37,0.41,0.44,Crestmont Farms,-74.9799089605353,40.0725335581511,"c(-74.9799089605353, 40.0725335581511)"
10800 CRESTMONT AVE,0.02,0.04,0.06,0.09,0.14,0.22,0.29,0.39,0.49,0.59,0.33,0.36,0.4,0.43,0.47,Crestmont Farms,-74.9788507174024,40.0688281216195,"c(-74.9788507174024, 40.0688281216195)"
10841 MEADOW LN,0.03,0.05,0.08,0.11,0.17,0.13,0.18,0.25,0.34,0.44,0.23,0.25,0.28,0.32,0.35,Crestmont Farms,-74.9798630368747,40.0709890859289,"c(-74.9798630368747, 40.0709890859289)"
4100 ORCHARD LN,0.02,0.03,0.05,0.07,0.11,0.24,0.32,0.42,0.52,0.62,0.33,0.36,0.4,0.43,0.47,Crestmont Farms,-74.9786172138388,40.0714546281446,"c(-74.9786172138388, 40.0714546281446)"
10870 CRESTMONT AVE,0.02,0.03,0.05,0.08,0.12,0.17,0.24,0.33,0.42,0.53,0.3,0.33,0.37,0.41,0.44,Crestmont Farms,-74.9775081974823,40.0705963131275,"c(-74.9775081974823, 40.0705963131275)"
4160 ORCHARD LN,0.03,0.04,0.06,0.09,0.14,0.18,0.25,0.34,0.44,0.54,0.46,0.5,0.53,0.57,0.61,Crestmont Farms,-74.9767264812714,40.0712466238064,"c(-74.9767264812714, 40.0712466238064)"
10871 MEADOW LN,0.02,0.03,0.05,0.08,0.12,0.18,0.25,0.34,0.44,0.54,0.2,0.22,0.25,0.28,0.31,Crestmont Farms,-74.9796731621045,40.0717968428817,"c(-74.9796731621045, 40.0717968428817)"
