"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","307 SHAWMONT AVE",0.03,0.05,0.07,0.11,0.16,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Dearnley Park","-75.2446352399309","40.0483255285053",c(-75.2446352399309, 40.0483255285053)
"2","453 DOMINO LN",0.04,0.05,0.08,0.13,0.18,0.14,0.19,0.27,0.36,0.46,0.14,0.19,0.27,0.36,0.46,"Dearnley Park","-75.2361561607868","40.0437985727634",c(-75.2361561607868, 40.0437985727634)
"3","475 DOMINO LN",0.02,0.04,0.06,0.09,0.14,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Dearnley Park","-75.2347323768917","40.0444321102913",c(-75.2347323768917, 40.0444321102913)
"4","277 SHAWMONT AVE",0.03,0.05,0.07,0.11,0.16,0.17,0.24,0.33,0.43,0.53,0.17,0.24,0.33,0.43,0.53,"Dearnley Park","-75.2446352399309","40.0483255285053",c(-75.2446352399309, 40.0483255285053)
"5","7300 RIDGE AVE",0.03,0.05,0.08,0.12,0.17,0.21,0.29,0.38,0.48,0.58,0.21,0.29,0.38,0.48,0.58,"Dearnley Park","-75.2336749002538","40.04613158828",c(-75.2336749002538, 40.04613158828)
"6","7501 NEWLAND ST",0.03,0.04,0.06,0.1,0.15,0.24,0.32,0.42,0.52,0.63,0.24,0.32,0.42,0.52,0.63,"Dearnley Park","-75.2424385174649","40.0458235418301",c(-75.2424385174649, 40.0458235418301)
"7","433 HARMON RD",0.02,0.04,0.06,0.09,0.14,0.16,0.23,0.31,0.4,0.51,0.16,0.23,0.31,0.4,0.51,"Dearnley Park","-75.2360954857628","40.044216280996",c(-75.2360954857628, 40.044216280996)
"8","7516 NEWLAND ST",0.03,0.04,0.06,0.1,0.15,0.16,0.22,0.3,0.39,0.5,0.16,0.22,0.3,0.39,0.5,"Dearnley Park","-75.2435128062171","40.0463208049287",c(-75.2435128062171, 40.0463208049287)
"9","451 FLAMINGO ST",0.02,0.03,0.05,0.08,0.12,0.21,0.28,0.37,0.48,0.58,0.21,0.28,0.37,0.48,0.58,"Dearnley Park","-75.2398321529587","40.0483370149289",c(-75.2398321529587, 40.0483370149289)
"10","7500 CULP ST",0.04,0.06,0.09,0.13,0.19,0.15,0.22,0.3,0.39,0.49,0.15,0.22,0.3,0.39,0.49,"Dearnley Park","-75.2420898163642","40.0459486238672",c(-75.2420898163642, 40.0459486238672)
"11","7505 NEWLAND ST",0.04,0.06,0.09,0.14,0.2,0.14,0.2,0.27,0.36,0.46,0.14,0.2,0.27,0.36,0.46,"Dearnley Park","-75.2425715752485","40.0459966089988",c(-75.2425715752485, 40.0459966089988)
"12","483 MINERVA ST",0.02,0.04,0.06,0.09,0.13,0.21,0.29,0.38,0.48,0.59,0.21,0.29,0.38,0.48,0.59,"Dearnley Park","-75.2368278948759","40.051411799138",c(-75.2368278948759, 40.051411799138)
"13","7508 NEWLAND ST",0.03,0.04,0.06,0.1,0.15,0.24,0.33,0.42,0.53,0.63,0.24,0.33,0.42,0.53,0.63,"Dearnley Park","-75.2432217524102","40.0459432552279",c(-75.2432217524102, 40.0459432552279)
"14","7501 LAWN ST",0.03,0.04,0.07,0.1,0.15,0.18,0.25,0.34,0.44,0.55,0.18,0.25,0.34,0.44,0.55,"Dearnley Park","-75.2433487510251","40.0455674305711",c(-75.2433487510251, 40.0455674305711)
"15","487 WIGARD AVE",0.03,0.05,0.07,0.11,0.16,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"Dearnley Park","-75.2361736064098","40.0481761451961",c(-75.2361736064098, 40.0481761451961)
"16","7201 FOWLER ST",0.03,0.05,0.08,0.12,0.18,0.19,0.27,0.36,0.46,0.56,0.19,0.27,0.36,0.46,0.56,"Dearnley Park","-75.2363321842207","40.0435868975396",c(-75.2363321842207, 40.0435868975396)
"17","474 ORIOLE ST",0.03,0.05,0.07,0.11,0.16,0.15,0.21,0.29,0.39,0.49,0.15,0.21,0.29,0.39,0.49,"Dearnley Park","-75.2371866399782","40.0492350684117",c(-75.2371866399782, 40.0492350684117)
"18","7518 LAWN ST",0.04,0.06,0.09,0.13,0.19,0.17,0.23,0.32,0.41,0.52,0.17,0.23,0.32,0.41,0.52,"Dearnley Park","-75.2445478512919","40.0463710353729",c(-75.2445478512919, 40.0463710353729)
"19","7354 RIDGE AVE",0.04,0.06,0.08,0.13,0.19,0.17,0.23,0.32,0.41,0.52,0.17,0.23,0.32,0.41,0.52,"Dearnley Park","-75.2347570761168","40.047084618342",c(-75.2347570761168, 40.047084618342)
"20","477-89 DOMINO LN",0.01,0.02,0.03,0.05,0.07,0.22,0.31,0.4,0.5,0.61,0.22,0.31,0.4,0.5,0.61,"Dearnley Park","-75.2337566163087","40.0448529920494",c(-75.2337566163087, 40.0448529920494)
"21","557 SHAWMONT AVE",0.03,0.04,0.06,0.09,0.14,0.25,0.33,0.43,0.54,0.64,0.25,0.33,0.43,0.54,0.64,"Dearnley Park","-75.2374640166483","40.0522727636584",c(-75.2374640166483, 40.0522727636584)
"22","464 ORIOLE ST",0.02,0.03,0.05,0.08,0.11,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Dearnley Park","-75.2379227297598","40.0488934137432",c(-75.2379227297598, 40.0488934137432)
"23","443-45 WIGARD AVE",0.02,0.03,0.05,0.08,0.12,0.23,0.31,0.4,0.51,0.61,0.23,0.31,0.4,0.51,0.61,"Dearnley Park","-75.2376327839912","40.0470536088717",c(-75.2376327839912, 40.0470536088717)
"24","470 FLAMINGO ST",0.02,0.03,0.05,0.08,0.12,0.15,0.22,0.3,0.39,0.49,0.15,0.22,0.3,0.39,0.49,"Dearnley Park","-75.2376978971023","40.0498395132402",c(-75.2376978971023, 40.0498395132402)
"25","7706 RIDGE AVE",0.04,0.06,0.09,0.13,0.19,0.12,0.17,0.23,0.32,0.41,0.12,0.17,0.23,0.32,0.41,"Dearnley Park","-75.2367122940278","40.0519941767709",c(-75.2367122940278, 40.0519941767709)
"26","325 SHAWMONT AVE",0.03,0.05,0.07,0.11,0.16,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Dearnley Park","-75.2446352399309","40.0483255285053",c(-75.2446352399309, 40.0483255285053)
"27","476 FLAMINGO ST",0.02,0.03,0.05,0.08,0.12,0.15,0.21,0.29,0.39,0.49,0.15,0.21,0.29,0.39,0.49,"Dearnley Park","-75.2372391031982","40.0500512365475",c(-75.2372391031982, 40.0500512365475)
"28","289 SHAWMONT AVE",0.03,0.05,0.07,0.11,0.16,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Dearnley Park","-75.2446352399309","40.0483255285053",c(-75.2446352399309, 40.0483255285053)
"29","313 SHAWMONT AVE",0.03,0.05,0.07,0.11,0.16,0.17,0.24,0.33,0.43,0.53,0.17,0.24,0.33,0.43,0.53,"Dearnley Park","-75.2446352399309","40.0483255285053",c(-75.2446352399309, 40.0483255285053)
"30","7517 NEWLAND ST",0.03,0.04,0.06,0.09,0.14,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Dearnley Park","-75.2429968824304","40.0465682038546",c(-75.2429968824304, 40.0465682038546)
"31","7517 PAWLING ST",0.02,0.04,0.06,0.09,0.13,0.18,0.25,0.33,0.43,0.54,0.18,0.25,0.33,0.43,0.54,"Dearnley Park","-75.2402918328505","40.0472815963112",c(-75.2402918328505, 40.0472815963112)
"32","498 HARMON RD",0.02,0.03,0.05,0.08,0.12,0.21,0.28,0.38,0.48,0.58,0.21,0.28,0.38,0.48,0.58,"Dearnley Park","-75.2335879033619","40.0459060336975",c(-75.2335879033619, 40.0459060336975)
"33","471 ORIOLE ST",0.02,0.03,0.05,0.07,0.11,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"Dearnley Park","-75.2374163809402","40.0486287896292",c(-75.2374163809402, 40.0486287896292)
"34","259 SHAWMONT AVE",0.03,0.05,0.07,0.11,0.16,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Dearnley Park","-75.2446352399309","40.0483255285053",c(-75.2446352399309, 40.0483255285053)
"35","273 SHAWMONT AVE",0.03,0.05,0.07,0.11,0.16,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Dearnley Park","-75.2446352399309","40.0483255285053",c(-75.2446352399309, 40.0483255285053)
"36","7515 CULP ST",0.02,0.04,0.06,0.09,0.13,0.17,0.24,0.32,0.42,0.53,0.17,0.24,0.32,0.42,0.53,"Dearnley Park","-75.242145886455","40.0468719194513",c(-75.242145886455, 40.0468719194513)
"37","315 SHAWMONT AVE",0.03,0.05,0.07,0.11,0.16,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Dearnley Park","-75.2446352399309","40.0483255285053",c(-75.2446352399309, 40.0483255285053)
"38","7509 NEWLAND ST",0.03,0.04,0.06,0.09,0.14,0.15,0.21,0.29,0.38,0.49,0.15,0.21,0.29,0.38,0.49,"Dearnley Park","-75.2427212635095","40.0461908590521",c(-75.2427212635095, 40.0461908590521)
"39","7302 RIDGE AVE",0.03,0.05,0.08,0.12,0.17,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Dearnley Park","-75.2337532199303","40.0461859632457",c(-75.2337532199303, 40.0461859632457)
"40","411 DEARNLEY ST",0.03,0.04,0.06,0.1,0.14,0.21,0.29,0.39,0.49,0.59,0.21,0.29,0.39,0.49,0.59,"Dearnley Park","-75.2424750667747","40.0476208110334",c(-75.2424750667747, 40.0476208110334)
"41","469 FLAMINGO ST",0.03,0.05,0.07,0.11,0.17,0.15,0.21,0.29,0.39,0.49,0.15,0.21,0.29,0.39,0.49,"Dearnley Park","-75.2379844280904","40.0491983969208",c(-75.2379844280904, 40.0491983969208)
"42","468 ORIOLE ST",0.03,0.05,0.07,0.11,0.16,0.15,0.22,0.29,0.39,0.49,0.15,0.22,0.29,0.39,0.49,"Dearnley Park","-75.2376667306483","40.0490124839033",c(-75.2376667306483, 40.0490124839033)
"43","201 FLAMINGO ST",0.03,0.04,0.06,0.1,0.14,0.21,0.29,0.38,0.49,0.59,0.21,0.29,0.38,0.49,0.59,"Dearnley Park","-75.2440142297377","40.0464417633786",c(-75.2440142297377, 40.0464417633786)
