"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","532 PIERCE ST",0.04,0.06,0.08,0.13,0.19,0.16,0.22,0.3,0.4,0.5,0.16,0.22,0.3,0.4,0.5,"Dickinson Narrows","-75.1552152932058","39.9265543683296",c(-75.1552152932058, 39.9265543683296)
"2","640 SEARS ST",0.03,0.04,0.07,0.1,0.15,0.18,0.24,0.33,0.43,0.53,0.18,0.24,0.33,0.43,0.53,"Dickinson Narrows","-75.1556966131316","39.9320548608694",c(-75.1556966131316, 39.9320548608694)
"3","427 MIFFLIN ST",0.03,0.05,0.08,0.12,0.17,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Dickinson Narrows","-75.1539383776429","39.9249642431811",c(-75.1539383776429, 39.9249642431811)
"4","530 TASKER ST",0.03,0.05,0.08,0.12,0.17,0.15,0.21,0.28,0.37,0.48,0.15,0.21,0.28,0.37,0.48,"Dickinson Narrows","-75.1546352557102","39.9285215959662",c(-75.1546352557102, 39.9285215959662)
"5","1417 S LAWRENCE TER",0.03,0.04,0.06,0.09,0.14,0.24,0.32,0.42,0.52,0.62,0.24,0.32,0.42,0.52,0.62,"Dickinson Narrows","-75.1525885799568","39.9304981904026",c(-75.1525885799568, 39.9304981904026)
"6","1632 S 5TH ST",0.03,0.05,0.08,0.12,0.18,0.14,0.2,0.27,0.36,0.46,0.14,0.2,0.27,0.36,0.46,"Dickinson Narrows","-75.1541652567765","39.927617872534",c(-75.1541652567765, 39.927617872534)
"7","430 MANTON ST",0.02,0.03,0.05,0.07,0.11,0.23,0.31,0.41,0.52,0.62,0.23,0.31,0.41,0.52,0.62,"Dickinson Narrows","-75.1521617230044","39.932795078008",c(-75.1521617230044, 39.932795078008)
"8","530 MOORE ST",0.02,0.04,0.06,0.08,0.13,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Dickinson Narrows","-75.1552119283168","39.926073037059",c(-75.1552119283168, 39.926073037059)
"9","610 FEDERAL ST",0.02,0.03,0.05,0.07,0.11,0.3,0.39,0.5,0.6,0.7,0.3,0.39,0.5,0.6,0.7,"Dickinson Narrows","-75.15459644396","39.9335567268052",c(-75.15459644396, 39.9335567268052)
"10","541 TITAN ST",0.03,0.04,0.07,0.1,0.15,0.26,0.35,0.45,0.56,0.66,0.26,0.35,0.45,0.56,0.66,"Dickinson Narrows","-75.1540676951828","39.932893919623",c(-75.1540676951828, 39.932893919623)
