address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
5109 RACE ST,0.04,0.06,0.09,0.13,0.19,0.19,0.27,0.36,0.46,0.56,0.2,0.22,0.25,0.28,0.31,Dunlap,-75.2226765620737,39.9630871553329,"c(-75.2226765620737, 39.9630871553329)"
147 N 51ST ST,0.04,0.06,0.09,0.13,0.19,0.11,0.16,0.22,0.3,0.39,0.3,0.33,0.37,0.4,0.44,Dunlap,-75.2221456250951,39.9623499141988,"c(-75.2221456250951, 39.9623499141988)"
251 N PAXON ST,0.04,0.06,0.09,0.13,0.2,0.11,0.16,0.22,0.3,0.39,0.2,0.22,0.25,0.28,0.31,Dunlap,-75.2227857726899,39.9640658794331,"c(-75.2227857726899, 39.9640658794331)"
5022 ARCH ST,0.05,0.08,0.12,0.18,0.25,0.09,0.13,0.19,0.27,0.35,0.34,0.37,0.41,0.44,0.48,Dunlap,-75.2214474115051,39.960981329915,"c(-75.2214474115051, 39.960981329915)"
134 N 50TH ST,0.06,0.09,0.13,0.19,0.27,0.1,0.14,0.2,0.28,0.37,0.23,0.25,0.28,0.32,0.35,Dunlap,-75.2206973392863,39.9622840712719,"c(-75.2206973392863, 39.9622840712719)"
219 N CREIGHTON ST,0.06,0.09,0.13,0.19,0.27,0.09,0.13,0.18,0.25,0.34,0.22,0.25,0.28,0.31,0.35,Dunlap,-75.223593667202,39.9635274663353,"c(-75.223593667202, 39.9635274663353)"
41 N PAXON ST,0.05,0.08,0.12,0.18,0.26,0.11,0.15,0.22,0.3,0.39,0.23,0.25,0.28,0.32,0.35,Dunlap,-75.2234017785793,39.960793056935,"c(-75.2234017785793, 39.960793056935)"
25 FARSON ST,0.05,0.08,0.12,0.18,0.26,0.07,0.1,0.15,0.21,0.28,0.22,0.25,0.28,0.31,0.35,Dunlap,-75.2215125020036,39.9602596685329,"c(-75.2215125020036, 39.9602596685329)"
56 FARSON ST,0.05,0.08,0.12,0.18,0.25,0.09,0.13,0.18,0.25,0.34,0.33,0.37,0.41,0.44,0.48,Dunlap,-75.2218259719328,39.9609138911729,"c(-75.2218259719328, 39.9609138911729)"
139 N 51ST ST,0.05,0.08,0.12,0.18,0.26,0.09,0.13,0.18,0.25,0.34,0.22,0.25,0.28,0.31,0.35,Dunlap,-75.2221811799035,39.9621867905507,"c(-75.2221811799035, 39.9621867905507)"
233 RAMSEY ST,0.06,0.09,0.13,0.19,0.27,0.09,0.13,0.18,0.25,0.34,0.22,0.25,0.28,0.31,0.35,Dunlap,-75.2223010152573,39.9636311666266,"c(-75.2223010152573, 39.9636311666266)"
21 N PAXON ST,0.06,0.09,0.13,0.19,0.27,0.1,0.14,0.2,0.28,0.37,0.23,0.25,0.28,0.32,0.35,Dunlap,-75.2234925580318,39.9603587763648,"c(-75.2234925580318, 39.9603587763648)"
63 DEARBORN ST,0.05,0.08,0.12,0.18,0.25,0.07,0.1,0.15,0.21,0.29,0.34,0.37,0.41,0.44,0.48,Dunlap,-75.2219638812789,39.9610980776604,"c(-75.2219638812789, 39.9610980776604)"
143 DEARBORN ST,0.05,0.08,0.12,0.18,0.26,0.08,0.12,0.17,0.24,0.33,0.34,0.37,0.41,0.44,0.48,Dunlap,-75.2217344454132,39.962214480934,"c(-75.2217344454132, 39.962214480934)"
5101 MARKET ST,0.06,0.08,0.13,0.19,0.27,0.17,0.23,0.31,0.41,0.51,0.23,0.25,0.28,0.32,0.35,Dunlap,-75.2229873601729,39.9600086358364,"c(-75.2229873601729, 39.9600086358364)"
44 DEARBORN ST,0.05,0.08,0.12,0.18,0.25,0.08,0.12,0.17,0.24,0.33,0.34,0.37,0.41,0.44,0.48,Dunlap,-75.2223114990829,39.9607235609441,"c(-75.2223114990829, 39.9607235609441)"
245 RAMSEY ST,0.06,0.09,0.13,0.19,0.27,0.06,0.09,0.13,0.19,0.26,0.33,0.37,0.41,0.44,0.48,Dunlap,-75.2222474760218,39.963876203041,"c(-75.2222474760218, 39.963876203041)"
133 FARSON ST,0.05,0.08,0.12,0.18,0.26,0.09,0.13,0.18,0.25,0.34,0.23,0.25,0.28,0.31,0.35,Dunlap,-75.2211668852568,39.9619262084037,"c(-75.2211668852568, 39.9619262084037)"
132 N 50TH ST,0.06,0.08,0.13,0.19,0.27,0.1,0.14,0.2,0.28,0.37,0.23,0.25,0.28,0.32,0.35,Dunlap,-75.220710576018,39.962220954353,"c(-75.220710576018, 39.962220954353)"
53 N PAXON ST,0.04,0.05,0.08,0.13,0.18,0.11,0.15,0.22,0.3,0.39,0.3,0.33,0.37,0.4,0.44,Dunlap,-75.223346175061,39.9610542554447,"c(-75.223346175061, 39.9610542554447)"
221 FARSON ST,0.06,0.09,0.13,0.19,0.27,0.09,0.12,0.18,0.25,0.33,0.22,0.25,0.28,0.31,0.35,Dunlap,-75.2208932243825,39.9631944801597,"c(-75.2208932243825, 39.9631944801597)"
4915 MARKET ST,0.06,0.09,0.14,0.2,0.29,0.11,0.16,0.23,0.31,0.41,0.23,0.25,0.28,0.32,0.35,Dunlap,-75.2197612492491,39.9596270334984,"c(-75.2197612492491, 39.9596270334984)"
218 N 50TH ST,0.04,0.06,0.09,0.13,0.19,0.11,0.16,0.23,0.31,0.41,0.3,0.33,0.37,0.4,0.44,Dunlap,-75.2204785262081,39.9632084082456,"c(-75.2204785262081, 39.9632084082456)"
5141 ARCH ST,0.06,0.09,0.13,0.19,0.27,0.1,0.14,0.2,0.27,0.36,0.33,0.37,0.41,0.44,0.48,Dunlap,-75.2239582060631,39.9616969317985,"c(-75.2239582060631, 39.9616969317985)"
49 N 52ND ST,0.05,0.08,0.12,0.18,0.26,0.16,0.22,0.3,0.4,0.5,0.34,0.37,0.41,0.44,0.48,Dunlap,-75.2242734961811,39.9611517476637,"c(-75.2242734961811, 39.9611517476637)"
151 DEARBORN ST,0.05,0.08,0.13,0.18,0.26,0.08,0.12,0.17,0.24,0.33,0.34,0.37,0.41,0.44,0.48,Dunlap,-75.2216997232438,39.9623776029939,"c(-75.2216997232438, 39.9623776029939)"
5106 RACE ST,0.04,0.06,0.09,0.13,0.19,0.11,0.16,0.22,0.3,0.4,0.2,0.22,0.25,0.28,0.31,Dunlap,-75.2225992220509,39.9626947984791,"c(-75.2225992220509, 39.9626947984791)"
5029 SUMMER ST,0.06,0.09,0.13,0.19,0.27,0.09,0.13,0.18,0.25,0.34,0.22,0.25,0.28,0.31,0.35,Dunlap,-75.2211894384962,39.9636271439947,"c(-75.2211894384962, 39.9636271439947)"
120 N PAXON ST,0.05,0.08,0.13,0.19,0.27,0.09,0.13,0.18,0.25,0.34,0.22,0.25,0.28,0.31,0.35,Dunlap,-75.2237165938851,39.9619954926204,"c(-75.2237165938851, 39.9619954926204)"
232 RAMSEY ST,0.1,0.14,0.21,0.29,0.4,0.14,0.2,0.28,0.37,0.47,0.24,0.27,0.3,0.33,0.37,Dunlap,-75.2226304689195,39.9636686581667,"c(-75.2226304689195, 39.9636686581667)"
46 N PAXON ST,0.05,0.08,0.12,0.18,0.26,0.1,0.14,0.2,0.27,0.36,0.23,0.25,0.28,0.32,0.35,Dunlap,-75.2239074928806,39.9610453475948,"c(-75.2239074928806, 39.9610453475948)"
14 N SAINT BERNARD ST,0.05,0.08,0.12,0.18,0.26,0.1,0.14,0.2,0.28,0.37,0.23,0.25,0.28,0.32,0.35,Dunlap,-75.2201219035989,39.9598280079843,"c(-75.2201219035989, 39.9598280079843)"
