address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
3400 W SCHOOL HOUSE LN,0.01,0.01,0.02,0.03,0.05,0.11,0.15,0.22,0.29,0.39,0.29,0.32,0.36,0.39,0.43,East Falls,-75.193648645678,40.018006758973,"c(-75.193648645678, 40.018006758973)"
3455 MIDVALE AVE,0.02,0.04,0.06,0.09,0.13,0.14,0.2,0.27,0.36,0.46,0.34,0.37,0.41,0.44,0.48,East Falls,-75.191211467719,40.0149527897592,"c(-75.191211467719, 40.0149527897592)"
3706 MIDVALE AVE,0.02,0.03,0.04,0.06,0.1,0.23,0.31,0.4,0.51,0.61,0.33,0.36,0.4,0.43,0.47,East Falls,-75.1929496330721,40.009781269958,"c(-75.1929496330721, 40.009781269958)"
4455 RIVER RIDGE CT,0.03,0.04,0.07,0.1,0.15,0.19,0.26,0.35,0.45,0.56,0.5,0.53,0.57,0.61,0.64,East Falls,-75.1998239633661,40.0103921315288,"c(-75.1998239633661, 40.0103921315288)"
3308 CONRAD ST,0.02,0.03,0.05,0.07,0.11,0.24,0.33,0.42,0.53,0.63,0.32,0.36,0.4,0.43,0.47,East Falls,-75.1878949721385,40.0104495237275,"c(-75.1878949721385, 40.0104495237275)"
3627 HAYWOOD ST,0.03,0.04,0.06,0.1,0.14,0.1,0.15,0.21,0.28,0.38,0.34,0.37,0.41,0.44,0.48,East Falls,-75.1912970522885,40.0092280352766,"c(-75.1912970522885, 40.0092280352766)"
3444 TILDEN ST,0.02,0.03,0.05,0.08,0.12,0.14,0.2,0.27,0.37,0.47,0.34,0.37,0.41,0.44,0.48,East Falls,-75.1892369339628,40.0134963599506,"c(-75.1892369339628, 40.0134963599506)"
4139 TIMBER LN,0.02,0.03,0.04,0.06,0.09,0.2,0.27,0.36,0.46,0.57,0.3,0.33,0.37,0.41,0.44,East Falls,-75.1958570255703,40.0213859276685,"c(-75.1958570255703, 40.0213859276685)"
5400 WISSAHICKON AVE,0.04,0.07,0.1,0.15,0.22,0.22,0.3,0.4,0.5,0.6,0.36,0.4,0.44,0.47,0.51,East Falls,-75.1795573916223,40.0232699419466,"c(-75.1795573916223, 40.0232699419466)"
3448 MIDVALE AVE,0.02,0.02,0.04,0.06,0.09,0.18,0.25,0.34,0.44,0.54,0.3,0.33,0.37,0.41,0.44,East Falls,-75.1909815875694,40.0143890967351,"c(-75.1909815875694, 40.0143890967351)"
3401 AINSLIE ST,0.02,0.04,0.06,0.09,0.14,0.13,0.18,0.26,0.34,0.44,0.34,0.37,0.41,0.45,0.48,East Falls,-75.1883843398674,40.0138903372614,"c(-75.1883843398674, 40.0138903372614)"
3314 TILDEN ST,0.02,0.02,0.04,0.06,0.09,0.3,0.39,0.49,0.6,0.69,0.33,0.36,0.4,0.43,0.47,East Falls,-75.1867853322914,40.0148950954604,"c(-75.1867853322914, 40.0148950954604)"
3469 MIDVALE AVE,0.02,0.04,0.06,0.09,0.13,0.14,0.19,0.27,0.36,0.46,0.34,0.37,0.41,0.44,0.48,East Falls,-75.1915141579731,40.0147528412607,"c(-75.1915141579731, 40.0147528412607)"
3200 MIDVALE AVE,0.03,0.05,0.08,0.12,0.18,0.17,0.24,0.33,0.42,0.53,0.2,0.23,0.25,0.28,0.31,East Falls,-75.1861172280893,40.0181151196098,"c(-75.1861172280893, 40.0181151196098)"
4000 GYPSY LN,0.03,0.05,0.08,0.12,0.18,0.15,0.21,0.29,0.38,0.48,0.34,0.37,0.41,0.44,0.48,East Falls,-75.2012073305973,40.015283694084,"c(-75.2012073305973, 40.015283694084)"
3471 INDIAN QUEEN LN,0.03,0.04,0.06,0.09,0.14,0.22,0.3,0.4,0.5,0.61,0.5,0.54,0.57,0.61,0.65,East Falls,-75.1877857086896,40.0110986904541,"c(-75.1877857086896, 40.0110986904541)"
3411 CONRAD ST,0.02,0.02,0.04,0.06,0.09,0.18,0.25,0.33,0.43,0.53,0.3,0.33,0.37,0.41,0.44,East Falls,-75.1886877955695,40.0117003478356,"c(-75.1886877955695, 40.0117003478356)"
3427 OSMOND ST,0.05,0.07,0.11,0.17,0.24,0.21,0.29,0.38,0.48,0.59,0.39,0.43,0.47,0.5,0.54,East Falls,-75.1859835499489,40.014071512754,"c(-75.1859835499489, 40.014071512754)"
3333 BOWMAN ST,0.02,0.03,0.04,0.07,0.1,0.25,0.33,0.43,0.53,0.64,0.46,0.49,0.53,0.57,0.61,East Falls,-75.1859877047324,40.013357838757,"c(-75.1859877047324, 40.013357838757)"
3461 W PENN ST,0.02,0.02,0.04,0.06,0.09,0.18,0.24,0.33,0.43,0.53,0.3,0.33,0.37,0.4,0.44,East Falls,-75.1909649916235,40.0141154218692,"c(-75.1909649916235, 40.0141154218692)"
3707 FALLS CIR,0.03,0.05,0.07,0.11,0.16,0.13,0.19,0.26,0.35,0.45,0.5,0.54,0.57,0.61,0.65,East Falls,-75.1990729277832,40.0124273340114,"c(-75.1990729277832, 40.0124273340114)"
3441 SUNNYSIDE AVE,0.01,0.02,0.04,0.06,0.09,0.17,0.24,0.32,0.42,0.52,0.3,0.33,0.37,0.4,0.44,East Falls,-75.1887058322281,40.0126652378486,"c(-75.1887058322281, 40.0126652378486)"
3448 SUNNYSIDE AVE,0.02,0.02,0.04,0.06,0.09,0.16,0.23,0.31,0.41,0.51,0.3,0.33,0.37,0.41,0.44,East Falls,-75.1885543831076,40.0122489547087,"c(-75.1885543831076, 40.0122489547087)"
3421 AINSLIE ST,0.01,0.02,0.04,0.05,0.08,0.19,0.27,0.36,0.46,0.56,0.3,0.33,0.37,0.4,0.44,East Falls,-75.189039197328,40.0133220675541,"c(-75.189039197328, 40.0133220675541)"
4448 DRIFTWOOD DR,0.03,0.04,0.06,0.09,0.14,0.16,0.22,0.3,0.39,0.5,0.5,0.53,0.57,0.61,0.65,East Falls,-75.1990729277832,40.0124273340114,"c(-75.1990729277832, 40.0124273340114)"
3508 WARDEN DR,0.02,0.03,0.04,0.06,0.1,0.21,0.29,0.38,0.48,0.59,0.2,0.22,0.25,0.28,0.31,East Falls,-75.1917662717319,40.0144838283878,"c(-75.1917662717319, 40.0144838283878)"
3448 BOWMAN ST,0.02,0.03,0.04,0.06,0.1,0.2,0.27,0.36,0.46,0.57,0.3,0.33,0.37,0.41,0.44,East Falls,-75.1874287732614,40.0117447596052,"c(-75.1874287732614, 40.0117447596052)"
3107 W PENN ST,0.03,0.04,0.07,0.1,0.15,0.16,0.23,0.31,0.41,0.51,0.3,0.33,0.37,0.41,0.44,East Falls,-75.1842887993469,40.018982292911,"c(-75.1842887993469, 40.018982292911)"
3306 AINSLIE ST,0.02,0.03,0.04,0.06,0.09,0.18,0.26,0.34,0.44,0.55,0.3,0.33,0.37,0.4,0.44,East Falls,-75.1860438548543,40.0145262835126,"c(-75.1860438548543, 40.0145262835126)"
3441 TILDEN ST,0.01,0.02,0.03,0.05,0.08,0.18,0.25,0.34,0.44,0.54,0.3,0.33,0.37,0.4,0.44,East Falls,-75.1895411835475,40.0136717631517,"c(-75.1895411835475, 40.0136717631517)"
3000 MIDVALE AVE,0.04,0.06,0.1,0.15,0.21,0.15,0.21,0.29,0.38,0.48,0.23,0.25,0.28,0.32,0.35,East Falls,-75.1823877381857,40.020652084215,"c(-75.1823877381857, 40.020652084215)"
3334 AINSLIE ST,0.02,0.02,0.04,0.06,0.09,0.18,0.26,0.34,0.44,0.55,0.3,0.33,0.37,0.4,0.44,East Falls,-75.1867641112148,40.0140374687939,"c(-75.1867641112148, 40.0140374687939)"
3408 SUNNYSIDE AVE,0.02,0.04,0.05,0.08,0.13,0.12,0.17,0.23,0.32,0.41,0.34,0.37,0.41,0.44,0.48,East Falls,-75.1876467301987,40.012891184258,"c(-75.1876467301987, 40.012891184258)"
3471 BOWMAN ST,0.02,0.02,0.04,0.06,0.09,0.23,0.32,0.41,0.52,0.62,0.46,0.49,0.53,0.57,0.61,East Falls,-75.1884525372734,40.0116603836359,"c(-75.1884525372734, 40.0116603836359)"
3428 AINSLIE ST,0.01,0.02,0.04,0.06,0.09,0.23,0.32,0.41,0.52,0.62,0.46,0.49,0.53,0.57,0.61,East Falls,-75.1886308116684,40.0130907858673,"c(-75.1886308116684, 40.0130907858673)"
3578-80 CALUMET ST,0.01,0.02,0.03,0.05,0.08,0.24,0.33,0.43,0.53,0.63,0.46,0.5,0.53,0.57,0.61,East Falls,-75.1933777202702,40.0131151436279,"c(-75.1933777202702, 40.0131151436279)"
3336 MIDVALE AVE,0.02,0.03,0.04,0.07,0.1,0.3,0.4,0.5,0.6,0.7,0.33,0.36,0.4,0.43,0.47,East Falls,-75.1895612230477,40.0155945180494,"c(-75.1895612230477, 40.0155945180494)"
3463 MIDVALE AVE,0.02,0.02,0.04,0.06,0.09,0.17,0.24,0.32,0.42,0.52,0.3,0.33,0.37,0.41,0.44,East Falls,-75.1913787318096,40.0148354732216,"c(-75.1913787318096, 40.0148354732216)"
3343 CONRAD ST,0.02,0.04,0.06,0.09,0.13,0.16,0.23,0.31,0.4,0.51,0.5,0.53,0.57,0.61,0.65,East Falls,-75.1881088440336,40.0112841879538,"c(-75.1881088440336, 40.0112841879538)"
4439 DRIFTWOOD DR,0.03,0.04,0.06,0.09,0.14,0.15,0.21,0.29,0.38,0.48,0.5,0.53,0.57,0.61,0.65,East Falls,-75.1990729277832,40.0124273340114,"c(-75.1990729277832, 40.0124273340114)"
3666 CALUMET ST,0.01,0.02,0.04,0.06,0.09,0.16,0.23,0.31,0.41,0.51,0.3,0.33,0.37,0.41,0.44,East Falls,-75.194754580088,40.0111183880495,"c(-75.194754580088, 40.0111183880495)"
3304 BOWMAN ST,0.02,0.03,0.05,0.08,0.12,0.18,0.25,0.34,0.44,0.54,0.3,0.33,0.37,0.4,0.44,East Falls,-75.1848503551799,40.013567586405,"c(-75.1848503551799, 40.013567586405)"
3518 AINSLIE ST,0.02,0.04,0.05,0.08,0.13,0.14,0.19,0.27,0.36,0.46,0.23,0.25,0.28,0.32,0.35,East Falls,-75.1903985675498,40.0118724760076,"c(-75.1903985675498, 40.0118724760076)"
3556 NEW QUEEN ST,0.01,0.02,0.04,0.06,0.09,0.17,0.24,0.32,0.42,0.52,0.3,0.33,0.37,0.41,0.44,East Falls,-75.1914834554257,40.0120113670694,"c(-75.1914834554257, 40.0120113670694)"
3624 CALUMET ST,0.01,0.02,0.03,0.05,0.08,0.16,0.23,0.31,0.41,0.51,0.2,0.22,0.25,0.28,0.31,East Falls,-75.1939573685062,40.0121978111625,"c(-75.1939573685062, 40.0121978111625)"
3620 CALUMET ST,0.01,0.02,0.03,0.05,0.08,0.16,0.22,0.3,0.39,0.5,0.2,0.22,0.25,0.28,0.31,East Falls,-75.1939106153827,40.012267303763,"c(-75.1939106153827, 40.012267303763)"
