"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","477 LOCUST AVE",0.05,0.07,0.11,0.16,0.23,0.08,0.12,0.17,0.24,0.32,0.08,0.12,0.17,0.24,0.32,"East Germantown","-75.1670677648614","40.0404340220871",c(-75.1670677648614, 40.0404340220871)
"2","5514 JANE ST",0.04,0.07,0.1,0.15,0.22,0.07,0.1,0.14,0.2,0.28,0.07,0.1,0.14,0.2,0.28,"East Germantown","-75.1584266130993","40.0487660428554",c(-75.1584266130993, 40.0487660428554)
"3","5367 WINGOHOCKING TER",0.03,0.05,0.08,0.12,0.17,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"East Germantown","-75.1647113638824","40.0385791157563",c(-75.1647113638824, 40.0385791157563)
"4","506 E ASHMEAD ST",0.04,0.06,0.09,0.13,0.19,0.09,0.13,0.18,0.25,0.34,0.09,0.13,0.18,0.25,0.34,"East Germantown","-75.1604952913005","40.0373812162745",c(-75.1604952913005, 40.0373812162745)
"5","1204 E CHELTEN AVE",0.04,0.06,0.09,0.13,0.19,0.08,0.12,0.17,0.24,0.32,0.08,0.12,0.17,0.24,0.32,"East Germantown","-75.1586631557314","40.0511100558725",c(-75.1586631557314, 40.0511100558725)
"6","5341 WINGOHOCKING TER",0.05,0.08,0.12,0.18,0.25,0.06,0.09,0.12,0.18,0.25,0.06,0.09,0.12,0.18,0.25,"East Germantown","-75.1640119780989","40.0380694902953",c(-75.1640119780989, 40.0380694902953)
"7","933 E RITTENHOUSE ST",0.03,0.05,0.07,0.11,0.17,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"East Germantown","-75.164366434713","40.0494175502978",c(-75.164366434713, 40.0494175502978)
"8","939 E RITTENHOUSE ST",0.03,0.05,0.08,0.11,0.17,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"East Germantown","-75.1641901513023","40.0495885835151",c(-75.1641901513023, 40.0495885835151)
"9","5821 CHEW AVE",0.03,0.04,0.06,0.1,0.15,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"East Germantown","-75.1669108271411","40.0470639578333",c(-75.1669108271411, 40.0470639578333)
"10","5520 CHEW AVE",0.05,0.08,0.12,0.18,0.26,0.08,0.12,0.17,0.24,0.33,0.08,0.12,0.17,0.24,0.33,"East Germantown","-75.1621125252745","40.0435667543724",c(-75.1621125252745, 40.0435667543724)
