address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
2068 E CUMBERLAND ST,0.02,0.04,0.06,0.09,0.13,0.26,0.35,0.45,0.56,0.66,0.46,0.49,0.53,0.57,0.61,East Kensington,-75.1268458858686,39.9840516585778,"c(-75.1268458858686, 39.9840516585778)"
1927 E ARIZONA ST,0.02,0.04,0.06,0.08,0.13,0.15,0.22,0.3,0.39,0.49,0.2,0.22,0.25,0.28,0.31,East Kensington,-75.1310138416628,39.9845338245325,"c(-75.1310138416628, 39.9845338245325)"
2440 JASPER ST,0.02,0.04,0.06,0.09,0.13,0.2,0.27,0.36,0.46,0.56,0.2,0.22,0.25,0.28,0.31,East Kensington,-75.1301505553858,39.9859770796092,"c(-75.1301505553858, 39.9859770796092)"
2002 E LEHIGH AVE,0.02,0.04,0.06,0.09,0.13,0.19,0.26,0.35,0.45,0.56,0.2,0.22,0.25,0.28,0.31,East Kensington,-75.1235522037784,39.9876816472957,"c(-75.1235522037784, 39.9876816472957)"
2563 EMERALD ST,0.04,0.05,0.08,0.13,0.18,0.15,0.21,0.29,0.38,0.48,0.22,0.25,0.28,0.31,0.35,East Kensington,-75.1258202479338,39.9864690602978,"c(-75.1258202479338, 39.9864690602978)"
1838 E ALBERT ST,0.03,0.05,0.07,0.11,0.17,0.16,0.23,0.31,0.41,0.51,0.22,0.25,0.28,0.31,0.35,East Kensington,-75.1259161642033,39.9884778130274,"c(-75.1259161642033, 39.9884778130274)"
2414 CORAL ST,0.02,0.04,0.06,0.09,0.13,0.2,0.27,0.36,0.46,0.57,0.3,0.33,0.37,0.4,0.44,East Kensington,-75.1290831189068,39.9837138112708,"c(-75.1290831189068, 39.9837138112708)"
2018 MARTHA ST,0.02,0.04,0.06,0.09,0.13,0.26,0.34,0.44,0.55,0.65,0.46,0.49,0.53,0.57,0.61,East Kensington,-75.13191092648,39.9802820572117,"c(-75.13191092648, 39.9802820572117)"
2666 COLLINS ST,0.03,0.05,0.08,0.12,0.17,0.2,0.27,0.37,0.47,0.57,0.36,0.4,0.43,0.47,0.51,East Kensington,-75.1216863692088,39.9857160272197,"c(-75.1216863692088, 39.9857160272197)"
2467 AMBER ST,0.02,0.03,0.05,0.08,0.12,0.25,0.34,0.44,0.54,0.64,0.46,0.49,0.53,0.57,0.61,East Kensington,-75.1265057382119,39.9833675945065,"c(-75.1265057382119, 39.9833675945065)"
