"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","6608 ROSS ST",0.03,0.04,0.07,0.1,0.15,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"East Mount Airy","-75.1818581917426","40.0517562966355",c(-75.1818581917426, 40.0517562966355)
"2","408 E SHARPNACK ST",0.03,0.05,0.07,0.11,0.16,0.15,0.22,0.3,0.39,0.49,0.15,0.22,0.3,0.39,0.49,"East Mount Airy","-75.1769378520656","40.0556750933349",c(-75.1769378520656, 40.0556750933349)
"3","336 E GORGAS LN",0.02,0.04,0.06,0.09,0.13,0.16,0.22,0.3,0.39,0.5,0.16,0.22,0.3,0.39,0.5,"East Mount Airy","-75.1822418307464","40.0599581273701",c(-75.1822418307464, 40.0599581273701)
"4","328 E UPSAL ST",0.05,0.08,0.12,0.18,0.26,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"East Mount Airy","-75.1787338081063","40.0523375361572",c(-75.1787338081063, 40.0523375361572)
"5","332 E ALLENS LN",0.02,0.03,0.05,0.08,0.12,0.17,0.23,0.31,0.41,0.51,0.17,0.23,0.31,0.41,0.51,"East Mount Airy","-75.186817664516","40.0651908534455",c(-75.186817664516, 40.0651908534455)
"6","145 E WASHINGTON LN",0.04,0.06,0.09,0.13,0.19,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"East Mount Airy","-75.1786197863101","40.0458045094805",c(-75.1786197863101, 40.0458045094805)
"7","6835 GORSTEN ST",0.03,0.05,0.07,0.11,0.16,0.16,0.22,0.3,0.4,0.5,0.16,0.22,0.3,0.4,0.5,"East Mount Airy","-75.1772725565522","40.0636490135494",c(-75.1772725565522, 40.0636490135494)
"8","380 VERNON RD",0.05,0.07,0.11,0.16,0.23,0.11,0.16,0.23,0.31,0.41,0.11,0.16,0.23,0.31,0.41,"East Mount Airy","-75.180482833618","40.0572489456366",c(-75.180482833618, 40.0572489456366)
"9","251 MONTANA ST",0.04,0.07,0.1,0.15,0.22,0.15,0.21,0.29,0.38,0.49,0.15,0.21,0.29,0.38,0.49,"East Mount Airy","-75.1804946187128","40.0539112123224",c(-75.1804946187128, 40.0539112123224)
"10","449 E WASHINGTON LN",0.05,0.08,0.12,0.18,0.26,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"East Mount Airy","-75.1753413848404","40.0489603492694",c(-75.1753413848404, 40.0489603492694)
"11","6813 CHEW AVE",0.04,0.06,0.09,0.14,0.21,0.12,0.18,0.25,0.33,0.43,0.12,0.18,0.25,0.33,0.43,"East Mount Airy","-75.1835533387723","40.057298427463",c(-75.1835533387723, 40.057298427463)
"12","1236 YERKES ST",0.03,0.05,0.07,0.11,0.17,0.16,0.22,0.3,0.4,0.5,0.16,0.22,0.3,0.4,0.5,"East Mount Airy","-75.1713202005777","40.0605805632024",c(-75.1713202005777, 40.0605805632024)
"13","219 E PHIL ELLENA ST",0.03,0.04,0.06,0.09,0.14,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"East Mount Airy","-75.1825322865212","40.0546037448815",c(-75.1825322865212, 40.0546037448815)
"14","122 ROUMFORT RD",0.02,0.04,0.06,0.09,0.13,0.16,0.22,0.3,0.39,0.5,0.16,0.22,0.3,0.39,0.5,"East Mount Airy","-75.1934357960766","40.0660893720983",c(-75.1934357960766, 40.0660893720983)
"15","435 E DURHAM ST",0.03,0.04,0.07,0.1,0.15,0.23,0.31,0.41,0.51,0.61,0.23,0.31,0.41,0.51,0.61,"East Mount Airy","-75.1837703127701","40.0657652929391",c(-75.1837703127701, 40.0657652929391)
"16","6468 MUSGRAVE ST",0.04,0.05,0.08,0.13,0.19,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"East Mount Airy","-75.1791295869288","40.0514544961579",c(-75.1791295869288, 40.0514544961579)
"17","1238 YERKES ST",0.03,0.05,0.07,0.11,0.16,0.16,0.22,0.3,0.4,0.5,0.16,0.22,0.3,0.4,0.5,"East Mount Airy","-75.1712588593632","40.0606444502747",c(-75.1712588593632, 40.0606444502747)
"18","27 E GOWEN AVE",0.02,0.04,0.06,0.09,0.13,0.15,0.22,0.3,0.39,0.49,0.15,0.22,0.3,0.39,0.49,"East Mount Airy","-75.1925337581332","40.0636055694219",c(-75.1925337581332, 40.0636055694219)
