address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
7007 N BROAD ST,0.04,0.06,0.09,0.14,0.2,0.13,0.18,0.25,0.34,0.44,0.23,0.25,0.28,0.31,0.35,East Oak Lane,-75.1396567318508,40.0599149012289,"c(-75.1396567318508, 40.0599149012289)"
6604 N 7TH ST,0.04,0.06,0.09,0.14,0.2,0.11,0.16,0.22,0.3,0.4,0.23,0.25,0.28,0.31,0.35,East Oak Lane,-75.1310235360856,40.0526183455927,"c(-75.1310235360856, 40.0526183455927)"
6617 N 13TH ST,0.05,0.08,0.12,0.18,0.25,0.12,0.17,0.24,0.32,0.42,0.23,0.25,0.28,0.32,0.35,East Oak Lane,-75.1387285635643,40.0540648140687,"c(-75.1387285635643, 40.0540648140687)"
6401 N 11TH ST,0.02,0.04,0.06,0.09,0.13,0.14,0.19,0.27,0.36,0.46,0.3,0.33,0.37,0.41,0.44,East Oak Lane,-75.1371953575956,40.049752493629,"c(-75.1371953575956, 40.049752493629)"
6512 N 8TH ST,0.02,0.03,0.05,0.08,0.12,0.21,0.28,0.37,0.48,0.58,0.33,0.36,0.4,0.43,0.47,East Oak Lane,-75.1323162525583,40.0518075019636,"c(-75.1323162525583, 40.0518075019636)"
1222 MEDARY AVE,0.05,0.08,0.12,0.17,0.25,0.13,0.19,0.26,0.35,0.45,0.23,0.25,0.28,0.32,0.35,East Oak Lane,-75.1397655323502,40.0484596084372,"c(-75.1397655323502, 40.0484596084372)"
712 OAK LN,0.04,0.06,0.1,0.14,0.21,0.18,0.26,0.34,0.44,0.55,0.34,0.37,0.41,0.44,0.48,East Oak Lane,-75.1310757340456,40.0551392256363,"c(-75.1310757340456, 40.0551392256363)"
6259 N BROAD ST,0.05,0.08,0.12,0.17,0.25,0.12,0.17,0.24,0.32,0.42,0.23,0.25,0.28,0.32,0.35,East Oak Lane,-75.142164798672,40.0488384323283,"c(-75.142164798672, 40.0488384323283)"
204 W LAVEER ST,0.03,0.05,0.08,0.12,0.18,0.08,0.12,0.17,0.24,0.32,0.33,0.37,0.41,0.44,0.48,East Oak Lane,-75.1238279563255,40.0454361958417,"c(-75.1238279563255, 40.0454361958417)"
321 W GODFREY AVE,0.03,0.04,0.07,0.1,0.15,0.13,0.18,0.26,0.34,0.44,0.2,0.22,0.25,0.28,0.31,East Oak Lane,-75.1262540521508,40.0456059437193,"c(-75.1262540521508, 40.0456059437193)"
