address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
872 N 30TH ST,0.02,0.04,0.06,0.09,0.13,0.2,0.27,0.36,0.46,0.57,0.3,0.33,0.37,0.41,0.44,East Park,-75.1857352800016,39.9730254211256,"c(-75.1857352800016, 39.9730254211256)"
3000 POPLAR ST,0.02,0.04,0.06,0.09,0.14,0.15,0.21,0.29,0.39,0.49,0.3,0.33,0.37,0.41,0.44,East Park,-75.1855453034451,39.9732795211642,"c(-75.1855453034451, 39.9732795211642)"
3012 POPLAR ST,0.03,0.04,0.06,0.09,0.14,0.3,0.39,0.49,0.6,0.69,0.33,0.36,0.4,0.43,0.47,East Park,-75.1858700276351,39.9732985394395,"c(-75.1858700276351, 39.9732985394395)"
3016 POPLAR ST,0.03,0.04,0.06,0.09,0.14,0.29,0.38,0.49,0.59,0.69,0.33,0.36,0.4,0.43,0.47,East Park,-75.1859701541326,39.9733169489605,"c(-75.1859701541326, 39.9733169489605)"
3008 POPLAR ST,0.02,0.04,0.06,0.09,0.14,0.22,0.29,0.39,0.49,0.59,0.2,0.22,0.25,0.28,0.31,East Park,-75.1857570866063,39.9733050852491,"c(-75.1857570866063, 39.9733050852491)"
3002 POPLAR ST,0.02,0.04,0.06,0.09,0.14,0.22,0.29,0.39,0.49,0.59,0.2,0.22,0.25,0.28,0.31,East Park,-75.1855975640423,39.973285612191,"c(-75.1855975640423, 39.973285612191)"
880 N 30TH ST,0.04,0.06,0.09,0.13,0.19,0.17,0.24,0.32,0.42,0.53,0.23,0.25,0.28,0.32,0.35,East Park,-75.1856704888173,39.9731860702312,"c(-75.1856704888173, 39.9731860702312)"
3006 POPLAR ST,0.04,0.06,0.09,0.13,0.19,0.16,0.23,0.31,0.4,0.51,0.23,0.25,0.28,0.32,0.35,East Park,-75.1857036649811,39.9732987890496,"c(-75.1857036649811, 39.9732987890496)"
868 N 30TH ST,0.02,0.04,0.06,0.09,0.13,0.32,0.42,0.52,0.63,0.72,0.33,0.36,0.4,0.43,0.47,East Park,-75.1857230763187,39.9729408833231,"c(-75.1857230763187, 39.9729408833231)"
3004 POPLAR ST,0.02,0.04,0.06,0.09,0.14,0.27,0.36,0.46,0.56,0.66,0.33,0.36,0.4,0.43,0.47,East Park,-75.1856503640368,39.9732918711224,"c(-75.1856503640368, 39.9732918711224)"
866 N 30TH ST,0.02,0.04,0.06,0.09,0.13,0.22,0.29,0.39,0.49,0.59,0.2,0.22,0.25,0.28,0.31,East Park,-75.185714630849,39.9728993049308,"c(-75.185714630849, 39.9728993049308)"
3014 POPLAR ST,0.04,0.06,0.09,0.13,0.2,0.16,0.23,0.31,0.41,0.51,0.23,0.25,0.28,0.32,0.35,East Park,-75.1859200629243,39.9733105632947,"c(-75.1859200629243, 39.9733105632947)"
3010 POPLAR ST,0.02,0.04,0.06,0.09,0.14,0.2,0.28,0.37,0.47,0.57,0.2,0.22,0.25,0.28,0.31,East Park,-75.18581621849,39.9732914336361,"c(-75.18581621849, 39.9732914336361)"
870 N 30TH ST,0.04,0.06,0.09,0.13,0.19,0.19,0.26,0.35,0.45,0.55,0.23,0.25,0.28,0.32,0.35,East Park,-75.1857289271602,39.9729825109536,"c(-75.1857289271602, 39.9729825109536)"
876 N 30TH ST,0.02,0.04,0.06,0.09,0.13,0.23,0.32,0.41,0.52,0.62,0.2,0.22,0.25,0.28,0.31,East Park,-75.185749289272,39.9731118580564,"c(-75.185749289272, 39.9731118580564)"
878 N 30TH ST,0.02,0.04,0.06,0.09,0.14,0.16,0.22,0.3,0.39,0.5,0.2,0.22,0.25,0.28,0.31,East Park,-75.1857577273102,39.9731554338164,"c(-75.1857577273102, 39.9731554338164)"
874 N 30TH ST,0.02,0.04,0.06,0.09,0.13,0.23,0.31,0.41,0.51,0.62,0.2,0.22,0.25,0.28,0.31,East Park,-75.1857435336293,39.9730684215263,"c(-75.1857435336293, 39.9730684215263)"
864 N 30TH ST,0.02,0.04,0.06,0.09,0.13,0.2,0.28,0.37,0.47,0.58,0.2,0.22,0.25,0.28,0.31,East Park,-75.1857113566662,39.9728541029107,"c(-75.1857113566662, 39.9728541029107)"
