address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
4219 W GIRARD AVE,0.07,0.1,0.15,0.22,0.3,0.07,0.11,0.16,0.22,0.3,0.22,0.25,0.28,0.31,0.35,East Parkside,-75.2105288647646,39.9737152944061,"c(-75.2105288647646, 39.9737152944061)"
4146 POPLAR ST,0.07,0.1,0.15,0.22,0.31,0.07,0.1,0.14,0.2,0.28,0.34,0.37,0.41,0.44,0.48,East Parkside,-75.2075977319624,39.9725053305016,"c(-75.2075977319624, 39.9725053305016)"
4028 PARKSIDE AVE,0.04,0.06,0.1,0.15,0.21,0.08,0.11,0.16,0.23,0.31,0.3,0.33,0.37,0.4,0.44,East Parkside,-75.2051253267198,39.9744141479281,"c(-75.2051253267198, 39.9744141479281)"
3805 WYALUSING AVE,0.07,0.1,0.15,0.22,0.31,0.07,0.1,0.14,0.2,0.28,0.34,0.37,0.41,0.44,0.48,East Parkside,-75.1994157135989,39.9728165097977,"c(-75.1994157135989, 39.9728165097977)"
1100 N 40TH ST,0.07,0.11,0.16,0.23,0.32,0.11,0.16,0.23,0.31,0.41,0.34,0.37,0.41,0.44,0.48,East Parkside,-75.2043924219691,39.9727786963014,"c(-75.2043924219691, 39.9727786963014)"
3957 PENNSGROVE ST,0.06,0.1,0.14,0.21,0.29,0.06,0.09,0.14,0.19,0.27,0.33,0.37,0.41,0.44,0.48,East Parkside,-75.2030490234661,39.9720466574513,"c(-75.2030490234661, 39.9720466574513)"
3921 PENNSGROVE ST,0.06,0.09,0.14,0.2,0.29,0.07,0.1,0.14,0.2,0.27,0.23,0.25,0.28,0.31,0.35,East Parkside,-75.202031398449,39.9721594778395,"c(-75.202031398449, 39.9721594778395)"
4142 LEIDY AVE,0.06,0.1,0.14,0.21,0.3,0.05,0.07,0.11,0.16,0.22,0.22,0.25,0.28,0.31,0.35,East Parkside,-75.2087840066534,39.9742662859677,"c(-75.2087840066534, 39.9742662859677)"
4285 VIOLA ST,0.07,0.1,0.15,0.22,0.31,0.06,0.09,0.14,0.19,0.27,0.22,0.25,0.28,0.31,0.35,East Parkside,-75.2121014133469,39.9766300101883,"c(-75.2121014133469, 39.9766300101883)"
1220 N 42ND ST,0.07,0.1,0.15,0.22,0.31,0.08,0.12,0.18,0.25,0.33,0.36,0.4,0.43,0.47,0.51,East Parkside,-75.2102430217903,39.9743587908082,"c(-75.2102430217903, 39.9743587908082)"
3827 POPLAR ST,0.04,0.07,0.1,0.15,0.22,0.08,0.12,0.17,0.24,0.32,0.3,0.33,0.37,0.4,0.44,East Parkside,-75.2001204194177,39.9733577825274,"c(-75.2001204194177, 39.9733577825274)"
3840 WYALUSING AVE,0.04,0.07,0.1,0.15,0.22,0.08,0.12,0.17,0.24,0.32,0.3,0.33,0.37,0.4,0.44,East Parkside,-75.2002671308673,39.9724442942445,"c(-75.2002671308673, 39.9724442942445)"
4234 VIOLA ST,0.07,0.1,0.15,0.22,0.31,0.06,0.09,0.14,0.19,0.27,0.22,0.25,0.28,0.31,0.35,East Parkside,-75.2110281605037,39.9759003807972,"c(-75.2110281605037, 39.9759003807972)"
3826 W GIRARD AVE,0.06,0.09,0.14,0.21,0.29,0.05,0.08,0.11,0.16,0.22,0.22,0.25,0.28,0.31,0.35,East Parkside,-75.2003153338212,39.9742697453996,"c(-75.2003153338212, 39.9742697453996)"
3901 POPLAR ST,0.06,0.09,0.14,0.21,0.29,0.06,0.09,0.13,0.19,0.26,0.34,0.37,0.41,0.44,0.48,East Parkside,-75.2016615077853,39.9731614774927,"c(-75.2016615077853, 39.9731614774927)"
4064 PARKSIDE AVE,0.06,0.09,0.13,0.19,0.27,0.08,0.12,0.17,0.23,0.32,0.34,0.37,0.41,0.44,0.48,East Parkside,-75.2062304919811,39.9748436032075,"c(-75.2062304919811, 39.9748436032075)"
4264 VIOLA ST,0.07,0.1,0.15,0.22,0.31,0.05,0.08,0.11,0.16,0.22,0.22,0.25,0.28,0.31,0.35,East Parkside,-75.2118087963542,39.9761754325693,"c(-75.2118087963542, 39.9761754325693)"
4176 LEIDY AVE,0.07,0.1,0.15,0.22,0.31,0.06,0.08,0.12,0.17,0.24,0.23,0.25,0.28,0.32,0.35,East Parkside,-75.20988874837,39.9747319813458,"c(-75.20988874837, 39.9747319813458)"
3925 PENNSGROVE ST,0.06,0.09,0.14,0.2,0.29,0.06,0.09,0.13,0.19,0.26,0.22,0.25,0.28,0.31,0.35,East Parkside,-75.2021444370121,39.9721468824306,"c(-75.2021444370121, 39.9721468824306)"
1107 SLOAN ST,0.07,0.1,0.15,0.22,0.31,0.06,0.09,0.14,0.19,0.27,0.34,0.37,0.41,0.44,0.48,East Parkside,-75.2032817585803,39.9730209817451,"c(-75.2032817585803, 39.9730209817451)"
