"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","1744 E PASSYUNK AVE",0.05,0.07,0.11,0.16,0.23,0.25,0.33,0.43,0.54,0.64,0.25,0.33,0.43,0.54,0.64,"East Passyunk","-75.1660843248918","39.927883997051",c(-75.1660843248918, 39.927883997051)
"2","1645 S CAMAC ST",0.03,0.04,0.07,0.1,0.15,0.32,0.42,0.52,0.62,0.72,0.32,0.42,0.52,0.62,0.72,"East Passyunk","-75.1652897700972","39.9290410537585",c(-75.1652897700972, 39.9290410537585)
"3","1629 S BEULAH ST",0.02,0.03,0.05,0.07,0.11,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"East Passyunk","-75.1574087910881","39.928316986929",c(-75.1574087910881, 39.928316986929)
"4","1611 S JUNIPER ST",0.03,0.05,0.07,0.11,0.16,0.18,0.25,0.33,0.43,0.54,0.18,0.25,0.33,0.43,0.54,"East Passyunk","-75.1672831616305","39.9298582186183",c(-75.1672831616305, 39.9298582186183)
"5","2007 S 10TH ST",0.03,0.05,0.08,0.12,0.17,0.14,0.2,0.27,0.36,0.46,0.14,0.2,0.27,0.36,0.46,"East Passyunk","-75.162460736684","39.9244689870583",c(-75.162460736684, 39.9244689870583)
"6","1947 S ISEMINGER ST",0.04,0.07,0.1,0.15,0.22,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"East Passyunk","-75.1666061201109","39.9253197543833",c(-75.1666061201109, 39.9253197543833)
"7","2005 S HUTCHINSON ST",0.02,0.03,0.05,0.08,0.12,0.19,0.26,0.35,0.45,0.55,0.19,0.26,0.35,0.45,0.55,"East Passyunk","-75.1619510774054","39.9244508347558",c(-75.1619510774054, 39.9244508347558)
"8","808-10 MORRIS ST",0.02,0.04,0.06,0.08,0.13,0.34,0.44,0.54,0.64,0.73,0.34,0.44,0.54,0.64,0.73,"East Passyunk","-75.1591197340548","39.9278179390158",c(-75.1591197340548, 39.9278179390158)
"9","1634 S 7TH ST",0.03,0.05,0.07,0.11,0.16,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"East Passyunk","-75.1572257727618","39.9281674020954",c(-75.1572257727618, 39.9281674020954)
"10","1023 MCKEAN ST",0.03,0.04,0.07,0.1,0.16,0.18,0.25,0.33,0.43,0.54,0.18,0.25,0.33,0.43,0.54,"East Passyunk","-75.1638051778906","39.9250075456725",c(-75.1638051778906, 39.9250075456725)
"11","1237 SNYDER AVE",0.03,0.04,0.07,0.1,0.15,0.17,0.23,0.32,0.41,0.52,0.17,0.23,0.32,0.41,0.52,"East Passyunk","-75.1671341103919","39.9242417445385",c(-75.1671341103919, 39.9242417445385)
"12","812 FERNON ST",0.02,0.03,0.05,0.07,0.11,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"East Passyunk","-75.1590847271168","39.9287096704867",c(-75.1590847271168, 39.9287096704867)
"13","1011 MOUNTAIN ST",0.03,0.04,0.06,0.1,0.15,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"East Passyunk","-75.1623197159619","39.9289875098278",c(-75.1623197159619, 39.9289875098278)
"14","1138 MERCY ST",0.04,0.06,0.1,0.15,0.21,0.15,0.21,0.29,0.39,0.49,0.15,0.21,0.29,0.39,0.49,"East Passyunk","-75.1654460026489","39.9241859315193",c(-75.1654460026489, 39.9241859315193)
"15","1830 S 12TH ST",0.02,0.03,0.05,0.08,0.12,0.3,0.4,0.5,0.61,0.7,0.3,0.4,0.5,0.61,0.7,"East Passyunk","-75.1656019257876","39.9268000267665",c(-75.1656019257876, 39.9268000267665)
"16","1721 S ISEMINGER ST",0.03,0.05,0.07,0.11,0.16,0.21,0.28,0.38,0.48,0.58,0.21,0.28,0.38,0.48,0.58,"East Passyunk","-75.1658285634076","39.9284264083224",c(-75.1658285634076, 39.9284264083224)
"17","1142 MERCY ST",0.04,0.06,0.1,0.15,0.21,0.27,0.36,0.46,0.56,0.66,0.27,0.36,0.46,0.56,0.66,"East Passyunk","-75.1655420063197","39.9241987724086",c(-75.1655420063197, 39.9241987724086)
"18","1031 FERNON ST",0.02,0.03,0.04,0.07,0.1,0.3,0.4,0.5,0.61,0.7,0.3,0.4,0.5,0.61,0.7,"East Passyunk","-75.1626463428288","39.9293928364969",c(-75.1626463428288, 39.9293928364969)
"19","1600 E PASSYUNK AVE",0.05,0.08,0.12,0.18,0.25,0.24,0.32,0.42,0.52,0.62,0.24,0.32,0.42,0.52,0.62,"East Passyunk","-75.1637778767432","39.9297485349083",c(-75.1637778767432, 39.9297485349083)
"20","1614 S CLARION ST",0.03,0.05,0.07,0.11,0.16,0.19,0.26,0.35,0.45,0.55,0.19,0.26,0.35,0.45,0.55,"East Passyunk","-75.1670640058082","39.9298375518099",c(-75.1670640058082, 39.9298375518099)
"21","2019 S 13TH ST",0.04,0.06,0.1,0.14,0.21,0.19,0.27,0.36,0.46,0.56,0.19,0.27,0.36,0.46,0.56,"East Passyunk","-75.167246728145","39.9247116875939",c(-75.167246728145, 39.9247116875939)
"22","1614 S JUNIPER ST",0.03,0.05,0.07,0.11,0.16,0.25,0.33,0.43,0.53,0.64,0.25,0.33,0.43,0.53,0.64,"East Passyunk","-75.1676849732251","39.9298736033418",c(-75.1676849732251, 39.9298736033418)
"23","1904 S ALDER ST",0.04,0.06,0.09,0.13,0.19,0.25,0.34,0.44,0.54,0.64,0.25,0.34,0.44,0.54,0.64,"East Passyunk","-75.1630938660141","39.9257464853932",c(-75.1630938660141, 39.9257464853932)
"24","1926 S 12TH ST",0.03,0.05,0.07,0.11,0.16,0.25,0.33,0.43,0.53,0.64,0.25,0.33,0.43,0.53,0.64,"East Passyunk","-75.1658146138885","39.925716590752",c(-75.1658146138885, 39.925716590752)
"25","1809 S CAMAC ST",0.03,0.04,0.07,0.1,0.15,0.19,0.27,0.36,0.46,0.56,0.19,0.27,0.36,0.46,0.56,"East Passyunk","-75.1657283666202","39.9272481179749",c(-75.1657283666202, 39.9272481179749)
"26","1306 SIGEL ST",0.03,0.04,0.07,0.1,0.16,0.2,0.27,0.36,0.46,0.57,0.2,0.27,0.36,0.46,0.57,"East Passyunk","-75.1675064782253","39.9269199362859",c(-75.1675064782253, 39.9269199362859)
"27","1602 S 12TH ST",0.03,0.05,0.07,0.11,0.16,0.31,0.41,0.51,0.61,0.71,0.31,0.41,0.51,0.61,0.71,"East Passyunk","-75.164910836501","39.9298918619531",c(-75.164910836501, 39.9298918619531)
"28","1922 S JUNIPER ST",0.03,0.05,0.07,0.11,0.16,0.19,0.26,0.35,0.45,0.55,0.19,0.26,0.35,0.45,0.55,"East Passyunk","-75.1686249155806","39.9262259167543",c(-75.1686249155806, 39.9262259167543)
"29","1949 S 11TH ST",0.04,0.07,0.1,0.15,0.22,0.15,0.21,0.29,0.39,0.49,0.15,0.21,0.29,0.39,0.49,"East Passyunk","-75.1639488457165","39.9250593425106",c(-75.1639488457165, 39.9250593425106)
"30","1837 S WATTS ST",0.03,0.05,0.07,0.11,0.16,0.23,0.31,0.41,0.51,0.61,0.23,0.31,0.41,0.51,0.61,"East Passyunk","-75.1683587688494","39.9271505550905",c(-75.1683587688494, 39.9271505550905)
"31","941 MCKEAN ST",0.03,0.05,0.07,0.11,0.16,0.12,0.18,0.25,0.33,0.43,0.12,0.18,0.25,0.33,0.43,"East Passyunk","-75.1624593432258","39.9248492623377",c(-75.1624593432258, 39.9248492623377)
"32","905 FERNON ST",0.02,0.03,0.05,0.07,0.11,0.21,0.29,0.38,0.49,0.59,0.21,0.29,0.38,0.49,0.59,"East Passyunk","-75.1604439980475","39.9291410153096",c(-75.1604439980475, 39.9291410153096)
"33","735 MOORE ST",0.02,0.03,0.05,0.08,0.12,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"East Passyunk","-75.1584205125616","39.9268776022324",c(-75.1584205125616, 39.9268776022324)
"34","733 MOORE ST",0.03,0.05,0.08,0.12,0.18,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"East Passyunk","-75.158365517701","39.92687079104",c(-75.158365517701, 39.92687079104)
"35","1717 S 8TH ST",0.03,0.05,0.08,0.12,0.18,0.15,0.22,0.3,0.39,0.49,0.15,0.22,0.3,0.39,0.49,"East Passyunk","-75.1585874452815","39.9273307459475",c(-75.1585874452815, 39.9273307459475)
"36","1004 FERNON ST",0.03,0.04,0.07,0.1,0.15,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"East Passyunk","-75.1621094436839","39.9290903732582",c(-75.1621094436839, 39.9290903732582)
"37","1630 S FRANKLIN ST",0.02,0.03,0.05,0.08,0.12,0.19,0.27,0.36,0.46,0.56,0.19,0.27,0.36,0.46,0.56,"East Passyunk","-75.1581524312624","39.9284042665678",c(-75.1581524312624, 39.9284042665678)
"38","1923 S SARTAIN ST",0.03,0.05,0.07,0.11,0.16,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"East Passyunk","-75.1649391005069","39.9255569930446",c(-75.1649391005069, 39.9255569930446)
"39","1113 MERCY ST",0.03,0.05,0.07,0.11,0.16,0.2,0.27,0.36,0.46,0.57,0.2,0.27,0.36,0.46,0.57,"East Passyunk","-75.1647354049119","39.924297594848",c(-75.1647354049119, 39.924297594848)
"40","1834 S 10TH ST",0.02,0.02,0.04,0.06,0.09,0.25,0.34,0.44,0.55,0.65,0.25,0.34,0.44,0.55,0.65,"East Passyunk","-75.1625054738339","39.9261810479119",c(-75.1625054738339, 39.9261810479119)
"41","1138 MCKEAN ST",0.03,0.05,0.07,0.11,0.16,0.26,0.34,0.44,0.55,0.65,0.26,0.34,0.44,0.55,0.65,"East Passyunk","-75.1654297501382","39.9249082865537",c(-75.1654297501382, 39.9249082865537)
"42","922 MCCLELLAN ST",0.01,0.02,0.03,0.05,0.08,0.32,0.42,0.52,0.62,0.72,0.32,0.42,0.52,0.62,0.72,"East Passyunk","-75.1614674102316","39.9264647630143",c(-75.1614674102316, 39.9264647630143)
"43","710 TASKER ST",0.02,0.03,0.05,0.07,0.11,0.31,0.41,0.51,0.61,0.71,0.31,0.41,0.51,0.61,0.71,"East Passyunk","-75.1572475468517","39.92887483004",c(-75.1572475468517, 39.92887483004)
"44","722 MORRIS ST",0.02,0.03,0.05,0.08,0.12,0.25,0.34,0.44,0.54,0.64,0.25,0.34,0.44,0.54,0.64,"East Passyunk","-75.1578643063932","39.9276905518495",c(-75.1578643063932, 39.9276905518495)
"45","913 WATKINS ST",0.03,0.04,0.06,0.09,0.14,0.15,0.21,0.29,0.38,0.49,0.15,0.21,0.29,0.38,0.49,"East Passyunk","-75.1608094328993","39.9279464759351",c(-75.1608094328993, 39.9279464759351)
"46","1819 S CAMAC ST",0.02,0.03,0.05,0.07,0.11,0.22,0.3,0.4,0.5,0.6,0.22,0.3,0.4,0.5,0.6,"East Passyunk","-75.1657682373509","39.9270587885701",c(-75.1657682373509, 39.9270587885701)
"47","810 MCCLELLAN ST",0.02,0.03,0.04,0.06,0.1,0.34,0.44,0.55,0.65,0.74,0.34,0.44,0.55,0.65,0.74,"East Passyunk","-75.1596192746348","39.9262612701907",c(-75.1596192746348, 39.9262612701907)
"48","714 MOUNTAIN ST",0.02,0.03,0.05,0.07,0.11,0.21,0.29,0.38,0.49,0.59,0.21,0.29,0.38,0.49,0.59,"East Passyunk","-75.157737704789","39.9281407959926",c(-75.157737704789, 39.9281407959926)
"49","928 FERNON ST",0.02,0.03,0.05,0.07,0.11,0.31,0.4,0.51,0.61,0.7,0.31,0.4,0.51,0.61,0.7,"East Passyunk","-75.1610611991974","39.928967788093",c(-75.1610611991974, 39.928967788093)
"50","1905 S WARNOCK ST",0.02,0.04,0.06,0.09,0.14,0.28,0.37,0.47,0.57,0.67,0.28,0.37,0.47,0.57,0.67,"East Passyunk","-75.1632910184919","39.9257148652057",c(-75.1632910184919, 39.9257148652057)
"51","2031 S 10TH ST",0.02,0.03,0.05,0.08,0.12,0.28,0.37,0.47,0.58,0.67,0.28,0.37,0.47,0.58,0.67,"East Passyunk","-75.1625705224299","39.9239502989639",c(-75.1625705224299, 39.9239502989639)
"52","1935 S WARNOCK ST",0.03,0.04,0.07,0.1,0.15,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"East Passyunk","-75.1634182981802","39.9251421622314",c(-75.1634182981802, 39.9251421622314)
"53","1304 MCCLELLAN ST",0.04,0.06,0.1,0.15,0.21,0.15,0.21,0.29,0.39,0.49,0.15,0.21,0.29,0.39,0.49,"East Passyunk","-75.167378128157","39.9272849898303",c(-75.167378128157, 39.9272849898303)
"54","1927 S CAMAC ST",0.03,0.05,0.07,0.11,0.16,0.28,0.37,0.47,0.57,0.67,0.28,0.37,0.47,0.57,0.67,"East Passyunk","-75.1660410547505","39.9256473453364",c(-75.1660410547505, 39.9256473453364)
"55","1229 EMILY ST",0.04,0.06,0.09,0.14,0.21,0.17,0.23,0.32,0.41,0.52,0.17,0.23,0.32,0.41,0.52,"East Passyunk","-75.1666615596859","39.9248945633687",c(-75.1666615596859, 39.9248945633687)
"56","1807 S 11TH ST",0.02,0.04,0.05,0.08,0.13,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"East Passyunk","-75.1635034134995","39.9271079041603",c(-75.1635034134995, 39.9271079041603)
"57","1230 MERCY ST",0.03,0.04,0.06,0.1,0.15,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"East Passyunk","-75.1668507845632","39.924359342087",c(-75.1668507845632, 39.924359342087)
"58","1204 EMILY ST",0.03,0.04,0.06,0.1,0.15,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"East Passyunk","-75.1662498111978","39.9246320901223",c(-75.1662498111978, 39.9246320901223)
"59","1028 MIFFLIN ST",0.02,0.04,0.06,0.09,0.14,0.29,0.38,0.48,0.59,0.68,0.29,0.38,0.48,0.59,0.68,"East Passyunk","-75.1635255148535","39.9259277958438",c(-75.1635255148535, 39.9259277958438)
"60","1314 MOORE ST",0.03,0.04,0.07,0.1,0.15,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"East Passyunk","-75.1674648236613","39.9276936247392",c(-75.1674648236613, 39.9276936247392)
"61","1933 S ALDER ST",0.03,0.04,0.06,0.1,0.14,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"East Passyunk","-75.162949986589","39.925123450571",c(-75.162949986589, 39.925123450571)
"62","1932 S 9TH ST",0.02,0.03,0.05,0.08,0.11,0.18,0.25,0.33,0.43,0.53,0.18,0.25,0.33,0.43,0.53,"East Passyunk","-75.161172557747","39.9248354805236",c(-75.161172557747, 39.9248354805236)
"63","1117 MOORE ST",0.02,0.03,0.04,0.06,0.09,0.22,0.29,0.39,0.49,0.59,0.22,0.29,0.39,0.49,0.59,"East Passyunk","-75.1641277606149","39.9275739141981",c(-75.1641277606149, 39.9275739141981)
"64","906 MIFFLIN ST",0.02,0.03,0.04,0.07,0.1,0.18,0.25,0.33,0.43,0.54,0.18,0.25,0.33,0.43,0.54,"East Passyunk","-75.1612041988922","39.9256193205526",c(-75.1612041988922, 39.9256193205526)
"65","926 MOORE ST",0.01,0.02,0.03,0.05,0.08,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"East Passyunk","-75.1615213561336","39.9269009595191",c(-75.1615213561336, 39.9269009595191)
