"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","601 N 8TH ST",0.02,0.03,0.04,0.07,0.1,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"East Poplar","-75.1506523194136","39.9628571627987",c(-75.1506523194136, 39.9628571627987)
"2","674 FRANKLIN PL",0.06,0.09,0.13,0.19,0.27,0.11,0.15,0.22,0.3,0.39,0.11,0.15,0.22,0.3,0.39,"East Poplar","-75.1504348501275","39.9637999763026",c(-75.1504348501275, 39.9637999763026)
"3","672 FRANKLIN PL",0.06,0.09,0.13,0.19,0.27,0.11,0.16,0.22,0.3,0.4,0.11,0.16,0.22,0.3,0.4,"East Poplar","-75.1504348501275","39.9637999763026",c(-75.1504348501275, 39.9637999763026)
"4","817 HOFFMAN PL",0.03,0.05,0.08,0.12,0.17,0.16,0.22,0.3,0.4,0.5,0.16,0.22,0.3,0.4,0.5,"East Poplar","-75.1480682134932","39.9651897355489",c(-75.1480682134932, 39.9651897355489)
"5","735 NORTH TER",0.06,0.09,0.13,0.19,0.27,0.1,0.14,0.2,0.27,0.36,0.1,0.14,0.2,0.27,0.36,"East Poplar","-75.1504348501275","39.9637999763026",c(-75.1504348501275, 39.9637999763026)
"6","1001 N MARSHALL ST",0.05,0.08,0.12,0.18,0.26,0.14,0.2,0.27,0.36,0.46,0.14,0.2,0.27,0.36,0.46,"East Poplar","-75.1472147150376","39.9698390404698",c(-75.1472147150376, 39.9698390404698)
"7","631 BEULAH PL",0.06,0.09,0.13,0.19,0.27,0.11,0.16,0.22,0.3,0.4,0.11,0.16,0.22,0.3,0.4,"East Poplar","-75.1504348501275","39.9637999763026",c(-75.1504348501275, 39.9637999763026)
"8","705 FAIRMOUNT AVE",0.04,0.06,0.09,0.14,0.2,0.18,0.25,0.33,0.43,0.53,0.18,0.25,0.33,0.43,0.53,"East Poplar","-75.1495444779266","39.9642503896271",c(-75.1495444779266, 39.9642503896271)
"9","721 NORTH TER",0.06,0.09,0.13,0.19,0.27,0.11,0.16,0.22,0.3,0.4,0.11,0.16,0.22,0.3,0.4,"East Poplar","-75.1504348501275","39.9637999763026",c(-75.1504348501275, 39.9637999763026)
"10","733 MELON PL",0.06,0.09,0.13,0.19,0.27,0.08,0.12,0.17,0.24,0.33,0.08,0.12,0.17,0.24,0.33,"East Poplar","-75.1504348501275","39.9637999763026",c(-75.1504348501275, 39.9637999763026)
"11","731 MELON PL",0.06,0.09,0.13,0.19,0.27,0.09,0.13,0.18,0.25,0.34,0.09,0.13,0.18,0.25,0.34,"East Poplar","-75.1504348501275","39.9637999763026",c(-75.1504348501275, 39.9637999763026)
"12","922 N MARSHALL ST",0.06,0.1,0.14,0.21,0.29,0.13,0.18,0.26,0.34,0.44,0.13,0.18,0.26,0.34,0.44,"East Poplar","-75.1480378326319","39.967919426739",c(-75.1480378326319, 39.967919426739)
