address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
8005 MARS PL,0.02,0.04,0.06,0.09,0.14,0.18,0.24,0.33,0.43,0.53,0.2,0.22,0.25,0.28,0.31,Eastwick,-75.2507935831266,39.9039128522095,"c(-75.2507935831266, 39.9039128522095)"
2702 DOTHAN TER,0.03,0.04,0.07,0.1,0.15,0.18,0.25,0.33,0.43,0.54,0.2,0.22,0.25,0.28,0.31,Eastwick,-75.2444761359768,39.9066184128555,"c(-75.2444761359768, 39.9066184128555)"
8047 BUIST AVE,0.02,0.04,0.06,0.09,0.14,0.18,0.25,0.33,0.43,0.53,0.3,0.33,0.37,0.4,0.44,Eastwick,-75.2511253021196,39.9024302954662,"c(-75.2511253021196, 39.9024302954662)"
2747 S 78TH ST,0.03,0.04,0.06,0.09,0.14,0.18,0.25,0.34,0.43,0.54,0.3,0.33,0.37,0.4,0.44,Eastwick,-75.2438014307958,39.9044874916159,"c(-75.2438014307958, 39.9044874916159)"
7717 OLYMPUS PL,0.04,0.06,0.09,0.14,0.2,0.14,0.2,0.28,0.37,0.47,0.34,0.37,0.41,0.44,0.48,Eastwick,-75.2442933328808,39.905199067844,"c(-75.2442933328808, 39.905199067844)"
8222 BUIST AVE,0.02,0.04,0.06,0.09,0.13,0.18,0.25,0.34,0.44,0.54,0.3,0.33,0.37,0.4,0.44,Eastwick,-75.2524470770454,39.9001331688029,"c(-75.2524470770454, 39.9001331688029)"
8028 CHELWYNDE AVE,0.03,0.04,0.06,0.09,0.14,0.19,0.26,0.35,0.45,0.55,0.3,0.33,0.37,0.4,0.44,Eastwick,-75.2493268729865,39.9022784065522,"c(-75.2493268729865, 39.9022784065522)"
2613 S 83RD ST,0.02,0.04,0.06,0.09,0.13,0.18,0.25,0.33,0.43,0.54,0.2,0.22,0.25,0.28,0.31,Eastwick,-75.2521370848391,39.8993894711257,"c(-75.2521370848391, 39.8993894711257)"
2726 S 76TH ST,0.03,0.04,0.06,0.1,0.15,0.18,0.25,0.33,0.43,0.53,0.3,0.33,0.37,0.4,0.44,Eastwick,-75.24253485565,39.9071074564836,"c(-75.24253485565, 39.9071074564836)"
7709 DELPHI PL,0.04,0.06,0.1,0.14,0.21,0.14,0.2,0.27,0.37,0.47,0.34,0.37,0.41,0.44,0.48,Eastwick,-75.2447465269267,39.9058354927302,"c(-75.2447465269267, 39.9058354927302)"
2627 CAESAR PL,0.03,0.04,0.06,0.09,0.14,0.16,0.23,0.31,0.41,0.51,0.2,0.22,0.25,0.28,0.31,Eastwick,-75.2495491603368,39.9018796066655,"c(-75.2495491603368, 39.9018796066655)"
2702 ISLAND AVE,0.04,0.07,0.1,0.15,0.22,0.14,0.2,0.28,0.37,0.47,0.23,0.25,0.28,0.31,0.35,Eastwick,-75.2423861866305,39.9090180532861,"c(-75.2423861866305, 39.9090180532861)"
8011 BUIST AVE,0.04,0.06,0.09,0.13,0.2,0.14,0.2,0.28,0.37,0.47,0.23,0.25,0.28,0.31,0.35,Eastwick,-75.2503011677316,39.9033504747201,"c(-75.2503011677316, 39.9033504747201)"
8003 MARS PL,0.04,0.06,0.09,0.13,0.19,0.14,0.2,0.28,0.37,0.47,0.23,0.25,0.28,0.31,0.35,Eastwick,-75.2507576287849,39.9039539941809,"c(-75.2507576287849, 39.9039539941809)"
2764 S 86TH ST,0.02,0.03,0.05,0.07,0.11,0.16,0.23,0.31,0.41,0.51,0.3,0.33,0.37,0.4,0.44,Eastwick,-75.2517482489707,39.8929325116735,"c(-75.2517482489707, 39.8929325116735)"
