"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","7118 ELMWOOD AVE",0.05,0.08,0.12,0.18,0.26,0.2,0.27,0.37,0.47,0.57,0.2,0.27,0.37,0.47,0.57,"Elmwood","-75.239248137367","39.9156099454346",c(-75.239248137367, 39.9156099454346)
"2","2501 S ROBINSON ST",0.03,0.04,0.07,0.1,0.15,0.22,0.3,0.39,0.49,0.6,0.22,0.3,0.39,0.49,0.6,"Elmwood","-75.2255782616689","39.9253717694854",c(-75.2255782616689, 39.9253717694854)
"3","7120 ELMWOOD AVE",0.05,0.08,0.12,0.18,0.26,0.2,0.27,0.37,0.47,0.57,0.2,0.27,0.37,0.47,0.57,"Elmwood","-75.2392896921428","39.9155799539986",c(-75.2392896921428, 39.9155799539986)
"4","2404 S MILLICK ST",0.05,0.08,0.12,0.17,0.25,0.1,0.15,0.21,0.28,0.37,0.1,0.15,0.21,0.28,0.37,"Elmwood","-75.2256701220062","39.9273486613931",c(-75.2256701220062, 39.9273486613931)
"5","2649 CARROLL ST",0.03,0.05,0.07,0.11,0.17,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Elmwood","-75.2323687678398","39.9169901901424",c(-75.2323687678398, 39.9169901901424)
"6","6819 GUYER AVE",0.05,0.07,0.11,0.16,0.23,0.09,0.13,0.18,0.25,0.34,0.09,0.13,0.18,0.25,0.34,"Elmwood","-75.2317914666177","39.9163416094942",c(-75.2317914666177, 39.9163416094942)
"7","7041 ELMWOOD AVE",0.04,0.05,0.08,0.13,0.19,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"Elmwood","-75.2386862223587","39.9166219781763",c(-75.2386862223587, 39.9166219781763)
"8","3015 S 68TH ST",0.05,0.07,0.11,0.16,0.23,0.09,0.13,0.18,0.25,0.34,0.09,0.13,0.18,0.25,0.34,"Elmwood","-75.2278609388765","39.9142950028185",c(-75.2278609388765, 39.9142950028185)
"9","6052 ELMWOOD AVE",0.09,0.14,0.2,0.29,0.39,0.28,0.37,0.47,0.58,0.67,0.28,0.37,0.47,0.58,0.67,"Elmwood","-75.2245455542578","39.9259824603229",c(-75.2245455542578, 39.9259824603229)
"10","2521 S 62ND ST",0.04,0.06,0.09,0.14,0.21,0.1,0.15,0.21,0.28,0.38,0.1,0.15,0.21,0.28,0.38,"Elmwood","-75.2256666616002","39.9247090273387",c(-75.2256666616002, 39.9247090273387)
"11","6620 CORMORANT PL",0.03,0.05,0.07,0.11,0.16,0.13,0.18,0.26,0.34,0.44,0.13,0.18,0.26,0.34,0.44,"Elmwood","-75.2282290066002","39.9171840693617",c(-75.2282290066002, 39.9171840693617)
"12","6318 GRAYS AVE",0.05,0.08,0.12,0.17,0.25,0.11,0.15,0.22,0.3,0.39,0.11,0.15,0.22,0.3,0.39,"Elmwood","-75.2294894944201","39.924681811929",c(-75.2294894944201, 39.924681811929)
"13","6701 ELMWOOD AVE",0.03,0.05,0.08,0.12,0.17,0.11,0.15,0.22,0.29,0.39,0.11,0.15,0.22,0.29,0.39,"Elmwood","-75.2331930328683","39.9204733219579",c(-75.2331930328683, 39.9204733219579)
