address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
3333 N LAWRENCE ST,0.15,0.22,0.3,0.41,0.52,0.14,0.19,0.27,0.36,0.46,0.42,0.46,0.49,0.53,0.57,Fairhill,-75.1367968357291,40.0021644142338,"c(-75.1367968357291, 40.0021644142338)"
3415 N FAIRHILL ST,0.05,0.08,0.12,0.18,0.26,0.09,0.13,0.19,0.26,0.35,0.2,0.22,0.25,0.28,0.31,Fairhill,-75.1390995805932,40.002733735034,"c(-75.1390995805932, 40.002733735034)"
2833 N ORKNEY ST,0.13,0.19,0.27,0.37,0.48,0.08,0.11,0.16,0.22,0.3,0.3,0.33,0.37,0.4,0.44,Fairhill,-75.1390987963715,39.9942932475773,"c(-75.1390987963715, 39.9942932475773)"
3421 N ORIANNA ST,0.05,0.08,0.12,0.17,0.25,0.09,0.13,0.18,0.25,0.34,0.2,0.22,0.25,0.28,0.31,Fairhill,-75.1353392957967,40.0029961521312,"c(-75.1353392957967, 40.0029961521312)"
2852 N LEITHGOW ST,0.07,0.11,0.16,0.23,0.32,0.06,0.09,0.13,0.18,0.25,0.22,0.25,0.28,0.31,0.35,Fairhill,-75.1383294338047,39.9944703921269,"c(-75.1383294338047, 39.9944703921269)"
3218 N RANDOLPH ST,0.08,0.13,0.19,0.26,0.36,0.07,0.11,0.15,0.22,0.3,0.22,0.25,0.28,0.31,0.35,Fairhill,-75.139543703838,40.0004197309392,"c(-75.139543703838, 40.0004197309392)"
2954 N FAIRHILL ST,0.08,0.12,0.18,0.26,0.36,0.07,0.1,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Fairhill,-75.1407957620838,39.9965350863924,"c(-75.1407957620838, 39.9965350863924)"
510 W CORNWALL ST,0.05,0.08,0.13,0.19,0.27,0.09,0.13,0.19,0.26,0.35,0.2,0.22,0.25,0.28,0.31,Fairhill,-75.1384873354687,40.0017877029742,"c(-75.1384873354687, 40.0017877029742)"
2843 N REESE ST,0.08,0.12,0.18,0.26,0.36,0.07,0.1,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Fairhill,-75.1401342301898,39.9946653022152,"c(-75.1401342301898, 39.9946653022152)"
3317 N FAIRHILL ST,0.08,0.12,0.18,0.26,0.36,0.07,0.11,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Fairhill,-75.1392884768364,40.0018932243562,"c(-75.1392884768364, 40.0018932243562)"
3419 N FAIRHILL ST,0.19,0.27,0.37,0.48,0.59,0.06,0.09,0.13,0.18,0.25,0.22,0.25,0.28,0.31,0.35,Fairhill,-75.1391394846803,40.0027980817533,"c(-75.1391394846803, 40.0027980817533)"
260 W ONTARIO ST,0.07,0.11,0.16,0.23,0.32,0.06,0.09,0.14,0.19,0.27,0.22,0.25,0.28,0.31,0.35,Fairhill,-75.1346644995691,40.0022593278043,"c(-75.1346644995691, 40.0022593278043)"
2829 N REESE ST,0.06,0.09,0.13,0.19,0.27,0.09,0.13,0.19,0.26,0.35,0.3,0.33,0.37,0.4,0.44,Fairhill,-75.140191734359,39.994400339559,"c(-75.140191734359, 39.994400339559)"
2939 N 5TH ST,0.08,0.12,0.18,0.25,0.35,0.11,0.16,0.23,0.31,0.41,0.23,0.25,0.28,0.31,0.35,Fairhill,-75.1390430325533,39.9960519880778,"c(-75.1390430325533, 39.9960519880778)"
429 W ONTARIO ST,0.07,0.11,0.16,0.24,0.33,0.07,0.1,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Fairhill,-75.1366831013325,40.002822376929,"c(-75.1366831013325, 40.002822376929)"
230 W ONTARIO ST,0.05,0.08,0.12,0.17,0.25,0.08,0.12,0.17,0.24,0.32,0.3,0.33,0.37,0.4,0.44,Fairhill,-75.1339257262914,40.0021642191433,"c(-75.1339257262914, 40.0021642191433)"
267 W WENSLEY ST,0.07,0.1,0.16,0.22,0.31,0.06,0.1,0.14,0.2,0.27,0.22,0.25,0.28,0.31,0.35,Fairhill,-75.1349375178192,40.0017868137023,"c(-75.1349375178192, 40.0017868137023)"
2822 N 5TH ST,0.09,0.13,0.19,0.27,0.37,0.14,0.19,0.27,0.36,0.46,0.34,0.37,0.41,0.44,0.48,Fairhill,-75.1399678724911,39.9942523924197,"c(-75.1399678724911, 39.9942523924197)"
2860 N ORIANNA ST,0.07,0.11,0.16,0.23,0.32,0.06,0.09,0.13,0.18,0.25,0.22,0.25,0.28,0.31,0.35,Fairhill,-75.1373789160158,39.994570377872,"c(-75.1373789160158, 39.994570377872)"
2911 N 6TH ST,0.05,0.08,0.13,0.18,0.26,0.09,0.13,0.19,0.26,0.35,0.2,0.22,0.25,0.28,0.31,Fairhill,-75.1412305760255,39.9957002177918,"c(-75.1412305760255, 39.9957002177918)"
2945 N 4TH ST,0.08,0.12,0.18,0.26,0.35,0.06,0.09,0.13,0.18,0.25,0.34,0.37,0.41,0.44,0.48,Fairhill,-75.1372876050312,39.9958209982968,"c(-75.1372876050312, 39.9958209982968)"
3414 N BODINE ST,0.07,0.11,0.16,0.23,0.32,0.07,0.1,0.15,0.21,0.29,0.34,0.37,0.41,0.44,0.48,Fairhill,-75.1345238255418,40.0027587616786,"c(-75.1345238255418, 40.0027587616786)"
2961 N 4TH ST,0.05,0.08,0.12,0.18,0.26,0.08,0.11,0.16,0.22,0.3,0.2,0.22,0.25,0.28,0.31,Fairhill,-75.1372209450331,39.9961252576281,"c(-75.1372209450331, 39.9961252576281)"
2856 N 5TH ST,0.08,0.12,0.18,0.26,0.36,0.07,0.1,0.15,0.21,0.29,0.34,0.37,0.41,0.44,0.48,Fairhill,-75.1398063097787,39.9950123846603,"c(-75.1398063097787, 39.9950123846603)"
3340 N LAWRENCE ST,0.05,0.08,0.12,0.18,0.25,0.08,0.12,0.17,0.24,0.32,0.2,0.22,0.25,0.28,0.31,Fairhill,-75.1372233044643,40.0020273014502,"c(-75.1372233044643, 40.0020273014502)"
3008 N 3RD ST,0.05,0.08,0.12,0.17,0.25,0.08,0.11,0.16,0.22,0.3,0.2,0.22,0.25,0.28,0.31,Fairhill,-75.1364811717981,39.9965576200806,"c(-75.1364811717981, 39.9965576200806)"
3448 N 3RD ST,0.08,0.11,0.17,0.24,0.34,0.07,0.1,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Fairhill,-75.1349824833716,40.0035430607922,"c(-75.1349824833716, 40.0035430607922)"
2912 N LAWRENCE ST,0.05,0.08,0.13,0.18,0.26,0.06,0.09,0.14,0.19,0.27,0.2,0.22,0.25,0.28,0.31,Fairhill,-75.1387030322648,39.9953855694213,"c(-75.1387030322648, 39.9953855694213)"
2903 N FAIRHILL ST,0.08,0.12,0.18,0.26,0.36,0.07,0.1,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Fairhill,-75.1406053368485,39.9954466569781,"c(-75.1406053368485, 39.9954466569781)"
2941 N 5TH ST,0.08,0.12,0.18,0.25,0.35,0.12,0.17,0.23,0.32,0.41,0.22,0.25,0.28,0.31,0.35,Fairhill,-75.1390327724246,39.9960937612754,"c(-75.1390327724246, 39.9960937612754)"
2947 N LAWRENCE ST,0.05,0.08,0.12,0.17,0.25,0.08,0.11,0.16,0.22,0.3,0.2,0.22,0.25,0.28,0.31,Fairhill,-75.1382105790416,39.9960018792543,"c(-75.1382105790416, 39.9960018792543)"
2715 N 4TH ST,0.06,0.1,0.14,0.21,0.29,0.06,0.09,0.13,0.18,0.25,0.22,0.25,0.28,0.31,0.35,Fairhill,-75.1380660205116,39.9922828011196,"c(-75.1380660205116, 39.9922828011196)"
433 W CLEARFIELD ST,0.05,0.08,0.12,0.18,0.26,0.08,0.11,0.16,0.22,0.3,0.2,0.22,0.25,0.28,0.31,Fairhill,-75.138089650223,39.9981879428146,"c(-75.138089650223, 39.9981879428146)"
2937 N 6TH ST,0.08,0.12,0.18,0.26,0.35,0.07,0.1,0.15,0.21,0.29,0.34,0.37,0.41,0.44,0.48,Fairhill,-75.1411139438472,39.9962338571123,"c(-75.1411139438472, 39.9962338571123)"
441 W SOMERSET ST,0.07,0.11,0.17,0.24,0.33,0.06,0.09,0.13,0.18,0.25,0.22,0.25,0.28,0.31,0.35,Fairhill,-75.1392079731214,39.9937413866178,"c(-75.1392079731214, 39.9937413866178)"
3020 N 5TH ST,0.08,0.12,0.17,0.25,0.34,0.07,0.1,0.15,0.21,0.29,0.34,0.37,0.41,0.44,0.48,Fairhill,-75.1393187903231,39.9972397465633,"c(-75.1393187903231, 39.9972397465633)"
522 W SOMERSET ST,0.09,0.13,0.19,0.27,0.37,0.07,0.1,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Fairhill,-75.140742512074,39.9936389928767,"c(-75.140742512074, 39.9936389928767)"
3338 N REESE ST,0.08,0.12,0.18,0.26,0.35,0.14,0.19,0.27,0.36,0.46,0.34,0.37,0.41,0.44,0.48,Fairhill,-75.1386794053639,40.0023576476047,"c(-75.1386794053639, 40.0023576476047)"
3401 N 3RD ST,0.05,0.07,0.11,0.16,0.23,0.16,0.23,0.31,0.4,0.51,0.2,0.22,0.25,0.28,0.31,Fairhill,-75.1347880032069,40.0025156002539,"c(-75.1347880032069, 40.0025156002539)"
514 W GLENWOOD AVE,0.08,0.13,0.19,0.26,0.36,0.07,0.11,0.15,0.22,0.3,0.34,0.37,0.41,0.44,0.48,Fairhill,-75.1388990384619,40.0022127907375,"c(-75.1388990384619, 40.0022127907375)"
2854 N REESE ST,0.05,0.08,0.13,0.18,0.26,0.09,0.13,0.19,0.26,0.35,0.2,0.22,0.25,0.28,0.31,Fairhill,-75.1404800573223,39.9948750135127,"c(-75.1404800573223, 39.9948750135127)"
2914 N 5TH ST,0.09,0.13,0.19,0.27,0.37,0.07,0.1,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Fairhill,-75.1396876592498,39.9956307820062,"c(-75.1396876592498, 39.9956307820062)"
