address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
846 N 27TH ST,0.04,0.06,0.09,0.14,0.2,0.2,0.28,0.37,0.47,0.58,0.23,0.25,0.28,0.32,0.35,Fairmount,-75.1812063295909,39.9717234251143,"c(-75.1812063295909, 39.9717234251143)"
880 N TAYLOR ST,0.03,0.04,0.06,0.1,0.14,0.3,0.4,0.5,0.61,0.7,0.33,0.36,0.4,0.43,0.47,Fairmount,-75.1772857294467,39.971824496871,"c(-75.1772857294467, 39.971824496871)"
2816 W GIRARD AVE,0.06,0.1,0.15,0.21,0.3,0.18,0.25,0.34,0.44,0.54,0.34,0.37,0.41,0.45,0.48,Fairmount,-75.1825491554504,39.9741856338078,"c(-75.1825491554504, 39.9741856338078)"
876 CORINTHIAN AVE,0.02,0.03,0.05,0.07,0.11,0.25,0.33,0.43,0.53,0.63,0.46,0.49,0.53,0.57,0.61,Fairmount,-75.1709225881166,39.9710491495656,"c(-75.1709225881166, 39.9710491495656)"
2601 PENNSYLVANIA AVE,0.07,0.11,0.17,0.24,0.33,0.37,0.47,0.58,0.67,0.76,0.67,0.7,0.73,0.76,0.79,Fairmount,-75.1805674452623,39.9687955058566,"c(-75.1805674452623, 39.9687955058566)"
783 PENNOCK ST,0.03,0.04,0.06,0.1,0.14,0.18,0.25,0.34,0.44,0.55,0.23,0.25,0.28,0.32,0.35,Fairmount,-75.1818933250322,39.9701358588264,"c(-75.1818933250322, 39.9701358588264)"
858 N BAMBREY ST,0.03,0.04,0.06,0.09,0.14,0.29,0.38,0.48,0.59,0.68,0.46,0.49,0.53,0.57,0.61,Fairmount,-75.1788103221862,39.972115448206,"c(-75.1788103221862, 39.972115448206)"
849 N 25TH ST,0.04,0.07,0.1,0.16,0.23,0.25,0.33,0.43,0.54,0.64,0.23,0.25,0.28,0.32,0.35,Fairmount,-75.1776033610561,39.9712736402645,"c(-75.1776033610561, 39.9712736402645)"
851 N 25TH ST,0.04,0.06,0.09,0.14,0.2,0.26,0.35,0.45,0.56,0.66,0.23,0.25,0.28,0.32,0.35,Fairmount,-75.1775924633702,39.9713218757981,"c(-75.1775924633702, 39.9713218757981)"
2821 CAMBRIDGE ST,0.05,0.08,0.13,0.19,0.27,0.11,0.15,0.22,0.3,0.39,0.34,0.37,0.41,0.44,0.48,Fairmount,-75.1826073873578,39.9738696675534,"c(-75.1826073873578, 39.9738696675534)"
