"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","5027 D ST",0.06,0.1,0.14,0.21,0.29,0.09,0.13,0.18,0.25,0.34,0.09,0.13,0.18,0.25,0.34,"Feltonville","-75.1155348455685","40.0256391455",c(-75.1155348455685, 40.0256391455)
"2","4759 N 2ND ST",0.07,0.11,0.16,0.23,0.33,0.06,0.1,0.14,0.2,0.27,0.06,0.1,0.14,0.2,0.27,"Feltonville","-75.1278587704831","40.0233211514878",c(-75.1278587704831, 40.0233211514878)
"3","4743 BINGHAM ST",0.06,0.1,0.14,0.21,0.3,0.09,0.13,0.18,0.25,0.34,0.09,0.13,0.18,0.25,0.34,"Feltonville","-75.1151894201359","40.0213406384693",c(-75.1151894201359, 40.0213406384693)
"4","4535 WHITAKER AVE",0.03,0.05,0.07,0.11,0.16,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Feltonville","-75.115385211239","40.018040973929",c(-75.115385211239, 40.018040973929)
"5","4646 TAMPA ST",0.03,0.05,0.07,0.11,0.16,0.14,0.19,0.27,0.36,0.46,0.14,0.19,0.27,0.36,0.46,"Feltonville","-75.1138219298366","40.0195693363306",c(-75.1138219298366, 40.0195693363306)
"6","106 W COURTLAND ST",0.06,0.1,0.14,0.21,0.3,0.08,0.12,0.17,0.24,0.33,0.08,0.12,0.17,0.24,0.33,"Feltonville","-75.1250426425513","40.0198556283385",c(-75.1250426425513, 40.0198556283385)
"7","4724 A ST",0.03,0.05,0.07,0.11,0.17,0.11,0.15,0.21,0.29,0.39,0.11,0.15,0.21,0.29,0.39,"Feltonville","-75.1225015547739","40.0223002146168",c(-75.1225015547739, 40.0223002146168)
"8","4612 WEYMOUTH ST",0.06,0.1,0.14,0.21,0.3,0.1,0.14,0.2,0.27,0.36,0.1,0.14,0.2,0.27,0.36,"Feltonville","-75.1128161630386","40.0188774560287",c(-75.1128161630386, 40.0188774560287)
"9","4610 WEYMOUTH ST",0.06,0.1,0.14,0.21,0.3,0.1,0.14,0.2,0.27,0.36,0.1,0.14,0.2,0.27,0.36,"Feltonville","-75.1128493012122","40.018839714299",c(-75.1128493012122, 40.018839714299)
"10","351 E ROCKLAND ST",0.04,0.06,0.1,0.15,0.21,0.11,0.16,0.22,0.3,0.39,0.11,0.16,0.22,0.3,0.39,"Feltonville","-75.1180054927096","40.02408617241",c(-75.1180054927096, 40.02408617241)
