"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","5918 N 11TH ST",0.06,0.09,0.13,0.19,0.27,0.07,0.1,0.14,0.2,0.28,0.07,0.1,0.14,0.2,0.28,"Fern Rock","-75.1386616733184","40.0428303576076",c(-75.1386616733184, 40.0428303576076)
"2","5856 N MARVINE ST",0.05,0.08,0.11,0.17,0.24,0.08,0.12,0.18,0.25,0.33,0.08,0.12,0.18,0.25,0.33,"Fern Rock","-75.139591401015","40.0422504793301",c(-75.139591401015, 40.0422504793301)
"3","5939 N WARNOCK ST",0.05,0.08,0.12,0.18,0.26,0.09,0.13,0.19,0.26,0.35,0.09,0.13,0.19,0.26,0.35,"Fern Rock","-75.13727024703","40.0431648777904",c(-75.13727024703, 40.0431648777904)
"4","5726 N 12TH ST",0.05,0.08,0.12,0.18,0.25,0.09,0.13,0.18,0.25,0.34,0.09,0.13,0.18,0.25,0.34,"Fern Rock","-75.1408705554751","40.0401082846601",c(-75.1408705554751, 40.0401082846601)
"5","5941 N 11TH ST",0.05,0.08,0.12,0.18,0.26,0.09,0.13,0.19,0.26,0.35,0.09,0.13,0.19,0.26,0.35,"Fern Rock","-75.1378780528235","40.0433299960078",c(-75.1378780528235, 40.0433299960078)
"6","5933 N 13TH ST",0.03,0.05,0.08,0.12,0.18,0.11,0.16,0.23,0.31,0.4,0.11,0.16,0.23,0.31,0.4,"Fern Rock","-75.1412285424235","40.0435387148166",c(-75.1412285424235, 40.0435387148166)
"7","5746 N MARVINE ST",0.05,0.08,0.12,0.17,0.25,0.09,0.13,0.18,0.25,0.34,0.09,0.13,0.18,0.25,0.34,"Fern Rock","-75.1399865511712","40.0404292714633",c(-75.1399865511712, 40.0404292714633)
"8","6000 N 13TH ST",0.04,0.06,0.09,0.13,0.19,0.11,0.16,0.22,0.31,0.4,0.11,0.16,0.22,0.31,0.4,"Fern Rock","-75.1416041318123","40.0442944285072",c(-75.1416041318123, 40.0442944285072)
"9","5738 N 12TH ST",0.03,0.05,0.08,0.12,0.18,0.11,0.16,0.22,0.31,0.4,0.11,0.16,0.22,0.31,0.4,"Fern Rock","-75.1408127390223","40.0403732661013",c(-75.1408127390223, 40.0403732661013)
"10","6030 N CAMAC ST",0.04,0.06,0.09,0.13,0.2,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Fern Rock","-75.1406468250314","40.0447936150106",c(-75.1406468250314, 40.0447936150106)
"11","5623 N WARNOCK ST",0.04,0.06,0.1,0.14,0.21,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Fern Rock","-75.1383538299446","40.0382847461743",c(-75.1383538299446, 40.0382847461743)
"12","6046 N 13TH ST",0.05,0.08,0.12,0.18,0.26,0.09,0.13,0.18,0.25,0.34,0.09,0.13,0.18,0.25,0.34,"Fern Rock","-75.1413663598198","40.0455629019537",c(-75.1413663598198, 40.0455629019537)
"13","5614 N 11TH ST",0.03,0.04,0.07,0.1,0.15,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Fern Rock","-75.1396443007468","40.0384000422848",c(-75.1396443007468, 40.0384000422848)
"14","5615 N WARNOCK ST",0.04,0.06,0.1,0.14,0.21,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Fern Rock","-75.138391893632","40.0381112144938",c(-75.138391893632, 40.0381112144938)
"15","5614 N 12TH ST",0.04,0.06,0.1,0.15,0.21,0.1,0.15,0.21,0.28,0.37,0.1,0.15,0.21,0.28,0.37,"Fern Rock","-75.1411659720473","40.0387083867084",c(-75.1411659720473, 40.0387083867084)
"16","5733 N CAMAC ST",0.03,0.05,0.08,0.12,0.18,0.11,0.16,0.22,0.31,0.4,0.11,0.16,0.22,0.31,0.4,"Fern Rock","-75.1411385899413","40.0402762068559",c(-75.1411385899413, 40.0402762068559)
"17","5930 N 10TH ST",0.04,0.05,0.08,0.13,0.19,0.11,0.16,0.23,0.31,0.4,0.11,0.16,0.23,0.31,0.4,"Fern Rock","-75.1370130453595","40.0429539575478",c(-75.1370130453595, 40.0429539575478)
"18","6007 N 12TH ST",0.04,0.06,0.09,0.13,0.19,0.11,0.16,0.23,0.31,0.4,0.11,0.16,0.23,0.31,0.4,"Fern Rock","-75.1394678223733","40.0441771029499",c(-75.1394678223733, 40.0441771029499)
"19","5752 N MARVINE ST",0.03,0.05,0.08,0.12,0.18,0.11,0.16,0.22,0.3,0.4,0.11,0.16,0.22,0.3,0.4,"Fern Rock","-75.1399585414754","40.0405593685876",c(-75.1399585414754, 40.0405593685876)
"20","5643 N WARNOCK ST",0.03,0.04,0.06,0.1,0.15,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Fern Rock","-75.1382583685267","40.0387212881942",c(-75.1382583685267, 40.0387212881942)
"21","1011 W NEDRO AVE",0.05,0.08,0.12,0.18,0.26,0.09,0.13,0.18,0.25,0.34,0.09,0.13,0.18,0.25,0.34,"Fern Rock","-75.1373356999265","40.0422708621784",c(-75.1373356999265, 40.0422708621784)
"22","5951 N 11TH ST",0.04,0.06,0.09,0.13,0.19,0.12,0.17,0.24,0.33,0.42,0.12,0.17,0.24,0.33,0.42,"Fern Rock","-75.1378264378851","40.0435649420576",c(-75.1378264378851, 40.0435649420576)
"23","5910 N WARNOCK ST",0.04,0.06,0.09,0.13,0.2,0.11,0.16,0.22,0.3,0.39,0.11,0.16,0.22,0.3,0.39,"Fern Rock","-75.1379205504946","40.0424410247419",c(-75.1379205504946, 40.0424410247419)
"24","5814 N PARK AVE",0.03,0.05,0.08,0.12,0.17,0.11,0.16,0.22,0.3,0.4,0.11,0.16,0.22,0.3,0.4,"Fern Rock","-75.143244029732","40.0417722672383",c(-75.143244029732, 40.0417722672383)
"25","5837 N 12TH ST",0.05,0.08,0.11,0.17,0.24,0.07,0.1,0.15,0.21,0.28,0.07,0.1,0.15,0.21,0.28,"Fern Rock","-75.139983414064","40.0418519405065",c(-75.139983414064, 40.0418519405065)
"26","5933 N HUTCHINSON ST",0.05,0.08,0.13,0.18,0.26,0.14,0.2,0.27,0.36,0.46,0.14,0.2,0.27,0.36,0.46,"Fern Rock","-75.1357155069863","40.0428512205816",c(-75.1357155069863, 40.0428512205816)
"27","6005 N 12TH ST",0.04,0.06,0.09,0.13,0.19,0.11,0.16,0.23,0.31,0.4,0.11,0.16,0.23,0.31,0.4,"Fern Rock","-75.1394795196128","40.0441236625477",c(-75.1394795196128, 40.0441236625477)
"28","6026 N 12TH ST",0.04,0.06,0.09,0.13,0.19,0.11,0.16,0.23,0.31,0.4,0.11,0.16,0.23,0.31,0.4,"Fern Rock","-75.1398735469578","40.0447098327585",c(-75.1398735469578, 40.0447098327585)
"29","5602 N WARNOCK ST",0.04,0.06,0.1,0.15,0.21,0.11,0.15,0.22,0.3,0.39,0.11,0.15,0.22,0.3,0.39,"Fern Rock","-75.1388926775679","40.0379523781588",c(-75.1388926775679, 40.0379523781588)
"30","5735 N CAMAC ST",0.03,0.05,0.08,0.12,0.18,0.12,0.17,0.23,0.32,0.42,0.12,0.17,0.23,0.32,0.42,"Fern Rock","-75.1411291336495","40.0403212025707",c(-75.1411291336495, 40.0403212025707)
"31","6012 N 10TH ST",0.04,0.06,0.09,0.13,0.19,0.11,0.16,0.23,0.31,0.41,0.11,0.16,0.23,0.31,0.41,"Fern Rock","-75.1367922572941","40.0439550181246",c(-75.1367922572941, 40.0439550181246)
"32","5625 N WARNOCK ST",0.04,0.06,0.1,0.14,0.21,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Fern Rock","-75.1383446204902","40.0383283128867",c(-75.1383446204902, 40.0383283128867)
"33","6017 N CAMAC ST",0.04,0.06,0.09,0.13,0.19,0.11,0.16,0.22,0.31,0.4,0.11,0.16,0.22,0.31,0.4,"Fern Rock","-75.1402305743943","40.0444794067713",c(-75.1402305743943, 40.0444794067713)
"34","5935-39 N MARVINE ST",0.04,0.06,0.09,0.13,0.2,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Fern Rock","-75.1388426610002","40.0433885592205",c(-75.1388426610002, 40.0433885592205)
"35","5902 N 11TH ST",0.06,0.08,0.13,0.19,0.27,0.09,0.13,0.18,0.26,0.34,0.09,0.13,0.18,0.26,0.34,"Fern Rock","-75.1387570305489","40.0424003525092",c(-75.1387570305489, 40.0424003525092)
"36","6024 N 10TH ST",0.04,0.06,0.09,0.13,0.19,0.11,0.16,0.23,0.31,0.41,0.11,0.16,0.23,0.31,0.41,"Fern Rock","-75.1367397259081","40.0442154454368",c(-75.1367397259081, 40.0442154454368)
"37","5621 N 12TH ST",0.04,0.06,0.1,0.15,0.21,0.1,0.15,0.21,0.28,0.38,0.1,0.15,0.21,0.28,0.38,"Fern Rock","-75.1406311488105","40.0388663992941",c(-75.1406311488105, 40.0388663992941)
"38","5607 N 13TH ST",0.03,0.05,0.07,0.11,0.16,0.14,0.19,0.27,0.36,0.46,0.14,0.19,0.27,0.36,0.46,"Fern Rock","-75.1422905281643","40.0388323084197",c(-75.1422905281643, 40.0388323084197)
"39","5837 N CAMAC ST",0.03,0.05,0.08,0.12,0.18,0.11,0.16,0.23,0.31,0.4,0.11,0.16,0.23,0.31,0.4,"Fern Rock","-75.1408118565902","40.0418522898503",c(-75.1408118565902, 40.0418522898503)
"40","6124 N 10TH ST",0.04,0.06,0.09,0.13,0.19,0.17,0.23,0.32,0.41,0.52,0.17,0.23,0.32,0.41,0.52,"Fern Rock","-75.1364080390177","40.0457288774771",c(-75.1364080390177, 40.0457288774771)
