"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","2206 CEDAR ST",0.1,0.15,0.21,0.3,0.4,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Fishtown - Lower Kensington","-75.1271253003979","39.9771317220863",c(-75.1271253003979, 39.9771317220863)
"2","1726 MEMPHIS ST",0.04,0.06,0.09,0.13,0.19,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Fishtown - Lower Kensington","-75.1299712377643","39.9756973863433",c(-75.1299712377643, 39.9756973863433)
"3","1209 CREASE ST",0.02,0.04,0.06,0.09,0.13,0.21,0.29,0.38,0.48,0.59,0.21,0.29,0.38,0.48,0.59,"Fishtown - Lower Kensington","-75.1325643765725","39.9699226591544",c(-75.1325643765725, 39.9699226591544)
"4","2201-07 E THOMPSON ST",0.04,0.06,0.09,0.13,0.19,0.14,0.2,0.27,0.36,0.46,0.14,0.2,0.27,0.36,0.46,"Fishtown - Lower Kensington","-75.12317919663","39.974482857183",c(-75.12317919663, 39.974482857183)
"5","2543 MEMPHIS ST",0.02,0.03,0.05,0.08,0.12,0.18,0.25,0.34,0.44,0.54,0.18,0.25,0.34,0.44,0.54,"Fishtown - Lower Kensington","-75.1217932576447","39.9809403738378",c(-75.1217932576447, 39.9809403738378)
"6","535 E CABOT ST",0.02,0.04,0.05,0.08,0.13,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Fishtown - Lower Kensington","-75.1281621758683","39.972413131949",c(-75.1281621758683, 39.972413131949)
"7","439 BELGRADE ST",0.06,0.09,0.14,0.21,0.29,0.15,0.21,0.28,0.37,0.48,0.15,0.21,0.28,0.37,0.48,"Fishtown - Lower Kensington","-75.1307309606972","39.9737812762764",c(-75.1307309606972, 39.9737812762764)
"8","1525 EARL ST",0.03,0.04,0.06,0.1,0.14,0.2,0.27,0.36,0.46,0.57,0.2,0.27,0.36,0.46,0.57,"Fishtown - Lower Kensington","-75.1318843414706","39.9746068321316",c(-75.1318843414706, 39.9746068321316)
"9","441 MILLER ST",0.04,0.06,0.09,0.14,0.2,0.16,0.22,0.3,0.39,0.5,0.16,0.22,0.3,0.39,0.5,"Fishtown - Lower Kensington","-75.1312821484418","39.9740623943465",c(-75.1312821484418, 39.9740623943465)
"10","1761 FRANKFORD AVE",0.03,0.05,0.07,0.11,0.16,0.23,0.31,0.41,0.51,0.61,0.23,0.31,0.41,0.51,0.61,"Fishtown - Lower Kensington","-75.131841992599","39.9762119526361",c(-75.131841992599, 39.9762119526361)
"11","2565 E NORRIS ST",0.02,0.04,0.06,0.09,0.13,0.16,0.23,0.31,0.4,0.51,0.16,0.23,0.31,0.4,0.51,"Fishtown - Lower Kensington","-75.124268662699","39.9752546911756",c(-75.124268662699, 39.9752546911756)
