address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
2604 NAUDAIN ST,0.02,0.03,0.05,0.07,0.11,0.34,0.44,0.54,0.64,0.73,0.46,0.5,0.54,0.57,0.61,Fitler Square,-75.1832009493445,39.9462769892807,"c(-75.1832009493445, 39.9462769892807)"
2531 LOMBARD ST,0.03,0.04,0.06,0.1,0.15,0.29,0.38,0.48,0.59,0.68,0.5,0.53,0.57,0.61,0.65,Fitler Square,-75.1827301123085,39.9469853398523,"c(-75.1827301123085, 39.9469853398523)"
2423 PANAMA ST,0.02,0.04,0.05,0.08,0.13,0.36,0.46,0.57,0.67,0.75,0.46,0.5,0.53,0.57,0.61,Fitler Square,-75.1809909632317,39.9480034335193,"c(-75.1809909632317, 39.9480034335193)"
2530 LOMBARD ST,0.02,0.03,0.05,0.07,0.11,0.32,0.42,0.52,0.62,0.71,0.46,0.5,0.53,0.57,0.61,Fitler Square,-75.1827489713501,39.9466925577231,"c(-75.1827489713501, 39.9466925577231)"
2322 SOUTH ST,0.02,0.03,0.04,0.07,0.1,0.23,0.31,0.4,0.51,0.61,0.46,0.5,0.53,0.57,0.61,Fitler Square,-75.1805509952161,39.9453374325894,"c(-75.1805509952161, 39.9453374325894)"
405 S 24TH ST,0.02,0.03,0.05,0.08,0.12,0.32,0.42,0.52,0.62,0.71,0.46,0.5,0.53,0.57,0.61,Fitler Square,-75.1801913284476,39.9471628300256,"c(-75.1801913284476, 39.9471628300256)"
2414 PINE ST,0.02,0.03,0.05,0.08,0.12,0.3,0.4,0.5,0.6,0.7,0.33,0.36,0.4,0.44,0.47,Fitler Square,-75.1808720100382,39.947338432357,"c(-75.1808720100382, 39.947338432357)"
600 S 24TH ST,0.03,0.05,0.07,0.11,0.16,0.25,0.34,0.43,0.54,0.64,0.5,0.53,0.57,0.61,0.64,Fitler Square,-75.1816760121311,39.9452147076014,"c(-75.1816760121311, 39.9452147076014)"
2312 NAUDAIN ST,0.02,0.03,0.05,0.08,0.12,0.36,0.46,0.56,0.66,0.75,0.32,0.36,0.4,0.43,0.47,Fitler Square,-75.1801813312298,39.9458654080479,"c(-75.1801813312298, 39.9458654080479)"
2408 NAUDAIN ST,0.02,0.03,0.05,0.08,0.11,0.37,0.47,0.58,0.68,0.76,0.33,0.36,0.4,0.44,0.47,Fitler Square,-75.1810517951435,39.9459670319005,"c(-75.1810517951435, 39.9459670319005)"
2417 LOMBARD ST,0.02,0.03,0.05,0.07,0.11,0.44,0.55,0.65,0.74,0.81,0.46,0.5,0.53,0.57,0.61,Fitler Square,-75.1810861780929,39.9467787373066,"c(-75.1810861780929, 39.9467787373066)"
2318 WAVERLY ST,0.02,0.03,0.05,0.08,0.12,0.44,0.54,0.64,0.73,0.8,0.46,0.49,0.53,0.57,0.61,Fitler Square,-75.180172728708,39.9468561820373,"c(-75.180172728708, 39.9468561820373)"
2415 NAUDAIN ST,0.02,0.03,0.05,0.07,0.11,0.38,0.48,0.58,0.68,0.77,0.46,0.5,0.53,0.57,0.61,Fitler Square,-75.1812533859597,39.946280588947,"c(-75.1812533859597, 39.946280588947)"
2523 WAVERLY ST,0.02,0.03,0.05,0.07,0.11,0.43,0.54,0.64,0.73,0.8,0.46,0.5,0.53,0.57,0.61,Fitler Square,-75.1825056821265,39.947343256368,"c(-75.1825056821265, 39.947343256368)"
618 S 27TH ST,0.02,0.03,0.04,0.07,0.1,0.31,0.4,0.51,0.61,0.7,0.46,0.5,0.54,0.57,0.61,Fitler Square,-75.1847192161422,39.9455382675984,"c(-75.1847192161422, 39.9455382675984)"
