"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","803 ARNOLD ST",0.02,0.03,0.04,0.06,0.1,0.25,0.33,0.43,0.53,0.64,0.25,0.33,0.43,0.53,0.64,"Fox Chase","-75.072819670821","40.0798062119363",c(-75.072819670821, 40.0798062119363)
"2","613 STANWOOD ST",0.02,0.04,0.05,0.08,0.13,0.15,0.22,0.29,0.39,0.49,0.15,0.22,0.29,0.39,0.49,"Fox Chase","-75.0790467196479","40.0767275890757",c(-75.0790467196479, 40.0767275890757)
"3","8023 RYERS AVE",0.02,0.04,0.06,0.09,0.13,0.17,0.23,0.32,0.42,0.52,0.17,0.23,0.32,0.42,0.52,"Fox Chase","-75.0774695269451","40.0749033415078",c(-75.0774695269451, 40.0749033415078)
"4","1333 SHELMIRE AVE",0.02,0.04,0.05,0.08,0.13,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"Fox Chase","-75.0743571121076","40.0608472194861",c(-75.0743571121076, 40.0608472194861)
"5","7874 ANITA DR",0.04,0.06,0.09,0.14,0.21,0.21,0.29,0.39,0.49,0.59,0.21,0.29,0.39,0.49,0.59,"Fox Chase","-75.0682449471079","40.065255988422",c(-75.0682449471079, 40.065255988422)
"6","817 KENDRICK ST",0.03,0.04,0.06,0.09,0.14,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"Fox Chase","-75.0720901478098","40.0802567129501",c(-75.0720901478098, 40.0802567129501)
"7","504 EASY ST",0.02,0.04,0.06,0.09,0.13,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Fox Chase","-75.0728410985868","40.0840079309259",c(-75.0728410985868, 40.0840079309259)
"8","8224 BURHOLME AVE",0.01,0.01,0.02,0.03,0.05,0.28,0.38,0.48,0.58,0.68,0.28,0.38,0.48,0.58,0.68,"Fox Chase","-75.0832154285594","40.0819332424742",c(-75.0832154285594, 40.0819332424742)
"9","804 KENDRICK ST",0.03,0.04,0.06,0.09,0.14,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Fox Chase","-75.0725173441223","40.0799774315508",c(-75.0725173441223, 40.0799774315508)
"10","7915 BURHOLME AVE",0.03,0.04,0.06,0.09,0.14,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Fox Chase","-75.0874296642658","40.0761107043102",c(-75.0874296642658, 40.0761107043102)
"11","7407 DUNGAN RD",0.02,0.03,0.05,0.08,0.12,0.16,0.22,0.3,0.4,0.5,0.16,0.22,0.3,0.4,0.5,"Fox Chase","-75.075837452237","40.0599099476155",c(-75.075837452237, 40.0599099476155)
"12","8422 BRIDLE RD",0.01,0.02,0.03,0.05,0.08,0.24,0.32,0.42,0.52,0.63,0.24,0.32,0.42,0.52,0.63,"Fox Chase","-75.0745993104649","40.0810677680255",c(-75.0745993104649, 40.0810677680255)
"13","315 HARTEL AVE",0.03,0.04,0.06,0.1,0.14,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Fox Chase","-75.0880670766683","40.0741627067679",c(-75.0880670766683, 40.0741627067679)
"14","7616 DORCAS ST",0.03,0.04,0.07,0.1,0.15,0.24,0.33,0.43,0.53,0.63,0.24,0.33,0.43,0.53,0.63,"Fox Chase","-75.06967717529","40.0609266568495",c(-75.06967717529, 40.0609266568495)
"15","538 SOLLY AVE",0.02,0.03,0.04,0.07,0.1,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Fox Chase","-75.0789365381707","40.0779178558583",c(-75.0789365381707, 40.0779178558583)
"16","7609 VERREE RD",0.02,0.04,0.06,0.09,0.13,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"Fox Chase","-75.0815596093108","40.0669396706234",c(-75.0815596093108, 40.0669396706234)
"17","222 HARTEL AVE",0.03,0.05,0.07,0.11,0.16,0.21,0.29,0.38,0.48,0.59,0.21,0.29,0.38,0.48,0.59,"Fox Chase","-75.0896842497811","40.0744848698997",c(-75.0896842497811, 40.0744848698997)
"18","7535 RISING SUN AVE",0.04,0.06,0.09,0.13,0.19,0.15,0.22,0.29,0.39,0.49,0.15,0.22,0.29,0.39,0.49,"Fox Chase","-75.080094124604","40.0653193249886",c(-75.080094124604, 40.0653193249886)
"19","924 KENDRICK ST",0.04,0.06,0.1,0.14,0.21,0.23,0.31,0.4,0.51,0.61,0.23,0.31,0.4,0.51,0.61,"Fox Chase","-75.0689901181783","40.0781750402807",c(-75.0689901181783, 40.0781750402807)
"20","8008 FERNDALE ST",0.02,0.04,0.06,0.09,0.14,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"Fox Chase","-75.0774872491701","40.0744145710972",c(-75.0774872491701, 40.0744145710972)
"21","808 LONEY ST",0.02,0.04,0.06,0.09,0.14,0.22,0.3,0.4,0.5,0.6,0.22,0.3,0.4,0.5,0.6,"Fox Chase","-75.0785633386029","40.0720670244264",c(-75.0785633386029, 40.0720670244264)
"22","332 HARTEL AVE",0.02,0.03,0.04,0.07,0.1,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Fox Chase","-75.0882346636334","40.0736568281427",c(-75.0882346636334, 40.0736568281427)
"23","7331 CLARIDGE ST",0.02,0.03,0.05,0.08,0.12,0.14,0.19,0.27,0.36,0.46,0.14,0.19,0.27,0.36,0.46,"Fox Chase","-75.0784618193032","40.0598545898257",c(-75.0784618193032, 40.0598545898257)
"24","8120 FERNDALE ST",0.04,0.06,0.09,0.14,0.2,0.16,0.23,0.31,0.4,0.51,0.16,0.23,0.31,0.4,0.51,"Fox Chase","-75.0761209490047","40.0758617776856",c(-75.0761209490047, 40.0758617776856)
"25","8328 ALICIA ST",0.01,0.02,0.03,0.04,0.06,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Fox Chase","-75.0776895368647","40.0808357617771",c(-75.0776895368647, 40.0808357617771)
"26","8325 PINE RD",0.01,0.01,0.02,0.03,0.05,0.21,0.29,0.38,0.48,0.58,0.21,0.29,0.38,0.48,0.58,"Fox Chase","-75.0787901869326","40.0818536237253",c(-75.0787901869326, 40.0818536237253)
"27","516 EMERSON ST",0.01,0.02,0.04,0.06,0.09,0.3,0.4,0.5,0.6,0.7,0.3,0.4,0.5,0.6,0.7,"Fox Chase","-75.0790360823786","40.0790212478253",c(-75.0790360823786, 40.0790212478253)
"28","8110 FERNDALE ST",0.04,0.06,0.09,0.13,0.2,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Fox Chase","-75.0764017690861","40.0755620122093",c(-75.0764017690861, 40.0755620122093)
"29","8114 BURHOLME AVE",0.02,0.03,0.04,0.06,0.1,0.12,0.18,0.25,0.33,0.43,0.12,0.18,0.25,0.33,0.43,"Fox Chase","-75.084409499207","40.0807882554779",c(-75.084409499207, 40.0807882554779)
"30","1119 NAPFLE AVE",0.04,0.07,0.11,0.16,0.23,0.2,0.28,0.37,0.47,0.58,0.2,0.28,0.37,0.47,0.58,"Fox Chase","-75.0764072382343","40.0649043154064",c(-75.0764072382343, 40.0649043154064)
"31","7523 TABOR AVE",0.03,0.04,0.06,0.1,0.15,0.18,0.25,0.33,0.43,0.53,0.18,0.25,0.33,0.43,0.53,"Fox Chase","-75.0769318816343","40.0628902414648",c(-75.0769318816343, 40.0628902414648)
"32","7851 LORNA DR",0.03,0.04,0.06,0.1,0.14,0.26,0.34,0.44,0.55,0.65,0.26,0.34,0.44,0.55,0.65,"Fox Chase","-75.0687550187097","40.0646775036029",c(-75.0687550187097, 40.0646775036029)
"33","8116 BURHOLME AVE",0.02,0.03,0.04,0.06,0.1,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Fox Chase","-75.0843184329795","40.0808839065957",c(-75.0843184329795, 40.0808839065957)
"34","634 EMERSON ST",0.02,0.03,0.05,0.07,0.11,0.28,0.37,0.47,0.57,0.67,0.28,0.37,0.47,0.57,0.67,"Fox Chase","-75.076824487113","40.0777938427226",c(-75.076824487113, 40.0777938427226)
"35","7767 HASBROOK AVE",0.02,0.03,0.04,0.06,0.1,0.18,0.25,0.34,0.44,0.54,0.18,0.25,0.34,0.44,0.54,"Fox Chase","-75.0847513712283","40.0708208906494",c(-75.0847513712283, 40.0708208906494)
"36","7942 DORCAS ST",0.09,0.13,0.19,0.27,0.37,0.29,0.38,0.48,0.59,0.68,0.29,0.38,0.48,0.59,0.68,"Fox Chase","-75.0653209765065","40.0656899706619",c(-75.0653209765065, 40.0656899706619)
"37","7735 DUNGAN RD",0.04,0.07,0.1,0.15,0.22,0.21,0.29,0.39,0.49,0.59,0.21,0.29,0.39,0.49,0.59,"Fox Chase","-75.0718402577348","40.0638436879256",c(-75.0718402577348, 40.0638436879256)
"38","1229 BLEIGH AVE",0.03,0.05,0.07,0.11,0.17,0.11,0.15,0.22,0.3,0.39,0.11,0.15,0.22,0.3,0.39,"Fox Chase","-75.0775505454425","40.0606918330286",c(-75.0775505454425, 40.0606918330286)
"39","745 STRAHLE ST",0.02,0.03,0.04,0.07,0.1,0.24,0.33,0.43,0.53,0.63,0.24,0.33,0.43,0.53,0.63,"Fox Chase","-75.0737453321408","40.079476170164",c(-75.0737453321408, 40.079476170164)
"40","8034 FERNDALE ST",0.02,0.04,0.06,0.09,0.13,0.21,0.29,0.38,0.48,0.58,0.21,0.29,0.38,0.48,0.58,"Fox Chase","-75.0772039289581","40.0747186473064",c(-75.0772039289581, 40.0747186473064)
"41","7812 LORNA DR",0.04,0.06,0.1,0.14,0.21,0.21,0.29,0.38,0.49,0.59,0.21,0.29,0.38,0.49,0.59,"Fox Chase","-75.0699414013178","40.0640767245403",c(-75.0699414013178, 40.0640767245403)
"42","7517 VERREE RD",0.02,0.04,0.06,0.09,0.13,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Fox Chase","-75.0825870868831","40.065895768352",c(-75.0825870868831, 40.065895768352)
"43","7617 ROCKWELL AVE",0.02,0.03,0.05,0.07,0.11,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Fox Chase","-75.0834596341688","40.0679823738956",c(-75.0834596341688, 40.0679823738956)
"44","7611 VERREE RD",0.06,0.09,0.14,0.21,0.29,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Fox Chase","-75.0815058525292","40.0669945018886",c(-75.0815058525292, 40.0669945018886)
"45","7535 TABOR AVE",0.04,0.06,0.1,0.15,0.21,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Fox Chase","-75.0766151103975","40.0632232416941",c(-75.0766151103975, 40.0632232416941)
"46","7331 TABOR AVE",0.03,0.05,0.07,0.11,0.16,0.15,0.21,0.29,0.38,0.49,0.15,0.21,0.29,0.38,0.49,"Fox Chase","-75.0792505351266","40.0604545753918",c(-75.0792505351266, 40.0604545753918)
"47","1030 GRIFFITH ST",0.02,0.03,0.05,0.07,0.11,0.2,0.27,0.37,0.47,0.57,0.2,0.27,0.37,0.47,0.57,"Fox Chase","-75.0747209026766","40.0690449735594",c(-75.0747209026766, 40.0690449735594)
"48","1110 SOLLY AVE",0.02,0.03,0.05,0.07,0.11,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"Fox Chase","-75.0705562566954","40.0733110140728",c(-75.0705562566954, 40.0733110140728)
"49","7722 FERNDALE ST",0.02,0.03,0.05,0.08,0.12,0.18,0.25,0.34,0.44,0.54,0.18,0.25,0.34,0.44,0.54,"Fox Chase","-75.0814560053897","40.0688583785324",c(-75.0814560053897, 40.0688583785324)
"50","8516 BERGEN TER",0.02,0.03,0.04,0.06,0.09,0.24,0.32,0.42,0.53,0.63,0.24,0.32,0.42,0.53,0.63,"Fox Chase","-75.0718969586463","40.0812047830393",c(-75.0718969586463, 40.0812047830393)
"51","7702 HASBROOK AVE",0.02,0.03,0.04,0.06,0.09,0.18,0.25,0.33,0.43,0.54,0.18,0.25,0.33,0.43,0.54,"Fox Chase","-75.0856717612597","40.0686811971166",c(-75.0856717612597, 40.0686811971166)
"52","7849 LAWNDALE ST",0.02,0.03,0.04,0.06,0.1,0.25,0.34,0.44,0.54,0.64,0.25,0.34,0.44,0.54,0.64,"Fox Chase","-75.073959601797","40.0675401875453",c(-75.073959601797, 40.0675401875453)
"53","821 BERGEN ST",0.02,0.03,0.05,0.08,0.11,0.18,0.25,0.34,0.44,0.54,0.18,0.25,0.34,0.44,0.54,"Fox Chase","-75.0695572610973","40.0802246202236",c(-75.0695572610973, 40.0802246202236)
"54","512 HOFFNAGLE ST",0.01,0.02,0.03,0.05,0.08,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Fox Chase","-75.0786262326207","40.0797312688399",c(-75.0786262326207, 40.0797312688399)
"55","8011 BRIDLE RD",0.03,0.04,0.06,0.1,0.14,0.22,0.3,0.39,0.5,0.6,0.22,0.3,0.39,0.5,0.6,"Fox Chase","-75.0794614167899","40.0757090310607",c(-75.0794614167899, 40.0757090310607)
"56","7514 PALMETTO ST",0.04,0.06,0.09,0.14,0.21,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Fox Chase","-75.0802257638878","40.0644636740475",c(-75.0802257638878, 40.0644636740475)
