"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","4802 TACKAWANNA ST",0.06,0.1,0.15,0.21,0.3,0.07,0.11,0.15,0.22,0.3,0.07,0.11,0.15,0.22,0.3,"Frankford","-75.0773411629936","40.015162091619",c(-75.0773411629936, 40.015162091619)
"2","4804 TACKAWANNA ST",0.06,0.1,0.15,0.21,0.3,0.07,0.11,0.15,0.22,0.3,0.07,0.11,0.15,0.22,0.3,"Frankford","-75.0772611872772","40.0152485869408",c(-75.0772611872772, 40.0152485869408)
"3","5125 COTTAGE ST",0.03,0.05,0.07,0.11,0.16,0.11,0.16,0.23,0.31,0.4,0.11,0.16,0.23,0.31,0.4,"Frankford","-75.0723027718811","40.0166416347472",c(-75.0723027718811, 40.0166416347472)
"4","2124 PRATT ST",0.06,0.1,0.15,0.21,0.3,0.09,0.12,0.18,0.25,0.33,0.09,0.12,0.18,0.25,0.33,"Frankford","-75.0719013374644","40.0122046866115",c(-75.0719013374644, 40.0122046866115)
"5","5103 LEIPER ST",0.05,0.07,0.11,0.16,0.24,0.11,0.16,0.23,0.31,0.41,0.11,0.16,0.23,0.31,0.41,"Frankford","-75.0814199705225","40.0226944321688",c(-75.0814199705225, 40.0226944321688)
"6","1666 CONKLIN ST",0.06,0.1,0.15,0.21,0.3,0.08,0.12,0.17,0.24,0.32,0.08,0.12,0.17,0.24,0.32,"Frankford","-75.0769890082877","40.0206188971765",c(-75.0769890082877, 40.0206188971765)
"7","4907 FRANKFORD AVE",0.06,0.1,0.15,0.21,0.3,0.14,0.2,0.28,0.37,0.48,0.14,0.2,0.28,0.37,0.48,"Frankford","-75.0811443307744","40.0192171829399",c(-75.0811443307744, 40.0192171829399)
"8","4629 EDMUND ST",0.04,0.06,0.1,0.14,0.21,0.11,0.16,0.23,0.31,0.4,0.11,0.16,0.23,0.31,0.4,"Frankford","-75.077744227585","40.0100738514122",c(-75.077744227585, 40.0100738514122)
"9","1964 GRANITE ST",0.03,0.05,0.08,0.11,0.17,0.11,0.16,0.22,0.3,0.4,0.11,0.16,0.22,0.3,0.4,"Frankford","-75.0725455084698","40.016132874043",c(-75.0725455084698, 40.016132874043)
"10","2132 GRANITE ST",0.07,0.1,0.15,0.22,0.3,0.09,0.13,0.18,0.25,0.34,0.09,0.13,0.18,0.25,0.34,"Frankford","-75.0709522400161","40.0121938092299",c(-75.0709522400161, 40.0121938092299)
"11","4772 MELROSE ST",0.03,0.05,0.08,0.12,0.18,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Frankford","-75.0740935253515","40.0074711777994",c(-75.0740935253515, 40.0074711777994)
"12","4312 MILNOR ST",0.03,0.05,0.08,0.11,0.17,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Frankford","-75.0819437664969","40.0050485373165",c(-75.0819437664969, 40.0050485373165)
"13","4325 E WINGOHOCKING ST",0.05,0.08,0.13,0.19,0.26,0.08,0.12,0.17,0.23,0.32,0.08,0.12,0.17,0.23,0.32,"Frankford","-75.0926566611373","40.0149947227203",c(-75.0926566611373, 40.0149947227203)
"14","5123 ERDRICK ST",0.03,0.05,0.07,0.11,0.16,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Frankford","-75.0728753488854","40.018072942528",c(-75.0728753488854, 40.018072942528)
"15","4737 N PENN ST",0.03,0.05,0.08,0.12,0.18,0.09,0.13,0.18,0.26,0.34,0.09,0.13,0.18,0.26,0.34,"Frankford","-75.0845068067919","40.018260625021",c(-75.0845068067919, 40.018260625021)
"16","1524 OVERINGTON ST",0.06,0.09,0.13,0.19,0.28,0.08,0.12,0.17,0.23,0.31,0.08,0.12,0.17,0.23,0.31,"Frankford","-75.0857343045052","40.0161053320422",c(-75.0857343045052, 40.0161053320422)
"17","4569 WORTH ST",0.03,0.05,0.07,0.11,0.16,0.09,0.13,0.19,0.26,0.35,0.09,0.13,0.19,0.26,0.35,"Frankford","-75.0793734253648","40.0089507777545",c(-75.0793734253648, 40.0089507777545)
"18","4709 GRISCOM ST",0.07,0.1,0.15,0.22,0.3,0.09,0.13,0.19,0.26,0.35,0.09,0.13,0.19,0.26,0.35,"Frankford","-75.0843217960188","40.0172230038069",c(-75.0843217960188, 40.0172230038069)
"19","4553 PEARCE ST",0.03,0.05,0.07,0.11,0.16,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Frankford","-75.0784153179716","40.0037527427734",c(-75.0784153179716, 40.0037527427734)
"20","4635 PILLING ST",0.06,0.09,0.13,0.19,0.27,0.08,0.11,0.16,0.22,0.3,0.08,0.11,0.16,0.22,0.3,"Frankford","-75.0882507597204","40.0177087502433",c(-75.0882507597204, 40.0177087502433)
"21","4242 SALEM ST",0.06,0.09,0.14,0.2,0.28,0.07,0.1,0.15,0.21,0.28,0.07,0.1,0.15,0.21,0.28,"Frankford","-75.0889082156439","40.0094379801416",c(-75.0889082156439, 40.0094379801416)
"22","1950 GRANITE ST",0.03,0.05,0.07,0.11,0.17,0.11,0.16,0.22,0.3,0.4,0.11,0.16,0.22,0.3,0.4,"Frankford","-75.0726532900737","40.016417039581",c(-75.0726532900737, 40.016417039581)
"23","1423 SELLERS ST",0.05,0.07,0.11,0.17,0.24,0.08,0.11,0.16,0.23,0.31,0.08,0.11,0.16,0.23,0.31,"Frankford","-75.0881357382117","40.0150637628695",c(-75.0881357382117, 40.0150637628695)
"24","5027 COTTAGE ST",0.05,0.07,0.11,0.17,0.24,0.09,0.13,0.19,0.26,0.35,0.09,0.13,0.19,0.26,0.35,"Frankford","-75.0737300109689","40.0163443942738",c(-75.0737300109689, 40.0163443942738)
"25","1927 HAWORTH ST",0.05,0.08,0.12,0.17,0.25,0.09,0.13,0.18,0.25,0.34,0.09,0.13,0.18,0.25,0.34,"Frankford","-75.0736077173231","40.0159195822401",c(-75.0736077173231, 40.0159195822401)
"26","4223-25 FRANKFORD AVE",0.06,0.09,0.14,0.2,0.28,0.12,0.18,0.25,0.33,0.43,0.12,0.18,0.25,0.33,0.43,"Frankford","-75.089504438337","40.0092365528739",c(-75.089504438337, 40.0092365528739)
"27","4535 PEARCE ST",0.03,0.05,0.08,0.11,0.17,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Frankford","-75.0789284596246","40.0036240425965",c(-75.0789284596246, 40.0036240425965)
"28","4531 PEARCE ST",0.08,0.12,0.18,0.26,0.36,0.12,0.17,0.24,0.33,0.42,0.12,0.17,0.24,0.33,0.42,"Frankford","-75.0790722564738","40.0036049586704",c(-75.0790722564738, 40.0036049586704)
"29","4221 ADAMS AVE",0.06,0.09,0.13,0.19,0.27,0.08,0.12,0.17,0.24,0.32,0.08,0.12,0.17,0.24,0.32,"Frankford","-75.0932299353567","40.0116632643388",c(-75.0932299353567, 40.0116632643388)
"30","1350 RUAN ST",0.06,0.09,0.13,0.19,0.27,0.08,0.12,0.17,0.23,0.32,0.08,0.12,0.17,0.23,0.32,"Frankford","-75.0928516002156","40.0119914109717",c(-75.0928516002156, 40.0119914109717)
"31","4725 EDMUND ST",0.04,0.07,0.1,0.16,0.23,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Frankford","-75.0759898144029","40.0105074979431",c(-75.0759898144029, 40.0105074979431)
"32","4201 ORCHARD ST",0.06,0.08,0.13,0.19,0.27,0.07,0.1,0.14,0.2,0.28,0.07,0.1,0.14,0.2,0.28,"Frankford","-75.0874370886453","40.0078766924725",c(-75.0874370886453, 40.0078766924725)
"33","1711 HARRISON ST",0.01,0.01,0.01,0.02,0.03,0.08,0.11,0.16,0.23,0.31,0.08,0.11,0.16,0.23,0.31,"Frankford","-75.0780905857629","40.0176140747378",c(-75.0780905857629, 40.0176140747378)
"34","4766 TACONY ST",0.08,0.12,0.18,0.26,0.36,0.22,0.3,0.4,0.5,0.6,0.22,0.3,0.4,0.5,0.6,"Frankford","-75.0741392294226","40.0081355118104",c(-75.0741392294226, 40.0081355118104)
"35","4537 PEARCE ST",0.05,0.07,0.11,0.16,0.23,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"Frankford","-75.0788216269033","40.0036375358906",c(-75.0788216269033, 40.0036375358906)
"36","1827 FILLMORE ST",0.05,0.07,0.11,0.16,0.24,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Frankford","-75.0769207074594","40.0160125446644",c(-75.0769207074594, 40.0160125446644)
"37","5105 WORTH ST",0.05,0.07,0.11,0.16,0.23,0.11,0.16,0.23,0.31,0.41,0.11,0.16,0.23,0.31,0.41,"Frankford","-75.0708947026784","40.0109643974509",c(-75.0708947026784, 40.0109643974509)
"38","5031 FRANKFORD AVE",0.06,0.09,0.14,0.21,0.29,0.14,0.2,0.28,0.37,0.47,0.14,0.2,0.28,0.37,0.47,"Frankford","-75.0794913350703","40.0209136961431",c(-75.0794913350703, 40.0209136961431)
"39","4257 N PENN ST",0.06,0.09,0.14,0.2,0.28,0.08,0.12,0.17,0.23,0.32,0.08,0.12,0.17,0.23,0.32,"Frankford","-75.0914104386408","40.0107900208284",c(-75.0914104386408, 40.0107900208284)
"40","2035 HAWORTH ST",0.05,0.07,0.11,0.16,0.23,0.11,0.16,0.23,0.31,0.4,0.11,0.16,0.23,0.31,0.4,"Frankford","-75.0726110931805","40.0132453015298",c(-75.0726110931805, 40.0132453015298)
"41","4624 PILLING ST",0.04,0.06,0.1,0.15,0.21,0.09,0.14,0.19,0.27,0.36,0.09,0.14,0.19,0.27,0.36,"Frankford","-75.0890814976472","40.0176298800435",c(-75.0890814976472, 40.0176298800435)
"42","5116 SAUL ST",0.04,0.06,0.09,0.13,0.19,0.14,0.2,0.27,0.36,0.46,0.14,0.2,0.27,0.36,0.46,"Frankford","-75.082376618783","40.0235190295279",c(-75.082376618783, 40.0235190295279)
"43","2020 PLUM ST",0.06,0.09,0.13,0.19,0.27,0.09,0.13,0.18,0.25,0.34,0.09,0.13,0.18,0.25,0.34,"Frankford","-75.0794067817834","40.0112779640623",c(-75.0794067817834, 40.0112779640623)
"44","4645 N PENN ST",0.06,0.1,0.14,0.21,0.3,0.12,0.18,0.25,0.33,0.43,0.12,0.18,0.25,0.33,0.43,"Frankford","-75.0858769691826","40.0167575582191",c(-75.0858769691826, 40.0167575582191)
"45","4255 N PENN ST",0.06,0.09,0.13,0.2,0.28,0.08,0.12,0.17,0.23,0.32,0.08,0.12,0.17,0.23,0.32,"Frankford","-75.0914506938053","40.0107463633763",c(-75.0914506938053, 40.0107463633763)
