"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","3639 N 7TH ST",0.08,0.12,0.17,0.25,0.34,0.06,0.09,0.13,0.19,0.26,0.06,0.09,0.13,0.19,0.26,"Franklinville","-75.1403771370647","40.0072273209211",c(-75.1403771370647, 40.0072273209211)
"2","3523 N RANDOLPH ST",0.04,0.07,0.1,0.15,0.22,0.06,0.09,0.13,0.19,0.26,0.06,0.09,0.13,0.19,0.26,"Franklinville","-75.1380802102949","40.0051164979168",c(-75.1380802102949, 40.0051164979168)
"3","3434 N 10TH ST",0.07,0.1,0.15,0.22,0.31,0.08,0.11,0.16,0.22,0.3,0.08,0.11,0.16,0.22,0.3,"Franklinville","-75.1453608498293","40.00474547175",c(-75.1453608498293, 40.00474547175)
"4","1305 W WISHART ST",0.04,0.07,0.1,0.15,0.22,0.08,0.12,0.17,0.24,0.32,0.08,0.12,0.17,0.24,0.32,"Franklinville","-75.1510581227088","40.0008545340034",c(-75.1510581227088, 40.0008545340034)
"5","3128 N CAMAC ST",0.06,0.09,0.14,0.2,0.29,0.06,0.1,0.14,0.2,0.27,0.06,0.1,0.14,0.2,0.27,"Franklinville","-75.1503681887881","40.0002974059868",c(-75.1503681887881, 40.0002974059868)
"6","3528 N MARVINE ST",0.07,0.11,0.16,0.23,0.32,0.06,0.09,0.13,0.19,0.26,0.06,0.09,0.13,0.19,0.26,"Franklinville","-75.147457076547","40.006305503903",c(-75.147457076547, 40.006305503903)
"7","1112 W TIOGA ST",0.07,0.1,0.16,0.22,0.31,0.06,0.09,0.13,0.18,0.26,0.06,0.09,0.13,0.18,0.26,"Franklinville","-75.1470533644518","40.0053476252426",c(-75.1470533644518, 40.0053476252426)
"8","1213 W ALLEGHENY AVE",0.04,0.07,0.1,0.15,0.22,0.08,0.12,0.17,0.23,0.32,0.08,0.12,0.17,0.23,0.32,"Franklinville","-75.1492043566901","40.0014204007233",c(-75.1492043566901, 40.0014204007233)
"9","1308 W WISHART ST",0.04,0.07,0.1,0.16,0.22,0.08,0.12,0.17,0.24,0.33,0.08,0.12,0.17,0.24,0.33,"Franklinville","-75.1512031564451","40.0006629351629",c(-75.1512031564451, 40.0006629351629)
"10","641 W SEDGLEY AVE",0.05,0.07,0.11,0.17,0.24,0.08,0.11,0.16,0.23,0.31,0.08,0.11,0.16,0.23,0.31,"Franklinville","-75.1411054219771","40.0034836942101",c(-75.1411054219771, 40.0034836942101)
"11","3604 N 7TH ST",0.05,0.08,0.12,0.18,0.25,0.08,0.11,0.16,0.23,0.31,0.08,0.11,0.16,0.23,0.31,"Franklinville","-75.1409713209855","40.0064838051365",c(-75.1409713209855, 40.0064838051365)
"12","1028 W RUSSELL ST",0.07,0.11,0.16,0.24,0.33,0.06,0.09,0.13,0.19,0.26,0.06,0.09,0.13,0.19,0.26,"Franklinville","-75.1462069114687","40.0042940864224",c(-75.1462069114687, 40.0042940864224)
"13","1009 W ONTARIO ST",0.11,0.17,0.24,0.33,0.44,0.09,0.12,0.18,0.25,0.33,0.09,0.12,0.18,0.25,0.33,"Franklinville","-75.1458694301428","40.0041415682762",c(-75.1458694301428, 40.0041415682762)
"14","900 W ERIE AVE",0.07,0.11,0.17,0.24,0.33,0.11,0.16,0.23,0.31,0.41,0.11,0.16,0.23,0.31,0.41,"Franklinville","-75.1429193681544","40.0079178606663",c(-75.1429193681544, 40.0079178606663)
"15","3655 N DARIEN ST",0.05,0.08,0.12,0.18,0.25,0.08,0.12,0.17,0.23,0.31,0.08,0.12,0.17,0.23,0.31,"Franklinville","-75.1421816700507","40.0076990218877",c(-75.1421816700507, 40.0076990218877)
"16","1226 W WESTMORELAND ST",0.05,0.08,0.12,0.18,0.26,0.07,0.1,0.14,0.2,0.28,0.07,0.1,0.14,0.2,0.28,"Franklinville","-75.1496804972165","40.0026678529086",c(-75.1496804972165, 40.0026678529086)
"17","3548 N RANDOLPH ST",0.05,0.07,0.11,0.16,0.23,0.08,0.11,0.16,0.23,0.31,0.08,0.11,0.16,0.23,0.31,"Franklinville","-75.1385751823662","40.005560502035",c(-75.1385751823662, 40.005560502035)
"18","3430 OLD YORK RD",0.05,0.07,0.11,0.17,0.24,0.08,0.12,0.17,0.24,0.32,0.08,0.12,0.17,0.24,0.32,"Franklinville","-75.1487082537365","40.0049826735407",c(-75.1487082537365, 40.0049826735407)
"19","3559 N 8TH ST",0.08,0.12,0.17,0.25,0.34,0.06,0.09,0.13,0.19,0.26,0.06,0.09,0.13,0.19,0.26,"Franklinville","-75.1418766644173","40.0063113862687",c(-75.1418766644173, 40.0063113862687)
"20","1328 W CLEARFIELD ST",0.06,0.1,0.15,0.21,0.3,0.06,0.1,0.14,0.2,0.27,0.06,0.1,0.14,0.2,0.27,"Franklinville","-75.152144281136","39.9996787317149",c(-75.152144281136, 39.9996787317149)
"21","3532 N 11TH ST",0.07,0.11,0.16,0.24,0.33,0.06,0.09,0.13,0.19,0.26,0.06,0.09,0.13,0.19,0.26,"Franklinville","-75.1466546228059","40.0062997072927",c(-75.1466546228059, 40.0062997072927)
"22","3528 N 11TH ST",0.05,0.08,0.11,0.17,0.24,0.08,0.11,0.16,0.23,0.31,0.08,0.11,0.16,0.23,0.31,"Franklinville","-75.1466729273564","40.006216791538",c(-75.1466729273564, 40.006216791538)
"23","3641 N 13TH ST",0.04,0.05,0.08,0.13,0.19,0.1,0.14,0.2,0.28,0.37,0.1,0.14,0.2,0.28,0.37,"Franklinville","-75.1489940317481","40.0082812367508",c(-75.1489940317481, 40.0082812367508)
"24","637 W VENANGO ST",0.05,0.08,0.12,0.18,0.25,0.06,0.09,0.13,0.19,0.26,0.06,0.09,0.13,0.19,0.26,"Franklinville","-75.1404624780602","40.0063916312285",c(-75.1404624780602, 40.0063916312285)
"25","3503 N 8TH ST",0.05,0.08,0.11,0.17,0.24,0.08,0.11,0.16,0.23,0.31,0.08,0.11,0.16,0.23,0.31,"Franklinville","-75.1422584471374","40.0050606996206",c(-75.1422584471374, 40.0050606996206)
"26","3123 N CAMAC ST",0.06,0.09,0.13,0.2,0.28,0.06,0.1,0.14,0.2,0.27,0.06,0.1,0.14,0.2,0.27,"Franklinville","-75.1499233136775","40.0001893789853",c(-75.1499233136775, 40.0001893789853)
"27","1223 W WESTMORELAND ST",0.04,0.05,0.08,0.13,0.19,0.08,0.12,0.17,0.24,0.32,0.08,0.12,0.17,0.24,0.32,"Franklinville","-75.1495499813537","40.0029901698592",c(-75.1495499813537, 40.0029901698592)
"28","3608 N MARSHALL ST",0.08,0.12,0.17,0.25,0.34,0.06,0.09,0.13,0.18,0.25,0.06,0.09,0.13,0.18,0.25,"Franklinville","-75.140182473444","40.0064737908619",c(-75.140182473444, 40.0064737908619)
"29","3623 N 13TH ST",0.04,0.05,0.08,0.13,0.19,0.1,0.14,0.2,0.28,0.37,0.1,0.14,0.2,0.28,0.37,"Franklinville","-75.1490739241576","40.0079134729607",c(-75.1490739241576, 40.0079134729607)
"30","3651 N 7TH ST",0.07,0.11,0.17,0.24,0.34,0.06,0.09,0.13,0.19,0.26,0.06,0.09,0.13,0.19,0.26,"Franklinville","-75.1403953229036","40.007465632881",c(-75.1403953229036, 40.007465632881)
"31","701 W ONTARIO ST",0.07,0.11,0.16,0.23,0.32,0.06,0.09,0.13,0.18,0.25,0.06,0.09,0.13,0.18,0.25,"Franklinville","-75.1415694923041","40.0034388194392",c(-75.1415694923041, 40.0034388194392)
"32","3645 N 3RD ST",0.05,0.08,0.11,0.17,0.24,0.12,0.18,0.25,0.33,0.43,0.12,0.18,0.25,0.33,0.43,"Franklinville","-75.1339244036507","40.0066419387732",c(-75.1339244036507, 40.0066419387732)
"33","3627 N 11TH ST",0.07,0.11,0.16,0.24,0.33,0.07,0.1,0.14,0.2,0.27,0.07,0.1,0.14,0.2,0.27,"Franklinville","-75.1458858786688","40.0075594154851",c(-75.1458858786688, 40.0075594154851)
"34","1300 W LIPPINCOTT ST",0.11,0.16,0.23,0.32,0.43,0.06,0.09,0.13,0.18,0.25,0.06,0.09,0.13,0.18,0.25,"Franklinville","-75.1510685062739","40.0003281470102",c(-75.1510685062739, 40.0003281470102)
"35","1021 W GLENWOOD AVE",0.08,0.12,0.18,0.25,0.35,0.08,0.11,0.16,0.22,0.3,0.08,0.11,0.16,0.22,0.3,"Franklinville","-75.1469034243991","39.999719987513",c(-75.1469034243991, 39.999719987513)
"36","3641 N 7TH ST",0.05,0.08,0.12,0.18,0.25,0.08,0.11,0.16,0.23,0.31,0.08,0.11,0.16,0.23,0.31,"Franklinville","-75.1403626556626","40.0072641552959",c(-75.1403626556626, 40.0072641552959)
"37","1348 W CLEARFIELD ST",0.06,0.1,0.15,0.21,0.3,0.06,0.09,0.14,0.19,0.27,0.06,0.09,0.14,0.19,0.27,"Franklinville","-75.1526774729745","39.9997472790117",c(-75.1526774729745, 39.9997472790117)
"38","636 W TIOGA ST",0.05,0.07,0.11,0.17,0.24,0.08,0.11,0.16,0.23,0.31,0.08,0.11,0.16,0.23,0.31,"Franklinville","-75.140727209284","40.0045578131997",c(-75.140727209284, 40.0045578131997)
"39","3647 N CAMAC ST",0.04,0.06,0.08,0.13,0.19,0.1,0.14,0.2,0.28,0.37,0.1,0.14,0.2,0.28,0.37,"Franklinville","-75.1483833149401","40.0082155825618",c(-75.1483833149401, 40.0082155825618)
"40","3641 N 5TH ST",0.08,0.12,0.18,0.26,0.35,0.1,0.14,0.2,0.27,0.36,0.1,0.14,0.2,0.27,0.36,"Franklinville","-75.1366980205544","40.0069416819261",c(-75.1366980205544, 40.0069416819261)
"41","1316 W LIPPINCOTT ST",0.07,0.1,0.15,0.22,0.3,0.07,0.1,0.14,0.2,0.27,0.07,0.1,0.14,0.2,0.27,"Franklinville","-75.1514732922539","40.0003803819102",c(-75.1514732922539, 40.0003803819102)
"42","3659 OLD YORK RD",0.07,0.11,0.16,0.23,0.32,0.06,0.09,0.14,0.19,0.27,0.06,0.09,0.14,0.19,0.27,"Franklinville","-75.1473738074834","40.0084276224005",c(-75.1473738074834, 40.0084276224005)
"43","1143 W TIOGA ST",0.07,0.1,0.15,0.22,0.31,0.06,0.09,0.13,0.19,0.26,0.06,0.09,0.13,0.19,0.26,"Franklinville","-75.1479948394617","40.0058162362368",c(-75.1479948394617, 40.0058162362368)
