"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","5039 PINE ST",0.05,0.07,0.11,0.17,0.24,0.15,0.21,0.29,0.38,0.49,0.15,0.21,0.29,0.38,0.49,"Garden Court","-75.2237080065821","39.9534504753998",c(-75.2237080065821, 39.9534504753998)
"2","331 S 52ND ST",0.05,0.08,0.12,0.18,0.25,0.19,0.27,0.35,0.46,0.56,0.19,0.27,0.35,0.46,0.56,"Garden Court","-75.2259650405953","39.9536431571047",c(-75.2259650405953, 39.9536431571047)
"3","5116 SPRUCE ST",0.05,0.08,0.12,0.18,0.26,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Garden Court","-75.2247473964429","39.9542123298188",c(-75.2247473964429, 39.9542123298188)
"4","4935 PINE ST",0.04,0.06,0.09,0.14,0.2,0.31,0.4,0.5,0.61,0.7,0.31,0.4,0.5,0.61,0.7,"Garden Court","-75.2214736517592","39.9531737865284",c(-75.2214736517592, 39.9531737865284)
"5","4631 PINE ST",0.04,0.06,0.1,0.14,0.21,0.11,0.16,0.23,0.31,0.41,0.11,0.16,0.23,0.31,0.41,"Garden Court","-75.2161542791819","39.952043233448",c(-75.2161542791819, 39.952043233448)
"6","420 S 49TH ST",0.04,0.06,0.1,0.14,0.21,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Garden Court","-75.2207202834551","39.9522464287308",c(-75.2207202834551, 39.9522464287308)
"7","439 S 50TH ST",0.03,0.05,0.07,0.11,0.17,0.21,0.28,0.38,0.48,0.58,0.21,0.28,0.38,0.48,0.58,"Garden Court","-75.2222402384664","39.95189193462",c(-75.2222402384664, 39.95189193462)
"8","5003 PINE ST",0.05,0.07,0.11,0.16,0.24,0.12,0.17,0.23,0.31,0.41,0.12,0.17,0.23,0.31,0.41,"Garden Court","-75.2224258659865","39.9532908054195",c(-75.2224258659865, 39.9532908054195)
"9","4742 PINE ST",0.04,0.06,0.1,0.14,0.21,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Garden Court","-75.2179264144693","39.9522720783611",c(-75.2179264144693, 39.9522720783611)
"10","5025 PINE ST",0.05,0.07,0.11,0.16,0.24,0.11,0.16,0.23,0.31,0.41,0.11,0.16,0.23,0.31,0.41,"Garden Court","-75.2232043123758","39.9534432464441",c(-75.2232043123758, 39.9534432464441)
"11","5119 PINE ST",0.05,0.08,0.12,0.17,0.25,0.11,0.16,0.23,0.31,0.41,0.11,0.16,0.23,0.31,0.41,"Garden Court","-75.2249896510952","39.9535714095155",c(-75.2249896510952, 39.9535714095155)
"12","5006 SPRUCE ST",0.05,0.07,0.11,0.16,0.23,0.12,0.18,0.25,0.33,0.43,0.12,0.18,0.25,0.33,0.43,"Garden Court","-75.2224502163873","39.9538763920742",c(-75.2224502163873, 39.9538763920742)
"13","4636 SPRUCE ST",0.07,0.11,0.16,0.24,0.33,0.19,0.27,0.36,0.46,0.56,0.19,0.27,0.36,0.46,0.56,"Garden Court","-75.2157108678421","39.9529972373698",c(-75.2157108678421, 39.9529972373698)
"14","307 S 51ST ST",0.05,0.08,0.11,0.17,0.24,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Garden Court","-75.2238570422017","39.9537943663069",c(-75.2238570422017, 39.9537943663069)
"15","435 S 51ST ST",0.15,0.21,0.3,0.4,0.52,0.26,0.35,0.45,0.55,0.65,0.26,0.35,0.45,0.55,0.65,"Garden Court","-75.224175568348","39.9522712593113",c(-75.224175568348, 39.9522712593113)
"16","442 S 50TH ST",0.04,0.07,0.1,0.15,0.22,0.12,0.17,0.23,0.32,0.41,0.12,0.17,0.23,0.32,0.41,"Garden Court","-75.2228062403211","39.9518774751546",c(-75.2228062403211, 39.9518774751546)
"17","4929 OSAGE AVE",0.03,0.04,0.07,0.1,0.15,0.15,0.21,0.28,0.38,0.48,0.15,0.21,0.28,0.38,0.48,"Garden Court","-75.2215560190587","39.9523949267093",c(-75.2215560190587, 39.9523949267093)
"18","445 S 49TH ST",0.03,0.04,0.06,0.1,0.15,0.15,0.21,0.29,0.38,0.48,0.15,0.21,0.29,0.38,0.48,"Garden Court","-75.2202860523061","39.9514719908198",c(-75.2202860523061, 39.9514719908198)
"19","5030 SPRUCE ST",0.05,0.07,0.11,0.17,0.24,0.16,0.22,0.3,0.39,0.5,0.16,0.22,0.3,0.39,0.5,"Garden Court","-75.2233621007743","39.9540065609334",c(-75.2233621007743, 39.9540065609334)
"20","5115 PINE ST",0.05,0.08,0.12,0.17,0.25,0.11,0.16,0.23,0.31,0.41,0.11,0.16,0.23,0.31,0.41,"Garden Court","-75.2248425036712","39.9535522292647",c(-75.2248425036712, 39.9535522292647)
"21","323 S 51ST ST",0.05,0.07,0.11,0.17,0.24,0.11,0.16,0.23,0.31,0.41,0.11,0.16,0.23,0.31,0.41,"Garden Court","-75.2239479442589","39.9533644878496",c(-75.2239479442589, 39.9533644878496)
