"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","6125 MUSGRAVE ST",0.03,0.05,0.08,0.12,0.18,0.13,0.18,0.26,0.34,0.44,0.13,0.18,0.26,0.34,0.44,"Germantown - Morton","-75.1726624527711","40.0478847885546",c(-75.1726624527711, 40.0478847885546)
"2","6128 LENSEN ST",0.06,0.08,0.13,0.19,0.27,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Germantown - Morton","-75.1734850758054","40.0473329319585",c(-75.1734850758054, 40.0473329319585)
"3","6209 CHEW AVE",0.05,0.07,0.11,0.16,0.23,0.13,0.18,0.26,0.34,0.44,0.13,0.18,0.26,0.34,0.44,"Germantown - Morton","-75.1718788372537","40.0501329259834",c(-75.1718788372537, 40.0501329259834)
"4","207 HIGH ST",0.03,0.05,0.08,0.12,0.17,0.18,0.25,0.34,0.44,0.54,0.18,0.25,0.34,0.44,0.54,"Germantown - Morton","-75.1756164454792","40.0416957373061",c(-75.1756164454792, 40.0416957373061)
"5","222 E PRICE ST",0.09,0.14,0.2,0.28,0.39,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Germantown - Morton","-75.17269942858","40.03896960307",c(-75.17269942858, 40.03896960307)
"6","6226 MAGNOLIA ST",0.05,0.07,0.11,0.16,0.24,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Germantown - Morton","-75.1760607005352","40.0465847098339",c(-75.1760607005352, 40.0465847098339)
"7","6202 BAYNTON ST",0.04,0.06,0.09,0.13,0.19,0.13,0.18,0.26,0.34,0.44,0.13,0.18,0.26,0.34,0.44,"Germantown - Morton","-75.1786891925573","40.0436380412183",c(-75.1786891925573, 40.0436380412183)
"8","6213 CLEARVIEW ST",0.07,0.11,0.16,0.23,0.32,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Germantown - Morton","-75.1715418230342","40.0505604729772",c(-75.1715418230342, 40.0505604729772)
"9","358 E WALNUT LN",0.05,0.08,0.12,0.18,0.26,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Germantown - Morton","-75.1733757306701","40.0457434407464",c(-75.1733757306701, 40.0457434407464)
"10","6260 MAGNOLIA ST",0.03,0.05,0.07,0.11,0.17,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Germantown - Morton","-75.1768254053068","40.047047225859",c(-75.1768254053068, 40.047047225859)
"11","5855 MAGNOLIA ST",0.06,0.08,0.13,0.19,0.27,0.08,0.12,0.18,0.24,0.33,0.08,0.12,0.18,0.24,0.33,"Germantown - Morton","-75.1709674646281","40.0433863555055",c(-75.1709674646281, 40.0433863555055)
"12","454 MECHANIC ST",0.05,0.08,0.12,0.18,0.26,0.09,0.13,0.18,0.26,0.34,0.09,0.13,0.18,0.26,0.34,"Germantown - Morton","-75.1715956717764","40.0442776510069",c(-75.1715956717764, 40.0442776510069)
"13","536 E WALNUT LN",0.03,0.05,0.07,0.11,0.17,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Germantown - Morton","-75.1707194729968","40.0483769392195",c(-75.1707194729968, 40.0483769392195)
"14","520 E TULPEHOCKEN ST",0.03,0.05,0.08,0.12,0.17,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Germantown - Morton","-75.1726569601786","40.0485417569394",c(-75.1726569601786, 40.0485417569394)
"15","352 MECHANIC ST",0.05,0.07,0.11,0.16,0.24,0.09,0.13,0.18,0.26,0.34,0.09,0.13,0.18,0.26,0.34,"Germantown - Morton","-75.1733520269787","40.0426014532642",c(-75.1733520269787, 40.0426014532642)
"16","568 HERMAN ST",0.05,0.07,0.11,0.17,0.24,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Germantown - Morton","-75.1711110954969","40.0487944750295",c(-75.1711110954969, 40.0487944750295)
"17","6130 MCMAHON AVE",0.05,0.08,0.11,0.17,0.24,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Germantown - Morton","-75.1726845321843","40.0481184627248",c(-75.1726845321843, 40.0481184627248)
"18","6134 BELFIELD AVE",0.05,0.08,0.12,0.17,0.25,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Germantown - Morton","-75.1721817928292","40.0486405978543",c(-75.1721817928292, 40.0486405978543)
"19","6227 CHEW AVE",0.04,0.07,0.1,0.16,0.23,0.13,0.18,0.25,0.34,0.43,0.13,0.18,0.25,0.34,0.43,"Germantown - Morton","-75.1724885969564","40.0504996189175",c(-75.1724885969564, 40.0504996189175)
"20","6216 HOMER ST",0.03,0.05,0.08,0.12,0.18,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Germantown - Morton","-75.1753843530415","40.0469844880508",c(-75.1753843530415, 40.0469844880508)
"21","6138 MORTON ST",0.03,0.05,0.08,0.12,0.18,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Germantown - Morton","-75.1760067988125","40.0449542803305",c(-75.1760067988125, 40.0449542803305)
"22","171 E WALNUT LN",0.05,0.08,0.12,0.18,0.26,0.1,0.15,0.21,0.28,0.38,0.1,0.15,0.21,0.28,0.38,"Germantown - Morton","-75.175383758287","40.0438317495907",c(-75.175383758287, 40.0438317495907)
"23","113 E TULPEHOCKEN ST",0.06,0.09,0.13,0.19,0.27,0.15,0.21,0.29,0.39,0.49,0.15,0.21,0.29,0.39,0.49,"Germantown - Morton","-75.1781368437754","40.0440698326951",c(-75.1781368437754, 40.0440698326951)
"24","417 E WALNUT LN",0.05,0.08,0.12,0.18,0.26,0.11,0.15,0.22,0.29,0.39,0.11,0.15,0.22,0.29,0.39,"Germantown - Morton","-75.1736778933615","40.0463948853453",c(-75.1736778933615, 40.0463948853453)
"25","129 E PASTORIUS ST",0.06,0.09,0.13,0.19,0.27,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Germantown - Morton","-75.1771033052001","40.0441370473982",c(-75.1771033052001, 40.0441370473982)
"26","33 HIGH ST",0.03,0.05,0.08,0.12,0.18,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Germantown - Morton","-75.1771374750017","40.0403489483624",c(-75.1771374750017, 40.0403489483624)
"27","545 E WALNUT LN",0.05,0.07,0.11,0.17,0.24,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Germantown - Morton","-75.1710741305972","40.0485930981933",c(-75.1710741305972, 40.0485930981933)
"28","6112 MAGNOLIA ST",0.03,0.05,0.08,0.12,0.18,0.14,0.19,0.27,0.36,0.46,0.14,0.19,0.27,0.36,0.46,"Germantown - Morton","-75.1742722621582","40.0459898821388",c(-75.1742722621582, 40.0459898821388)
"29","430 MECHANIC ST",0.06,0.08,0.13,0.19,0.27,0.09,0.12,0.18,0.25,0.33,0.09,0.12,0.18,0.25,0.33,"Germantown - Morton","-75.1720891160984","40.0438536160394",c(-75.1720891160984, 40.0438536160394)
"30","168 HERMAN ST",0.12,0.18,0.26,0.36,0.47,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Germantown - Morton","-75.1761681387813","40.0436389705642",c(-75.1761681387813, 40.0436389705642)
"31","426 HIGH ST",0.08,0.13,0.19,0.26,0.36,0.07,0.1,0.15,0.21,0.29,0.07,0.1,0.15,0.21,0.29,"Germantown - Morton","-75.1723373545034","40.0442335909447",c(-75.1723373545034, 40.0442335909447)
"32","6220 CLEARVIEW ST",0.04,0.07,0.1,0.15,0.22,0.1,0.14,0.2,0.28,0.37,0.1,0.14,0.2,0.28,0.37,"Germantown - Morton","-75.1718455271715","40.0503956609748",c(-75.1718455271715, 40.0503956609748)
"33","5826 BAYNTON ST",0.04,0.06,0.09,0.14,0.2,0.1,0.15,0.21,0.29,0.38,0.1,0.15,0.21,0.29,0.38,"Germantown - Morton","-75.1733360609058","40.0398233272564",c(-75.1733360609058, 40.0398233272564)
"34","6135 MORTON ST",0.03,0.05,0.08,0.12,0.18,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Germantown - Morton","-75.1756557162348","40.0452771627574",c(-75.1756557162348, 40.0452771627574)
"35","73 COSGROVE ST",0.09,0.13,0.19,0.27,0.37,0.17,0.24,0.32,0.42,0.52,0.17,0.24,0.32,0.42,0.52,"Germantown - Morton","-75.176757057255","40.0415373836609",c(-75.176757057255, 40.0415373836609)
