"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","5327 WAYNE AVE",0.05,0.08,0.13,0.19,0.26,0.07,0.11,0.16,0.22,0.3,0.07,0.11,0.16,0.22,0.3,"Germantown - Penn Knox","-75.1731587757898","40.0287450995848",c(-75.1731587757898, 40.0287450995848)
"2","113 W COULTER ST",0.04,0.07,0.1,0.15,0.22,0.13,0.18,0.25,0.34,0.44,0.13,0.18,0.25,0.34,0.44,"Germantown - Penn Knox","-75.173099906918","40.0313355903605",c(-75.173099906918, 40.0313355903605)
"3","22 MAPLEWOOD MALL",0.06,0.1,0.15,0.21,0.3,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Germantown - Penn Knox","-75.1745767194635","40.0344253391181",c(-75.1745767194635, 40.0344253391181)
"4","5218 GREENE ST",0.06,0.09,0.13,0.19,0.28,0.08,0.12,0.17,0.23,0.32,0.08,0.12,0.17,0.23,0.32,"Germantown - Penn Knox","-75.1695349632232","40.0294916237888",c(-75.1695349632232, 40.0294916237888)
"5","53 MAPLEWOOD MALL",0.07,0.1,0.16,0.23,0.32,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Germantown - Penn Knox","-75.1753794134397","40.0340819546856",c(-75.1753794134397, 40.0340819546856)
"6","51 MAPLEWOOD MALL",0.07,0.11,0.16,0.23,0.32,0.12,0.17,0.24,0.32,0.42,0.12,0.17,0.24,0.32,0.42,"Germantown - Penn Knox","-75.1753413380811","40.0341365349168",c(-75.1753413380811, 40.0341365349168)
"7","5225 KNOX ST",0.04,0.06,0.09,0.14,0.2,0.1,0.14,0.2,0.27,0.36,0.1,0.14,0.2,0.27,0.36,"Germantown - Penn Knox","-75.1702743886765","40.0289519967149",c(-75.1702743886765, 40.0289519967149)
"8","169 HANSBERRY ST",0.04,0.06,0.09,0.14,0.2,0.14,0.19,0.27,0.36,0.46,0.14,0.19,0.27,0.36,0.46,"Germantown - Penn Knox","-75.1705983510471","40.0281319065228",c(-75.1705983510471, 40.0281319065228)
"9","21 N ASHMEAD PL",0.04,0.06,0.09,0.13,0.2,0.1,0.14,0.2,0.27,0.36,0.1,0.14,0.2,0.27,0.36,"Germantown - Penn Knox","-75.1673983389131","40.0303385828791",c(-75.1673983389131, 40.0303385828791)
"10","5222 KNOX ST",0.04,0.06,0.09,0.14,0.2,0.12,0.17,0.24,0.33,0.43,0.12,0.17,0.24,0.33,0.43,"Germantown - Penn Knox","-75.1705383515068","40.0285893460864",c(-75.1705383515068, 40.0285893460864)
