address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
224-26 W COULTER ST,0,0.01,0.01,0.02,0.03,0.2,0.27,0.36,0.46,0.57,0.27,0.3,0.33,0.37,0.4,Germantown - Westside,-75.1749883089823,40.0284363595826,"c(-75.1749883089823, 40.0284363595826)"
457 HANSBERRY ST,0.05,0.08,0.11,0.17,0.24,0.09,0.13,0.18,0.25,0.34,0.23,0.25,0.28,0.32,0.35,Germantown - Westside,-75.1754262212999,40.0232580611713,"c(-75.1754262212999, 40.0232580611713)"
451 W PENN ST,0.05,0.07,0.11,0.16,0.23,0.12,0.17,0.24,0.33,0.43,0.22,0.25,0.28,0.31,0.35,Germantown - Westside,-75.1773842723951,40.0253152181014,"c(-75.1773842723951, 40.0253152181014)"
236 WINONA ST,0.05,0.07,0.11,0.17,0.24,0.16,0.23,0.31,0.41,0.51,0.5,0.53,0.57,0.61,0.65,Germantown - Westside,-75.1764295029316,40.028608888099,"c(-75.1764295029316, 40.028608888099)"
405 W SCHOOL HOUSE LN,0.03,0.05,0.07,0.11,0.17,0.15,0.21,0.28,0.37,0.48,0.2,0.22,0.25,0.28,0.31,Germantown - Westside,-75.1797343246846,40.027848805986,"c(-75.1797343246846, 40.027848805986)"
518 MIDVALE AVE,0.03,0.05,0.07,0.11,0.16,0.21,0.29,0.38,0.49,0.59,0.33,0.36,0.4,0.43,0.47,Germantown - Westside,-75.1782795363832,40.0247110381329,"c(-75.1782795363832, 40.0247110381329)"
325 HANSBERRY ST,0.05,0.08,0.11,0.17,0.24,0.13,0.19,0.26,0.34,0.44,0.5,0.53,0.57,0.61,0.64,Germantown - Westside,-75.1733761590906,40.0252916167747,"c(-75.1733761590906, 40.0252916167747)"
5368 MORRIS ST,0.03,0.05,0.07,0.11,0.16,0.21,0.28,0.38,0.48,0.58,0.46,0.49,0.53,0.57,0.61,Germantown - Westside,-75.1771326347635,40.0264187519972,"c(-75.1771326347635, 40.0264187519972)"
348 W QUEEN LN,0.05,0.07,0.11,0.16,0.23,0.16,0.22,0.3,0.39,0.5,0.34,0.37,0.41,0.44,0.48,Germantown - Westside,-75.1748859573925,40.0254869342317,"c(-75.1748859573925, 40.0254869342317)"
5339 PULASKI AVE,0.04,0.06,0.09,0.13,0.19,0.1,0.14,0.2,0.28,0.37,0.2,0.22,0.25,0.28,0.31,Germantown - Westside,-75.1748049316009,40.0272954930157,"c(-75.1748049316009, 40.0272954930157)"
