"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","4854 SMICK ST",0.02,0.03,0.05,0.07,0.11,0.17,0.24,0.32,0.42,0.53,0.17,0.24,0.32,0.42,0.53,"Germany Hill","-75.2321995868927","40.0338518449407",c(-75.2321995868927, 40.0338518449407)
"2","432 DELMAR ST",0.02,0.04,0.06,0.09,0.13,0.17,0.23,0.32,0.41,0.52,0.17,0.23,0.32,0.41,0.52,"Germany Hill","-75.2248524711156","40.0384456232248",c(-75.2248524711156, 40.0384456232248)
"3","4830 SMICK ST",0.03,0.05,0.07,0.11,0.17,0.16,0.23,0.31,0.41,0.51,0.16,0.23,0.31,0.41,0.51,"Germany Hill","-75.2318009396004","40.0334867442064",c(-75.2318009396004, 40.0334867442064)
"4","220 FOUNTAIN ST",0.04,0.06,0.09,0.13,0.19,0.18,0.26,0.34,0.44,0.55,0.18,0.26,0.34,0.44,0.55,"Germany Hill","-75.2291011072737","40.0345135360883",c(-75.2291011072737, 40.0345135360883)
"5","4861 UMBRIA ST",0.02,0.03,0.04,0.07,0.1,0.18,0.25,0.33,0.43,0.54,0.18,0.25,0.33,0.43,0.54,"Germany Hill","-75.2336164797453","40.0337846894946",c(-75.2336164797453, 40.0337846894946)
"6","223 DELMAR ST",0.02,0.04,0.06,0.09,0.13,0.2,0.27,0.36,0.47,0.57,0.2,0.27,0.36,0.47,0.57,"Germany Hill","-75.2295194532841","40.0351855960039",c(-75.2295194532841, 40.0351855960039)
"7","341 DELMAR ST",0.02,0.03,0.05,0.07,0.11,0.23,0.31,0.41,0.51,0.62,0.23,0.31,0.41,0.51,0.62,"Germany Hill","-75.2269200383767","40.0366203675989",c(-75.2269200383767, 40.0366203675989)
"8","4827 TIBBEN ST",0.02,0.03,0.05,0.07,0.11,0.18,0.26,0.34,0.44,0.55,0.18,0.26,0.34,0.44,0.55,"Germany Hill","-75.2271530401052","40.0364256738132",c(-75.2271530401052, 40.0364256738132)
"9","230 DELMAR ST",0.02,0.04,0.06,0.09,0.13,0.23,0.31,0.4,0.51,0.61,0.23,0.31,0.4,0.51,0.61,"Germany Hill","-75.2298857451879","40.0352956495111",c(-75.2298857451879, 40.0352956495111)
"10","327 DELMAR ST",0.02,0.03,0.05,0.08,0.12,0.25,0.34,0.44,0.54,0.64,0.25,0.34,0.44,0.54,0.64,"Germany Hill","-75.2273171196542","40.0365082192376",c(-75.2273171196542, 40.0365082192376)
"11","362 DELMAR ST",0.02,0.03,0.05,0.08,0.12,0.26,0.34,0.44,0.55,0.65,0.26,0.34,0.44,0.55,0.65,"Germany Hill","-75.2266157167094","40.0374808494352",c(-75.2266157167094, 40.0374808494352)
"12","312 DELMAR ST",0.02,0.04,0.06,0.09,0.13,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Germany Hill","-75.2282482271542","40.036438211238",c(-75.2282482271542, 40.036438211238)
"13","4909 TIBBEN ST",0.02,0.03,0.05,0.08,0.12,0.17,0.24,0.32,0.42,0.53,0.17,0.24,0.32,0.42,0.53,"Germany Hill","-75.2277080007565","40.0368769636678",c(-75.2277080007565, 40.0368769636678)
"14","4858 SMICK ST",0.03,0.05,0.07,0.11,0.16,0.23,0.31,0.41,0.51,0.61,0.23,0.31,0.41,0.51,0.61,"Germany Hill","-75.2323219501536","40.0339461511171",c(-75.2323219501536, 40.0339461511171)
"15","4825 UMBRIA ST",0.02,0.03,0.05,0.07,0.11,0.18,0.25,0.33,0.43,0.54,0.18,0.25,0.33,0.43,0.54,"Germany Hill","-75.2329055390543","40.0331379570688",c(-75.2329055390543, 40.0331379570688)
"16","438 LEMONTE ST",0.02,0.03,0.05,0.08,0.12,0.18,0.25,0.34,0.43,0.54,0.18,0.25,0.34,0.43,0.54,"Germany Hill","-75.2247483627663","40.0392151344189",c(-75.2247483627663, 40.0392151344189)
"17","409 LEMONTE ST",0.04,0.06,0.09,0.13,0.19,0.14,0.2,0.27,0.37,0.47,0.14,0.2,0.27,0.37,0.47,"Germany Hill","-75.2257105451583","40.0383461906008",c(-75.2257105451583, 40.0383461906008)
"18","379 DELMAR ST",0.02,0.03,0.05,0.08,0.12,0.18,0.25,0.34,0.43,0.54,0.18,0.25,0.34,0.43,0.54,"Germany Hill","-75.2258299014097","40.0375467539336",c(-75.2258299014097, 40.0375467539336)
"19","364 DELMAR ST",0.03,0.05,0.08,0.12,0.17,0.21,0.29,0.38,0.48,0.59,0.21,0.29,0.38,0.48,0.59,"Germany Hill","-75.2265672651817","40.0375179682562",c(-75.2265672651817, 40.0375179682562)
"20","4808 OGLE ST",0.02,0.03,0.05,0.08,0.12,0.17,0.23,0.32,0.41,0.52,0.17,0.23,0.32,0.41,0.52,"Germany Hill","-75.232153839726","40.0328889701353",c(-75.232153839726, 40.0328889701353)
"21","288 DELMAR ST",0.03,0.04,0.07,0.1,0.15,0.22,0.29,0.39,0.49,0.6,0.22,0.29,0.39,0.49,0.6,"Germany Hill","-75.2289170590091","40.0359788174235",c(-75.2289170590091, 40.0359788174235)
"22","354 CINNAMINSON ST",0.03,0.04,0.06,0.09,0.14,0.21,0.29,0.38,0.48,0.59,0.21,0.29,0.38,0.48,0.59,"Germany Hill","-75.2289699188637","40.0383111510338",c(-75.2289699188637, 40.0383111510338)
"23","151 PARKER AVE",0.03,0.04,0.06,0.1,0.15,0.2,0.28,0.37,0.47,0.57,0.2,0.28,0.37,0.47,0.57,"Germany Hill","-75.23356850141","40.0356056014068",c(-75.23356850141, 40.0356056014068)
"24","463 DELMAR ST",0.02,0.04,0.06,0.09,0.13,0.17,0.24,0.33,0.43,0.53,0.17,0.24,0.33,0.43,0.53,"Germany Hill","-75.2239141288009","40.038477044829",c(-75.2239141288009, 40.038477044829)
"25","461 PARKER AVE",0.03,0.05,0.08,0.12,0.18,0.22,0.3,0.39,0.5,0.6,0.22,0.3,0.39,0.5,0.6,"Germany Hill","-75.2266299706066","40.0419635709654",c(-75.2266299706066, 40.0419635709654)
"26","4849 OGLE ST",0.02,0.03,0.05,0.07,0.11,0.26,0.35,0.45,0.55,0.65,0.26,0.35,0.45,0.55,0.65,"Germany Hill","-75.2327293007528","40.0339167983447",c(-75.2327293007528, 40.0339167983447)
"27","4825 TIBBEN ST",0.02,0.03,0.05,0.07,0.11,0.17,0.24,0.33,0.43,0.53,0.17,0.24,0.33,0.43,0.53,"Germany Hill","-75.2271189261588","40.0363939050483",c(-75.2271189261588, 40.0363939050483)
"28","4854 OGLE ST",0.02,0.03,0.04,0.07,0.11,0.18,0.24,0.33,0.43,0.53,0.18,0.24,0.33,0.43,0.53,"Germany Hill","-75.2330290436458","40.0336694089428",c(-75.2330290436458, 40.0336694089428)
"29","352 CINNAMINSON ST",0.03,0.04,0.06,0.09,0.14,0.21,0.29,0.38,0.48,0.59,0.21,0.29,0.38,0.48,0.59,"Germany Hill","-75.2290477581914","40.0382757853396",c(-75.2290477581914, 40.0382757853396)
"30","4862 SMICK ST",0.02,0.03,0.05,0.07,0.11,0.27,0.36,0.47,0.57,0.67,0.27,0.36,0.47,0.57,0.67,"Germany Hill","-75.2323936881864","40.0340123834328",c(-75.2323936881864, 40.0340123834328)
