"","address","spread1_vacant","spread2_vacant","spread3_vacant","spread4_vacant","spread5_vacant","spread1_permit","spread2_permit","spread3_permit","spread4_permit","spread5_permit","spread1_transfer","spread2_transfer","spread3_transfer","spread4_transfer","spread5_transfer","neighborhood","lat","lon","geometry"
"1","1441 SHUNK ST",0.04,0.07,0.1,0.15,0.22,0.23,0.31,0.41,0.51,0.61,0.23,0.31,0.41,0.51,0.61,"Girard Estates","-75.1725872663359","39.9185161490496",c(-75.1725872663359, 39.9185161490496)
"2","1919 WOLF ST",0.02,0.03,0.05,0.08,0.12,0.16,0.22,0.3,0.4,0.5,0.16,0.22,0.3,0.4,0.5,"Girard Estates","-75.1788633761439","39.9231129530858",c(-75.1788633761439, 39.9231129530858)
"3","1619 W MOYAMENSING AVE",0.03,0.04,0.07,0.1,0.15,0.17,0.23,0.32,0.41,0.52,0.17,0.23,0.32,0.41,0.52,"Girard Estates","-75.1755839245811","39.9159898901362",c(-75.1755839245811, 39.9159898901362)
"4","2530 S 17TH ST",0.03,0.04,0.07,0.1,0.16,0.16,0.22,0.3,0.4,0.5,0.16,0.22,0.3,0.4,0.5,"Girard Estates","-75.176007344754","39.9192994575914",c(-75.176007344754, 39.9192994575914)
"5","2411 S BANCROFT ST",0.04,0.06,0.09,0.13,0.2,0.16,0.22,0.3,0.4,0.5,0.16,0.22,0.3,0.4,0.5,"Girard Estates","-75.1742439161257","39.9207980717193",c(-75.1742439161257, 39.9207980717193)
"6","2326 S LAMBERT ST",0.02,0.04,0.06,0.09,0.14,0.17,0.23,0.31,0.41,0.51,0.17,0.23,0.31,0.41,0.51,"Girard Estates","-75.1811714487811","39.9226794635476",c(-75.1811714487811, 39.9226794635476)
"7","1723 JOHNSTON ST",0.03,0.04,0.06,0.1,0.14,0.23,0.31,0.4,0.51,0.61,0.23,0.31,0.4,0.51,0.61,"Girard Estates","-75.177298141756","39.9164016712495",c(-75.177298141756, 39.9164016712495)
"8","2334 S 20TH ST",0.03,0.05,0.08,0.12,0.18,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Girard Estates","-75.1801722460675","39.9223295653269",c(-75.1801722460675, 39.9223295653269)
"9","1502 PORTER ST",0.04,0.07,0.1,0.15,0.22,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Girard Estates","-75.1726759454616","39.9194779297694",c(-75.1726759454616, 39.9194779297694)
"10","2543 S CARLISLE ST",0.04,0.07,0.1,0.15,0.22,0.13,0.19,0.26,0.35,0.45,0.13,0.19,0.26,0.35,0.45,"Girard Estates","-75.1720216767356","39.9185555690497",c(-75.1720216767356, 39.9185555690497)
"11","2313 S 17TH ST",0.02,0.04,0.06,0.09,0.14,0.19,0.26,0.35,0.45,0.56,0.19,0.26,0.35,0.45,0.56,"Girard Estates","-75.1749364080462","39.9221309200486",c(-75.1749364080462, 39.9221309200486)
