address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
1826 BAINBRIDGE ST,0.02,0.03,0.05,0.07,0.11,0.2,0.28,0.37,0.47,0.58,0.2,0.22,0.25,0.28,0.31,Graduate Hospital,-75.1730089035507,39.9435086308778,"c(-75.1730089035507, 39.9435086308778)"
303 SURGEON GENERALS CT,0.03,0.05,0.07,0.11,0.16,0.2,0.27,0.36,0.46,0.56,0.5,0.54,0.57,0.61,0.65,Graduate Hospital,-75.1842813013582,39.9440542282191,"c(-75.1842813013582, 39.9440542282191)"
742 S BROAD ST,0.04,0.06,0.09,0.13,0.19,0.24,0.33,0.42,0.53,0.63,0.5,0.53,0.57,0.61,0.64,Graduate Hospital,-75.1662299969082,39.9416613099945,"c(-75.1662299969082, 39.9416613099945)"
2236 LEAGUE ST,0.02,0.03,0.05,0.07,0.11,0.19,0.26,0.35,0.45,0.55,0.5,0.54,0.57,0.61,0.65,Graduate Hospital,-75.1811382293078,39.9400158174946,"c(-75.1811382293078, 39.9400158174946)"
903 S 20TH ST,0.02,0.04,0.06,0.09,0.14,0.2,0.27,0.36,0.46,0.57,0.5,0.53,0.57,0.61,0.65,Graduate Hospital,-75.1757017201529,39.9408779665715,"c(-75.1757017201529, 39.9408779665715)"
1606 MONTROSE ST,0.04,0.06,0.09,0.14,0.2,0.34,0.44,0.55,0.65,0.74,0.5,0.53,0.57,0.61,0.65,Graduate Hospital,-75.1701296252961,39.9398867113057,"c(-75.1701296252961, 39.9398867113057)"
2012 KIMBALL ST,0.03,0.05,0.07,0.11,0.16,0.23,0.31,0.41,0.51,0.62,0.36,0.4,0.44,0.47,0.51,Graduate Hospital,-75.1767688350164,39.9398160148494,"c(-75.1767688350164, 39.9398160148494)"
1511 KATER ST,0.02,0.04,0.06,0.09,0.14,0.31,0.41,0.51,0.62,0.71,0.33,0.36,0.4,0.43,0.47,Graduate Hospital,-75.1677084270143,39.9435794948197,"c(-75.1677084270143, 39.9435794948197)"
722 S BANCROFT ST,0.02,0.03,0.05,0.08,0.12,0.28,0.37,0.47,0.57,0.67,0.46,0.5,0.53,0.57,0.61,Graduate Hospital,-75.1695585643376,39.9426496245251,"c(-75.1695585643376, 39.9426496245251)"
2226 KATER ST,0.02,0.03,0.05,0.08,0.11,0.3,0.4,0.5,0.61,0.7,0.46,0.49,0.53,0.57,0.61,Graduate Hospital,-75.1795055697864,39.9448119530408,"c(-75.1795055697864, 39.9448119530408)"
711 S 16TH ST,0.03,0.05,0.07,0.11,0.16,0.16,0.23,0.31,0.41,0.51,0.23,0.25,0.28,0.32,0.35,Graduate Hospital,-75.1688277021228,39.9428495618781,"c(-75.1688277021228, 39.9428495618781)"
2416 CARPENTER ST,0.01,0.02,0.04,0.05,0.08,0.18,0.25,0.34,0.44,0.54,0.3,0.33,0.37,0.41,0.44,Graduate Hospital,-75.1834781064039,39.9410092642234,"c(-75.1834781064039, 39.9410092642234)"
1506 MONTROSE ST,0.01,0.02,0.03,0.05,0.08,0.33,0.43,0.53,0.64,0.73,0.33,0.36,0.4,0.43,0.47,Graduate Hospital,-75.1685824798917,39.939673131445,"c(-75.1685824798917, 39.939673131445)"
2101 KIMBALL ST,0.02,0.03,0.05,0.07,0.11,0.2,0.28,0.37,0.47,0.57,0.5,0.53,0.57,0.61,0.64,Graduate Hospital,-75.1781988668362,39.9402390829906,"c(-75.1781988668362, 39.9402390829906)"
1825 CARPENTER ST,0.02,0.04,0.06,0.09,0.13,0.22,0.3,0.39,0.49,0.6,0.5,0.53,0.57,0.61,0.64,Graduate Hospital,-75.1738647090149,39.9401561943246,"c(-75.1738647090149, 39.9401561943246)"
2514 GRAYS FERRY AVE,0.03,0.05,0.07,0.11,0.16,0.2,0.27,0.37,0.47,0.57,0.36,0.4,0.44,0.47,0.51,Graduate Hospital,-75.1850161717069,39.9421410263979,"c(-75.1850161717069, 39.9421410263979)"
1509 CHRISTIAN ST,0.02,0.03,0.05,0.08,0.12,0.22,0.3,0.4,0.5,0.61,0.5,0.53,0.57,0.61,0.65,Graduate Hospital,-75.1685305302515,39.9405404047052,"c(-75.1685305302515, 39.9405404047052)"
2014 SOUTH ST,0.02,0.04,0.06,0.09,0.13,0.29,0.38,0.48,0.59,0.68,0.33,0.36,0.4,0.43,0.47,Graduate Hospital,-75.1756544079689,39.9447295593923,"c(-75.1756544079689, 39.9447295593923)"
1509 BAINBRIDGE ST,0.04,0.06,0.09,0.13,0.19,0.25,0.34,0.43,0.54,0.64,0.5,0.54,0.57,0.61,0.65,Graduate Hospital,-75.1677457023103,39.943189396993,"c(-75.1677457023103, 39.943189396993)"
2018 CARPENTER ST,0.02,0.03,0.04,0.06,0.09,0.21,0.29,0.38,0.49,0.59,0.3,0.33,0.37,0.41,0.44,Graduate Hospital,-75.1768952895644,39.9402081641057,"c(-75.1768952895644, 39.9402081641057)"
2130 CATHARINE ST,0.03,0.04,0.06,0.09,0.14,0.15,0.22,0.3,0.39,0.49,0.23,0.25,0.28,0.32,0.35,Graduate Hospital,-75.178612902978,39.9421970183694,"c(-75.178612902978, 39.9421970183694)"
915 S 18TH ST,0.03,0.04,0.06,0.09,0.14,0.14,0.2,0.28,0.37,0.47,0.34,0.37,0.41,0.45,0.48,Graduate Hospital,-75.1725894874095,39.940391892183,"c(-75.1725894874095, 39.940391892183)"
600 COMMODORE CT,0.03,0.04,0.06,0.1,0.14,0.21,0.29,0.38,0.48,0.59,0.5,0.54,0.57,0.61,0.65,Graduate Hospital,-75.1842813013582,39.9440542282191,"c(-75.1842813013582, 39.9440542282191)"
2357 MONTROSE ST,0.01,0.02,0.03,0.05,0.07,0.26,0.35,0.45,0.56,0.66,0.46,0.49,0.53,0.57,0.61,Graduate Hospital,-75.1825550157319,39.9417360752872,"c(-75.1825550157319, 39.9417360752872)"
2203 KATER ST,0.02,0.03,0.05,0.08,0.12,0.19,0.26,0.34,0.44,0.55,0.46,0.49,0.53,0.57,0.61,Graduate Hospital,-75.1788547673887,39.9449495907859,"c(-75.1788547673887, 39.9449495907859)"
1409 PEMBERTON ST,0.04,0.05,0.08,0.13,0.18,0.22,0.3,0.4,0.5,0.6,0.5,0.53,0.57,0.61,0.64,Graduate Hospital,-75.1665374375999,39.9425132032831,"c(-75.1665374375999, 39.9425132032831)"
