address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
2854 TASKER ST,0.04,0.06,0.08,0.13,0.19,0.21,0.29,0.38,0.48,0.58,0.23,0.25,0.28,0.31,0.35,Grays Ferry,-75.1927513040165,39.9334619659686,"c(-75.1927513040165, 39.9334619659686)"
1231 S 27TH ST,0.06,0.09,0.14,0.2,0.29,0.23,0.31,0.41,0.51,0.62,0.32,0.35,0.39,0.43,0.46,Grays Ferry,-75.1884853595633,39.9378829881735,"c(-75.1884853595633, 39.9378829881735)"
1805 S 32ND ST,0.02,0.03,0.04,0.06,0.09,0.19,0.26,0.35,0.45,0.56,0.33,0.36,0.4,0.43,0.47,Grays Ferry,-75.1979029316352,39.9314708434827,"c(-75.1979029316352, 39.9314708434827)"
3214 LATONA ST,0.02,0.03,0.05,0.08,0.11,0.16,0.23,0.31,0.4,0.51,0.5,0.53,0.57,0.61,0.64,Grays Ferry,-75.197158114855,39.9383740748019,"c(-75.197158114855, 39.9383740748019)"
1319 S 32ND ST,0.01,0.02,0.03,0.05,0.08,0.15,0.21,0.29,0.38,0.48,0.2,0.22,0.25,0.28,0.31,Grays Ferry,-75.1966661851857,39.9373340897886,"c(-75.1966661851857, 39.9373340897886)"
1646 S ETTING ST,0.04,0.07,0.1,0.15,0.22,0.11,0.16,0.23,0.31,0.41,0.34,0.37,0.41,0.44,0.48,Grays Ferry,-75.190578636404,39.932334908242,"c(-75.190578636404, 39.932334908242)"
1238 S 28TH ST,0.02,0.03,0.05,0.08,0.13,0.17,0.23,0.31,0.41,0.52,0.3,0.33,0.37,0.41,0.44,Grays Ferry,-75.1904598890293,39.9380966790335,"c(-75.1904598890293, 39.9380966790335)"
1531 S NAPA ST,0.01,0.02,0.04,0.06,0.09,0.15,0.21,0.29,0.38,0.48,0.3,0.33,0.37,0.4,0.44,Grays Ferry,-75.1962412411605,39.9345853664579,"c(-75.1962412411605, 39.9345853664579)"
2532 ELLSWORTH ST,0.03,0.04,0.06,0.1,0.15,0.23,0.31,0.4,0.51,0.61,0.46,0.49,0.53,0.57,0.61,Grays Ferry,-75.1862183803938,39.939073248875,"c(-75.1862183803938, 39.939073248875)"
1537 S BAMBREY ST,0.03,0.04,0.06,0.1,0.15,0.17,0.23,0.31,0.41,0.51,0.46,0.49,0.53,0.57,0.61,Grays Ferry,-75.187403530951,39.9333338765673,"c(-75.187403530951, 39.9333338765673)"
