address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
1921 S 5TH ST,0.02,0.03,0.05,0.07,0.11,0.24,0.33,0.42,0.53,0.63,0.32,0.36,0.4,0.43,0.47,Greenwich,-75.1544807572213,39.9242458025178,"c(-75.1544807572213, 39.9242458025178)"
420 HOFFMAN ST,0.03,0.04,0.07,0.1,0.16,0.16,0.22,0.3,0.4,0.5,0.23,0.25,0.28,0.31,0.35,Greenwich,-75.1538812073118,39.9242573981452,"c(-75.1538812073118, 39.9242573981452)"
1939 S 9TH ST,0.02,0.03,0.05,0.08,0.12,0.18,0.24,0.33,0.43,0.53,0.2,0.22,0.25,0.28,0.31,Greenwich,-75.1608082548904,39.9246954975752,"c(-75.1608082548904, 39.9246954975752)"
412 DUDLEY ST,0.02,0.03,0.04,0.07,0.1,0.29,0.38,0.48,0.58,0.68,0.46,0.49,0.53,0.57,0.61,Greenwich,-75.1535710400114,39.9238500468656,"c(-75.1535710400114, 39.9238500468656)"
707 DUDLEY ST,0.02,0.03,0.05,0.08,0.12,0.16,0.22,0.3,0.39,0.5,0.3,0.33,0.37,0.4,0.44,Greenwich,-75.1582560148404,39.9246959211814,"c(-75.1582560148404, 39.9246959211814)"
519 MERCY ST,0.02,0.03,0.05,0.07,0.11,0.13,0.18,0.26,0.34,0.44,0.2,0.22,0.25,0.28,0.31,Greenwich,-75.155743780229,39.9231431530759,"c(-75.155743780229, 39.9231431530759)"
437 MERCY ST,0.03,0.04,0.07,0.11,0.16,0.11,0.15,0.22,0.3,0.39,0.34,0.37,0.41,0.44,0.48,Greenwich,-75.1543232274382,39.9229549689,"c(-75.1543232274382, 39.9229549689)"
734 HOFFMAN ST,0.02,0.03,0.05,0.08,0.12,0.17,0.24,0.33,0.42,0.53,0.3,0.33,0.37,0.4,0.44,Greenwich,-75.1589117861331,39.9249211856921,"c(-75.1589117861331, 39.9249211856921)"
703 DUDLEY ST,0.02,0.03,0.05,0.08,0.12,0.22,0.3,0.39,0.49,0.6,0.33,0.36,0.4,0.43,0.47,Greenwich,-75.1581589514415,39.924683170061,"c(-75.1581589514415, 39.924683170061)"
725 MERCY ST,0.02,0.03,0.05,0.08,0.12,0.22,0.3,0.4,0.5,0.6,0.46,0.49,0.53,0.57,0.61,Greenwich,-75.1589952994361,39.9235631236615,"c(-75.1589952994361, 39.9235631236615)"
730 MERCY ST,0.02,0.03,0.05,0.08,0.12,0.16,0.23,0.31,0.4,0.51,0.46,0.49,0.53,0.57,0.61,Greenwich,-75.1591111802162,39.9233633769839,"c(-75.1591111802162, 39.9233633769839)"
524 MIFFLIN ST,0.02,0.03,0.05,0.08,0.12,0.24,0.33,0.42,0.53,0.63,0.46,0.49,0.53,0.57,0.61,Greenwich,-75.1553979685527,39.9248560169027,"c(-75.1553979685527, 39.9248560169027)"
534 HOFFMAN ST,0.02,0.03,0.05,0.08,0.12,0.21,0.29,0.39,0.49,0.59,0.46,0.49,0.53,0.57,0.61,Greenwich,-75.1557707583956,39.9245046105244,"c(-75.1557707583956, 39.9245046105244)"
422 HOFFMAN ST,0.02,0.03,0.05,0.07,0.11,0.26,0.35,0.45,0.56,0.66,0.46,0.49,0.53,0.57,0.61,Greenwich,-75.153930291409,39.9242640777259,"c(-75.153930291409, 39.9242640777259)"
512 MERCY ST,0.02,0.03,0.05,0.08,0.12,0.17,0.23,0.32,0.41,0.52,0.2,0.22,0.25,0.28,0.31,Greenwich,-75.1555382613769,39.9229122355463,"c(-75.1555382613769, 39.9229122355463)"
2036 S 5TH ST,0.03,0.05,0.08,0.12,0.17,0.14,0.2,0.27,0.36,0.46,0.34,0.37,0.41,0.44,0.48,Greenwich,-75.1552313208145,39.9226989891511,"c(-75.1552313208145, 39.9226989891511)"
