address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
5438-48 VINE ST,0.02,0.03,0.04,0.06,0.1,0.11,0.16,0.23,0.31,0.41,0.29,0.32,0.36,0.39,0.43,Haddington,-75.2296716770225,39.964859167915,"c(-75.2296716770225, 39.964859167915)"
5529-39 MARKET ST,0.01,0.01,0.01,0.02,0.04,0.13,0.19,0.26,0.35,0.45,0.27,0.3,0.33,0.37,0.41,Haddington,-75.2325027187886,39.9611655124436,"c(-75.2325027187886, 39.9611655124436)"
5839-61 HAVERFORD AVE,0.02,0.03,0.04,0.07,0.1,0.16,0.22,0.3,0.39,0.5,0.29,0.32,0.36,0.39,0.43,Haddington,-75.2369819970027,39.9693066134204,"c(-75.2369819970027, 39.9693066134204)"
5437-53 VINE ST,0.01,0.02,0.04,0.06,0.09,0.11,0.16,0.23,0.31,0.41,0.29,0.32,0.36,0.39,0.43,Haddington,-75.2293910883549,39.9657095897751,"c(-75.2293910883549, 39.9657095897751)"
436 N WILTON ST,0.05,0.08,0.12,0.18,0.26,0.08,0.11,0.16,0.23,0.31,0.34,0.37,0.41,0.44,0.48,Haddington,-75.2259938526968,39.9673478596269,"c(-75.2259938526968, 39.9673478596269)"
5455 SPRING ST,0.03,0.05,0.08,0.12,0.18,0.09,0.13,0.18,0.25,0.34,0.2,0.22,0.25,0.28,0.31,Haddington,-75.2294589339747,39.9642705451482,"c(-75.2294589339747, 39.9642705451482)"
5910 W GIRARD AVE,0.04,0.06,0.09,0.13,0.19,0.1,0.15,0.21,0.29,0.38,0.2,0.22,0.25,0.28,0.31,Haddington,-75.2379180752347,39.9698692440591,"c(-75.2379180752347, 39.9698692440591)"
5463 SPRING ST,0.05,0.08,0.12,0.18,0.25,0.07,0.1,0.15,0.21,0.28,0.22,0.25,0.28,0.31,0.35,Haddington,-75.2296698900198,39.9642970221171,"c(-75.2296698900198, 39.9642970221171)"
127 N FELTON ST,0.03,0.05,0.08,0.12,0.18,0.11,0.16,0.22,0.3,0.4,0.2,0.22,0.25,0.28,0.31,Haddington,-75.2448788188262,39.9651780612579,"c(-75.2448788188262, 39.9651780612579)"
303 N 63RD ST,0.03,0.05,0.08,0.12,0.17,0.11,0.16,0.22,0.3,0.4,0.3,0.33,0.37,0.4,0.44,Haddington,-75.2454038628732,39.967449155544,"c(-75.2454038628732, 39.967449155544)"
549 N ALLISON ST,0.04,0.06,0.09,0.13,0.19,0.08,0.12,0.17,0.24,0.32,0.3,0.33,0.37,0.4,0.44,Haddington,-75.2313373519189,39.9686096020822,"c(-75.2313373519189, 39.9686096020822)"
5653 ARCH ST,0.06,0.09,0.13,0.19,0.28,0.07,0.1,0.14,0.2,0.28,0.34,0.37,0.41,0.44,0.48,Haddington,-75.2340353598698,39.9628913060934,"c(-75.2340353598698, 39.9628913060934)"
5603 ARCH ST,0.04,0.06,0.09,0.14,0.2,0.09,0.13,0.18,0.25,0.34,0.2,0.22,0.25,0.28,0.31,Haddington,-75.2326951822979,39.9627264660042,"c(-75.2326951822979, 39.9627264660042)"
205 N 62ND ST,0.13,0.19,0.27,0.36,0.47,0.18,0.25,0.33,0.43,0.53,0.49,0.53,0.56,0.6,0.64,Haddington,-75.2438308197457,39.9657121407537,"c(-75.2438308197457, 39.9657121407537)"
113 N ROBINSON ST,0.03,0.05,0.07,0.11,0.17,0.11,0.16,0.22,0.3,0.4,0.2,0.22,0.25,0.28,0.31,Haddington,-75.2434504015744,39.964254014023,"c(-75.2434504015744, 39.964254014023)"
418 N 58TH ST,0.05,0.08,0.11,0.17,0.24,0.08,0.12,0.17,0.24,0.32,0.34,0.37,0.41,0.44,0.48,Haddington,-75.235711173376,39.9681305222205,"c(-75.235711173376, 39.9681305222205)"
125 N 60TH ST,0.04,0.07,0.1,0.15,0.22,0.08,0.12,0.17,0.24,0.33,0.22,0.25,0.28,0.31,0.35,Haddington,-75.2400424355246,39.9641246637197,"c(-75.2400424355246, 39.9641246637197)"
324 N 63RD ST,0.05,0.07,0.11,0.17,0.24,0.1,0.14,0.2,0.28,0.37,0.23,0.25,0.28,0.32,0.35,Haddington,-75.2460852638896,39.9680977874571,"c(-75.2460852638896, 39.9680977874571)"
140 N LINDENWOOD ST,0.05,0.08,0.13,0.18,0.26,0.09,0.13,0.18,0.25,0.34,0.22,0.25,0.28,0.31,0.35,Haddington,-75.2258327825567,39.962686420496,"c(-75.2258327825567, 39.962686420496)"
415 N SALFORD ST,0.03,0.05,0.08,0.12,0.18,0.1,0.15,0.21,0.29,0.38,0.3,0.33,0.37,0.4,0.44,Haddington,-75.2385102584279,39.9684695854149,"c(-75.2385102584279, 39.9684695854149)"
132 N LINDENWOOD ST,0.04,0.06,0.09,0.13,0.19,0.09,0.13,0.18,0.25,0.34,0.2,0.22,0.25,0.28,0.31,Haddington,-75.2258670055017,39.9625230773874,"c(-75.2258670055017, 39.9625230773874)"
612 WYNNEWOOD RD,0.03,0.05,0.07,0.11,0.16,0.16,0.22,0.3,0.39,0.5,0.46,0.49,0.53,0.57,0.61,Haddington,-75.2463546423378,39.9725522259483,"c(-75.2463546423378, 39.9725522259483)"
107 N RUBY ST,0.05,0.08,0.12,0.18,0.25,0.09,0.13,0.18,0.25,0.34,0.34,0.37,0.41,0.44,0.48,Haddington,-75.2274844107473,39.9621722453692,"c(-75.2274844107473, 39.9621722453692)"
5333 WYALUSING AVE,0.05,0.07,0.11,0.17,0.24,0.08,0.11,0.16,0.23,0.31,0.34,0.37,0.41,0.44,0.48,Haddington,-75.2279411285641,39.9694623159987,"c(-75.2279411285641, 39.9694623159987)"
5317 RACE ST,0.05,0.08,0.12,0.17,0.25,0.1,0.14,0.2,0.27,0.36,0.23,0.25,0.28,0.31,0.35,Haddington,-75.2269397772046,39.9636342610063,"c(-75.2269397772046, 39.9636342610063)"
230 N 53RD ST,0.05,0.08,0.11,0.17,0.24,0.1,0.14,0.2,0.28,0.37,0.23,0.25,0.28,0.32,0.35,Haddington,-75.2263642719651,39.9642772428565,"c(-75.2263642719651, 39.9642772428565)"
661 N YEWDALL ST,0.05,0.08,0.12,0.18,0.25,0.07,0.1,0.14,0.2,0.27,0.34,0.37,0.41,0.44,0.48,Haddington,-75.2290200943308,39.9705891335219,"c(-75.2290200943308, 39.9705891335219)"
32 N HIRST ST,0.03,0.04,0.06,0.1,0.15,0.11,0.16,0.22,0.3,0.39,0.3,0.33,0.37,0.4,0.44,Haddington,-75.2454283004797,39.9633237006386,"c(-75.2454283004797, 39.9633237006386)"
5851 ARCH ST,0.04,0.07,0.1,0.15,0.22,0.08,0.12,0.17,0.24,0.32,0.34,0.37,0.41,0.44,0.48,Haddington,-75.2382289359021,39.9634420893835,"c(-75.2382289359021, 39.9634420893835)"
6111 CALLOWHILL ST,0.05,0.08,0.12,0.17,0.25,0.09,0.13,0.18,0.25,0.34,0.34,0.37,0.41,0.44,0.48,Haddington,-75.241824154835,39.9685697796691,"c(-75.241824154835, 39.9685697796691)"
124 N 52ND ST,0.05,0.08,0.12,0.18,0.25,0.07,0.11,0.16,0.22,0.3,0.34,0.37,0.41,0.44,0.48,Haddington,-75.2247219547031,39.9622357730141,"c(-75.2247219547031, 39.9622357730141)"
162 N EDGEWOOD ST,0.05,0.08,0.11,0.17,0.24,0.09,0.13,0.18,0.25,0.34,0.34,0.37,0.41,0.44,0.48,Haddington,-75.2409601710084,39.9650189538792,"c(-75.2409601710084, 39.9650189538792)"
37 N EDGEWOOD ST,0.04,0.06,0.1,0.15,0.21,0.09,0.12,0.18,0.25,0.33,0.22,0.25,0.28,0.31,0.35,Haddington,-75.2410419325713,39.9628689292102,"c(-75.2410419325713, 39.9628689292102)"
123 N 53RD ST,0.05,0.08,0.13,0.19,0.26,0.1,0.14,0.2,0.28,0.37,0.23,0.25,0.28,0.31,0.35,Haddington,-75.2261362200007,39.9625111537255,"c(-75.2261362200007, 39.9625111537255)"
6240 HAVERFORD AVE,0.05,0.08,0.12,0.17,0.25,0.15,0.22,0.29,0.39,0.49,0.34,0.37,0.41,0.44,0.48,Haddington,-75.244164615534,39.9714931167277,"c(-75.244164615534, 39.9714931167277)"
402 N REDFIELD ST,0.05,0.08,0.12,0.17,0.25,0.08,0.12,0.17,0.24,0.32,0.34,0.37,0.41,0.44,0.48,Haddington,-75.2383569030417,39.9681149518706,"c(-75.2383569030417, 39.9681149518706)"
131 N HOBART ST,0.03,0.05,0.07,0.11,0.16,0.1,0.15,0.21,0.29,0.39,0.2,0.22,0.25,0.28,0.31,Haddington,-75.2374511489303,39.963894236109,"c(-75.2374511489303, 39.963894236109)"
404 N 63RD ST,0.05,0.07,0.11,0.16,0.24,0.09,0.13,0.18,0.26,0.34,0.23,0.25,0.28,0.32,0.35,Haddington,-75.2457524078874,39.9690956410781,"c(-75.2457524078874, 39.9690956410781)"
225 N RUBY ST,0.05,0.08,0.12,0.17,0.25,0.09,0.13,0.18,0.25,0.34,0.22,0.25,0.28,0.31,0.35,Haddington,-75.2271067222493,39.9640806127741,"c(-75.2271067222493, 39.9640806127741)"
19 N 57TH ST,0.04,0.06,0.09,0.14,0.2,0.09,0.13,0.18,0.25,0.34,0.2,0.22,0.25,0.28,0.31,Haddington,-75.2344725664687,39.9617467285062,"c(-75.2344725664687, 39.9617467285062)"
108 N EDGEWOOD ST,0.03,0.04,0.07,0.1,0.15,0.11,0.16,0.22,0.3,0.39,0.3,0.33,0.37,0.4,0.44,Haddington,-75.2411957958159,39.9639055158571,"c(-75.2411957958159, 39.9639055158571)"
209 N CECIL ST,0.04,0.06,0.09,0.13,0.2,0.09,0.13,0.18,0.25,0.34,0.3,0.33,0.37,0.4,0.44,Haddington,-75.2352776415372,39.9647553371871,"c(-75.2352776415372, 39.9647553371871)"
29 N MILLICK ST,0.03,0.04,0.07,0.11,0.16,0.11,0.15,0.22,0.3,0.39,0.3,0.33,0.37,0.4,0.44,Haddington,-75.2416711108405,39.9627782555526,"c(-75.2416711108405, 39.9627782555526)"
121 N EDGEWOOD ST,0.04,0.06,0.1,0.15,0.21,0.09,0.13,0.18,0.25,0.34,0.22,0.25,0.28,0.31,0.35,Haddington,-75.240789418288,39.9641071824816,"c(-75.240789418288, 39.9641071824816)"
5929 ARCH ST,0.04,0.07,0.1,0.15,0.22,0.08,0.12,0.17,0.24,0.33,0.34,0.37,0.41,0.44,0.48,Haddington,-75.2394347135569,39.9635842980309,"c(-75.2394347135569, 39.9635842980309)"
5840 RACE ST,0.03,0.05,0.07,0.11,0.16,0.11,0.15,0.21,0.29,0.39,0.3,0.33,0.37,0.4,0.44,Haddington,-75.2376734194155,39.9645615377024,"c(-75.2376734194155, 39.9645615377024)"
5947 VINE ST,0.05,0.08,0.12,0.18,0.25,0.08,0.12,0.17,0.24,0.33,0.22,0.25,0.28,0.31,0.35,Haddington,-75.2392696289189,39.9667114786701,"c(-75.2392696289189, 39.9667114786701)"
146 N PEACH ST,0.05,0.08,0.12,0.18,0.25,0.11,0.16,0.22,0.3,0.39,0.23,0.25,0.28,0.32,0.35,Haddington,-75.2271109776277,39.9629349953975,"c(-75.2271109776277, 39.9629349953975)"
614 N FRAZIER ST,0.05,0.08,0.13,0.18,0.26,0.07,0.1,0.14,0.2,0.27,0.34,0.37,0.41,0.44,0.48,Haddington,-75.2333355923106,39.9691288622967,"c(-75.2333355923106, 39.9691288622967)"
