address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
3566 RUTH ST,0.08,0.12,0.18,0.26,0.35,0.09,0.13,0.19,0.26,0.35,0.22,0.25,0.28,0.31,0.35,Harrowgate,-75.1042777514389,40.0010381039399,"c(-75.1042777514389, 40.0010381039399)"
3564 RUTH ST,0.08,0.12,0.18,0.26,0.35,0.09,0.13,0.19,0.26,0.35,0.34,0.37,0.41,0.44,0.48,Harrowgate,-75.1043418160703,40.0010119953122,"c(-75.1043418160703, 40.0010119953122)"
3569 KENSINGTON AVE,0.08,0.12,0.18,0.25,0.35,0.15,0.21,0.29,0.38,0.48,0.34,0.37,0.41,0.44,0.48,Harrowgate,-75.104299894281,40.0011563062956,"c(-75.104299894281, 40.0011563062956)"
3565 KENSINGTON AVE,0.08,0.12,0.18,0.25,0.35,0.16,0.22,0.3,0.4,0.5,0.34,0.37,0.41,0.44,0.48,Harrowgate,-75.1044665501129,40.0011456566849,"c(-75.1044665501129, 40.0011456566849)"
3563 JANNEY ST,0.03,0.05,0.08,0.12,0.18,0.11,0.15,0.22,0.3,0.39,0.2,0.22,0.25,0.28,0.31,Harrowgate,-75.0993226019981,39.9948140542626,"c(-75.0993226019981, 39.9948140542626)"
3465 BRADDOCK ST,0.06,0.09,0.14,0.2,0.28,0.07,0.11,0.16,0.22,0.3,0.2,0.22,0.25,0.28,0.31,Harrowgate,-75.1044412659595,39.9971962635586,"c(-75.1044412659595, 39.9971962635586)"
3228 KENSINGTON AVE,0.07,0.11,0.16,0.23,0.32,0.11,0.16,0.23,0.31,0.4,0.34,0.37,0.41,0.44,0.48,Harrowgate,-75.1124195382189,39.9972496624496,"c(-75.1124195382189, 39.9972496624496)"
935 E TIOGA ST,0.08,0.12,0.18,0.25,0.35,0.06,0.09,0.13,0.18,0.25,0.22,0.25,0.28,0.31,0.35,Harrowgate,-75.11092646484,40.0011529051012,"c(-75.11092646484, 40.0011529051012)"
813 E HILTON ST,0.08,0.12,0.18,0.25,0.35,0.06,0.09,0.13,0.18,0.26,0.22,0.25,0.28,0.31,0.35,Harrowgate,-75.1148942878543,39.9972948987335,"c(-75.1148942878543, 39.9972948987335)"
838 E MADISON ST,0.13,0.19,0.27,0.37,0.48,0.1,0.14,0.21,0.28,0.37,0.24,0.27,0.3,0.33,0.37,Harrowgate,-75.1142132895812,39.9973492899737,"c(-75.1142132895812, 39.9973492899737)"
1218 E VENANGO ST,0.09,0.13,0.19,0.27,0.37,0.07,0.1,0.15,0.21,0.29,0.23,0.25,0.28,0.31,0.35,Harrowgate,-75.105496516041,40.0014714341704,"c(-75.105496516041, 40.0014714341704)"
2011 E PACIFIC ST,0.05,0.08,0.12,0.18,0.26,0.11,0.16,0.23,0.31,0.41,0.3,0.33,0.37,0.4,0.44,Harrowgate,-75.0999138263185,39.9998380454891,"c(-75.0999138263185, 39.9998380454891)"
3425 EMERALD ST,0.06,0.09,0.13,0.19,0.27,0.07,0.11,0.16,0.22,0.3,0.3,0.33,0.37,0.4,0.44,Harrowgate,-75.1058907804856,39.9968454053896,"c(-75.1058907804856, 39.9968454053896)"
3251 JOYCE ST,0.06,0.09,0.14,0.2,0.28,0.07,0.11,0.16,0.22,0.3,0.2,0.22,0.25,0.28,0.31,Harrowgate,-75.1086250506434,39.9942059215295,"c(-75.1086250506434, 39.9942059215295)"
1815 E WENSLEY ST,0.08,0.13,0.19,0.27,0.36,0.06,0.09,0.13,0.18,0.25,0.34,0.37,0.41,0.44,0.48,Harrowgate,-75.10939272194,39.9982057465921,"c(-75.10939272194, 39.9982057465921)"
