address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
2130 GERMANTOWN AVE,0.06,0.09,0.14,0.2,0.29,0.12,0.17,0.24,0.32,0.42,0.22,0.25,0.28,0.31,0.35,Hartranft,-75.1444387896519,39.9840294302653,"c(-75.1444387896519, 39.9840294302653)"
3164 N 6TH ST,0.07,0.11,0.17,0.24,0.33,0.13,0.19,0.26,0.35,0.45,0.23,0.25,0.28,0.31,0.35,Hartranft,-75.1407602338499,39.9998433866217,"c(-75.1407602338499, 39.9998433866217)"
1324 W CUMBERLAND ST,0.06,0.1,0.15,0.21,0.3,0.11,0.15,0.22,0.3,0.39,0.23,0.25,0.28,0.31,0.35,Hartranft,-75.1538703258408,39.9905256720663,"c(-75.1538703258408, 39.9905256720663)"
2614 N 12TH ST,0.05,0.08,0.12,0.18,0.26,0.07,0.1,0.14,0.2,0.28,0.22,0.25,0.28,0.31,0.35,Hartranft,-75.1512710065531,39.9923645040994,"c(-75.1512710065531, 39.9923645040994)"
1240 W TUCKER ST,0.06,0.09,0.13,0.19,0.28,0.07,0.1,0.14,0.2,0.28,0.22,0.25,0.28,0.31,0.35,Hartranft,-75.1521356967497,39.9926719155554,"c(-75.1521356967497, 39.9926719155554)"
2837 N WATTS ST,0.06,0.09,0.14,0.2,0.29,0.08,0.11,0.16,0.23,0.31,0.22,0.25,0.28,0.31,0.35,Hartranft,-75.1531846156341,39.9962382298679,"c(-75.1531846156341, 39.9962382298679)"
2104 N 8TH ST,0.06,0.09,0.14,0.2,0.28,0.07,0.1,0.14,0.2,0.27,0.22,0.25,0.28,0.31,0.35,Hartranft,-75.1472964519023,39.9836825703952,"c(-75.1472964519023, 39.9836825703952)"
1026 W INDIANA AVE,0.04,0.06,0.09,0.13,0.2,0.08,0.11,0.16,0.23,0.31,0.2,0.22,0.25,0.28,0.31,Hartranft,-75.1476451114319,39.9975898814242,"c(-75.1476451114319, 39.9975898814242)"
1022 W ARIZONA ST,0.06,0.09,0.14,0.21,0.29,0.07,0.1,0.14,0.2,0.27,0.22,0.25,0.28,0.31,0.35,Hartranft,-75.1496571816235,39.9879241135487,"c(-75.1496571816235, 39.9879241135487)"
1327 W BOSTON ST,0.06,0.09,0.14,0.2,0.29,0.09,0.13,0.19,0.26,0.35,0.22,0.25,0.28,0.31,0.35,Hartranft,-75.1543122853919,39.9897593035677,"c(-75.1543122853919, 39.9897593035677)"
3030 N 7TH ST,0.05,0.08,0.12,0.17,0.25,0.09,0.13,0.19,0.26,0.35,0.3,0.33,0.37,0.4,0.44,Hartranft,-75.1428770004209,39.99787146183,"c(-75.1428770004209, 39.99787146183)"
1125 W OAKDALE ST,0.04,0.05,0.08,0.13,0.19,0.08,0.12,0.18,0.24,0.33,0.2,0.22,0.25,0.28,0.31,Hartranft,-75.1501305994962,39.9929792731013,"c(-75.1501305994962, 39.9929792731013)"
1332 W SILVER ST,0.06,0.09,0.14,0.2,0.28,0.08,0.11,0.16,0.23,0.31,0.22,0.25,0.28,0.31,0.35,Hartranft,-75.153364237406,39.9946217082126,"c(-75.153364237406, 39.9946217082126)"
906 W SOMERSET ST,0.08,0.12,0.18,0.26,0.36,0.07,0.11,0.15,0.22,0.3,0.33,0.37,0.41,0.44,0.48,Hartranft,-75.1460500107751,39.9943234719272,"c(-75.1460500107751, 39.9943234719272)"
1918 N MARSHALL ST,0.06,0.09,0.13,0.19,0.27,0.08,0.11,0.16,0.23,0.31,0.22,0.25,0.28,0.31,0.35,Hartranft,-75.1456412729142,39.9807454571952,"c(-75.1456412729142, 39.9807454571952)"
3020 N 9TH ST,0.05,0.08,0.11,0.17,0.24,0.09,0.13,0.19,0.26,0.35,0.2,0.22,0.25,0.28,0.31,Hartranft,-75.1451911481579,39.9979738785295,"c(-75.1451911481579, 39.9979738785295)"
2544 N 11TH ST,0.04,0.06,0.1,0.15,0.21,0.09,0.13,0.18,0.26,0.34,0.3,0.33,0.37,0.4,0.44,Hartranft,-75.1498982892632,39.9912086597967,"c(-75.1498982892632, 39.9912086597967)"
1006 W ORLEANS ST,0.07,0.11,0.17,0.24,0.33,0.08,0.12,0.18,0.25,0.33,0.29,0.32,0.35,0.39,0.42,Hartranft,-75.1472326564666,39.9968230461778,"c(-75.1472326564666, 39.9968230461778)"
2552 N HUTCHINSON ST,0.05,0.07,0.11,0.17,0.24,0.09,0.12,0.18,0.25,0.33,0.2,0.22,0.25,0.28,0.31,Hartranft,-75.1472994646741,39.9909094834215,"c(-75.1472994646741, 39.9909094834215)"
2553 N SARTAIN ST,0.04,0.06,0.1,0.14,0.21,0.08,0.12,0.18,0.24,0.33,0.2,0.22,0.25,0.28,0.31,Hartranft,-75.150544772279,39.9913527431235,"c(-75.150544772279, 39.9913527431235)"
2216 N CAMAC ST,0.06,0.09,0.13,0.19,0.27,0.14,0.2,0.28,0.37,0.48,0.5,0.54,0.57,0.61,0.65,Hartranft,-75.1533958598689,39.9863933428573,"c(-75.1533958598689, 39.9863933428573)"
3112 N 7TH ST,0.08,0.12,0.18,0.26,0.36,0.07,0.1,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Hartranft,-75.1426428650088,39.9990033203698,"c(-75.1426428650088, 39.9990033203698)"
2556 N SARTAIN ST,0.06,0.09,0.13,0.2,0.28,0.07,0.1,0.14,0.2,0.28,0.22,0.25,0.28,0.31,0.35,Hartranft,-75.1508028356157,39.9914760585298,"c(-75.1508028356157, 39.9914760585298)"
2514 N JESSUP ST,0.06,0.09,0.13,0.2,0.28,0.06,0.1,0.14,0.2,0.27,0.22,0.25,0.28,0.31,0.35,Hartranft,-75.1505292847922,39.990613145694,"c(-75.1505292847922, 39.990613145694)"
3038 N 6TH ST,0.08,0.12,0.17,0.24,0.34,0.07,0.11,0.15,0.22,0.3,0.22,0.25,0.28,0.31,0.35,Hartranft,-75.1412458106023,39.9978131179906,"c(-75.1412458106023, 39.9978131179906)"
610 W INDIANA AVE,0.05,0.08,0.12,0.18,0.26,0.09,0.13,0.19,0.26,0.35,0.2,0.22,0.25,0.28,0.31,Hartranft,-75.1416414793724,39.9967946985371,"c(-75.1416414793724, 39.9967946985371)"
617 W NORRIS ST,0.06,0.09,0.13,0.19,0.28,0.07,0.1,0.14,0.2,0.28,0.34,0.37,0.41,0.44,0.48,Hartranft,-75.1453145237013,39.9818677671715,"c(-75.1453145237013, 39.9818677671715)"
2160 N 7TH ST,0.06,0.09,0.13,0.2,0.28,0.11,0.15,0.21,0.29,0.39,0.5,0.53,0.57,0.61,0.64,Hartranft,-75.1457285291126,39.9845748924255,"c(-75.1457285291126, 39.9845748924255)"
2924 N MARSHALL ST,0.05,0.08,0.12,0.18,0.25,0.09,0.13,0.19,0.26,0.35,0.2,0.22,0.25,0.28,0.31,Hartranft,-75.1424554123628,39.9961548007013,"c(-75.1424554123628, 39.9961548007013)"
2260 N PARK AVE,0.06,0.09,0.13,0.2,0.28,0.12,0.17,0.24,0.33,0.42,0.23,0.25,0.28,0.31,0.35,Hartranft,-75.1548653542006,39.9875492199445,"c(-75.1548653542006, 39.9875492199445)"
3032 N 11TH ST,0.06,0.08,0.13,0.19,0.27,0.08,0.11,0.16,0.23,0.31,0.22,0.25,0.28,0.31,0.35,Hartranft,-75.1482431620755,39.9986077658908,"c(-75.1482431620755, 39.9986077658908)"
2551 N HUTCHINSON ST,0.07,0.11,0.16,0.23,0.32,0.07,0.1,0.14,0.2,0.28,0.22,0.25,0.28,0.31,0.35,Hartranft,-75.1470206139487,39.990829523168,"c(-75.1470206139487, 39.990829523168)"
2645 N SARTAIN ST,0.05,0.08,0.12,0.18,0.26,0.07,0.1,0.14,0.2,0.28,0.22,0.25,0.28,0.31,0.35,Hartranft,-75.1503412613001,39.9927095381217,"c(-75.1503412613001, 39.9927095381217)"
