address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
617 N 44TH ST,0.06,0.09,0.13,0.19,0.27,0.1,0.14,0.2,0.27,0.36,0.5,0.53,0.57,0.61,0.64,Haverford North,-75.210386830841,39.9631409759718,"c(-75.210386830841, 39.9631409759718)"
725 N 44TH ST,0.04,0.06,0.09,0.14,0.21,0.12,0.18,0.24,0.33,0.43,0.33,0.36,0.4,0.43,0.47,Haverford North,-75.2104714180479,39.9651713331063,"c(-75.2104714180479, 39.9651713331063)"
4324 BROWN ST,0.04,0.06,0.1,0.15,0.22,0.09,0.14,0.19,0.27,0.36,0.2,0.22,0.25,0.28,0.31,Haverford North,-75.2104737113993,39.9666141370182,"c(-75.2104737113993, 39.9666141370182)"
4011 HAVERFORD AVE,0.06,0.09,0.13,0.2,0.28,0.08,0.11,0.16,0.23,0.31,0.23,0.25,0.28,0.32,0.35,Haverford North,-75.2032478847893,39.9630431883452,"c(-75.2032478847893, 39.9630431883452)"
4072 LANCASTER AVE,0.04,0.06,0.09,0.14,0.2,0.17,0.24,0.32,0.42,0.53,0.2,0.22,0.25,0.28,0.31,Haverford North,-75.2048154137586,39.9643620000155,"c(-75.2048154137586, 39.9643620000155)"
4239 HAVERFORD AVE,0.06,0.09,0.13,0.19,0.27,0.11,0.16,0.22,0.3,0.4,0.36,0.4,0.43,0.47,0.51,Haverford North,-75.2084036420139,39.9625733822828,"c(-75.2084036420139, 39.9625733822828)"
609 PALLAS ST,0.06,0.09,0.13,0.19,0.27,0.07,0.11,0.15,0.22,0.3,0.23,0.25,0.28,0.31,0.35,Haverford North,-75.2096812987621,39.9628252033448,"c(-75.2096812987621, 39.9628252033448)"
4235 HAVERFORD AVE,0.06,0.09,0.13,0.19,0.28,0.08,0.12,0.17,0.24,0.32,0.34,0.37,0.41,0.44,0.48,Haverford North,-75.208303244455,39.9625813701726,"c(-75.208303244455, 39.9625813701726)"
4221 WALLACE ST,0.06,0.1,0.14,0.21,0.29,0.08,0.11,0.16,0.22,0.31,0.22,0.25,0.28,0.31,0.35,Haverford North,-75.2077375325535,39.9637551250159,"c(-75.2077375325535, 39.9637551250159)"
4334 PARRISH ST,0.07,0.1,0.15,0.22,0.3,0.08,0.12,0.17,0.24,0.32,0.23,0.25,0.28,0.32,0.35,Haverford North,-75.2108030861716,39.9677131689348,"c(-75.2108030861716, 39.9677131689348)"
4311 RENO ST,0.06,0.1,0.15,0.21,0.3,0.07,0.1,0.15,0.21,0.29,0.23,0.25,0.28,0.31,0.35,Haverford North,-75.2101052885889,39.9675252630478,"c(-75.2101052885889, 39.9675252630478)"
669 BROOKLYN ST,0.06,0.09,0.13,0.2,0.28,0.07,0.11,0.16,0.22,0.3,0.34,0.37,0.41,0.44,0.48,Haverford North,-75.2078076128955,39.9644621099991,"c(-75.2078076128955, 39.9644621099991)"
4224 BROWN ST,0.06,0.1,0.14,0.21,0.29,0.06,0.08,0.12,0.17,0.24,0.34,0.37,0.41,0.44,0.48,Haverford North,-75.2091596285828,39.9666807666407,"c(-75.2091596285828, 39.9666807666407)"
4315 BROWN ST,0.06,0.1,0.14,0.21,0.3,0.07,0.11,0.16,0.22,0.3,0.23,0.25,0.28,0.31,0.35,Haverford North,-75.2101483051179,39.9670545793195,"c(-75.2101483051179, 39.9670545793195)"
841-43 N 44TH ST,0.06,0.1,0.15,0.21,0.3,0.07,0.1,0.15,0.21,0.29,0.34,0.37,0.41,0.44,0.48,Haverford North,-75.2109844929023,39.9680271783953,"c(-75.2109844929023, 39.9680271783953)"
4023 HAVERFORD AVE,0.06,0.09,0.14,0.2,0.29,0.07,0.1,0.15,0.21,0.29,0.34,0.37,0.41,0.44,0.48,Haverford North,-75.2036831626248,39.9630927801163,"c(-75.2036831626248, 39.9630927801163)"
631 N PRESTON ST,0.06,0.09,0.14,0.2,0.28,0.05,0.08,0.11,0.16,0.23,0.34,0.37,0.41,0.44,0.48,Haverford North,-75.2038546313876,39.9634583422196,"c(-75.2038546313876, 39.9634583422196)"
4330 RENO ST,0.04,0.07,0.1,0.15,0.22,0.09,0.14,0.19,0.27,0.36,0.2,0.22,0.25,0.28,0.31,Haverford North,-75.2106219855469,39.967222140635,"c(-75.2106219855469, 39.967222140635)"
