address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
3609 RHAWN ST,0.06,0.09,0.13,0.19,0.28,0.22,0.3,0.39,0.49,0.6,0.34,0.37,0.41,0.44,0.48,Holmesburg,-75.0285099087855,40.0421122819819,"c(-75.0285099087855, 40.0421122819819)"
4774 LORING ST,0.06,0.09,0.13,0.19,0.27,0.1,0.14,0.2,0.27,0.36,0.22,0.25,0.28,0.31,0.35,Holmesburg,-75.0309550105133,40.0304034844509,"c(-75.0309550105133, 40.0304034844509)"
7928 COTTAGE ST,0.05,0.07,0.11,0.16,0.23,0.2,0.28,0.37,0.47,0.57,0.5,0.53,0.57,0.61,0.64,Holmesburg,-75.027478126241,40.0377578331706,"c(-75.027478126241, 40.0377578331706)"
4762 SHELMIRE AVE,0.06,0.08,0.13,0.19,0.27,0.1,0.14,0.2,0.27,0.36,0.23,0.25,0.28,0.31,0.35,Holmesburg,-75.0301720530528,40.0311136409557,"c(-75.0301720530528, 40.0311136409557)"
4045 ALDINE ST,0.06,0.09,0.14,0.2,0.28,0.11,0.16,0.23,0.31,0.41,0.23,0.25,0.28,0.31,0.35,Holmesburg,-75.038282572622,40.0364771543967,"c(-75.038282572622, 40.0364771543967)"
8658 JACKSON ST,0.05,0.07,0.11,0.16,0.23,0.14,0.2,0.28,0.37,0.47,0.23,0.25,0.28,0.31,0.35,Holmesburg,-75.0127879132641,40.0459591781399,"c(-75.0127879132641, 40.0459591781399)"
4217 CHIPPENDALE AVE,0.06,0.1,0.14,0.21,0.29,0.12,0.17,0.23,0.32,0.41,0.34,0.37,0.41,0.44,0.48,Holmesburg,-75.0332723800683,40.0379817997648,"c(-75.0332723800683, 40.0379817997648)"
8235 CRAIG ST,0.04,0.06,0.09,0.13,0.19,0.13,0.18,0.25,0.34,0.44,0.3,0.33,0.37,0.4,0.44,Holmesburg,-75.0232274863095,40.0442154753059,"c(-75.0232274863095, 40.0442154753059)"
4545 MARPLE ST,0.04,0.06,0.09,0.14,0.21,0.15,0.21,0.29,0.38,0.48,0.3,0.33,0.37,0.4,0.44,Holmesburg,-75.0306310998323,40.0341815321279,"c(-75.0306310998323, 40.0341815321279)"
4607 BLEIGH AVE,0.04,0.06,0.09,0.14,0.2,0.14,0.2,0.28,0.37,0.47,0.3,0.33,0.37,0.4,0.44,Holmesburg,-75.0327603327162,40.0321693952498,"c(-75.0327603327162, 40.0321693952498)"
