address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
3900 N 9TH ST,0.08,0.11,0.17,0.24,0.34,0.14,0.19,0.27,0.36,0.46,0.22,0.25,0.28,0.31,0.35,Hunting Park,-75.1423063008465,40.0113608347595,"c(-75.1423063008465, 40.0113608347595)"
3924 N 6TH ST,0.07,0.11,0.16,0.23,0.32,0.07,0.11,0.16,0.22,0.3,0.22,0.25,0.28,0.31,0.35,Hunting Park,-75.1382824650906,40.0113504276048,"c(-75.1382824650906, 40.0113504276048)"
3826 N 8TH ST,0.08,0.12,0.17,0.25,0.34,0.07,0.11,0.16,0.22,0.3,0.22,0.25,0.28,0.31,0.35,Hunting Park,-75.1414602420972,40.0103078234123,"c(-75.1414602420972, 40.0103078234123)"
4220 N 7TH ST,0.05,0.07,0.11,0.17,0.24,0.1,0.15,0.21,0.28,0.37,0.2,0.22,0.25,0.28,0.31,Hunting Park,-75.1388951676504,40.0161172491119,"c(-75.1388951676504, 40.0161172491119)"
4435 N 7TH ST,0.13,0.19,0.27,0.37,0.48,0.14,0.19,0.27,0.36,0.46,0.25,0.28,0.32,0.35,0.39,Hunting Park,-75.1377621356407,40.019372321368,"c(-75.1377621356407, 40.019372321368)"
4106 N 6TH ST,0.07,0.11,0.16,0.23,0.32,0.08,0.12,0.17,0.24,0.32,0.22,0.25,0.28,0.31,0.35,Hunting Park,-75.1377319154278,40.0139735995942,"c(-75.1377319154278, 40.0139735995942)"
3918 N 13TH ST,0.06,0.09,0.13,0.2,0.28,0.08,0.11,0.16,0.23,0.31,0.22,0.25,0.28,0.31,0.35,Hunting Park,-75.1485092473336,40.012536133021,"c(-75.1485092473336, 40.012536133021)"
3813 N 6TH ST,0.07,0.11,0.16,0.24,0.33,0.07,0.11,0.16,0.22,0.3,0.22,0.25,0.28,0.31,0.35,Hunting Park,-75.138190767185,40.0095266546844,"c(-75.138190767185, 40.0095266546844)"
3934 N 6TH ST,0.07,0.11,0.16,0.23,0.32,0.07,0.11,0.16,0.22,0.3,0.22,0.25,0.28,0.31,0.35,Hunting Park,-75.1382352612737,40.0115645242639,"c(-75.1382352612737, 40.0115645242639)"
618 W ANNSBURY ST,0.06,0.09,0.13,0.19,0.28,0.07,0.1,0.15,0.21,0.29,0.34,0.37,0.41,0.44,0.48,Hunting Park,-75.1372648631735,40.0204314798513,"c(-75.1372648631735, 40.0204314798513)"
709 W WINGOHOCKING ST,0.06,0.09,0.13,0.19,0.27,0.07,0.1,0.15,0.21,0.29,0.34,0.37,0.41,0.44,0.48,Hunting Park,-75.138168974565,40.0203374557573,"c(-75.138168974565, 40.0203374557573)"
4324 N 8TH ST,0.07,0.11,0.16,0.23,0.32,0.08,0.12,0.17,0.24,0.32,0.34,0.37,0.41,0.44,0.48,Hunting Park,-75.1398205958755,40.0178635590341,"c(-75.1398205958755, 40.0178635590341)"
4009 N MARSHALL ST,0.05,0.08,0.12,0.17,0.25,0.1,0.15,0.21,0.29,0.38,0.2,0.22,0.25,0.28,0.31,Hunting Park,-75.1383525822236,40.0125954873312,"c(-75.1383525822236, 40.0125954873312)"
3928 N PERCY ST,0.07,0.1,0.16,0.23,0.32,0.08,0.11,0.16,0.22,0.3,0.34,0.37,0.41,0.44,0.48,Hunting Park,-75.1426568428434,40.0120356955252,"c(-75.1426568428434, 40.0120356955252)"
3913 N FRANKLIN ST,0.05,0.08,0.12,0.18,0.26,0.09,0.14,0.19,0.27,0.36,0.3,0.33,0.37,0.4,0.44,Hunting Park,-75.140189466721,40.0113415345268,"c(-75.140189466721, 40.0113415345268)"
4410 N FRANKLIN ST,0.07,0.11,0.16,0.23,0.32,0.08,0.12,0.17,0.24,0.32,0.34,0.37,0.41,0.44,0.48,Hunting Park,-75.1388928960488,40.0190154856969,"c(-75.1388928960488, 40.0190154856969)"
3924 N 8TH ST,0.14,0.2,0.29,0.39,0.5,0.13,0.18,0.26,0.34,0.44,0.27,0.3,0.33,0.37,0.4,Hunting Park,-75.1411254937294,40.0117484228848,"c(-75.1411254937294, 40.0117484228848)"
919 W ERIE AVE,0.07,0.11,0.16,0.23,0.32,0.07,0.11,0.16,0.22,0.3,0.22,0.25,0.28,0.31,0.35,Hunting Park,-75.1435331770543,40.0085345443741,"c(-75.1435331770543, 40.0085345443741)"
532 W LURAY ST,0.05,0.08,0.11,0.17,0.24,0.08,0.12,0.17,0.24,0.33,0.3,0.33,0.37,0.4,0.44,Hunting Park,-75.1347108825936,40.0217961383415,"c(-75.1347108825936, 40.0217961383415)"
3733 N FRANKLIN ST,0.07,0.1,0.16,0.23,0.32,0.08,0.11,0.16,0.22,0.3,0.22,0.25,0.28,0.31,0.35,Hunting Park,-75.1407750343483,40.0087316659588,"c(-75.1407750343483, 40.0087316659588)"
4113 N 5TH ST,0.05,0.08,0.12,0.18,0.26,0.12,0.18,0.25,0.33,0.43,0.2,0.22,0.25,0.28,0.31,Hunting Park,-75.1351794937764,40.0137689641197,"c(-75.1351794937764, 40.0137689641197)"
4113 N DARIEN ST,0.06,0.1,0.14,0.21,0.3,0.08,0.11,0.16,0.23,0.31,0.22,0.25,0.28,0.31,0.35,Hunting Park,-75.1407227941017,40.0145008450449,"c(-75.1407227941017, 40.0145008450449)"
3921 N FAIRHILL ST,0.07,0.11,0.17,0.24,0.33,0.07,0.11,0.15,0.22,0.3,0.22,0.25,0.28,0.31,0.35,Hunting Park,-75.1371703413591,40.0111592640353,"c(-75.1371703413591, 40.0111592640353)"
3842 N MARSHALL ST,0.07,0.11,0.17,0.24,0.33,0.08,0.11,0.16,0.22,0.3,0.22,0.25,0.28,0.31,0.35,Hunting Park,-75.1393532366137,40.0103369304935,"c(-75.1393532366137, 40.0103369304935)"
3854 N 8TH ST,0.05,0.08,0.12,0.18,0.25,0.09,0.13,0.19,0.26,0.35,0.2,0.22,0.25,0.28,0.31,Hunting Park,-75.141327782883,40.0109109345549,"c(-75.141327782883, 40.0109109345549)"
3832 N 8TH ST,0.08,0.11,0.17,0.24,0.34,0.07,0.11,0.16,0.22,0.3,0.22,0.25,0.28,0.31,0.35,Hunting Park,-75.141431860763,40.0104371031628,"c(-75.141431860763, 40.0104371031628)"
430 W CAREY ST,0.05,0.08,0.12,0.18,0.26,0.13,0.18,0.25,0.34,0.44,0.2,0.22,0.25,0.28,0.31,Hunting Park,-75.1358207144332,40.0082576701888,"c(-75.1358207144332, 40.0082576701888)"
4163 N DARIEN ST,0.05,0.08,0.12,0.17,0.25,0.18,0.25,0.33,0.43,0.54,0.2,0.22,0.25,0.28,0.31,Hunting Park,-75.1404855556283,40.0155800978027,"c(-75.1404855556283, 40.0155800978027)"
3725 N 8TH ST,0.07,0.1,0.15,0.22,0.31,0.07,0.11,0.15,0.22,0.3,0.22,0.25,0.28,0.31,0.35,Hunting Park,-75.1414121583164,40.0086541152973,"c(-75.1414121583164, 40.0086541152973)"
4431 N 9TH ST,0.05,0.07,0.11,0.16,0.23,0.15,0.22,0.3,0.39,0.49,0.46,0.49,0.53,0.57,0.61,Hunting Park,-75.1399372872563,40.0197485824831,"c(-75.1399372872563, 40.0197485824831)"
4232 N FAIRHILL ST,0.05,0.08,0.11,0.17,0.24,0.1,0.15,0.21,0.28,0.38,0.3,0.33,0.37,0.4,0.44,Hunting Park,-75.1365222966498,40.0160201612466,"c(-75.1365222966498, 40.0160201612466)"
4147 N 9TH ST,0.2,0.29,0.39,0.5,0.61,0.18,0.25,0.34,0.44,0.54,0.55,0.59,0.62,0.66,0.69,Hunting Park,-75.1410152273355,40.0152867998146,"c(-75.1410152273355, 40.0152867998146)"
3802 N 6TH ST,0.05,0.08,0.12,0.17,0.25,0.09,0.14,0.19,0.27,0.36,0.2,0.22,0.25,0.28,0.31,Hunting Park,-75.1387046151025,40.0094117520444,"c(-75.1387046151025, 40.0094117520444)"
3853 N 7TH ST,0.05,0.08,0.12,0.17,0.25,0.09,0.14,0.2,0.27,0.36,0.2,0.22,0.25,0.28,0.31,Hunting Park,-75.1396389086071,40.0105850997659,"c(-75.1396389086071, 40.0105850997659)"
3840 N REESE ST,0.07,0.11,0.16,0.23,0.33,0.07,0.11,0.16,0.22,0.3,0.22,0.25,0.28,0.31,0.35,Hunting Park,-75.1371650003565,40.0099911603326,"c(-75.1371650003565, 40.0099911603326)"
4120 N DARIEN ST,0.06,0.1,0.14,0.21,0.3,0.08,0.11,0.17,0.23,0.31,0.34,0.37,0.41,0.44,0.48,Hunting Park,-75.1409680080645,40.0147069657238,"c(-75.1409680080645, 40.0147069657238)"
4230 N FRANKLIN ST,0.05,0.07,0.11,0.16,0.23,0.1,0.14,0.2,0.28,0.37,0.2,0.22,0.25,0.28,0.31,Hunting Park,-75.1394829108682,40.0164081837215,"c(-75.1394829108682, 40.0164081837215)"
4237 N FAIRHILL ST,0.05,0.07,0.11,0.16,0.24,0.1,0.15,0.21,0.28,0.38,0.2,0.22,0.25,0.28,0.31,Hunting Park,-75.1361104394486,40.0160488705837,"c(-75.1361104394486, 40.0160488705837)"
4045 N MARSHALL ST,0.05,0.07,0.11,0.17,0.24,0.1,0.15,0.21,0.29,0.38,0.2,0.22,0.25,0.28,0.31,Hunting Park,-75.1381900219939,40.0133326524117,"c(-75.1381900219939, 40.0133326524117)"
4052 N REESE ST,0.07,0.1,0.15,0.22,0.31,0.08,0.12,0.17,0.24,0.32,0.22,0.25,0.28,0.31,0.35,Hunting Park,-75.1364869321355,40.0132222321993,"c(-75.1364869321355, 40.0132222321993)"
4238-42 OLD YORK RD,0.01,0.01,0.01,0.02,0.03,0.16,0.22,0.3,0.39,0.5,0.39,0.43,0.47,0.51,0.54,Hunting Park,-75.1475725085334,40.0178748471507,"c(-75.1475725085334, 40.0178748471507)"
4451 N 7TH ST,0.05,0.07,0.11,0.17,0.24,0.1,0.15,0.21,0.28,0.37,0.3,0.33,0.37,0.4,0.44,Hunting Park,-75.1376904740383,40.0197020681294,"c(-75.1376904740383, 40.0197020681294)"
4249 N 8TH ST,0.07,0.1,0.15,0.22,0.31,0.08,0.12,0.17,0.23,0.32,0.22,0.25,0.28,0.31,0.35,Hunting Park,-75.1396406101751,40.016813183118,"c(-75.1396406101751, 40.016813183118)"
1318 W JEROME ST,0.04,0.06,0.09,0.13,0.2,0.1,0.14,0.2,0.28,0.37,0.2,0.22,0.25,0.28,0.31,Hunting Park,-75.1479208701334,40.0158011777225,"c(-75.1479208701334, 40.0158011777225)"
1321 KERBAUGH ST,0.06,0.09,0.13,0.19,0.28,0.08,0.11,0.16,0.23,0.31,0.33,0.37,0.41,0.44,0.48,Hunting Park,-75.1484643308534,40.0147310368054,"c(-75.1484643308534, 40.0147310368054)"
3936 N FAIRHILL ST,0.07,0.11,0.16,0.24,0.33,0.07,0.11,0.16,0.22,0.3,0.22,0.25,0.28,0.31,0.35,Hunting Park,-75.1375160318518,40.0115023955239,"c(-75.1375160318518, 40.0115023955239)"
3811 N 9TH ST,0.05,0.08,0.12,0.17,0.25,0.13,0.19,0.26,0.35,0.45,0.32,0.36,0.4,0.43,0.47,Hunting Park,-75.1421625212672,40.0101061696638,"c(-75.1421625212672, 40.0101061696638)"
4110 N 6TH ST,0.05,0.07,0.11,0.17,0.24,0.1,0.15,0.21,0.29,0.38,0.2,0.22,0.25,0.28,0.31,Hunting Park,-75.1377145478629,40.0140527773471,"c(-75.1377145478629, 40.0140527773471)"
3845 N FRANKLIN ST,0.05,0.08,0.12,0.17,0.25,0.09,0.14,0.19,0.27,0.36,0.2,0.22,0.25,0.28,0.31,Hunting Park,-75.1403897753091,40.0105404768392,"c(-75.1403897753091, 40.0105404768392)"
437 W ERIE AVE,0.05,0.08,0.12,0.18,0.26,0.12,0.18,0.25,0.33,0.43,0.3,0.33,0.37,0.4,0.44,Hunting Park,-75.1361411922357,40.0075725785189,"c(-75.1361411922357, 40.0075725785189)"
4131 N REESE ST,0.07,0.1,0.15,0.22,0.31,0.08,0.12,0.17,0.24,0.32,0.33,0.37,0.41,0.44,0.48,Hunting Park,-75.1358841583462,40.0142092005056,"c(-75.1358841583462, 40.0142092005056)"
731 W WINGOHOCKING ST,0.04,0.06,0.09,0.13,0.2,0.16,0.22,0.3,0.4,0.5,0.3,0.33,0.37,0.4,0.44,Hunting Park,-75.1389307427612,40.0204384848516,"c(-75.1389307427612, 40.0204384848516)"
3947 N FRANKLIN ST,0.05,0.07,0.11,0.16,0.24,0.09,0.14,0.19,0.27,0.36,0.2,0.22,0.25,0.28,0.31,Hunting Park,-75.1400432778507,40.0120357329274,"c(-75.1400432778507, 40.0120357329274)"
4241 N 7TH ST,0.05,0.07,0.11,0.17,0.24,0.1,0.15,0.21,0.28,0.38,0.2,0.22,0.25,0.28,0.31,Hunting Park,-75.1383714854053,40.0164849649707,"c(-75.1383714854053, 40.0164849649707)"
3924 N MARSHALL ST,0.08,0.11,0.17,0.24,0.34,0.11,0.15,0.21,0.29,0.39,0.36,0.4,0.43,0.47,0.51,Hunting Park,-75.1391047542982,40.0114664057434,"c(-75.1391047542982, 40.0114664057434)"
3740 N 10TH ST,0.07,0.11,0.16,0.23,0.32,0.07,0.11,0.15,0.22,0.3,0.22,0.25,0.28,0.31,0.35,Hunting Park,-75.144384942055,40.0093947991481,"c(-75.144384942055, 40.0093947991481)"
3943 N FRANKLIN ST,0.05,0.07,0.11,0.17,0.24,0.09,0.14,0.19,0.27,0.36,0.3,0.33,0.37,0.4,0.44,Hunting Park,-75.1400609028385,40.0119537982084,"c(-75.1400609028385, 40.0119537982084)"
3745 N MARSHALL ST,0.05,0.08,0.12,0.18,0.25,0.09,0.14,0.19,0.27,0.36,0.3,0.33,0.37,0.4,0.44,Hunting Park,-75.1391773423309,40.008932250524,"c(-75.1391773423309, 40.008932250524)"
613 RISING SUN AVE,0.05,0.08,0.12,0.18,0.26,0.09,0.14,0.19,0.27,0.36,0.2,0.22,0.25,0.28,0.31,Hunting Park,-75.1389859229821,40.0088118745854,"c(-75.1389859229821, 40.0088118745854)"
4246 N FRANKLIN ST,0.16,0.24,0.33,0.44,0.55,0.16,0.22,0.3,0.4,0.5,0.34,0.37,0.41,0.44,0.48,Hunting Park,-75.1394101940181,40.0167369045075,"c(-75.1394101940181, 40.0167369045075)"
