address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
4028 K ST,0.04,0.07,0.1,0.16,0.23,0.15,0.21,0.29,0.38,0.48,0.2,0.22,0.25,0.28,0.31,Juniata Park,-75.1049088633165,40.0087079562243,"c(-75.1049088633165, 40.0087079562243)"
3926 CLARIDGE ST,0.04,0.06,0.09,0.14,0.2,0.18,0.25,0.33,0.43,0.54,0.2,0.22,0.25,0.28,0.31,Juniata Park,-75.1045142049675,40.0070927100375,"c(-75.1045142049675, 40.0070927100375)"
4122 GLENDALE ST,0.07,0.1,0.15,0.22,0.31,0.08,0.11,0.16,0.23,0.31,0.23,0.25,0.28,0.31,0.35,Juniata Park,-75.1011998826865,40.0095779482854,"c(-75.1011998826865, 40.0095779482854)"
3940 BENNINGTON ST,0.06,0.09,0.13,0.19,0.27,0.12,0.17,0.24,0.32,0.42,0.23,0.25,0.28,0.31,0.35,Juniata Park,-75.1057880660076,40.0075472709846,"c(-75.1057880660076, 40.0075472709846)"
3940 GLENDALE ST,0.08,0.13,0.19,0.26,0.36,0.08,0.11,0.16,0.22,0.3,0.23,0.25,0.28,0.31,0.35,Juniata Park,-75.1017436808476,40.0069846284695,"c(-75.1017436808476, 40.0069846284695)"
4254 ORMOND ST,0.08,0.12,0.18,0.26,0.35,0.08,0.11,0.16,0.22,0.31,0.23,0.25,0.28,0.31,0.35,Juniata Park,-75.0967150774417,40.011345123218,"c(-75.0967150774417, 40.011345123218)"
4043 NEILSON ST,0.09,0.13,0.19,0.27,0.37,0.08,0.11,0.16,0.22,0.3,0.23,0.25,0.28,0.31,0.35,Juniata Park,-75.0976556811788,40.0080510279413,"c(-75.0976556811788, 40.0080510279413)"
1228 E LUZERNE ST,0.07,0.1,0.15,0.22,0.3,0.12,0.17,0.24,0.32,0.42,0.23,0.25,0.28,0.31,0.35,Juniata Park,-75.1038002084129,40.0076325762368,"c(-75.1038002084129, 40.0076325762368)"
4252 J ST,0.06,0.09,0.14,0.21,0.29,0.13,0.18,0.25,0.34,0.44,0.23,0.25,0.28,0.31,0.35,Juniata Park,-75.1060151799171,40.0127017065565,"c(-75.1060151799171, 40.0127017065565)"
4343 I ST,0.06,0.09,0.13,0.19,0.27,0.13,0.18,0.25,0.34,0.44,0.23,0.25,0.28,0.31,0.35,Juniata Park,-75.1071974435547,40.0142658154978,"c(-75.1071974435547, 40.0142658154978)"
4326 L ST,0.06,0.09,0.13,0.2,0.28,0.14,0.2,0.27,0.36,0.46,0.23,0.25,0.28,0.31,0.35,Juniata Park,-75.1019291920027,40.013244656218,"c(-75.1019291920027, 40.013244656218)"
4134 BENNINGTON ST,0.04,0.06,0.09,0.14,0.2,0.17,0.23,0.32,0.41,0.52,0.2,0.22,0.25,0.28,0.31,Juniata Park,-75.1051464171684,40.010543202406,"c(-75.1051464171684, 40.010543202406)"
3944 K ST,0.06,0.09,0.14,0.2,0.28,0.12,0.17,0.24,0.32,0.42,0.23,0.25,0.28,0.31,0.35,Juniata Park,-75.1051556097008,40.0075584126402,"c(-75.1051556097008, 40.0075584126402)"
1509 E LUZERNE ST,0.06,0.09,0.13,0.19,0.27,0.09,0.14,0.19,0.27,0.36,0.3,0.33,0.37,0.4,0.44,Juniata Park,-75.0983143651498,40.0073381668689,"c(-75.0983143651498, 40.0073381668689)"
4236 J ST,0.06,0.1,0.14,0.21,0.3,0.13,0.18,0.25,0.34,0.44,0.23,0.25,0.28,0.31,0.35,Juniata Park,-75.1060996358191,40.0122995114948,"c(-75.1060996358191, 40.0122995114948)"
