address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
5961 WINDSOR ST,0.04,0.07,0.1,0.15,0.22,0.08,0.12,0.17,0.23,0.32,0.22,0.25,0.28,0.31,0.35,Kingsessing,-75.2336381542111,39.9355703973559,"c(-75.2336381542111, 39.9355703973559)"
5605 FLORENCE AVE,0.05,0.08,0.12,0.18,0.25,0.08,0.12,0.17,0.24,0.32,0.22,0.25,0.28,0.31,0.35,Kingsessing,-75.2299361384357,39.9410301490303,"c(-75.2299361384357, 39.9410301490303)"
5932 BELMAR ST,0.04,0.07,0.1,0.16,0.23,0.08,0.12,0.17,0.24,0.32,0.33,0.37,0.41,0.44,0.48,Kingsessing,-75.2323282695566,39.9354782493678,"c(-75.2323282695566, 39.9354782493678)"
5223 LITCHFIELD ST,0.05,0.08,0.12,0.18,0.25,0.09,0.13,0.18,0.25,0.34,0.34,0.37,0.41,0.44,0.48,Kingsessing,-75.223979561279,39.9438082505642,"c(-75.223979561279, 39.9438082505642)"
5506 CHESTER AVE,0.06,0.08,0.13,0.19,0.27,0.14,0.2,0.28,0.37,0.47,0.23,0.25,0.28,0.31,0.35,Kingsessing,-75.2243307717881,39.938393497347,"c(-75.2243307717881, 39.938393497347)"
5850 WARRINGTON AVE,0.03,0.05,0.08,0.11,0.17,0.1,0.15,0.21,0.29,0.38,0.3,0.33,0.37,0.4,0.44,Kingsessing,-75.2321175086266,39.9369437035677,"c(-75.2321175086266, 39.9369437035677)"
5835 WARRINGTON AVE,0.05,0.07,0.11,0.17,0.24,0.08,0.12,0.17,0.24,0.32,0.22,0.25,0.28,0.31,0.35,Kingsessing,-75.2321115358741,39.9375578943269,"c(-75.2321115358741, 39.9375578943269)"
5714 SPRINGFIELD AVE,0.05,0.08,0.12,0.18,0.26,0.08,0.11,0.16,0.23,0.31,0.22,0.25,0.28,0.31,0.35,Kingsessing,-75.2285672057011,39.9372439691367,"c(-75.2285672057011, 39.9372439691367)"
1309 S 53RD ST,0.05,0.08,0.12,0.18,0.26,0.09,0.13,0.19,0.26,0.35,0.23,0.25,0.28,0.32,0.35,Kingsessing,-75.2222098923043,39.9415604926821,"c(-75.2222098923043, 39.9415604926821)"
5821 HOFFMAN AVE,0.06,0.08,0.13,0.19,0.27,0.08,0.12,0.17,0.24,0.32,0.34,0.37,0.41,0.44,0.48,Kingsessing,-75.2386483243202,39.9436491360127,"c(-75.2386483243202, 39.9436491360127)"
1414 S 58TH ST,0.13,0.2,0.28,0.38,0.49,0.18,0.25,0.33,0.43,0.53,0.35,0.39,0.43,0.46,0.5,Kingsessing,-75.2347428070758,39.9408984237521,"c(-75.2347428070758, 39.9408984237521)"
1404 S 58TH ST,0.05,0.08,0.11,0.17,0.24,0.09,0.12,0.18,0.25,0.33,0.22,0.25,0.28,0.31,0.35,Kingsessing,-75.2350173597663,39.9411320456228,"c(-75.2350173597663, 39.9411320456228)"
5640 RIDGEWOOD ST,0.05,0.08,0.12,0.18,0.25,0.08,0.12,0.17,0.24,0.33,0.33,0.37,0.41,0.44,0.48,Kingsessing,-75.2308757181987,39.9406469804041,"c(-75.2308757181987, 39.9406469804041)"
1233 S 53RD ST,0.04,0.06,0.08,0.13,0.19,0.11,0.15,0.22,0.3,0.39,0.3,0.33,0.37,0.4,0.44,Kingsessing,-75.2230551471186,39.9422573871977,"c(-75.2230551471186, 39.9422573871977)"
1124 S 53RD ST,0.05,0.08,0.13,0.18,0.26,0.08,0.12,0.17,0.24,0.33,0.22,0.25,0.28,0.31,0.35,Kingsessing,-75.2250495031581,39.9433175797796,"c(-75.2250495031581, 39.9433175797796)"
1730 S 60TH ST,0.04,0.07,0.1,0.15,0.22,0.09,0.14,0.19,0.27,0.36,0.23,0.25,0.28,0.32,0.35,Kingsessing,-75.2336945635942,39.9351676608508,"c(-75.2336945635942, 39.9351676608508)"
1429 S 58TH ST,0.04,0.06,0.09,0.13,0.19,0.18,0.25,0.34,0.44,0.54,0.2,0.22,0.25,0.28,0.31,Kingsessing,-75.2340064448767,39.9409189681348,"c(-75.2340064448767, 39.9409189681348)"
5625 THOMAS AVE,0.12,0.18,0.26,0.36,0.47,0.15,0.22,0.3,0.39,0.49,0.45,0.49,0.52,0.56,0.6,Kingsessing,-75.2346214849335,39.944209743895,"c(-75.2346214849335, 39.944209743895)"
1419 S 58TH ST,0.05,0.08,0.13,0.19,0.27,0.06,0.08,0.12,0.18,0.25,0.22,0.25,0.28,0.31,0.35,Kingsessing,-75.2341974655142,39.9410834507518,"c(-75.2341974655142, 39.9410834507518)"
1142 S RUBY ST,0.05,0.08,0.12,0.18,0.26,0.08,0.12,0.17,0.24,0.32,0.34,0.37,0.41,0.44,0.48,Kingsessing,-75.225505100704,39.9424095863884,"c(-75.225505100704, 39.9424095863884)"
1138 S 54TH ST,0.03,0.05,0.08,0.12,0.18,0.1,0.15,0.21,0.29,0.38,0.2,0.22,0.25,0.28,0.31,Kingsessing,-75.2273118454586,39.9431120109985,"c(-75.2273118454586, 39.9431120109985)"
5410 SPRINGFIELD AVE,0.05,0.07,0.11,0.16,0.23,0.09,0.13,0.18,0.25,0.33,0.23,0.25,0.28,0.32,0.35,Kingsessing,-75.2243353616493,39.9401960588386,"c(-75.2243353616493, 39.9401960588386)"
5215 CHESTER AVE,0.05,0.08,0.12,0.18,0.25,0.09,0.13,0.19,0.27,0.35,0.34,0.37,0.41,0.44,0.48,Kingsessing,-75.2208336528274,39.9414871041438,"c(-75.2208336528274, 39.9414871041438)"
1315 S 54TH ST,0.04,0.05,0.08,0.13,0.19,0.1,0.15,0.21,0.29,0.38,0.3,0.33,0.37,0.4,0.44,Kingsessing,-75.224935914765,39.941703085867,"c(-75.224935914765, 39.941703085867)"
5963 SPRINGFIELD AVE,0.05,0.07,0.11,0.16,0.23,0.08,0.12,0.17,0.24,0.32,0.23,0.25,0.28,0.31,0.35,Kingsessing,-75.2326858549011,39.9349538873638,"c(-75.2326858549011, 39.9349538873638)"
1103 S RUBY ST,0.05,0.08,0.12,0.18,0.25,0.08,0.12,0.17,0.24,0.32,0.34,0.37,0.41,0.44,0.48,Kingsessing,-75.2260290793421,39.943241253104,"c(-75.2260290793421, 39.943241253104)"
5518 CHESTER AVE,0.06,0.09,0.13,0.19,0.27,0.14,0.2,0.27,0.36,0.46,0.34,0.37,0.41,0.44,0.48,Kingsessing,-75.2245841052625,39.9382150648334,"c(-75.2245841052625, 39.9382150648334)"
1730 COBBS CREEK PKWY,0.05,0.07,0.11,0.16,0.24,0.09,0.14,0.19,0.27,0.36,0.23,0.25,0.28,0.32,0.35,Kingsessing,-75.2349466078176,39.9349787829019,"c(-75.2349466078176, 39.9349787829019)"
5436 WHITBY AVE,0.05,0.08,0.11,0.17,0.24,0.08,0.12,0.17,0.23,0.32,0.34,0.37,0.41,0.44,0.48,Kingsessing,-75.2302234080127,39.9445661453944,"c(-75.2302234080127, 39.9445661453944)"
928 S CONESTOGA ST,0.06,0.09,0.13,0.2,0.28,0.08,0.12,0.17,0.23,0.32,0.34,0.37,0.41,0.44,0.48,Kingsessing,-75.2312584478777,39.9450976899406,"c(-75.2312584478777, 39.9450976899406)"
1400 S 54TH ST,0.11,0.17,0.24,0.34,0.45,0.13,0.19,0.26,0.34,0.44,0.49,0.53,0.56,0.6,0.64,Kingsessing,-75.2241868816111,39.9404546941237,"c(-75.2241868816111, 39.9404546941237)"
1134 S 54TH ST,0.13,0.19,0.27,0.36,0.47,0.14,0.2,0.28,0.37,0.47,0.22,0.25,0.28,0.31,0.35,Kingsessing,-75.2273910456776,39.9431789409593,"c(-75.2273910456776, 39.9431789409593)"
1645 S 56TH ST,0.05,0.08,0.13,0.19,0.27,0.08,0.11,0.16,0.22,0.31,0.33,0.37,0.41,0.44,0.48,Kingsessing,-75.2257450710015,39.9381157016164,"c(-75.2257450710015, 39.9381157016164)"
