address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
5300 E TABOR RD,0.05,0.08,0.12,0.18,0.25,0.16,0.22,0.3,0.39,0.5,0.22,0.25,0.28,0.31,0.35,Lawndale,-75.1068923703618,40.0335031548349,"c(-75.1068923703618, 40.0335031548349)"
654 BRILL ST,0.05,0.07,0.11,0.16,0.23,0.09,0.13,0.18,0.25,0.34,0.34,0.37,0.41,0.44,0.48,Lawndale,-75.1015632252731,40.0387007984293,"c(-75.1015632252731, 40.0387007984293)"
5334 CLARIDGE ST,0.03,0.05,0.08,0.12,0.18,0.12,0.17,0.23,0.32,0.41,0.3,0.33,0.37,0.4,0.44,Lawndale,-75.1057342210046,40.0334943409166,"c(-75.1057342210046, 40.0334943409166)"
5930 WEYMOUTH ST,0.07,0.1,0.15,0.22,0.31,0.09,0.14,0.19,0.27,0.36,0.34,0.37,0.41,0.44,0.48,Lawndale,-75.1061687048855,40.0469238622293,"c(-75.1061687048855, 40.0469238622293)"
518 E GODFREY AVE,0.02,0.04,0.06,0.09,0.13,0.11,0.16,0.22,0.3,0.4,0.3,0.33,0.37,0.4,0.44,Lawndale,-75.1055154457721,40.0403389512416,"c(-75.1055154457721, 40.0403389512416)"
421 HOWELL ST,0.04,0.06,0.1,0.14,0.21,0.17,0.23,0.32,0.41,0.52,0.46,0.49,0.53,0.57,0.61,Lawndale,-75.1037975153273,40.0458974606396,"c(-75.1037975153273, 40.0458974606396)"
6647 CLARIDGE ST,0.05,0.08,0.11,0.17,0.24,0.18,0.25,0.33,0.43,0.54,0.5,0.53,0.57,0.61,0.64,Lawndale,-75.0872499106755,40.0508033241008,"c(-75.0872499106755, 40.0508033241008)"
6430 MONTOUR ST,0.03,0.04,0.06,0.09,0.14,0.16,0.22,0.3,0.4,0.5,0.3,0.33,0.37,0.4,0.44,Lawndale,-75.0895882328242,40.0475783408517,"c(-75.0895882328242, 40.0475783408517)"
5906 TABOR AVE,0.03,0.05,0.08,0.12,0.18,0.11,0.16,0.22,0.3,0.4,0.3,0.33,0.37,0.4,0.44,Lawndale,-75.0979322574157,40.04170802458,"c(-75.0979322574157, 40.04170802458)"
5725 REACH ST,0.05,0.07,0.11,0.16,0.24,0.12,0.17,0.24,0.33,0.43,0.3,0.33,0.37,0.4,0.44,Lawndale,-75.1076068394919,40.0438693720769,"c(-75.1076068394919, 40.0438693720769)"
5914 REACH ST,0.05,0.07,0.11,0.16,0.24,0.12,0.17,0.24,0.32,0.42,0.2,0.22,0.25,0.28,0.31,Lawndale,-75.1058625884371,40.0463231787339,"c(-75.1058625884371, 40.0463231787339)"
6026 HASBROOK AVE,0.06,0.1,0.14,0.21,0.3,0.1,0.14,0.2,0.27,0.36,0.23,0.25,0.28,0.31,0.35,Lawndale,-75.1036870718615,40.0474814271687,"c(-75.1036870718615, 40.0474814271687)"
645 BENNER ST,0.03,0.05,0.08,0.12,0.18,0.16,0.22,0.3,0.39,0.5,0.33,0.36,0.4,0.43,0.47,Lawndale,-75.0957318182163,40.0441918283518,"c(-75.0957318182163, 40.0441918283518)"
613 COMLY ST,0.05,0.08,0.13,0.18,0.26,0.13,0.18,0.25,0.34,0.44,0.5,0.53,0.57,0.61,0.64,Lawndale,-75.0978162307559,40.0434052261015,"c(-75.0978162307559, 40.0434052261015)"
543 VAN KIRK ST,0.05,0.08,0.12,0.18,0.26,0.09,0.13,0.18,0.25,0.34,0.23,0.25,0.28,0.31,0.35,Lawndale,-75.1007561553618,40.0431569964648,"c(-75.1007561553618, 40.0431569964648)"
5908 BENNINGTON ST,0.04,0.06,0.08,0.13,0.19,0.11,0.16,0.22,0.3,0.4,0.3,0.33,0.37,0.4,0.44,Lawndale,-75.0984135321784,40.0420470981413,"c(-75.0984135321784, 40.0420470981413)"
6014 PALMETTO ST,0.05,0.07,0.11,0.16,0.24,0.1,0.14,0.2,0.27,0.36,0.22,0.25,0.28,0.31,0.35,Lawndale,-75.0993136728954,40.0445565355356,"c(-75.0993136728954, 40.0445565355356)"
704 KERPER ST,0.03,0.05,0.07,0.11,0.16,0.19,0.26,0.35,0.45,0.55,0.33,0.36,0.4,0.43,0.47,Lawndale,-75.0876592753924,40.0514815527424,"c(-75.0876592753924, 40.0514815527424)"
526 LONGSHORE AVE,0.02,0.04,0.06,0.09,0.14,0.25,0.34,0.44,0.54,0.64,0.46,0.49,0.53,0.57,0.61,Lawndale,-75.0888915135552,40.0549685506296,"c(-75.0888915135552, 40.0549685506296)"
5936 MALTA ST,0.03,0.05,0.08,0.11,0.17,0.11,0.16,0.22,0.3,0.39,0.3,0.33,0.37,0.4,0.44,Lawndale,-75.1005632435684,40.0438011516699,"c(-75.1005632435684, 40.0438011516699)"
744 GARLAND ST,0.03,0.05,0.08,0.12,0.18,0.16,0.22,0.3,0.4,0.5,0.33,0.36,0.4,0.43,0.47,Lawndale,-75.1081860128011,40.030450321738,"c(-75.1081860128011, 40.030450321738)"
5421 HOWLAND ST,0.05,0.08,0.12,0.17,0.25,0.09,0.13,0.19,0.26,0.35,0.34,0.37,0.41,0.44,0.48,Lawndale,-75.1038419079515,40.0337133678287,"c(-75.1038419079515, 40.0337133678287)"
5712 COLGATE ST,0.05,0.08,0.12,0.18,0.25,0.09,0.13,0.19,0.27,0.35,0.23,0.25,0.28,0.31,0.35,Lawndale,-75.1045147871436,40.040513717433,"c(-75.1045147871436, 40.040513717433)"
5958 NEWTOWN AVE,0.05,0.07,0.11,0.16,0.24,0.13,0.18,0.25,0.34,0.43,0.2,0.22,0.25,0.28,0.31,Lawndale,-75.1069699318327,40.0481299433557,"c(-75.1069699318327, 40.0481299433557)"
619 BENNER ST,0.05,0.08,0.13,0.19,0.27,0.09,0.13,0.18,0.26,0.34,0.22,0.25,0.28,0.31,0.35,Lawndale,-75.0963924003514,40.0445637998597,"c(-75.0963924003514, 40.0445637998597)"
436 VAN KIRK ST,0.05,0.08,0.11,0.17,0.24,0.12,0.17,0.24,0.32,0.42,0.3,0.33,0.37,0.4,0.44,Lawndale,-75.1044132705909,40.0446519281388,"c(-75.1044132705909, 40.0446519281388)"
583 E CHELTENHAM AVE,0.05,0.07,0.11,0.17,0.24,0.09,0.13,0.18,0.25,0.34,0.23,0.25,0.28,0.31,0.35,Lawndale,-75.1014899093823,40.0416372670491,"c(-75.1014899093823, 40.0416372670491)"
5848 WEYMOUTH ST,0.04,0.07,0.1,0.15,0.22,0.13,0.18,0.25,0.34,0.43,0.3,0.33,0.37,0.4,0.44,Lawndale,-75.1072262732427,40.0463333479302,"c(-75.1072262732427, 40.0463333479302)"
6500 OXFORD AVE,0.04,0.06,0.09,0.13,0.19,0.13,0.19,0.26,0.35,0.45,0.34,0.37,0.41,0.44,0.48,Lawndale,-75.0878091039231,40.0473354833567,"c(-75.0878091039231, 40.0473354833567)"
516 VAN KIRK ST,0.05,0.08,0.12,0.17,0.25,0.12,0.17,0.24,0.33,0.42,0.3,0.33,0.37,0.4,0.44,Lawndale,-75.1024191182425,40.0435857788714,"c(-75.1024191182425, 40.0435857788714)"
6118 HASBROOK AVE,0.07,0.1,0.15,0.22,0.3,0.14,0.19,0.27,0.36,0.46,0.5,0.53,0.57,0.61,0.64,Lawndale,-75.1026683485572,40.0485272251472,"c(-75.1026683485572, 40.0485272251472)"
515 BENNER ST,0.04,0.06,0.08,0.13,0.19,0.11,0.16,0.22,0.3,0.4,0.2,0.22,0.25,0.28,0.31,Lawndale,-75.0983976191197,40.0456596158371,"c(-75.0983976191197, 40.0456596158371)"
6176 NEWTOWN AVE,0.05,0.08,0.12,0.17,0.25,0.11,0.16,0.22,0.3,0.39,0.3,0.33,0.37,0.4,0.44,Lawndale,-75.1034518633288,40.0507555165193,"c(-75.1034518633288, 40.0507555165193)"
632 KERPER ST,0.04,0.06,0.09,0.14,0.2,0.14,0.2,0.27,0.36,0.46,0.34,0.37,0.41,0.44,0.48,Lawndale,-75.0888254018469,40.0521178348088,"c(-75.0888254018469, 40.0521178348088)"
6039 COLGATE ST,0.03,0.05,0.08,0.12,0.17,0.18,0.25,0.34,0.44,0.54,0.46,0.49,0.53,0.57,0.61,Lawndale,-75.0994084007925,40.0452396048222,"c(-75.0994084007925, 40.0452396048222)"
6036 NEWTOWN AVE,0.07,0.1,0.15,0.22,0.31,0.1,0.15,0.21,0.28,0.37,0.22,0.25,0.28,0.31,0.35,Lawndale,-75.1057751283668,40.0493562954338,"c(-75.1057751283668, 40.0493562954338)"
6108 NEWTOWN AVE,0.05,0.07,0.11,0.16,0.23,0.17,0.24,0.32,0.42,0.52,0.33,0.36,0.4,0.43,0.47,Lawndale,-75.1051698393066,40.0497639969753,"c(-75.1051698393066, 40.0497639969753)"
