address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
8131 LISTER ST,0.04,0.06,0.09,0.14,0.2,0.17,0.24,0.32,0.42,0.53,0.5,0.53,0.57,0.61,0.64,Lexington Park,-75.0401401092508,40.0554090102018,"c(-75.0401401092508, 40.0554090102018)"
7708 LISTER ST,0.03,0.04,0.06,0.1,0.15,0.2,0.28,0.37,0.47,0.57,0.3,0.33,0.37,0.4,0.44,Lexington Park,-75.0467803034956,40.0501021513142,"c(-75.0467803034956, 40.0501021513142)"
7610 BROUS AVE,0.03,0.04,0.07,0.1,0.15,0.27,0.36,0.46,0.56,0.66,0.33,0.36,0.4,0.43,0.47,Lexington Park,-75.0486558824392,40.0501988606134,"c(-75.0486558824392, 40.0501988606134)"
7901 CALVERT ST,0.03,0.04,0.06,0.09,0.14,0.2,0.27,0.36,0.46,0.57,0.3,0.33,0.37,0.4,0.44,Lexington Park,-75.0454050257578,40.0541027596239,"c(-75.0454050257578, 40.0541027596239)"
7826 LEXINGTON AVE,0.02,0.03,0.05,0.08,0.11,0.2,0.28,0.37,0.47,0.58,0.3,0.33,0.37,0.4,0.44,Lexington Park,-75.0424019237822,40.0502420489629,"c(-75.0424019237822, 40.0502420489629)"
7937 LISTER ST,0.03,0.04,0.07,0.1,0.15,0.28,0.37,0.47,0.58,0.68,0.46,0.49,0.53,0.57,0.61,Lexington Park,-75.0410673801517,40.0533340350051,"c(-75.0410673801517, 40.0533340350051)"
7612 LEXINGTON AVE,0.03,0.04,0.07,0.1,0.15,0.2,0.27,0.36,0.46,0.57,0.3,0.33,0.37,0.4,0.44,Lexington Park,-75.0489240903169,40.0486380011971,"c(-75.0489240903169, 40.0486380011971)"
2729 SOLLY AVE,0.03,0.04,0.06,0.09,0.14,0.25,0.34,0.44,0.54,0.64,0.46,0.49,0.53,0.57,0.61,Lexington Park,-75.0421763382403,40.057286832148,"c(-75.0421763382403, 40.057286832148)"
2759 RHAWN ST,0.03,0.04,0.06,0.09,0.14,0.25,0.34,0.43,0.54,0.64,0.46,0.49,0.53,0.57,0.61,Lexington Park,-75.042793466082,40.0548234373906,"c(-75.042793466082, 40.0548234373906)"
2812 HOLME AVE,0.04,0.06,0.09,0.14,0.2,0.17,0.24,0.32,0.42,0.52,0.36,0.4,0.44,0.47,0.51,Lexington Park,-75.0404330468371,40.0577220382735,"c(-75.0404330468371, 40.0577220382735)"
7802 LISTER ST,0.02,0.04,0.06,0.09,0.14,0.27,0.36,0.46,0.57,0.66,0.46,0.49,0.53,0.57,0.61,Lexington Park,-75.0454181854501,40.0506372489226,"c(-75.0454181854501, 40.0506372489226)"
2727 RHAWN ST,0.08,0.12,0.18,0.26,0.35,0.16,0.23,0.31,0.4,0.51,0.57,0.6,0.64,0.67,0.71,Lexington Park,-75.0439141096542,40.0559623857313,"c(-75.0439141096542, 40.0559623857313)"
7906 BROUS AVE,0.03,0.04,0.07,0.1,0.15,0.27,0.35,0.45,0.56,0.66,0.46,0.49,0.53,0.57,0.61,Lexington Park,-75.0432399038702,40.0531858717958,"c(-75.0432399038702, 40.0531858717958)"
2711 SOLLY AVE,0.03,0.04,0.06,0.09,0.14,0.25,0.34,0.44,0.54,0.64,0.46,0.49,0.53,0.57,0.61,Lexington Park,-75.0429394363868,40.0574947337889,"c(-75.0429394363868, 40.0574947337889)"
7730 FAIRFIELD ST,0.04,0.06,0.09,0.14,0.2,0.2,0.28,0.37,0.47,0.58,0.5,0.53,0.57,0.61,0.65,Lexington Park,-75.0488754430795,40.0527462719264,"c(-75.0488754430795, 40.0527462719264)"
7837 BROUS AVE,0.02,0.04,0.06,0.09,0.13,0.27,0.36,0.46,0.56,0.66,0.46,0.49,0.53,0.57,0.61,Lexington Park,-75.0434646267649,40.052128047495,"c(-75.0434646267649, 40.052128047495)"
7618 LEXINGTON AVE,0.04,0.06,0.1,0.14,0.21,0.16,0.23,0.31,0.41,0.51,0.34,0.37,0.41,0.44,0.48,Lexington Park,-75.0483597550204,40.0483592104405,"c(-75.0483597550204, 40.0483592104405)"
2731 SOLLY AVE,0.04,0.06,0.09,0.13,0.2,0.21,0.28,0.38,0.48,0.58,0.5,0.53,0.57,0.61,0.64,Lexington Park,-75.0420881731388,40.0572746993371,"c(-75.0420881731388, 40.0572746993371)"
2817 RHAWN ST,0.03,0.04,0.06,0.1,0.15,0.2,0.28,0.37,0.47,0.58,0.46,0.49,0.53,0.57,0.61,Lexington Park,-75.0417904812225,40.0542763529563,"c(-75.0417904812225, 40.0542763529563)"
2706 HOLME AVE,0.04,0.06,0.09,0.13,0.2,0.16,0.22,0.3,0.4,0.5,0.5,0.53,0.57,0.61,0.65,Lexington Park,-75.0428048274974,40.0577531457501,"c(-75.0428048274974, 40.0577531457501)"
8171 LISTER ST,0.02,0.04,0.06,0.09,0.13,0.21,0.29,0.38,0.48,0.59,0.33,0.36,0.4,0.43,0.47,Lexington Park,-75.0393415503491,40.0570673568846,"c(-75.0393415503491, 40.0570673568846)"
7815 REVERE ST,0.02,0.04,0.06,0.09,0.13,0.16,0.22,0.3,0.4,0.5,0.2,0.22,0.25,0.28,0.31,Lexington Park,-75.0449204837127,40.0520452363294,"c(-75.0449204837127, 40.0520452363294)"
7611 REVERE ST,0.03,0.04,0.07,0.1,0.15,0.28,0.37,0.47,0.57,0.67,0.33,0.36,0.4,0.43,0.47,Lexington Park,-75.0486559457007,40.0505344755195,"c(-75.0486559457007, 40.0505344755195)"
7904 FARNSWORTH ST,0.04,0.06,0.09,0.14,0.21,0.22,0.3,0.39,0.49,0.6,0.36,0.4,0.44,0.47,0.51,Lexington Park,-75.0449278609373,40.0540457375194,"c(-75.0449278609373, 40.0540457375194)"
7927 REVERE ST,0.04,0.06,0.09,0.14,0.2,0.22,0.3,0.39,0.49,0.6,0.5,0.53,0.57,0.61,0.65,Lexington Park,-75.0429990517272,40.0540000800285,"c(-75.0429990517272, 40.0540000800285)"
7908 LEXINGTON AVE,0.03,0.04,0.07,0.1,0.15,0.23,0.31,0.41,0.51,0.62,0.33,0.36,0.4,0.43,0.47,Lexington Park,-75.0415224815994,40.05229104564,"c(-75.0415224815994, 40.05229104564)"
7925 FAIRFIELD ST,0.04,0.06,0.09,0.14,0.21,0.13,0.19,0.26,0.35,0.45,0.34,0.37,0.41,0.44,0.48,Lexington Park,-75.0454520633855,40.0553446492644,"c(-75.0454520633855, 40.0553446492644)"
8112 BROUS AVE,0.04,0.06,0.09,0.14,0.2,0.22,0.3,0.39,0.5,0.6,0.5,0.53,0.57,0.61,0.65,Lexington Park,-75.0416954024647,40.055545000473,"c(-75.0416954024647, 40.055545000473)"
7702 FAIRFIELD ST,0.03,0.04,0.06,0.1,0.15,0.25,0.33,0.43,0.53,0.64,0.33,0.36,0.4,0.43,0.47,Lexington Park,-75.0496376174283,40.0519637971566,"c(-75.0496376174283, 40.0519637971566)"
7801 E ROOSEVELT BLVD,0.01,0.02,0.03,0.05,0.08,0.18,0.25,0.34,0.43,0.54,0.43,0.47,0.51,0.55,0.58,Lexington Park,-75.0478511875318,40.0543559421734,"c(-75.0478511875318, 40.0543559421734)"
8116 REVERE ST,0.03,0.04,0.06,0.1,0.14,0.25,0.34,0.44,0.54,0.64,0.46,0.49,0.53,0.57,0.61,Lexington Park,-75.0423829210943,40.056092718029,"c(-75.0423829210943, 40.056092718029)"
2806 FULLER ST,0.04,0.06,0.09,0.14,0.2,0.21,0.29,0.38,0.49,0.59,0.5,0.53,0.57,0.61,0.65,Lexington Park,-75.0420709076369,40.0547673208652,"c(-75.0420709076369, 40.0547673208652)"
7931 LISTER ST,0.04,0.06,0.09,0.14,0.21,0.23,0.31,0.41,0.52,0.62,0.5,0.53,0.57,0.61,0.64,Lexington Park,-75.0412387218836,40.0531508377513,"c(-75.0412387218836, 40.0531508377513)"
8032 LEXINGTON AVE,0.03,0.04,0.06,0.1,0.14,0.15,0.21,0.28,0.38,0.48,0.3,0.33,0.37,0.41,0.44,Lexington Park,-75.0398803900883,40.0551933237531,"c(-75.0398803900883, 40.0551933237531)"
8133 LISTER ST,0.02,0.04,0.06,0.09,0.14,0.21,0.29,0.38,0.48,0.59,0.46,0.49,0.53,0.57,0.61,Lexington Park,-75.0400101091189,40.0556448447316,"c(-75.0400101091189, 40.0556448447316)"
