address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
2001 HAMILTON ST,0.05,0.08,0.12,0.18,0.25,0.45,0.56,0.66,0.74,0.82,0.54,0.57,0.61,0.65,0.68,Logan Square,-75.1721255974524,39.962827230129,"c(-75.1721255974524, 39.962827230129)"
1600-18 ARCH ST,0.02,0.02,0.04,0.06,0.09,0.24,0.33,0.42,0.53,0.63,0.5,0.54,0.57,0.61,0.65,Logan Square,-75.1669947500121,39.9545801351671,"c(-75.1669947500121, 39.9545801351671)"
109 N VAN PELT ST,0.03,0.04,0.07,0.1,0.15,0.25,0.34,0.44,0.54,0.64,0.3,0.33,0.37,0.41,0.44,Logan Square,-75.1750079648679,39.9571288660647,"c(-75.1750079648679, 39.9571288660647)"
1900 HAMILTON ST,0.03,0.05,0.07,0.11,0.16,0.21,0.28,0.38,0.48,0.58,0.34,0.37,0.41,0.45,0.48,Logan Square,-75.1704676440804,39.9617836335989,"c(-75.1704676440804, 39.9617836335989)"
2148 CHERRY ST,0.02,0.04,0.06,0.09,0.14,0.3,0.39,0.49,0.6,0.69,0.2,0.22,0.25,0.28,0.31,Logan Square,-75.1759196004508,39.9568363810768,"c(-75.1759196004508, 39.9568363810768)"
2036 ARCH ST,0.03,0.04,0.06,0.09,0.14,0.35,0.45,0.55,0.65,0.74,0.46,0.5,0.53,0.57,0.61,Logan Square,-75.1740547846931,39.9556347887212,"c(-75.1740547846931, 39.9556347887212)"
206-12 N 22ND ST,0.04,0.07,0.1,0.15,0.22,0.26,0.35,0.45,0.55,0.65,0.5,0.53,0.57,0.61,0.64,Logan Square,-75.1759971248989,39.9581549818759,"c(-75.1759971248989, 39.9581549818759)"
1918 NECTARINE ST,0.02,0.03,0.05,0.07,0.11,0.33,0.43,0.54,0.64,0.73,0.46,0.49,0.53,0.57,0.61,Logan Square,-75.1704156539402,39.9629070933578,"c(-75.1704156539402, 39.9629070933578)"
2051 APPLETREE ST,0.02,0.04,0.06,0.09,0.13,0.26,0.35,0.45,0.56,0.66,0.46,0.5,0.53,0.57,0.61,Logan Square,-75.1740632959124,39.956401200519,"c(-75.1740632959124, 39.956401200519)"
57 HAMILTON CIR,0.02,0.03,0.05,0.07,0.11,0.26,0.35,0.45,0.55,0.65,0.2,0.22,0.25,0.28,0.31,Logan Square,-75.1703540482271,39.9626018205007,"c(-75.1703540482271, 39.9626018205007)"
2109 RACE ST,0.03,0.04,0.07,0.1,0.15,0.33,0.43,0.54,0.64,0.73,0.46,0.49,0.53,0.57,0.61,Logan Square,-75.174661274207,39.9578852384497,"c(-75.174661274207, 39.9578852384497)"
2100 SPRING ST,0.04,0.07,0.1,0.15,0.22,0.28,0.37,0.47,0.58,0.68,0.34,0.37,0.41,0.45,0.48,Logan Square,-75.1742491292762,39.9582164129091,"c(-75.1742491292762, 39.9582164129091)"
1904-08 SPRING GARDEN ST,0.03,0.05,0.07,0.11,0.16,0.25,0.34,0.44,0.55,0.65,0.5,0.53,0.57,0.61,0.65,Logan Square,-75.1698449177207,39.9631865713749,"c(-75.1698449177207, 39.9631865713749)"
2032 ARCH ST,0.04,0.06,0.1,0.14,0.21,0.26,0.35,0.45,0.56,0.66,0.5,0.54,0.57,0.61,0.65,Logan Square,-75.1741971611778,39.9560012010773,"c(-75.1741971611778, 39.9560012010773)"
219 N 23RD ST,0.03,0.04,0.07,0.1,0.15,0.32,0.42,0.52,0.62,0.71,0.33,0.36,0.4,0.44,0.47,Logan Square,-75.1766568873211,39.9584814797333,"c(-75.1766568873211, 39.9584814797333)"
2101 MARKET ST,0.08,0.13,0.18,0.26,0.36,0.5,0.6,0.69,0.78,0.84,0.61,0.65,0.68,0.72,0.75,Logan Square,-75.1753629771515,39.9543523539053,"c(-75.1753629771515, 39.9543523539053)"
2301 CHERRY ST,0.04,0.06,0.08,0.13,0.19,0.24,0.32,0.42,0.52,0.63,0.5,0.54,0.57,0.61,0.65,Logan Square,-75.1776575017608,39.9574396991516,"c(-75.1776575017608, 39.9574396991516)"
2036 APPLETREE ST,0.03,0.04,0.07,0.1,0.15,0.32,0.42,0.52,0.63,0.72,0.33,0.36,0.4,0.44,0.47,Logan Square,-75.1736174795039,39.9561314542893,"c(-75.1736174795039, 39.9561314542893)"
2200-28 ARCH ST,0.04,0.06,0.08,0.13,0.19,0.26,0.35,0.45,0.56,0.66,0.5,0.54,0.57,0.61,0.65,Logan Square,-75.1768813956337,39.9557886836097,"c(-75.1768813956337, 39.9557886836097)"
2201 CHERRY ST,0.04,0.06,0.09,0.13,0.2,0.18,0.25,0.34,0.44,0.55,0.34,0.37,0.41,0.45,0.48,Logan Square,-75.1763251741056,39.9571605275117,"c(-75.1763251741056, 39.9571605275117)"
50 HAMILTON CIR,0.02,0.03,0.05,0.07,0.11,0.26,0.35,0.44,0.55,0.65,0.2,0.22,0.25,0.28,0.31,Logan Square,-75.1702273060605,39.9622891038726,"c(-75.1702273060605, 39.9622891038726)"
2213-25 RACE ST,0.04,0.06,0.09,0.13,0.19,0.23,0.31,0.4,0.51,0.61,0.36,0.4,0.44,0.47,0.51,Logan Square,-75.1763849222526,39.9582825669544,"c(-75.1763849222526, 39.9582825669544)"
516 N 19TH ST,0.03,0.05,0.08,0.12,0.18,0.79,0.85,0.9,0.93,0.95,0.34,0.37,0.41,0.45,0.48,Logan Square,-75.1697365920999,39.962897461348,"c(-75.1697365920999, 39.962897461348)"
2200 ARCH ST,0.04,0.06,0.08,0.13,0.19,0.2,0.27,0.36,0.47,0.57,0.23,0.25,0.28,0.32,0.35,Logan Square,-75.1768813956337,39.9557886836097,"c(-75.1768813956337, 39.9557886836097)"
323 N 19TH ST,0.03,0.05,0.08,0.12,0.17,0.28,0.38,0.48,0.58,0.68,0.36,0.4,0.44,0.47,0.51,Logan Square,-75.1698845782488,39.9602010604602,"c(-75.1698845782488, 39.9602010604602)"
2113 ARCH ST,0.04,0.06,0.1,0.15,0.21,0.26,0.35,0.45,0.55,0.65,0.5,0.54,0.57,0.61,0.65,Logan Square,-75.1749626368244,39.9561245780263,"c(-75.1749626368244, 39.9561245780263)"
6 HAMILTON CIR,0.02,0.03,0.05,0.07,0.11,0.33,0.43,0.54,0.64,0.73,0.33,0.36,0.4,0.43,0.47,Logan Square,-75.1706081110198,39.9626355352012,"c(-75.1706081110198, 39.9626355352012)"
2103 RACE ST,0.03,0.04,0.07,0.1,0.16,0.35,0.46,0.56,0.66,0.75,0.46,0.49,0.53,0.57,0.61,Logan Square,-75.174418042645,39.9578562436519,"c(-75.174418042645, 39.9578562436519)"
122 N CROSKEY ST,0.03,0.04,0.07,0.1,0.15,0.4,0.5,0.61,0.7,0.78,0.46,0.49,0.53,0.57,0.61,Logan Square,-75.1767800915263,39.9568773994635,"c(-75.1767800915263, 39.9568773994635)"
333 N 15TH ST,0.03,0.04,0.06,0.1,0.14,0.34,0.44,0.54,0.64,0.73,0.2,0.22,0.25,0.28,0.31,Logan Square,-75.1636418630852,39.959319587157,"c(-75.1636418630852, 39.959319587157)"
