address,spread1_vacant,spread2_vacant,spread3_vacant,spread4_vacant,spread5_vacant,spread1_permit,spread2_permit,spread3_permit,spread4_permit,spread5_permit,spread1_transfer,spread2_transfer,spread3_transfer,spread4_transfer,spread5_transfer,neighborhood,lat,lon,geometry
1804 SULIS ST,0.03,0.05,0.08,0.12,0.18,0.08,0.12,0.18,0.25,0.33,0.2,0.22,0.25,0.28,0.31,Logan,-75.153781506839,40.0288464558069,"c(-75.153781506839, 40.0288464558069)"
4532 N 17TH ST,0.05,0.08,0.12,0.17,0.25,0.08,0.12,0.17,0.23,0.32,0.22,0.25,0.28,0.31,0.35,Logan,-75.1533893752088,40.022916634335,"c(-75.1533893752088, 40.022916634335)"
5114 N 10TH ST,0.02,0.04,0.06,0.09,0.13,0.1,0.14,0.2,0.27,0.36,0.2,0.22,0.25,0.28,0.31,Logan,-75.1397765975596,40.0303491840208,"c(-75.1397765975596, 40.0303491840208)"
5244 N WARNOCK ST,0.03,0.04,0.07,0.1,0.15,0.13,0.18,0.25,0.34,0.44,0.2,0.22,0.25,0.28,0.31,Logan,-75.1400250731468,40.0326679799226,"c(-75.1400250731468, 40.0326679799226)"
5000 N 19TH ST,0.05,0.08,0.12,0.18,0.25,0.08,0.12,0.18,0.25,0.33,0.23,0.25,0.28,0.31,0.35,Logan,-75.1550660642682,40.0302750594624,"c(-75.1550660642682, 40.0302750594624)"
5320 N BROAD ST,0.04,0.07,0.1,0.15,0.22,0.11,0.16,0.23,0.31,0.4,0.22,0.25,0.28,0.31,0.35,Logan,-75.146067561566,40.0344704920097,"c(-75.146067561566, 40.0344704920097)"
4451 GREENE ST,0.05,0.08,0.12,0.18,0.25,0.07,0.1,0.15,0.21,0.29,0.22,0.25,0.28,0.31,0.35,Logan,-75.1590088165142,40.0220095068183,"c(-75.1590088165142, 40.0220095068183)"
1311 W ROOSEVELT BLVD,0.05,0.08,0.12,0.17,0.25,0.08,0.12,0.17,0.24,0.32,0.23,0.25,0.28,0.32,0.35,Logan,-75.1477251568767,40.0203810775366,"c(-75.1477251568767, 40.0203810775366)"
5327 N 12TH ST,0.03,0.04,0.07,0.1,0.15,0.13,0.18,0.25,0.33,0.43,0.3,0.33,0.37,0.4,0.44,Logan,-75.1416237103984,40.0343899341078,"c(-75.1416237103984, 40.0343899341078)"
4531 OLD YORK RD,0.04,0.06,0.1,0.15,0.21,0.1,0.15,0.21,0.29,0.38,0.23,0.25,0.28,0.31,0.35,Logan,-75.146756375206,40.0220987610691,"c(-75.146756375206, 40.0220987610691)"
4836 N CAMAC ST,0.03,0.04,0.07,0.1,0.15,0.12,0.17,0.24,0.33,0.43,0.3,0.33,0.37,0.4,0.44,Logan,-75.1445869477817,40.0267836876403,"c(-75.1445869477817, 40.0267836876403)"
4940 N 9TH ST,0.08,0.13,0.19,0.27,0.37,0.08,0.11,0.16,0.23,0.31,0.22,0.25,0.28,0.31,0.35,Logan,-75.1387604787999,40.0275545287122,"c(-75.1387604787999, 40.0275545287122)"
4716 OLD YORK RD,0.04,0.06,0.1,0.15,0.21,0.1,0.14,0.2,0.27,0.36,0.23,0.25,0.28,0.32,0.35,Logan,-75.1471301711944,40.0249944394862,"c(-75.1471301711944, 40.0249944394862)"
1121 WAGNER AVE,0.03,0.05,0.07,0.11,0.16,0.12,0.18,0.25,0.33,0.43,0.3,0.33,0.37,0.4,0.44,Logan,-75.1409580980661,40.0339660100952,"c(-75.1409580980661, 40.0339660100952)"
1435-37 W ROCKLAND ST,0.03,0.05,0.08,0.12,0.18,0.11,0.16,0.23,0.31,0.4,0.23,0.25,0.28,0.32,0.35,Logan,-75.14855278666,40.0279977472333,"c(-75.14855278666, 40.0279977472333)"
4939 N CAMAC ST,0.02,0.04,0.06,0.09,0.13,0.12,0.17,0.24,0.32,0.42,0.2,0.22,0.25,0.28,0.31,Logan,-75.1437070344769,40.0286148463413,"c(-75.1437070344769, 40.0286148463413)"
1801 W ALBANUS ST,0.05,0.07,0.11,0.17,0.24,0.15,0.21,0.29,0.39,0.49,0.23,0.25,0.28,0.32,0.35,Logan,-75.1534965273189,40.0296220471865,"c(-75.1534965273189, 40.0296220471865)"
